rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",18.11,63.7,99.3,0.0
2,"Young, Cameron",5.83,38.2,97.6,0.0
3,"Morikawa, Collin",4.48,32.2,96.7,0.0
4,"Kim, Si Woo",3.67,29.1,96.5,0.0
5,"Fleetwood, Tommy",3.06,27.5,96.1,0.0
6,"Henley, Russell",3.02,26.8,96.0,0.0
7,"Cantlay, Patrick",2.91,25.7,95.8,0.0
8,"Lee, Min Woo",2.87,25.2,95.4,0.0
9,"McNealy, Maverick",2.6,23.3,95.2,0.0
10,"Matsuyama, Hideki",2.28,23.2,95.5,0.0
11,"Gotterup, Chris",2.16,21.2,95.1,0.0
12,"Knapp, Jake",2.12,21.1,94.8,0.0
13,"Bridgeman, Jacob",2.12,21.2,94.6,0.0
14,"Burns, Sam",2.0,20.1,94.4,0.0
15,"Spaun, J.J.",1.68,18.2,93.7,0.0
16,"Hojgaard, Nicolai",1.66,18.1,93.9,0.0
17,"Hovland, Viktor",1.6,19.1,94.1,0.0
18,"Scott, Adam",1.54,17.8,93.4,0.0
19,"English, Harris",1.52,17.8,93.9,0.0
20,"Kitayama, Kurt",1.52,16.3,93.5,0.0
21,"Griffin, Ben",1.42,16.7,93.6,0.0
22,"Gerard, Ryan",1.39,16.4,93.4,0.0
23,"Bhatia, Akshay",1.38,16.4,93.2,0.0
24,"Rose, Justin",1.35,16.2,93.3,0.0
25,"Spieth, Jordan",1.31,15.8,93.0,0.0
26,"Hisatsune, Ryo",1.14,14.6,92.8,0.0
27,"Fowler, Rickie",1.12,14.8,92.8,0.0
28,"Bradley, Keegan",1.08,14.5,92.5,0.0
29,"Stevens, Sam",1.05,13.3,91.9,0.0
30,"Theegala, Sahith",1.04,14.0,92.6,0.0
31,"Straka, Sepp",1.01,13.5,92.4,0.0
32,"Lowry, Shane",0.94,13.0,91.8,0.0
33,"Day, Jason",0.93,12.8,92.1,0.0
34,"Hall, Harry",0.92,12.3,91.3,0.0
35,"Smith, Jordan",0.86,12.2,91.7,0.0
36,"Coody, Pierceson",0.84,12.1,91.1,0.0
37,"Thomas, Justin",0.83,11.9,91.5,0.0
38,"Mitchell, Keith",0.83,11.8,91.4,0.0
39,"Smalley, Alex",0.81,11.7,91.3,0.0
40,"McCarty, Matt",0.77,11.9,91.6,0.0
41,"Noren, Alex",0.76,12.4,91.7,0.0
42,"Conners, Corey",0.73,10.5,90.7,0.0
43,"Woodland, Gary",0.67,9.8,90.2,0.0
44,"Im, Sungjae",0.66,10.0,90.1,0.0
45,"Castillo, Ricky",0.64,10.0,90.0,0.0
46,"Cauley, Bud",0.61,9.6,89.6,0.0
47,"Taylor, Nick",0.58,9.1,89.6,0.0
48,"Fox, Ryan",0.56,8.7,89.0,0.0
49,"Berger, Daniel",0.55,9.3,90.0,0.0
50,"Yellamaraju, Sudarshan",0.54,9.7,89.9,0.0
51,"Poston, J.T.",0.53,8.4,88.7,0.0
52,"Novak, Andrew",0.5,8.4,88.8,0.0
53,"Harman, Brian",0.45,8.3,88.5,0.0
54,"Fitzpatrick, Alex",0.45,8.4,88.7,0.0
55,"Homa, Max",0.39,7.0,87.4,0.0
56,"Wallace, Matt",0.38,8.4,88.3,0.0
57,"Pendrith, Taylor",0.37,7.7,88.3,0.0
58,"McCarthy, Denny",0.33,6.1,86.8,0.0
59,"Kim, Michael",0.33,6.5,87.0,0.0
60,"Rodgers, Patrick",0.33,6.6,87.1,0.0
61,"Smotherman, Austin",0.32,6.3,86.4,0.0
62,"Greyserman, Max",0.29,5.1,84.9,0.0
63,"Putnam, Andrew",0.28,6.2,86.5,0.0
64,"Potgieter, Aldrich",0.25,4.2,83.2,0.0
65,"Dahmen, Joel",0.17,4.3,83.3,0.0
66,"Blanchet, Chandler",0.16,4.2,83.1,0.0
67,"Lipsky, David",0.11,3.2,81.1,0.0
68,"Echavarria, Nico",0.1,2.9,80.2,0.0
69,"Glover, Lucas",0.08,2.5,78.7,0.0
70,"Vegas, Jhonattan",0.07,2.3,78.0,0.0
71,"Hoge, Tom",0.04,1.9,76.5,0.0
72,"Campbell, Brian",0.02,0.7,67.5,0.0
