rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Gerard, Ryan",16.16,67.2,95.5,0.34394739714138944
2,"Lowry, Shane",13.85,63.4,94.6,0.3963524904503525
3,"Scott, Adam",13.16,61.7,94.2,0.5346905738675111
4,"Bridgeman, Jacob",9.32,53.4,92.5,-0.045263243225042625
5,"Griffin, Ben",7.46,49.0,91.1,0.28518954430191423
6,"Hadwin, Adam",4.84,39.6,88.1,0.20254790497039102
7,"Yu, Kevin",4.65,38.8,87.5,0.35441344617584647
8,"Kirk, Chris",2.84,31.1,84.9,0.07015962568661663
9,"Mitchell, Keith",2.61,28.6,83.5,0.3014898805029519
10,"Berger, Daniel",2.43,27.3,82.4,0.2263271862777395
11,"Putnam, Andrew",1.61,21.9,79.9,0.04111916089015896
12,"Thorbjornsen, Michael",1.4,20.5,78.6,0.029242150979452014
13,"Bezuidenhout, Christiaan",0.93,16.2,75.1,0.10120916822787525
14,"Koepka, Brooks",0.88,16.3,75.1,0.1968106454225071
15,"Higgo, Garrick",0.82,15.2,74.1,-0.11037072633196014
16,"Hojgaard, Nicolai",0.8,14.2,73.3,0.04535835625525509
17,"Hoey, Rico",0.78,14.0,72.6,0.3251408426973001
18,"Horschel, Billy",0.68,13.1,71.4,0.06017231200775689
19,"Ryder, Sam",0.68,14.3,73.1,0.04185752836141443
20,"Wise, Aaron",0.65,12.3,71.0,0.05848274183380235
21,"Smalley, Alex",0.61,12.5,71.4,0.40325187107351534
22,"Clanton, Luke",0.6,11.9,70.2,0.09328008789702186
23,"Svensson, Jesper",0.6,12.3,70.7,-0.06930125891319733
24,"Thompson, Davis",0.55,11.1,69.1,0.42093236180148846
25,"Hojgaard, Rasmus",0.55,11.5,69.9,0.1812209216659793
26,"Stanger, Jimmy",0.54,10.9,69.0,0.05848274183380235
27,"Jaeger, Stephan",0.51,10.9,69.4,0.061243323942050065
28,"Hodges, Lee",0.45,8.9,66.5,0.052671201222618855
29,"Eckroat, Austin",0.44,10.0,68.0,0.24578282252606395
30,"Ghim, Doug",0.41,9.8,67.9,0.1950546599720909
31,"Hossler, Beau",0.41,8.6,66.2,-0.07449541332517098
32,"Neergaard-Petersen, Rasmus",0.39,9.8,67.3,0.17495845383380237
33,"McGreevy, Max",0.37,9.0,66.0,0.10081041430780452
34,"Rodgers, Patrick",0.36,8.8,66.1,0.13345732304279223
35,"Reitan, Kristoffer",0.3,6.8,62.6,0.06885608183380235
36,"Whaley, Vince",0.28,7.3,63.2,-0.09697726338522461
37,"Zalatoris, Will",0.28,8.2,65.4,0.18849130183380236
38,"Smith, Jordan",0.24,6.7,62.6,0.13292140583380235
39,"Li, Haotong",0.22,6.8,62.2,0.13385637983380236
40,"Parry, John",0.22,7.1,63.4,0.15422468183380236
41,"Vilips, Karl",0.2,5.6,59.9,0.08737355559316394
42,"Roy, Kevin",0.2,6.9,62.5,0.2270871213928536
43,"Salinda, Isaiah",0.2,5.7,60.4,0.24567566930615828
44,"Castillo, Ricky",0.18,5.1,58.5,0.269454032047608
45,"Valimaki, Sami",0.18,4.9,58.0,0.23142810830248964
46,"Homa, Max",0.16,4.7,57.4,0.08479702383380235
47,"Dahmen, Joel",0.16,4.6,57.3,0.20843111623584293
48,"Pavon, Matthieu",0.15,4.7,56.4,-0.07759398049825003
49,"Olesen, Thorbjorn",0.15,5.0,57.9,0.34372124250258107
50,"Wallace, Matt",0.15,4.9,58.3,0.06629789145969055
51,"Garnett, Brice",0.15,5.0,58.0,0.01252500951446181
52,"Woodland, Gary",0.13,4.4,57.1,0.04939863812930934
53,"Cole, Eric",0.13,5.5,59.7,0.1108992060420077
54,"Grillo, Emiliano",0.13,3.7,54.0,-0.07165384658791973
55,"Kanaya, Takumi",0.12,4.1,55.4,-0.0003829841661976627
56,"Brown, Dan",0.1,3.4,53.4,0.05848274183380235
57,"Ewart, A.J.",0.1,3.0,51.9,0.05848274183380235
58,"Ford, David",0.1,3.3,52.4,0.034978485833802364
59,"Wu, Dylan",0.09,3.6,53.3,0.06614961959941647
60,"Yellamaraju, Sudarshan",0.09,3.2,52.0,0.05848274183380235
61,"Echavarria, Nico",0.09,3.6,54.0,-0.11080704267550345
62,"VanDerLaan, John",0.09,3.0,51.1,0.05848274183380235
63,"Lipsky, David",0.08,4.0,55.1,0.06771406314549605
64,"Nakajima, Keita",0.08,2.3,48.4,0.024376683833802346
65,"Svensson, Adam",0.08,3.3,52.1,0.008162627033755324
66,"Bauchou, Zach",0.08,3.1,52.0,0.05848274183380235
67,"Ventura, Kris",0.08,3.3,52.3,0.10914533045267664
68,"Kang, Jeffrey",0.07,3.1,51.6,0.05848274183380235
69,"Nyholm, Pontus",0.07,3.1,51.3,0.05848274183380235
70,"Brown, Blades",0.07,3.1,51.8,0.05848274183380235
71,"Hughes, Mackenzie",0.07,4.4,56.4,-0.1549861151538707
72,"Lamprecht, Christo",0.07,3.0,51.6,0.05848274183380235
73,"Saddier, Adrien",0.07,3.2,51.8,0.04824463183380235
74,"Schmid, Matti",0.07,2.7,49.3,-0.03745569655623883
75,"Rai, Aaron",0.06,2.6,50.2,0.14332695640222148
76,"Hirata, Kensei",0.06,2.9,51.9,0.05848274183380235
77,"Chatfield, Davis",0.06,3.0,51.0,0.05848274183380235
78,"Shipley, Neal",0.06,2.9,51.6,0.05848274183380235
79,"Blanchet, Chandler",0.06,2.9,51.7,0.05848274183380235
80,"Highsmith, Joe",0.06,1.8,45.5,-0.04948191296440896
81,"Brennan, Michael",0.06,3.1,51.3,0.05848274183380235
82,"Van Rooyen, Erik",0.06,2.0,47.0,-0.006092883377862263
83,"Keefer, Johnny",0.06,3.0,51.5,0.05848274183380235
84,"Riley, Davis",0.05,1.7,44.7,-0.13225479233079726
85,"Fisk, Steven",0.05,2.9,51.3,0.0886110668787445
86,"Power, Seamus",0.05,1.9,45.7,0.06464687183074035
87,"Meissner, Mac",0.05,2.5,48.1,-0.09722299945914753
88,"Moore, Taylor",0.05,1.8,45.3,0.20486257479025097
89,"Ramey, Chad",0.04,1.9,45.4,-0.10552088651929753
90,"Hubbard, Mark",0.04,2.5,48.5,-0.14016357580383737
91,"Davis, Cam",0.03,1.4,41.5,-0.13167944984235133
92,"Kim, Tom",0.03,2.0,46.9,0.4770468793309941
93,"Hoffman, Charley",0.02,0.9,39.5,-0.18686439244459963
94,"Kim, S.H.",0.02,1.0,39.0,-0.09022297185549524
95,"Dunlap, Nick",0.02,1.0,37.4,-0.11484119013529091
96,"Lebioda, Hank",0.02,0.8,35.9,0.05848274183380235
97,"Lower, Justin",0.02,0.7,34.9,-0.20536580033727833
98,"Schenk, Adam",0.01,0.8,35.1,-0.13635444559084345
99,"Streelman, Kevin",0.01,0.9,37.6,-0.016986346827589052
100,"Lee, K.H.",0.01,0.9,37.4,-0.1628956556375915
101,"Fishburn, Patrick",0.01,0.4,32.0,0.1659519727802471
102,"Rozo, Marcelo",0.01,0.6,32.9,0.05848274183380235
103,"Waring, Paul",0.01,0.1,20.0,-0.17614685111189
104,"Kizzire, Patton",0.01,0.3,25.5,-0.1686110708882303
105,"Simpson, Webb",0.01,0.6,32.7,0.21436860932822568
106,"Smotherman, Austin",0.01,0.7,35.9,0.05848274183380235
107,"Phillips, Chandler",0.01,0.8,34.2,-0.41188605767469527
108,"Villegas, Camilo",0.0,0.0,16.0,-0.27178943921134413
109,"Kuchar, Matt",0.0,1.2,41.3,-0.29916042652641023
110,"Sargent, Gordon",0.0,0.3,26.7,-0.20023736416619764
111,"Mouw, William",0.0,0.4,28.1,-0.17440992603451141
112,"Walker, Danny",0.0,0.5,31.6,-0.13272239016619763
113,"Hicks, Justin",0.0,0.0,11.1,0.05848274183380235
114,"Campos, Rafael",0.0,0.1,18.7,-0.20065538636818592
115,"Dou, Zecheng",0.0,0.1,18.1,0.05848274183380235
116,"Dumont De Chassart, Adrien",0.0,0.2,25.8,0.23018807010852294
117,"Malnati, Peter",0.0,0.1,21.7,-0.29981869169937786
118,"Todd, Brendon",0.0,0.0,4.1,-0.6263165478743714
119,"Tosti, Alejandro",0.0,0.0,7.1,-0.3470466937427752
120,"Willett, Danny",0.0,0.5,32.0,-0.3299618390915092
