rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Lawrence, Thriston",22.91,77.3,96.8,-0.012780562000000014
2,"Schaper, Jayden",19.5,73.9,96.2,0.184750856
3,"Burmester, Dean",8.32,55.1,91.9,0.05594952599999999
4,"LaCroix, Frederic",8.15,53.8,91.1,-0.061290185000000004
5,"Manassero, Matteo",4.06,39.9,87.0,-0.16960216199999997
6,"Du Plessis, Hennie",3.85,38.4,86.3,0.017285315999999985
7,"Daffue, MJ",3.65,38.1,86.4,-0.15731420349999997
8,"Pavan, Andrea",3.36,35.9,85.2,-0.12989303599999996
9,"Grace, Branden",3.1,34.1,84.6,0.124561823
10,"Luiten, Joost",2.8,33.4,84.7,-0.086149474
11,"Del Rey, Alejandro",2.59,31.2,83.3,-0.070576787
12,"Brown, Luke",2.27,30.0,82.8,-0.15731420349999997
13,"Enefer, Will",1.34,21.6,77.5,-0.15731420349999997
14,"Coussaud, Ugo",1.09,19.9,76.3,-0.12581158199999998
15,"Schwartzel, Charl",0.91,18.0,75.0,-0.077177004
16,"Nienaber, Wilco",0.79,16.0,72.3,-0.15731420349999997
17,"Kimsey, Nathan",0.74,14.6,71.5,-0.00034644700000000016
18,"Jamieson, Scott",0.6,13.3,70.6,-0.228103529
19,"Clements, Todd",0.6,13.8,70.8,-0.026522733
20,"Vincent, Kieran",0.57,13.6,70.1,-0.11874199400000002
21,"Sullivan, Andy",0.46,12.0,68.3,-0.090771949
22,"Van Velzen, Ryan",0.45,12.4,69.0,-0.15731420349999997
23,"Laporta, Francesco",0.44,12.0,68.4,0.004257427000000001
24,"Lagergren, Joakim",0.42,11.0,67.4,-0.21247868499999997
25,"Campillo, Jorge",0.42,10.5,66.2,-0.061848656999999994
26,"Sterne, Richard",0.38,10.3,66.6,-0.098217444
27,"Senekal, JJ",0.36,8.9,64.3,-0.15731420349999997
28,"Bachem, Nick",0.34,9.9,65.2,-0.15731420349999997
29,"Couvra, Martin",0.33,10.1,65.5,-0.046181599
30,"Siem, Marcel",0.3,8.4,62.7,-0.18629693
31,"Ayora, Angel",0.3,8.6,63.4,0.19495605100000002
32,"Reed, Patrick",0.3,9.9,65.5,0.181318622
33,"Lindell, Oliver",0.25,7.0,60.3,0.003724802999999998
34,"Ravetto, David",0.25,8.3,62.7,-0.139583923
35,"Germishuys, Deon",0.22,8.7,63.5,-0.15731420349999997
36,"Hollick, Michael",0.21,7.2,60.2,-0.15731420349999997
37,"Premlall, Yurav",0.21,8.3,62.6,-0.15731420349999997
38,"Albertse, Louis",0.19,6.7,59.8,-0.15731420349999997
39,"Kruyswijk, Jacques",0.17,6.8,59.9,-0.15739298899999998
40,"Schneider, Marcel",0.13,4.8,55.0,-0.16702403599999996
41,"Vorster, Martin",0.12,4.2,53.9,-0.15731420349999997
42,"Van Der Merwe, Altin",0.11,4.9,55.6,-0.15731420349999997
43,"Ritchie, JC",0.1,3.5,50.9,-0.15731420349999997
44,"Ahlers, Jaco",0.1,3.8,52.5,-0.15731420349999997
45,"Coetzee, George",0.1,5.0,56.5,-0.15731420349999997
46,"Otaegui, Adrian",0.09,4.4,53.3,-0.142047557
47,"Rutherford, Jamie",0.08,2.6,46.9,-0.15731420349999997
48,"Van Wyk, Kieron",0.07,2.7,46.7,-0.15731420349999997
49,"Bairstow, Sam",0.07,4.2,52.4,-0.170862945
50,"Ding, Wenyi",0.07,2.5,46.6,0.017619728999999994
51,"Bekker, Oliver",0.07,2.8,47.8,-0.15731420349999997
52,"Buchanan, Jack",0.06,2.5,46.6,-0.15731420349999997
53,"Fitzpatrick, Alex",0.06,2.5,46.4,-0.0007428549999999998
54,"Els, Ernie",0.06,2.7,46.9,-0.15731420349999997
55,"Cabrera Bello, Rafa",0.06,2.8,48.2,-0.243548266
56,"Bradbury, Dan",0.06,2.5,46.8,-0.05103979799999999
57,"Adam, Cameron",0.06,2.5,47.6,-0.15731420349999997
58,"Kaneko, Kota",0.05,2.6,46.4,-0.15731420349999997
59,"Carrera, Luis",0.05,2.6,46.4,-0.15731420349999997
60,"Rebula, Jovan",0.05,2.8,48.0,-0.15731420349999997
61,"Sundelson, Judd",0.05,2.6,46.9,-0.15731420349999997
62,"Guerrier, Julien",0.04,2.7,47.9,-0.006830017000000001
63,"Mokoena, Karabo",0.04,2.7,47.4,-0.15731420349999997
64,"Bruiners, Heinrich",0.04,1.9,43.6,-0.15731420349999997
65,"Snyders, Tyran",0.04,2.6,47.3,-0.15731420349999997
66,"Kruger, Dian",0.04,2.5,47.2,-0.15731420349999997
67,"Simpson, Samuel",0.04,2.3,47.0,-0.15731420349999997
68,"Kaminski, Rupert",0.04,2.0,43.2,-0.15731420349999997
69,"Leisher, Logan",0.04,2.7,46.9,-0.15731420349999997
70,"Aphibarnrat, Kiradech",0.03,2.6,47.4,-0.222206441
71,"Purchase, Warwick",0.03,2.5,46.9,-0.15731420349999997
72,"Gumberg, Jordan",0.03,2.3,46.0,-0.253988534
73,"Stone, Brandon",0.03,1.4,40.6,-0.030747061000000006
74,"Rowe, Lyle",0.03,2.0,43.4,-0.15731420349999997
75,"Moolman, Pieter",0.03,1.2,38.6,-0.15731420349999997
76,"Follet-Smith, Benjamin",0.03,1.8,44.0,-0.15731420349999997
77,"Elvira, Manuel",0.03,1.7,41.9,-0.149908361
78,"Veerman, Johannes",0.02,1.6,42.0,-0.19421916999999997
79,"Armitage, Marcus",0.02,2.4,46.2,0.03471084600000001
80,"Bautista, Austin",0.02,2.6,47.0,-0.15731420349999997
81,"Rozner, Antoine",0.02,1.7,41.5,-0.10432220999999998
82,"Ko, Jeong Weon",0.02,2.0,44.7,-0.41136613599999994
83,"Jarvis, Casey",0.02,1.1,36.7,-0.097729697
84,"Naidoo, Dylan",0.02,1.0,37.3,-0.43220642
85,"Schott, Freddy",0.02,1.8,42.7,-0.21218053299999998
86,"Blaauw, Jacques",0.02,1.6,41.2,-0.15731420349999997
87,"Olesen, Jacob Skov",0.02,1.4,40.3,-0.157235418
88,"Hill, Calum",0.02,1.8,42.6,-0.19403705499999996
89,"Gouveia, Ricardo",0.02,0.7,33.1,-0.141753085
90,"Steinlechner, Maximilian",0.02,1.0,36.7,-0.15731420349999997
91,"Langasque, Romain",0.02,2.1,43.2,-0.24207159499999997
92,"Girrbach, Joel",0.02,1.0,36.2,-0.11010865599999999
93,"Enoch, Rhys",0.02,0.5,30.3,-0.15731420349999997
94,"Norris, Shaun",0.01,0.9,35.4,-0.454118129
95,"Viljoen, M.J.",0.01,0.6,29.8,-0.15731420349999997
96,"Jordan, Matthew",0.01,0.8,34.5,-0.16606979199999997
97,"Hugo, Jean",0.01,1.3,39.2,-0.15731420349999997
98,"Davidse, Keenan",0.01,0.3,26.2,-0.15731420349999997
99,"Jerling, Luke",0.01,0.9,35.7,-0.15731420349999997
100,"Katsuragawa, Yuto",0.01,0.5,28.1,-0.169207428
101,"Syme, Connor",0.01,1.3,38.9,-0.214305646
102,"Van Tonder, Daniel",0.01,0.9,35.1,-0.15731420349999997
103,"Norgaard, Niklas",0.01,1.4,39.0,-0.146006295
104,"Robinson Thompson, Brandon",0.01,1.1,36.8,-0.12073006399999997
105,"Strydom, Ockie",0.01,0.8,33.6,-0.662785888
106,"Soderberg, Sebastian",0.01,0.6,31.4,-0.21901286499999997
107,"Loubser, Herman",0.01,0.5,28.8,-0.15731420349999997
108,"Bryant, Davis",0.01,0.2,23.1,-0.28693719900000003
109,"Williams, Robin",0.01,0.6,32.4,-0.303643465
110,"Pepperell, Eddie",0.01,0.4,29.0,-0.283917496
111,"Schmidt, Ben",0.01,0.8,34.7,-0.253307469
112,"Scrivener, Jason",0.01,0.6,31.2,-0.267366693
113,"Kinhult, Marcus",0.01,0.4,28.1,-0.240654743
114,"Dean, Joe",0.01,0.2,23.9,-0.26129680799999994
115,"Larrazabal, Pablo",0.0,0.1,19.0,-0.369144319
116,"Ferreira, Stephen",0.0,0.2,22.5,-0.15731420349999997
117,"Dantorp, Jens",0.0,0.3,25.4,-0.409747121
118,"Harding, Justin",0.0,0.0,14.7,-0.613944388
119,"Fichardt, Darren",0.0,0.8,32.7,-0.364725378
120,"Cantero Gutierrez, Ivan",0.0,0.1,21.0,-0.17283894299999997
121,"Frittelli, Dylan",0.0,0.6,31.9,-0.18151321199999995
122,"Korb, Ruan",0.0,0.2,24.5,-0.15731420349999997
123,"Hoshino, Rikuya",0.0,0.5,30.7,-0.243828593
124,"Akesson, Bjorn",0.0,0.0,3.4,-0.43543687899999994
125,"Barnard, Charl",0.0,0.0,13.2,-0.15731420349999997
126,"Hidalgo Portillo, Angel",0.0,0.4,28.4,-0.222830513
127,"Johnston, Ryggs",0.0,0.0,9.5,-0.333714354
128,"Ferguson, Ewen",0.0,0.3,23.7,-0.077174372
129,"Chinhoi, Robson",0.0,0.0,1.4,-0.15731420349999997
130,"Bremner, Merrick",0.0,0.1,17.5,-0.15731420349999997
131,"Broomhead, Jonothan",0.0,0.3,26.8,-0.15731420349999997
132,"Mitchell, Malcolm",0.0,0.1,18.5,-0.15731420349999997
133,"Rama, Nikhil",0.0,0.1,17.6,-0.15731420349999997
134,"Porteous, Haydn",0.0,0.2,21.6,-0.15731420349999997
135,"Otto, Hennie",0.0,0.3,24.6,-0.15731420349999997
136,"Mostert, Dylan",0.0,0.0,12.4,-0.15731420349999997
137,"Mavundla, Thanda",0.0,0.0,10.1,-0.15731420349999997
138,"Schietekat, Neil",0.0,0.0,14.7,-0.15731420349999997
139,"Van Driel, Darius",0.0,0.3,26.1,-0.150661131
140,"Winther, Jeff",0.0,0.2,22.5,-0.4252345329999999
