rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",61.14,98.8,100.0,0.44724274324645785
2,"Aberg, Ludvig",15.04,88.4,99.8,0.48724411678815466
3,"Morikawa, Collin",6.78,75.3,99.4,0.424180718840297
4,"McIlroy, Rory",4.77,70.1,99.2,0.19477383197271364
5,"Rahm, Jon",3.96,64.9,98.8,0.389083902478417
6,"Fleetwood, Tommy",1.78,51.1,97.9,0.4787085679278772
7,"Schauffele, Xander",1.66,50.6,98.0,0.1965266891522915
8,"Reed, Patrick",0.8,38.2,96.3,0.2036884740413321
9,"Fitzpatrick, Matt",0.79,38.7,96.6,0.34783830420774614
10,"Matsuyama, Hideki",0.48,26.7,94.2,0.21595443880272538
11,"McCarty, Matt",0.28,18.6,91.6,0.0839078200815603
12,"Young, Cameron",0.25,21.5,92.6,0.45558829937939516
13,"Henley, Russell",0.22,22.0,92.9,0.4189572320926508
14,"DeChambeau, Bryson",0.22,21.3,92.9,0.2790942331081362
15,"Im, Sungjae",0.21,16.5,90.7,0.19900925199031771
16,"Cantlay, Patrick",0.17,17.8,91.4,0.3377549526653715
17,"Hovland, Viktor",0.16,18.2,91.8,0.2827185857595442
18,"Kim, Si Woo",0.15,16.8,91.1,0.35064517429266695
19,"Lowry, Shane",0.13,16.1,90.8,0.310606985628139
20,"MacIntyre, Robert",0.07,11.5,88.0,0.18723290021750066
21,"Rai, Aaron",0.07,9.2,86.2,0.5411199804569176
22,"English, Harris",0.07,11.9,88.5,0.13154328446951186
23,"Rose, Justin",0.07,11.5,87.9,0.01898861487592908
24,"Spieth, Jordan",0.07,10.2,86.6,0.1666146818124322
25,"McNealy, Maverick",0.07,11.2,87.6,0.17319393386996879
26,"Conners, Corey",0.06,10.0,86.8,0.2005935448179859
27,"Lee, Min Woo",0.06,10.9,87.4,0.2982080530713153
28,"Smith, Cameron",0.05,9.3,86.2,-0.25020526732441345
29,"Day, Jason",0.05,9.7,86.2,-0.06839552496855028
30,"Hojgaard, Nicolai",0.04,7.3,83.4,0.16171296201671528
31,"Bradley, Keegan",0.03,6.9,83.3,-0.004747962080452699
32,"Kim, Michael",0.03,7.7,83.8,-0.3092000088873872
33,"Bridgeman, Jacob",0.03,6.8,83.3,0.1643784197580797
34,"Griffin, Ben",0.02,3.9,78.5,0.16916564175807974
35,"Bhatia, Akshay",0.02,5.3,80.4,-0.013597811490809679
36,"Hall, Harry",0.02,3.5,76.7,0.16452490675807974
37,"Thomas, Justin",0.02,5.8,82.1,-0.14652729385030336
38,"Stevens, Sam",0.01,4.2,78.7,0.1372831617580797
39,"Straka, Sepp",0.01,3.9,77.8,0.07347553517847594
40,"Hojgaard, Rasmus",0.01,5.0,79.6,0.12953746237635722
41,"Gotterup, Chris",0.01,5.1,80.3,0.14816965075807975
42,"Gerard, Ryan",0.01,4.9,80.1,0.15580741675807971
43,"Neergaard-Petersen, Rasmus",0.01,1.3,66.3,0.06744661575807973
44,"Koepka, Brooks",0.01,3.0,75.4,0.04373061980115898
45,"Reitan, Kristoffer",0.01,2.0,71.1,0.057207175758079716
46,"Spaun, J.J.",0.01,5.2,80.7,0.3859772443924664
47,"Fox, Ryan",0.01,3.6,76.9,-0.10132842079067607
48,"Riley, Davis",0.01,1.7,69.5,-0.013405632885130733
49,"Homa, Max",0.01,2.9,74.9,-0.05564401582368304
50,"Kitayama, Kurt",0.01,1.1,64.4,0.2678480221449683
51,"Novak, Andrew",0.0,1.4,67.4,0.09545032675807971
52,"Clark, Wyndham",0.0,0.4,54.1,0.20613708397095581
53,"Burns, Sam",0.0,2.3,73.3,0.32357388433308676
54,"Berger, Daniel",0.0,1.0,64.2,0.07569046838788578
55,"Penge, Marco",0.0,2.8,74.1,0.07418183575807973
56,"Harman, Brian",0.0,0.2,51.0,0.08337251624520318
57,"Hatton, Tyrrell",0.0,3.1,75.2,0.11576819767174787
58,"Valimaki, Sami",0.0,1.0,63.7,0.05857204075807972
59,"Greyserman, Max",0.0,2.8,74.9,0.10564979316795607
60,"Holtz, Brandon",0.0,0.6,59.8,0.12518857339517825
61,"Garcia, Sergio",0.0,0.4,54.2,-0.038129676488625974
62,"Echavarria, Nico",0.0,0.0,33.3,-0.1283048802454647
63,"Couples, Fred",0.0,0.0,30.5,0.12518857339517825
64,"Campbell, Brian",0.0,0.2,46.1,0.12313936928596048
65,"Brennan, Michael",0.0,0.7,59.1,0.12518857339517825
66,"Cabrera, Angel",0.0,0.0,14.0,0.12518857339517825
67,"Fang, Ethan",0.0,0.6,59.1,0.12518857339517825
68,"Howell, Mason",0.0,0.7,59.9,0.12518857339517825
69,"Herrington, Jackson",0.0,0.6,59.4,0.12518857339517825
70,"Jarvis, Casey",0.0,1.8,69.6,0.07757374275807973
71,"Li, Haotong",0.0,1.4,67.2,0.05586809775807973
72,"Johnson, Dustin",0.0,0.2,45.1,-0.20405836796812818
73,"Johnson, Zach",0.0,0.7,59.7,0.03403929158761568
74,"Kataoka, Naoyuki",0.0,0.6,60.0,0.12518857339517825
75,"Keefer, Johnny",0.0,1.2,65.3,0.04377709975807972
76,"McKibbin, Tom",0.0,1.4,68.1,0.07296783075807971
77,"Knapp, Jake",0.0,0.3,50.4,-0.0098386748383371
78,"Laopakdee, Fifa",0.0,0.6,60.1,0.12518857339517825
79,"Olazabal, Jose Maria",0.0,0.0,21.2,0.12518857339517825
80,"Pulcini, Mateo",0.0,0.6,60.0,0.12518857339517825
81,"Ortiz, Carlos",0.0,1.8,70.3,0.1264532147580797
82,"Potgieter, Aldrich",0.0,0.0,28.4,0.3602595903769238
83,"Noren, Alex",0.0,0.0,31.9,-0.6940278786635784
84,"Scott, Adam",0.0,1.4,67.4,-0.012629104413176606
85,"Schwartzel, Charl",0.0,0.2,48.9,-0.17647660449401098
86,"Singh, Vijay",0.0,0.0,21.0,0.12518857339517825
87,"Taylor, Nick",0.0,0.1,43.1,0.12392393203227678
88,"Watson, Bubba",0.0,0.1,43.2,0.026669744580243557
89,"Weir, Mike",0.0,0.2,47.4,0.12518857339517825
90,"Willett, Danny",0.0,0.0,35.6,-0.24222685256815832
91,"Woodland, Gary",0.0,0.6,58.4,-0.04230033381553326
