rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Neergaard-Petersen, Rasmus",52.49,94.5,99.4,0.5018067582744105
2,"Stanger, Jimmy",8.17,63.0,95.3,-0.012290442726762635
3,"Van Wyk, Kieron",6.76,58.7,94.5,-0.012290442726762635
4,"VanDerLaan, John",6.45,58.1,94.2,-0.012290442726762635
5,"Dumont De Chassart, Adrien",3.15,41.9,90.0,0.21607847994694718
6,"Power, Seamus",2.69,39.9,89.3,0.061491866475847354
7,"Ramey, Chad",2.57,39.6,89.2,0.306539089720509
8,"Kohles, Ben",2.47,37.9,88.4,0.1979320973640114
9,"Whaley, Vince",1.9,32.7,86.5,-0.04892872463452541
10,"Lebioda, Hank",1.73,33.1,86.9,-0.012290442726762635
11,"Schmid, Matti",1.48,30.4,85.0,0.1161505129619059
12,"Springer, Hayden",0.81,22.4,81.1,-0.003601651334467444
13,"Garnett, Brice",0.76,21.0,80.1,0.4404461063918517
14,"Hojgaard, Rasmus",0.68,18.7,78.6,-0.19521340743380527
15,"Kanaya, Takumi",0.59,17.9,78.3,0.08957229005982069
16,"Riley, Davis",0.43,14.5,74.7,0.08966074589009937
17,"Peterson, Paul",0.37,12.7,73.0,0.3402720285206717
18,"Norlander, Henrik",0.36,12.4,72.9,0.05762829332569323
19,"Paul, Jeremy",0.34,11.9,72.0,-0.17885469152483463
20,"Kim, Chan",0.34,12.3,72.6,0.032686616937328314
21,"Young, Carson",0.32,12.1,72.0,-0.006564423274172379
22,"Goodwin, Noah",0.32,13.0,73.6,0.1317199179496141
23,"Mullinax, Trey",0.31,13.5,74.3,-0.3345933365142538
24,"Biondi, Fred",0.3,12.1,72.4,-0.012290442726762635
25,"Van Rooyen, Erik",0.26,10.2,69.9,-0.20008590280780564
26,"Hubbard, Mark",0.26,10.5,70.6,-0.01718462736925301
27,"Bezuidenhout, Christiaan",0.25,9.7,69.2,0.17711633418159475
28,"Gomez, Fabian",0.21,9.3,69.0,-0.012290442726762635
29,"Thompson, Davis",0.2,9.1,68.3,0.039730105181594776
30,"Ventura, Kris",0.17,8.5,67.2,0.21406738485352103
31,"Lower, Justin",0.16,8.1,65.8,-0.15893796194052967
32,"Cook, Austin",0.16,7.9,66.0,-0.012290442726762635
33,"Snedeker, Brandt",0.15,7.2,65.0,0.36416356521195714
34,"Piercy, Scott",0.14,5.6,62.0,-0.012290442726762635
35,"Parry, John",0.13,7.1,64.4,0.031461779181594776
36,"Ryder, Sam",0.1,5.8,62.4,0.09089081490611033
37,"Higgs, Harry",0.09,5.1,60.6,-0.21082934533643705
38,"Duncan, Tyler",0.08,5.5,61.3,0.32923841244341745
39,"Wallace, Matt",0.07,4.8,59.4,0.45436747819501083
40,"Ghim, Doug",0.07,5.2,60.4,0.005618727181594774
41,"Castillo, Ricky",0.06,4.6,59.5,-0.029366600445557164
42,"Hirata, Kensei",0.06,3.4,54.7,-0.012290442726762635
43,"Saddier, Adrien",0.06,3.8,56.2,0.02353300318159477
44,"Yellamaraju, Sudarshan",0.06,3.4,55.1,-0.012290442726762635
45,"Sienkiewicz, Chase",0.05,3.4,54.8,-0.012290442726762635
46,"Jakubcik, Filip",0.05,3.4,55.1,-0.012290442726762635
47,"Ford, David",0.05,4.2,57.4,-0.049483101818405234
48,"Fishburn, Patrick",0.05,4.1,56.8,-0.08536150293666456
49,"Chacarra, Eugenio",0.05,3.1,53.2,0.0037447791815947706
50,"Streelman, Kevin",0.04,2.9,52.6,-0.03079707169710067
51,"Blanchet, Chandler",0.04,3.2,54.9,-0.012290442726762635
52,"Nyholm, Pontus",0.04,3.2,54.8,-0.012290442726762635
53,"Cole, Eric",0.04,3.8,56.4,0.13224074018159476
54,"Kartrude, Michael",0.04,3.3,54.8,-0.012290442726762635
55,"Daly, Jr., John",0.04,3.1,55.0,-0.012290442726762635
56,"Bertagnole, Carson",0.04,3.1,54.8,-0.012290442726762635
57,"Akina, Kihei",0.04,3.2,55.1,-0.012290442726762635
58,"Zhou, Yanhan",0.04,3.2,55.0,-0.012290442726762635
59,"Russell, Miles",0.04,3.5,54.8,-0.012290442726762635
60,"Chatfield, Davis",0.04,3.4,54.4,-0.012290442726762635
61,"Lamprecht, Christo",0.04,3.2,55.2,-0.012290442726762635
62,"Kang, Jeffrey",0.04,3.3,54.8,-0.012290442726762635
63,"Svensson, Jesper",0.03,3.5,55.4,-0.042009311818405226
64,"Silverman, Ben",0.03,3.5,56.3,0.009634130767702802
65,"Brennan, Michael",0.03,3.3,54.8,-0.012290442726762635
66,"Long, Luke",0.03,3.4,54.2,-0.012290442726762635
67,"Clanton, Luke",0.03,1.8,47.7,-0.062162184818405235
68,"Campos, Rafael",0.03,3.1,53.6,-0.2674791570446978
69,"Laird, Martin",0.03,2.2,50.6,0.21161325782442864
70,"Bauchou, Zach",0.03,3.4,54.5,-0.012290442726762635
71,"Ewart, A.J.",0.03,3.5,55.0,-0.012290442726762635
72,"Logan, Hunter",0.02,3.3,54.9,-0.012290442726762635
73,"Hadwin, Adam",0.02,2.5,52.2,0.02291667918159477
74,"Pavon, Matthieu",0.02,1.7,46.4,0.010010691181594773
75,"Byrd, Jonathan",0.02,1.6,45.9,-0.012290442726762635
76,"Brehm, Ryan",0.02,1.4,45.1,-0.21334432328630287
77,"Hardy, Nick",0.02,2.2,49.5,-0.10313272920260083
78,"Potter Jr, Ted",0.02,1.2,43.1,-0.012290442726762635
79,"Champ, Cameron",0.02,2.4,50.6,-0.044098337901931045
80,"Salinda, Isaiah",0.02,1.4,44.2,-0.10073137081840522
81,"Hahn, James",0.02,3.3,54.8,-0.012290442726762635
82,"Kim, S.H.",0.02,1.6,47.0,-0.2129486083412364
83,"Brown, Blades",0.02,2.1,48.7,-0.012290442726762635
84,"Lindheim, Nicholas",0.01,1.6,44.9,-0.012290442726762635
85,"Dou, Zecheng",0.01,2.6,52.3,-0.012290442726762635
86,"Eckroat, Austin",0.01,1.6,46.3,-0.27842817848732077
87,"Suber, Jackson",0.01,1.4,44.8,-0.012333855818405223
88,"McGirt, William",0.01,1.8,46.6,-0.012290442726762635
89,"Nido, Chris",0.01,2.5,51.0,-0.012290442726762635
90,"Montgomery, Taylor",0.01,1.4,43.8,-0.012247029635120045
91,"Wu, Dylan",0.01,2.5,50.6,0.10446269366993263
92,"Willett, Danny",0.01,0.6,36.0,-0.12872240091392845
93,"Svensson, Adam",0.01,1.5,44.8,0.1470816731870526
94,"Long, Adam",0.01,0.8,38.5,-0.012290442726762635
95,"Streb, Robert",0.01,0.8,37.8,-0.012290442726762635
96,"Dunlap, Nick",0.01,0.6,37.0,0.06462992218159477
97,"Waring, Paul",0.01,0.7,36.2,-0.10381594681840522
98,"Shipley, Neal",0.0,1.4,44.9,-0.06961985881840524
99,"Rozo, Marcelo",0.0,0.4,32.6,-0.012290442726762635
100,"Sargent, Gordon",0.0,0.4,30.9,-0.061269510818405225
101,"Hadley, Chesson",0.0,0.0,15.2,-0.2795325294009373
102,"Hossler, Beau",0.0,0.5,34.8,-0.03904216150028031
103,"Hoffman, Charley",0.0,0.5,33.0,-0.11665056381840525
104,"Malnati, Peter",0.0,0.5,34.2,0.06890426218159476
105,"Martin, Ben",0.0,0.3,29.7,-0.030999072837883057
106,"Barnes, Erik",0.0,0.0,1.4,-0.4739831450954055
107,"Blair, Zac",0.0,0.1,23.7,-0.013387801809501991
108,"Capan III, Frankie",0.0,0.2,26.0,0.05499406918159477
109,"Griffin, Lanto",0.0,0.1,19.9,-0.09201357295322635
110,"Lipsky, David",0.0,0.0,8.9,0.17493385194278474
111,"List, Luke",0.0,0.7,36.8,-0.08125846681840523
112,"Merritt, Troy",0.0,0.9,39.3,0.49936530061005224
113,"Palmer, Ryan",0.0,0.2,26.1,-0.32864917647572617
114,"Pena, Evan",0.0,0.0,15.0,-0.012290442726762635
115,"Simoni, Reinaldo",0.0,0.2,26.3,-0.012290442726762635
116,"Skinns, David",0.0,0.1,20.5,-0.3010693673749314
117,"Walker, Danny",0.0,0.2,27.5,-0.10766060886954198
118,"Villegas, Camilo",0.0,0.3,29.8,-0.2777065100076034
119,"Tosti, Alejandro",0.0,0.0,14.2,-0.24856906587380306
120,"Wise, Aaron",0.0,0.1,23.1,-0.012290442726762635
