rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Henley, Russell",27.65,82.1,98.1,2026-01-15 07:54,2026-01-16 12:24,0.3880237128809033
2,"Morikawa, Collin",21.08,77.2,97.7,2026-01-15 07:43,2026-01-16 12:13,0.3663181305492916
3,"Taylor, Nick",7.3,53.4,93.2,2026-01-15 08:05,2026-01-16 12:35,0.013992513305467441
4,"Matsuyama, Hideki",6.69,51.2,92.9,2026-01-15 12:13,2026-01-16 07:43,0.26997511110036554
5,"Griffin, Ben",4.37,43.2,90.7,2026-01-15 07:54,2026-01-16 12:24,0.16732940474489116
6,"Kim, Si Woo",2.69,33.9,87.5,2026-01-15 12:35,2026-01-16 08:05,0.44907453123700514
7,"Hall, Harry",2.05,29.0,85.2,2026-01-15 07:54,2026-01-16 12:24,-0.05731976502574332
8,"McNealy, Maverick",2.04,27.6,84.5,2026-01-15 12:35,2026-01-16 08:05,0.23724706122827532
9,"Li, Haotong",2.04,29.0,85.5,2026-01-15 08:27,2026-01-16 12:57,-0.14657075524869975
10,"Bradley, Keegan",2.0,29.2,85.3,2026-01-15 12:13,2026-01-16 07:43,0.2604467324596599
11,"Spaun, J.J.",1.85,29.2,85.6,2026-01-15 07:43,2026-01-16 12:13,0.17416107400050881
12,"Kirk, Chris",1.67,26.8,84.4,2026-01-15 12:24,2026-01-16 07:54,0.15291658797655003
13,"Echavarria, Nico",1.5,25.7,83.6,2026-01-15 12:13,2026-01-16 07:43,0.1267928040240976
14,"Conners, Corey",1.41,23.6,82.9,2026-01-15 07:54,2026-01-16 12:24,0.41392193990880244
15,"Meissner, Mac",1.37,23.9,82.7,2026-01-15 12:46,2026-01-16 08:16,-0.013998242899023211
16,"Berger, Daniel",1.25,21.5,81.1,2026-01-15 12:02,2026-01-16 07:32,0.4022883962185689
17,"Pavon, Matthieu",1.22,21.8,81.3,2026-01-15 07:21,2026-01-16 11:51,-0.2670690700062375
18,"Scott, Adam",1.17,21.3,81.6,2026-01-15 07:43,2026-01-16 12:13,0.33684257667521855
19,"Mitchell, Keith",1.06,19.7,80.0,2026-01-15 07:10,2026-01-16 11:40,0.24752487010249774
20,"Cole, Eric",0.94,17.9,78.6,2026-01-15 11:51,2026-01-16 07:21,0.08443511416965223
21,"MacIntyre, Robert",0.92,18.0,78.7,2026-01-15 08:05,2026-01-16 12:35,0.07331499167218582
22,"Gerard, Ryan",0.69,15.7,77.5,2026-01-15 12:24,2026-01-16 07:54,0.10389443961509506
23,"McCarthy, Denny",0.59,14.4,75.9,2026-01-15 07:32,2026-01-16 12:02,-0.06657332453066445
24,"Dunlap, Nick",0.54,13.2,74.9,2026-01-15 08:16,2026-01-16 12:46,-0.4109724455740905
25,"Pendrith, Taylor",0.46,12.6,73.6,2026-01-15 07:43,2026-01-16 12:13,0.26051743001086003
26,"Harman, Brian",0.42,11.6,73.3,2026-01-15 12:35,2026-01-16 08:05,-0.027379108349462868
27,"Svensson, Adam",0.38,10.7,71.4,2026-01-15 11:40,2026-01-16 07:10,-0.010959243241301417
28,"Cauley, Bud",0.36,11.1,72.0,2026-01-15 11:51,2026-01-16 07:21,0.23596869792196523
29,"Kim, S.H.",0.31,10.9,72.4,2026-01-15 12:46,2026-01-16 08:16,-0.16882036814381537
30,"Eckroat, Austin",0.29,8.8,68.6,2026-01-15 07:10,2026-01-16 11:40,0.36491681215038596
31,"Rodgers, Patrick",0.26,7.1,65.6,2026-01-15 11:51,2026-01-16 07:21,0.17564572764557976
32,"Horschel, Billy",0.19,7.8,67.2,2026-01-15 12:35,2026-01-16 08:05,0.0847635089122833
33,"Kitayama, Kurt",0.16,7.0,65.1,2026-01-15 07:43,2026-01-16 12:13,0.1055700402692686
34,"Garnett, Brice",0.16,6.0,63.1,2026-01-15 07:10,2026-01-16 11:40,0.07550016767422571
35,"Reitan, Kristoffer",0.15,7.0,66.0,2026-01-15 07:32,2026-01-16 12:02,0.14162606494004937
36,"Wu, Dylan",0.15,5.2,61.8,2026-01-15 11:51,2026-01-16 07:21,0.06964969444878634
37,"Stevens, Sam",0.14,6.1,64.1,2026-01-15 07:21,2026-01-16 11:51,-0.04166443231902783
38,"Grillo, Emiliano",0.12,5.5,62.7,2026-01-15 07:32,2026-01-16 12:02,0.1380772726094197
39,"Blair, Zac",0.12,4.6,59.6,2026-01-15 11:51,2026-01-16 07:21,-0.12961987687546656
40,"Simpson, Webb",0.12,4.3,58.9,2026-01-15 12:02,2026-01-16 07:32,0.031171836311221158
41,"Hirata, Kensei",0.12,4.5,59.2,2026-01-15 08:38,2026-01-16 13:08,0.0754913717291416
42,"Spieth, Jordan",0.11,4.1,58.0,2026-01-15 12:13,2026-01-16 07:43,0.07225926436124472
43,"Rai, Aaron",0.1,5.3,62.3,2026-01-15 08:05,2026-01-16 12:35,0.43891993353356396
44,"Smalley, Alex",0.1,4.5,59.5,2026-01-15 07:21,2026-01-16 11:51,0.13260326228337596
45,"Nakajima, Keita",0.1,3.1,55.2,2026-01-15 13:08,2026-01-16 08:38,0.19338880173560793
46,"McCarty, Matt",0.09,3.0,54.1,2026-01-15 12:35,2026-01-16 08:05,0.1917500907242089
47,"Van Rooyen, Erik",0.08,3.5,55.8,2026-01-15 07:21,2026-01-16 11:51,0.2133172134996901
48,"Parry, John",0.08,3.9,57.8,2026-01-15 08:27,2026-01-16 12:57,0.12620742494004938
49,"Davis, Cam",0.06,2.8,53.9,2026-01-15 07:43,2026-01-16 12:13,0.1486810901756579
50,"Smith, Jordan",0.05,3.4,55.9,2026-01-15 12:57,2026-01-16 08:27,0.09575646094004936
51,"Theegala, Sahith",0.05,2.7,53.7,2026-01-15 07:32,2026-01-16 12:02,-0.19251779171702138
52,"VanDerLaan, John",0.04,1.8,47.4,2026-01-15 08:49,2026-01-16 13:19,0.0754913717291416
