rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",46.25,91.0,99.2,0.5621962312412346
2,"Cauley, Bud",7.34,54.2,93.8,0.5370187218498989
3,"Fleetwood, Tommy",3.67,39.8,90.6,0.3895463312348504
4,"Lowry, Shane",3.54,40.2,90.5,0.16438493555236278
5,"Kim, Si Woo",3.54,38.5,90.1,0.36724626450127434
6,"Matsuyama, Hideki",2.98,36.1,89.4,0.28760210076186415
7,"McIlroy, Rory",2.52,33.4,88.3,0.16644338696015148
8,"Lee, Min Woo",2.52,33.4,88.5,0.4399401666323253
9,"Bhatia, Akshay",2.32,33.0,88.0,0.2933999230348815
10,"Berger, Daniel",2.05,29.9,87.0,0.1889346599870697
11,"Knapp, Jake",2.01,29.6,86.8,-0.12823868381819753
12,"McCarty, Matt",2.01,29.9,86.6,0.5653372469979965
13,"Morikawa, Collin",1.79,27.7,86.0,0.45411099488228135
14,"Conners, Corey",1.62,26.1,85.2,0.3199978150969581
15,"Walker, Danny",1.33,22.6,83.4,0.1033371029109858
16,"Rai, Aaron",1.23,22.2,82.6,0.7019185936918799
17,"Thomas, Justin",1.08,21.8,82.8,0.227285384092834
18,"Aberg, Ludvig",1.07,20.6,81.8,0.4841089684523931
19,"Fitzpatrick, Matt",1.04,20.6,81.9,0.4295069804573701
20,"English, Harris",0.83,17.6,80.0,0.09392524489756823
21,"Henley, Russell",0.77,17.6,79.9,0.23419568480995487
22,"Gerard, Ryan",0.65,15.4,78.2,0.3250212837296486
23,"Schauffele, Xander",0.6,13.9,76.8,-0.040066794329964794
24,"Kitayama, Kurt",0.57,15.4,78.2,0.24785886650745376
25,"Straka, Sepp",0.56,13.4,76.2,0.199016796384144
26,"Hoey, Rico",0.39,11.7,74.0,0.7993574478287752
27,"Bezuidenhout, Christiaan",0.37,11.0,73.6,0.005708939174227032
28,"Hovland, Viktor",0.36,11.9,74.6,0.5680855018345993
29,"Hoge, Tom",0.35,10.8,73.0,0.1449655275216027
30,"Bridgeman, Jacob",0.3,8.7,69.9,0.2787488751404049
31,"Spaun, J.J.",0.3,8.5,69.7,0.34701274935353976
32,"Bradley, Keegan",0.27,8.8,70.6,0.15579066170893804
33,"MacIntyre, Robert",0.26,9.1,69.9,-0.044138520875004944
34,"Harman, Brian",0.24,8.5,69.1,0.32967545461571296
35,"Cantlay, Patrick",0.23,7.4,68.1,0.1588490912919821
36,"Day, Jason",0.23,9.3,71.3,0.010401577521101504
37,"Griffin, Ben",0.2,7.8,68.6,-0.1962622914729408
38,"Fox, Ryan",0.19,7.7,68.4,-0.1942305840136256
39,"Noren, Alex",0.18,7.0,67.8,-0.052733404419811475
40,"Meissner, Mac",0.17,6.9,66.8,0.014462606889145243
41,"Im, Sungjae",0.16,6.4,66.2,0.26460500151278876
42,"Smotherman, Austin",0.14,5.6,63.3,0.0760730021957485
43,"McCarthy, Denny",0.13,6.5,66.5,0.07152230704686306
44,"Clark, Wyndham",0.13,5.4,63.3,0.050220817423553804
45,"Dahmen, Joel",0.12,4.8,62.6,0.23300837151176942
46,"Young, Cameron",0.11,4.1,60.2,-0.036841191501087056
47,"Rose, Justin",0.08,4.7,62.0,0.29015945523927156
48,"Coody, Pierceson",0.08,4.6,62.7,0.1385432139292621
49,"Thompson, Davis",0.08,4.8,62.3,0.25860620698776976
50,"Taylor, Nick",0.07,3.6,58.1,0.07419375251704867
51,"Pendrith, Taylor",0.07,2.6,54.5,0.10915154996054428
52,"Highsmith, Joe",0.07,3.4,57.9,0.01209676488422664
53,"Smalley, Alex",0.06,3.1,57.0,0.0439467814806946
54,"Burns, Sam",0.05,3.1,57.2,0.07437265429254875
55,"Glover, Lucas",0.05,2.8,55.9,0.30704114309388175
56,"Poston, J.T.",0.04,2.6,54.2,-0.07195784455160018
57,"Mitchell, Keith",0.04,2.9,55.7,-0.01593492304519334
58,"Olesen, Thorbjorn",0.04,2.2,52.0,0.10228489692926213
59,"Li, Haotong",0.04,1.6,49.3,0.08326683092926213
60,"Spieth, Jordan",0.04,2.3,53.4,0.0955151836337421
61,"Smith, Jordan",0.04,1.9,49.7,0.0880630209292621
62,"Reitan, Kristoffer",0.03,1.8,50.3,0.022078229929262116
63,"Moore, Taylor",0.03,1.9,50.5,0.05620001791971396
64,"McNealy, Maverick",0.03,2.4,53.9,0.07777335009894826
65,"Castillo, Ricky",0.03,1.9,50.1,0.6438212164444566
66,"Gotterup, Chris",0.03,1.6,48.5,-0.26461328693135516
67,"Thorbjornsen, Michael",0.03,2.6,54.2,0.09772542792926212
68,"Penge, Marco",0.02,1.8,50.8,0.06227059392926211
69,"Jaeger, Stephan",0.02,1.6,47.7,-0.12882198354781274
70,"Kirk, Chris",0.02,1.7,49.5,0.23108997496311362
71,"Homa, Max",0.02,2.3,53.5,-0.16172740710215847
72,"Theegala, Sahith",0.02,1.1,44.7,0.020939034521657976
73,"Higgo, Garrick",0.01,0.9,42.7,0.10115239177295313
74,"Schmid, Matti",0.01,1.2,44.6,0.07888476603865123
75,"Scott, Adam",0.01,2.1,52.3,-0.030822747418281823
76,"Mouw, William",0.01,0.7,39.2,-0.000985941070737885
77,"Power, Seamus",0.01,0.6,37.2,0.10343454468670855
78,"Stevens, Sam",0.01,0.5,36.1,0.37094213775219304
79,"Ewart, A.J.",0.01,0.6,38.1,0.0760730021957485
80,"Bauchou, Zach",0.01,0.6,38.3,0.0760730021957485
81,"Keefer, Johnny",0.01,0.6,38.7,0.0760730021957485
82,"Kanaya, Takumi",0.01,0.8,42.6,-0.01994408307073787
83,"Fowler, Rickie",0.01,1.1,43.2,0.03419967683207817
84,"Hubbard, Mark",0.01,0.6,37.9,0.1578729172562638
85,"Hughes, Mackenzie",0.01,0.7,40.3,-0.2008827779168182
86,"Hisatsune, Ryo",0.01,1.0,43.2,0.17545090302403835
87,"Kizzire, Patton",0.01,0.6,38.9,-0.21114690600819028
88,"Yellamaraju, Sudarshan",0.01,0.6,38.5,0.0760730021957485
89,"Whaley, Vince",0.01,0.4,33.7,-0.16488622712104478
90,"McGreevy, Max",0.01,0.7,39.0,0.36484526878321016
91,"Ramey, Chad",0.01,0.4,34.4,0.025633305007650084
92,"Potgieter, Aldrich",0.0,0.3,32.2,-0.08245023080735292
93,"Fisk, Steven",0.0,0.7,38.9,0.03375207792926212
94,"Echavarria, Nico",0.0,0.4,33.8,0.10177257554670109
95,"Cole, Eric",0.0,0.5,36.8,-0.1011459313921855
96,"Dou, Zecheng",0.0,0.6,38.6,0.0760730021957485
97,"Brennan, Michael",0.0,0.5,38.4,0.0760730021957485
98,"Hall, Harry",0.0,0.3,31.3,0.39134421280230064
99,"Kim, Michael",0.0,0.2,28.5,-0.09221565456024175
100,"Campbell, Brian",0.0,0.0,14.6,-0.06606114415086159
101,"Hojgaard, Nicolai",0.0,0.7,38.8,0.1251944065677537
102,"Hojgaard, Rasmus",0.0,0.0,14.4,-0.5647238113665618
103,"Hodges, Lee",0.0,0.1,22.2,0.2591677662752641
104,"Grillo, Emiliano",0.0,0.1,21.1,-0.024343348174680958
105,"Greyserman, Max",0.0,0.0,10.5,-0.5386353737101797
106,"Davis, Cam",0.0,0.0,4.3,-0.5258809038431028
107,"Finau, Tony",0.0,0.4,34.4,-0.06513714680406549
108,"Kim, S.H.",0.0,0.0,19.1,-0.6603689267240191
109,"Putnam, Andrew",0.0,0.2,28.3,-0.11149545392548546
110,"Novak, Andrew",0.0,0.0,17.7,-0.13714102595849584
111,"Pavon, Matthieu",0.0,0.1,21.4,0.14526598642820143
112,"Koepka, Brooks",0.0,0.0,11.3,-0.31767832154421216
113,"Phillips, Chandler",0.0,0.0,18.5,0.0632617281242966
114,"Roy, Kevin",0.0,0.1,25.0,-0.5088629531633607
115,"Schenk, Adam",0.0,0.1,22.0,-0.031644807290677895
116,"Rodgers, Patrick",0.0,0.3,32.4,-0.11854619645144715
117,"Riley, Davis",0.0,0.1,24.4,-0.4018673789056807
118,"Van Rooyen, Erik",0.0,0.6,36.9,-0.16202719580771757
119,"Valimaki, Sami",0.0,0.1,21.6,-0.030713765420804118
120,"Vegas, Jhonattan",0.0,0.0,14.5,-0.1705341742476706
121,"Vilips, Karl",0.0,0.0,7.0,-0.5695026786359964
122,"Woodland, Gary",0.0,0.0,14.9,-0.15010409310610867
123,"Yu, Kevin",0.0,0.1,22.3,0.048792485587613926
