rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Schauffele, Xander",36.04,93.6,100.0,0.2849557143811154
2,"McIlroy, Rory",35.5,93.7,100.0,0.09415089393315787
3,"Fleetwood, Tommy",8.11,70.4,100.0,0.23715501736618144
4,"Young, Cameron",3.36,53.3,100.0,0.2035911380338189
5,"Fitzpatrick, Matt",2.32,46.0,100.0,0.3062051980229695
6,"Thomas, Justin",1.41,36.4,100.0,0.05235692731685921
7,"English, Harris",1.23,35.1,100.0,0.23322533303350496
8,"Cantlay, Patrick",1.2,34.9,100.0,0.24225143833827759
9,"Kim, Si Woo",1.18,32.1,100.0,0.5529624753016074
10,"Spaun, J.J.",1.05,31.1,100.0,0.47283805178230714
11,"Conners, Corey",0.96,30.0,100.0,0.3643319104949349
12,"Bradley, Keegan",0.91,30.7,100.0,0.2883060240652316
13,"Scott, Adam",0.77,26.8,100.0,0.13376601873410893
14,"Matsuyama, Hideki",0.6,25.2,100.0,0.08767353098828505
15,"Morikawa, Collin",0.59,23.8,100.0,0.722926699080877
16,"Day, Jason",0.51,22.0,100.0,-0.010575605656018786
17,"Berger, Daniel",0.48,21.9,100.0,0.17581499067429654
18,"Hovland, Viktor",0.43,21.0,100.0,0.023014808449002187
19,"Straka, Sepp",0.34,18.3,100.0,0.20003177916414813
20,"Burns, Sam",0.32,17.9,100.0,0.18562732043303642
21,"Homa, Max",0.29,15.4,100.0,0.0916257014535917
22,"Bridgeman, Jacob",0.29,17.6,100.0,-0.2137176694562784
23,"Fowler, Rickie",0.26,15.6,100.0,0.3001344342788528
24,"Smalley, Alex",0.2,11.6,100.0,0.1827003673507167
25,"Woodland, Gary",0.19,12.3,100.0,0.0004483043673820103
26,"Im, Sungjae",0.14,10.7,100.0,0.3663488776629398
27,"MacIntyre, Robert",0.13,10.9,100.0,-0.030135273214514344
28,"Taylor, Nick",0.13,11.3,100.0,0.23037269235973698
29,"Kitayama, Kurt",0.11,8.9,100.0,0.020435382724171242
30,"Stevens, Sam",0.08,8.1,100.0,0.09999113865461395
31,"Hojgaard, Nicolai",0.08,7.1,100.0,0.1766185281439603
32,"Hughes, Mackenzie",0.08,6.2,100.0,-0.08438145223910852
33,"Gotterup, Chris",0.07,9.2,100.0,0.2184840431439603
34,"Poston, J.T.",0.07,5.9,100.0,0.2524773746052441
35,"McCarthy, Denny",0.06,6.6,100.0,0.09467353176325136
36,"Vegas, Jhonattan",0.06,7.7,100.0,-0.09943734414804206
37,"Wallace, Matt",0.05,6.3,100.0,-0.021267561231709513
38,"Hisatsune, Ryo",0.05,5.3,100.0,0.1444896541439603
39,"Harman, Brian",0.03,4.4,100.0,0.28689339973168126
40,"McCarty, Matt",0.03,4.1,100.0,0.11158146114396032
41,"Lee, Min Woo",0.03,3.3,100.0,0.19934283336538916
42,"Castillo, Ricky",0.02,3.4,100.0,0.10954733114396031
43,"Spieth, Jordan",0.02,2.5,100.0,0.015852347306216014
44,"Reitan, Kristoffer",0.02,3.1,100.0,0.1569979761439603
45,"Fitzpatrick, Alex",0.02,2.5,100.0,0.07018526014396032
46,"Noren, Alex",0.02,3.2,100.0,0.12033573411664901
47,"Cauley, Bud",0.01,3.0,100.0,0.05681814314396032
48,"Griffin, Ben",0.01,2.2,100.0,-0.005979360808390628
49,"Bhatia, Akshay",0.01,4.4,100.0,-0.0828128530244033
50,"Yellamaraju, Sudarshan",0.01,2.5,100.0,0.10396463314396033
51,"Fox, Ryan",0.01,2.7,100.0,0.05953188314396031
52,"Pendrith, Taylor",0.01,0.8,100.0,-0.06496171098534019
53,"Rodgers, Patrick",0.01,1.9,100.0,-0.10796499050781619
54,"Aberg, Ludvig",0.01,1.9,100.0,0.4082917072433245
55,"Hall, Harry",0.01,1.2,100.0,-0.5403617420428861
56,"Novak, Andrew",0.01,1.5,100.0,-0.01955468080085506
57,"McNealy, Maverick",0.01,2.8,100.0,0.2559302108106735
58,"Knapp, Jake",0.01,0.4,100.0,0.31428124490949055
59,"Kim, Michael",0.01,0.6,100.0,-0.3404133741799777
60,"Finau, Tony",0.01,1.7,100.0,-0.056098564904781545
61,"Gerard, Ryan",0.01,0.9,100.0,-0.15681369524232208
62,"Theegala, Sahith",0.0,0.2,100.0,-0.08433042146655234
63,"Coody, Pierceson",0.0,0.0,100.0,-0.4927127934554818
64,"Echavarria, Nico",0.0,0.6,100.0,-0.04292549060534437
65,"Campbell, Brian",0.0,0.1,100.0,-0.3608062118065585
66,"Potgieter, Aldrich",0.0,1.2,100.0,0.11202217014396035
67,"Glover, Lucas",0.0,0.2,100.0,0.10507322580649706
68,"Rose, Justin",0.0,0.1,100.0,0.06429267151765049
69,"Hoge, Tom",0.0,0.1,100.0,0.03928993424675736
70,"Simpson, Webb",0.0,0.4,100.0,0.21667597517887852
71,"Blanchet, Chandler",0.0,1.1,100.0,0.10396463314396033
72,"Lipsky, David",0.0,0.2,100.0,0.048079471366574894
