rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Chacarra, Eugenio",41.48,92.1,98.8,0.089718622
2,"Ding, Wenyi",17.48,78.5,96.4,0.05106459600000001
3,"Migliozzi, Guido",9.43,66.1,94.3,-0.23982687500000005
4,"Otaegui, Adrian",5.96,54.9,91.1,-0.09626670400000001
5,"Schneider, Marcel",3.56,44.6,87.9,-0.23939270099999999
6,"Rozner, Antoine",3.44,44.3,87.4,-0.122640683
7,"Hillier, Daniel",3.04,42.0,86.8,0.13995044500000003
8,"Kobori, Kazuma",1.52,31.6,82.2,-0.161674771
9,"Jefferson Go, Lloyd",1.5,30.1,81.9,-0.190516719
10,"LaCroix, Frederic",1.42,29.1,81.2,-0.070360278
11,"Schott, Freddy",1.36,28.9,80.7,-0.11012887099999999
12,"Ferguson, Ewen",1.32,27.8,80.0,-0.009468871999999996
13,"Wu, Ashun",1.07,26.8,79.7,-0.317190951
14,"Ayora, Angel",0.84,21.8,76.6,0.203916125
15,"Aphibarnrat, Kiradech",0.57,17.5,72.8,-0.19434882900000003
16,"Norris, Shaun",0.55,17.3,72.4,-0.38358385500000003
17,"Law, David",0.49,17.8,73.6,-0.14544645099999998
18,"Bairstow, Sam",0.34,12.8,68.0,-0.167480263
19,"Manassero, Matteo",0.34,12.1,67.1,-0.18043772600000002
20,"Berry, Joshua",0.3,13.1,68.3,-0.190516719
21,"Veerman, Johannes",0.27,11.8,65.8,-0.17079615999999997
22,"Girrbach, Joel",0.26,12.4,67.5,-0.178381167
23,"Langasque, Romain",0.23,10.9,65.7,-0.153260807
24,"Jamieson, Scott",0.15,7.5,59.4,-0.194852309
25,"Wiesberger, Bernd",0.15,8.2,61.1,-0.130273145
26,"Elvira Mijares, Ignacio",0.15,8.2,61.1,-0.144165037
27,"Xue, Han",0.15,7.6,59.2,-0.190516719
28,"Norgaard, Niklas",0.14,7.4,59.2,-0.101177291
29,"Zhou, Yanhan",0.14,7.9,60.4,-0.190516719
30,"Gouveia, Ricardo",0.11,6.6,57.4,-0.202781619
31,"Scrivener, Jason",0.11,6.7,58.1,-0.227001249
32,"Kinhult, Marcus",0.09,6.0,56.0,-0.231384402
33,"Bai, Bobby",0.09,5.2,54.4,-0.190516719
34,"Vaillant, Tom",0.08,6.1,56.7,-0.171696082
35,"Soderberg, Sebastian",0.07,4.5,53.3,-0.293341229
36,"Del Rey, Alejandro",0.07,4.2,51.1,-0.056512744000000004
37,"Xiao, Bowen",0.06,5.1,54.1,-0.190516719
38,"Adam, Cameron",0.06,2.6,46.0,-0.190516719
39,"Campillo, Jorge",0.06,3.9,50.5,-0.030548632000000013
40,"Huang, Zijie",0.05,4.1,51.9,-0.190516719
41,"Zheng, Sampson",0.05,2.6,45.6,-0.190516719
42,"Sandhu, Yuvraj Singh",0.04,2.7,45.6,-0.190516719
43,"Kuang, Yang",0.04,2.6,45.4,-0.190516719
44,"Chen, Tony",0.04,2.6,46.0,-0.190516719
45,"Walker, Euan",0.04,2.7,45.5,-0.190516719
46,"Repetto Taylor, Rocco Paolo",0.04,2.6,45.5,-0.190516719
47,"Debove, Quentin",0.04,2.8,45.5,-0.190516719
48,"Gumberg, Jordan",0.04,2.9,47.3,-0.109086623
49,"Johnston, Andrew",0.04,2.7,45.7,-0.190516719
50,"Liu, Yue",0.04,2.7,45.3,-0.190516719
51,"Haoyi, Wang",0.04,2.7,45.7,-0.190516719
52,"Mory, Felix",0.04,2.5,45.5,-0.190516719
53,"McKinney, Connor",0.03,2.5,45.4,-0.190516719
54,"Vidal, Quim",0.03,2.5,45.5,-0.190516719
55,"Kimsey, Nathan",0.03,1.9,41.7,0.039864091
56,"Jonsson, Tobias",0.03,2.8,45.2,-0.190516719
57,"Schmidt, Ben",0.03,2.1,42.9,-0.220994726
58,"Sui, Justin",0.03,2.6,45.1,-0.190516719
59,"Peake, Ryan",0.03,2.7,45.3,-0.190516719
60,"Hollick, Michael",0.03,2.8,45.4,-0.190516719
61,"Daffue, MJ",0.03,2.8,45.2,-0.190516719
62,"Mazzoli, Stefano",0.03,2.5,45.6,-0.190516719
63,"Ting, Malcolm",0.03,2.6,45.4,-0.190516719
64,"Kaneko, Kota",0.03,2.6,45.7,-0.190516719
65,"Han, Jin",0.03,2.7,45.0,-0.190516719
66,"Lee, Junseo",0.03,2.6,45.5,-0.190516719
67,"Steinlechner, Maximilian",0.03,2.5,45.4,-0.190516719
68,"Chai, Bowen",0.02,2.1,43.5,-0.190516719
69,"Li, Mengyang",0.02,2.7,45.6,-0.190516719
70,"Levy, Alexander",0.02,2.0,41.8,-0.202219176
71,"Guillamoundeguy, Oihan",0.02,2.6,45.9,-0.190516719
72,"Young, Daniel",0.02,2.5,45.8,-0.190516719
73,"Tao, Deng",0.02,1.4,37.4,-0.190516719
74,"Lawrence, Thriston",0.02,2.0,42.1,-0.05426627500000001
75,"Da Costa Rodrigues, Daniel",0.02,2.5,45.7,-0.190516719
76,"Townsend, Hugo",0.02,2.6,45.3,-0.190516719
77,"Um, Junghyun",0.02,2.5,45.2,-0.190516719
78,"Quayle, Anthony",0.02,2.6,45.2,-0.190516719
79,"Zhang, Xinjun",0.02,2.7,45.1,-0.190516719
80,"Shen, Wang Ngai",0.02,1.3,37.4,-0.190516719
81,"Sullivan, Andy",0.02,1.5,39.9,-0.041538662000000004
82,"Jin, Zihao",0.02,1.5,39.5,-0.190516719
83,"Ozeki, Kakeru",0.02,2.4,45.3,-0.190516719
84,"Jordansson, Felix",0.02,2.6,45.8,-0.190516719
85,"Cheng, Xirong",0.02,2.7,45.6,-0.190516719
86,"Bergstrom, Albin",0.02,2.5,44.9,-0.190516719
87,"Wang, Charles",0.02,2.6,45.3,-0.190516719
88,"Cabrera Bello, Rafa",0.02,0.9,33.4,-0.253761735
89,"Jin, Bo",0.01,2.7,45.6,-0.190516719
90,"Van Tonder, Daniel",0.01,2.7,45.1,-0.190516719
91,"Chen, Guxin",0.01,1.9,41.1,-0.190516719
92,"Hayashi, Takumi",0.01,1.2,37.2,-0.190516719
93,"Burton, Jeffrey",0.01,2.6,45.5,-0.190516719
94,"Cantero Gutierrez, Ivan",0.01,1.3,37.4,-0.183101244
95,"Liu, Yanwei",0.01,2.5,45.5,-0.190516719
96,"Elvira, Manuel",0.01,0.5,29.6,-0.17181833600000002
97,"Lu, Shawn",0.01,2.6,45.4,-0.190516719
98,"Paratore, Renato",0.01,1.0,34.0,-0.190516719
99,"Sterne, Richard",0.01,0.7,30.7,-0.18668460899999997
100,"Yeung, Motin",0.01,2.4,45.3,-0.190516719
101,"Lindberg, Mikael",0.01,0.7,31.6,0.04420776400000003
102,"Katsuragawa, Yuto",0.01,0.8,32.8,-0.12615466
103,"Dantorp, Jens",0.0,0.4,26.6,-0.383791542
104,"Schneider, Jan",0.0,0.4,27.0,-0.190516719
105,"Lindell, Oliver",0.0,0.6,30.0,-0.004711313999999996
106,"Cao, Senshou",0.0,0.8,33.1,-0.190516719
107,"Clements, Todd",0.0,1.3,36.4,-0.101118641
108,"Syme, Connor",0.0,0.3,24.2,-0.26131424400000003
109,"She, Zihan",0.0,0.3,24.0,-0.190516719
110,"Siem, Marcel",0.0,0.3,23.5,-0.19469555400000002
111,"Ramsay, Richie",0.0,0.2,23.3,-0.30166658700000004
112,"Kruyswijk, Jacques",0.0,0.5,28.2,-0.155063706
113,"Vincent, Jake",0.0,0.7,31.4,-0.190516719
114,"Baldwin, Matthew",0.0,1.1,35.4,-0.29794092099999997
115,"Arnaus, Adri",0.0,0.0,3.8,-0.38464525800000005
116,"Cockerill, Aaron",0.0,0.2,20.8,-0.25383581499999996
117,"Chen, Zihao Z.",0.0,0.0,10.9,-0.190516719
118,"Celli, Filippo",0.0,0.6,28.9,-0.346762403
119,"Bryant, Davis",0.0,0.3,26.4,-0.22489772200000002
120,"Hak, Shunyat",0.0,0.2,21.0,-0.190516719
121,"Hidalgo Portillo, Angel",0.0,0.0,12.5,-0.33403582600000004
122,"Hoshino, Rikuya",0.0,0.4,25.7,-0.232159329
123,"Johnston, Ryggs",0.0,0.1,18.8,-0.288394436
124,"Mizuno, Shinichi",0.0,0.1,14.2,-0.190516719
125,"Micheluzzi, David",0.0,0.1,20.0,-0.284832431
126,"Luo, Xuewen",0.0,0.1,14.8,-0.190516719
127,"Lombard, Zander",0.0,0.0,13.3,-0.20284455099999998
128,"Liu, Enhua",0.0,0.3,23.0,-0.190516719
129,"Lam, Isaac",0.0,0.2,22.0,-0.190516719
130,"Lagergren, Joakim",0.0,0.1,18.1,-0.240075221
131,"Li, Linqiang",0.0,0.3,25.9,-0.190516719
132,"Ko, Jeong Weon",0.0,0.0,0.1,-0.47293520399999994
133,"Fisher, Ross",0.0,0.1,17.1,-0.325872132
134,"Garcia Rodriguez, Sebastian",0.0,0.3,24.8,-0.23810151
135,"Fan, Jicheng",0.0,0.0,8.9,-0.190516719
136,"De Leo, Gregorio",0.0,0.5,28.1,-0.22603215299999999
137,"Naidoo, Dylan",0.0,0.0,9.7,-0.446937574
138,"Ravetto, David",0.0,1.0,34.7,-0.06046926799999999
139,"Na, Kevin",0.0,0.2,21.7,-0.29652818400000003
140,"Tang, Haizhao",0.0,0.3,22.8,-0.190516719
141,"Senior, Jack",0.0,0.1,18.7,-0.291072221
142,"Sharma, Shubhankar",0.0,0.0,11.2,-0.40366379900000005
143,"Peng, Bo",0.0,0.0,3.3,-0.190516719
144,"Von Dellingshausen, Nicolai",0.0,0.1,17.7,-0.152367578
145,"Ting, Lawrence",0.0,0.1,17.4,-0.190516719
146,"Tong, Yang",0.0,0.1,18.6,-0.190516719
147,"Van Driel, Darius",0.0,0.2,22.4,-0.13752350600000002
148,"Ye, Wo-Cheng",0.0,0.3,23.2,-0.190516719
149,"Wu, Tuxuan",0.0,0.0,1.3,-0.190516719
150,"Wu, Di",0.0,0.1,19.3,-0.190516719
151,"Wu, Hongfu",0.0,0.0,12.9,-0.190516719
152,"Winther, Jeff",0.0,0.1,14.7,-0.354085677
153,"Yu, Fang",0.0,0.0,14.5,-0.190516719
154,"Zhang, Yuze",0.0,0.1,14.0,-0.190516719
