am,country,course,player_id,dk_id,dk_salary,early_late,euro_number,fd_id,fd_salary,flag,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,SWE,Earth course,23950,40762712,10300,1,42866,n/a,0,SWE,"Aberg, Ludvig",2025-11-13 08:15,,,,1,0,n/a,0,2025137
0,ENG,Earth course,17813,40762746,6700,1,36452,n/a,0,ENG,"Armitage, Marcus",2025-11-13 09:30,,,,1,0,n/a,0,2025137
0,ESP,Earth course,30445,40762725,8400,0,101547,n/a,0,ESP,"Ayora, Angel",2025-11-13 10:45,,,,1,0,n/a,0,2025137
0,ENG,Earth course,20766,40762733,7600,0,40915,n/a,0,ENG,"Brown, Daniel",2025-11-13 11:35,,,,1,0,n/a,0,2025137
0,ESP,Earth course,14016,40762755,6200,1,36867,n/a,0,ESP,"Campillo, Jorge",2025-11-13 08:45,,,,1,0,n/a,0,2025137
0,ENG,Earth course,14795,40762734,7500,0,37624,n/a,0,ENG,"Canter, Laurie",2025-11-13 11:50,,,,1,0,n/a,0,2025137
0,ESP,Earth course,26745,40762750,6500,1,43332,n/a,0,ESP,"Chacarra, Eugenio",2025-11-13 09:50,,,,1,0,n/a,0,2025137
0,FRA,Earth course,27811,40762749,6500,0,101251,n/a,0,FRA,"Couvra, Martin",2025-11-13 11:25,,,,1,0,n/a,0,2025137
0,ESP,Earth course,12988,40762752,6400,1,36078,n/a,0,ESP,"Elvira Mijares, Ignacio",2025-11-13 09:40,,,,1,0,n/a,0,2025137
0,SCO,Earth course,21646,40762742,6900,1,40946,n/a,0,SCO,"Ferguson, Ewen",2025-11-13 08:55,,,,1,0,n/a,0,2025137
0,ENG,Earth course,17646,40762714,9500,0,39474,n/a,0,ENG,"Fitzpatrick, Matt",2025-11-13 11:15,,,,1,0,n/a,0,2025137
0,ENG,Earth course,12294,40762710,11500,0,35371,n/a,0,ENG,"Fleetwood, Tommy",2025-11-13 12:00,,,,1,0,n/a,0,2025137
0,SCO,Earth course,16475,40762744,6800,1,38956,n/a,0,SCO,"Forrest, Grant",2025-11-13 09:05,,,,1,0,n/a,0,2025137
0,ENG,Earth course,14796,40762711,10600,0,37626,n/a,0,ENG,"Hatton, Tyrrell",2025-11-13 12:30,,,,1,0,n/a,0,2025137
0,SCO,Earth course,25131,40762753,6300,1,42648,n/a,0,SCO,"Hill, Calum",2025-11-13 09:40,,,,1,0,n/a,0,2025137
0,NZL,Earth course,21362,40762730,7900,0,43333,n/a,0,NZL,"Hillier, Daniel",2025-11-13 11:15,,,,1,0,n/a,0,2025137
0,DEN,Earth course,23602,40762716,9300,0,42143,n/a,0,DEN,"Hojgaard, Nicolai",2025-11-13 10:55,,,,1,0,n/a,0,2025137
0,DEN,Earth course,23838,40762717,9200,1,42144,n/a,0,DEN,"Hojgaard, Rasmus",2025-11-13 09:50,,,,1,0,n/a,0,2025137
0,ENG,Earth course,25601,40762748,6600,1,42599,n/a,0,ENG,"Jordan, Matthew",2025-11-13 08:25,,,,1,0,n/a,0,2025137
0,USA,Earth course,17543,40762727,8200,1,42781,n/a,0,USA,"Kim, Michael",2025-11-13 09:30,,,,1,0,n/a,0,2025137
0,NZL,Earth course,24369,40762756,6200,1,104063,n/a,0,NZL,"Kobori, Kazuma",2025-11-13 09:15,,,,1,0,n/a,0,2025137
0,RSA,Earth course,16896,40762758,6100,1,39127,n/a,0,RSA,"Kruyswijk, Jacques",2025-11-13 10:00,,,,1,0,n/a,0,2025137
0,SWE,Earth course,14780,40762745,6700,0,37579,n/a,0,SWE,"Lagergren, Joakim",2025-11-13 10:55,,,,1,0,n/a,0,2025137
0,RSA,Earth course,18105,40762736,7300,0,39791,n/a,0,RSA,"Lawrence, Thriston",2025-11-13 10:30,,,,1,0,n/a,0,2025137
0,CHN,Earth course,15310,40762735,7400,0,38108,n/a,0,CHN,"Li, Haotong",2025-11-13 11:50,,,,1,0,n/a,0,2025137
0,FIN,Earth course,20085,40762737,7200,1,40874,n/a,0,FIN,"Lindell, Oliver",2025-11-13 09:05,,,,1,0,n/a,0,2025137
0,IRL,Earth course,13900,40762719,9000,1,36489,n/a,0,IRL,"Lowry, Shane",2025-11-13 08:15,,,,1,0,n/a,0,2025137
0,NED,Earth course,10158,40762739,7000,1,34085,n/a,0,NED,"Luiten, Joost",2025-11-13 10:00,,,,1,0,n/a,0,2025137
0,SCO,Earth course,23323,40762713,9800,0,41227,n/a,0,SCO,"MacIntyre, Robert",2025-11-13 12:20,,,,1,0,n/a,0,2025137
0,ENG,Earth course,24185,40762741,6900,1,41824,n/a,0,ENG,"Mansell, Richard",2025-11-13 10:20,,,,1,0,n/a,0,2025137
0,NIR,Earth course,10091,40762709,12000,0,34024,n/a,0,NIR,"McIlroy, Rory",2025-11-13 12:40,,,,1,0,n/a,0,2025137
0,NIR,Earth course,22322,40762721,8800,1,41282,n/a,0,NIR,"McKibbin, Tom",2025-11-13 08:45,,,,1,0,n/a,0,2025137
0,JPN,Earth course,21074,40762728,8100,0,100617,n/a,0,JPN,"Nakajima, Keita",2025-11-13 11:35,,,,1,0,n/a,0,2025137
0,DEN,Earth course,23841,40762723,8600,0,102397,n/a,0,DEN,"Neergaard-Petersen, Rasmus",2025-11-13 11:05,,,,1,0,n/a,0,2025137
0,SWE,Earth course,10419,40762720,8900,0,31575,n/a,0,SWE,"Noren, Alex",2025-11-13 12:10,,,,1,0,n/a,0,2025137
0,RSA,Earth course,7677,40762760,6000,1,32013,n/a,0,RSA,"Norris, Shaun",2025-11-13 10:10,,,,1,0,n/a,0,2025137
0,DEN,Earth course,25611,40762747,6600,1,105456,n/a,0,DEN,"Olesen, Jacob Skov",2025-11-13 08:35,,,,1,0,n/a,0,2025137
0,ENG,Earth course,13764,40762738,7100,0,34932,n/a,0,ENG,"Parry, John",2025-11-13 12:10,,,,1,0,n/a,0,2025137
0,ENG,Earth course,22465,40762718,9100,0,42054,n/a,0,ENG,"Penge, Marco",2025-11-13 12:40,,,,1,0,n/a,0,2025137
0,ENG,Earth course,18554,40762715,9400,0,39583,n/a,0,ENG,"Rai, Aaron",2025-11-13 12:00,,,,1,0,n/a,0,2025137
0,USA,Earth course,14838,40762724,8500,0,38439,n/a,0,USA,"Reed, Patrick",2025-11-13 10:45,,,,1,0,n/a,0,2025137
0,NOR,Earth course,21407,40762726,8300,0,41686,n/a,0,NOR,"Reitan, Kristoffer",2025-11-13 12:30,,,,1,0,n/a,0,2025137
0,ENG,Earth course,24497,40762754,6300,1,43831,n/a,0,ENG,"Robinson Thompson, Brandon",2025-11-13 08:25,,,,1,0,n/a,0,2025137
0,ENG,Earth course,6093,40762722,8700,0,1941,n/a,0,ENG,"Rose, Justin",2025-11-13 10:30,,,,1,0,n/a,0,2025137
0,FRA,Earth course,14792,40762740,7000,0,37606,n/a,0,FRA,"Saddier, Adrien",2025-11-13 12:20,,,,1,0,n/a,0,2025137
0,RSA,Earth course,26991,40762731,7800,1,43682,n/a,0,RSA,"Schaper, Jayden",2025-11-13 10:20,,,,1,0,n/a,0,2025137
0,ENG,Earth course,18586,40762729,8000,0,38857,n/a,0,ENG,"Smith, Jordan",2025-11-13 11:25,,,,1,0,n/a,0,2025137
0,AUS,Earth course,24200,40762743,6800,0,100259,n/a,0,AUS,"Smylie, Elvis",2025-11-13 11:05,,,,1,0,n/a,0,2025137
0,ENG,Earth course,15326,40762732,7700,1,38119,n/a,0,ENG,"Sullivan, Andy",2025-11-13 10:10,,,,1,0,n/a,0,2025137
0,SCO,Earth course,22089,40762757,6100,1,41226,n/a,0,SCO,"Syme, Connor",2025-11-13 08:35,,,,1,0,n/a,0,2025137
0,USA,Earth course,20522,40762751,6400,1,40721,n/a,0,USA,"Veerman, Johannes",2025-11-13 08:55,,,,1,0,n/a,0,2025137
0,GER,Earth course,22231,40762759,6000,1,41420,n/a,0,GER,"Von Dellingshausen, Nicolai",2025-11-13 09:15,,,,1,0,n/a,0,2025137
