am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,SCO,34024,,,"Adam, Cameron",107390,66,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:18', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:53', 'wave': 'early'}]",80,2026112
0,SIN,29123,,,"Ang, Ryan",101655,33,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 11:45', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:20', 'wave': 'early'}]",,2026112
0,THA,12321,382.0,389.0,"Aphibarnrat, Kiradech",37259,123,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:29', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 08:04', 'wave': 'early'}]",117,2026112
0,ENG,17813,161.0,173.0,"Armitage, Marcus",36452,131,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 12:18', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 07:53', 'wave': 'early'}]",21,2026112
0,ESP,23236,,,"Arnaus, Adri",41721,45,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 13:02', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:37', 'wave': 'early'}]",141,2026112
0,ESP,30445,59.0,101.0,"Ayora, Angel",101547,403,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",15,2026112
0,CHN,17346,,,"Bai, Bobby",39246,56,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 08:14', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 12:19', 'wave': 'late'}]",,2026112
0,ENG,13344,,,"Baldwin, Matthew",33455,59,"[{'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:18', 'wave': 'late'}, {'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:53', 'wave': 'early'}]",183,2026112
0,SWE,23620,,,"Bergstrom, Albin",43365,54,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 1, 'teetime': '2026-03-19 07:52', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 10, 'teetime': '2026-03-20 11:57', 'wave': 'late'}]",,2026112
0,ENG,31520,,400.0,"Berry, Joshua",103310,60,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 12:52', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 08:37', 'wave': 'early'}]",143,2026112
0,ENG,29971,153.0,125.0,"Bradbury, Dan",101155,251,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 08:25', 'wave': 'early'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 12:30', 'wave': 'late'}]",4,2026112
0,RSA,30210,,347.0,"Broomhead, Jonothan",101569,51,"[{'course_code': 'BC', 'course_name': 'blackstone course mission hills', 'course_num': 4827, 'round_num': 1, 'start_hole': 10, 'teetime': '2026-03-19 11:57', 'wave': 'late'}, {'course_code': 'VC', 'course_name': 'vintage course mission hills', 'course_num': 4766, 'round_num': 2, 'start_hole': 1, 'teetime': '2026-03-20 07:42', 'wave': 'early'}]",92,2026112
