player_id,player_name,country,r1_teetime,r2_teetime,r3_teetime,r4_teetime,r1_start_hole,r2_start_hole,r3_start_hole,r4_start_hole,r1_wave,r2_wave,r3_wave,r4_wave,event_id
21644,"Acikalin, Leon",TUR,14:30,09:15,,,1,10,,,LATE,EARLY,,,2026116
34024,"Adam, Cameron",SCO,14:20,09:05,,,10,1,,,LATE,EARLY,,,2026116
12321,"Aphibarnrat, Kiradech",THA,08:15,13:30,,,1,10,,,EARLY,LATE,,,2026116
17813,"Armitage, Marcus",ENG,13:10,07:55,08:50,08:30,10,1,1,1,LATE,EARLY,LATE,LATE,2026116
23236,"Arnaus, Adri",ESP,14:20,09:05,,,10,1,,,LATE,EARLY,,,2026116
26277,"Aslan, Tarik",TUR,14:10,08:55,,,1,10,,,LATE,EARLY,,,2026116
30445,"Ayora, Angel",ESP,07:35,12:50,07:10,07:10,10,1,10,1,EARLY,LATE,EARLY,EARLY,2026116
28615,"Bairstow, Sam",ENG,08:05,13:20,09:00,07:50,1,10,1,1,EARLY,LATE,LATE,EARLY,2026116
13344,"Baldwin, Matthew",ENG,08:45,14:00,07:40,08:10,10,1,10,1,EARLY,LATE,EARLY,LATE,2026116
23620,"Bergstrom, Albin",SWE,08:45,14:00,,,10,1,,,EARLY,LATE,,,2026116
31520,"Berry, Joshua",ENG,13:50,08:35,,,10,1,,,LATE,EARLY,,,2026116
25614,"Biondi, Fred",BRA,08:55,14:10,09:00,07:00,10,1,10,1,EARLY,LATE,LATE,EARLY,2026116
11619,"Bjerregaard, Lucas",DEN,14:30,09:15,07:20,07:10,1,10,1,10,LATE,EARLY,EARLY,EARLY,2026116
23784,"Blomme, Adam",SWE,08:55,14:10,07:40,07:40,10,1,10,10,EARLY,LATE,EARLY,EARLY,2026116
29971,"Bradbury, Dan",ENG,07:35,12:50,,,10,1,,,EARLY,LATE,,,2026116
32550,"Bryant, Davis",USA,12:30,07:15,07:00,07:20,1,10,1,1,LATE,EARLY,EARLY,EARLY,2026116
27379,"Buchanan, Jack",AUS,09:05,14:20,,,10,1,,,EARLY,LATE,,,2026116
7457,"Cabrera Bello, Rafa",ESP,08:15,13:30,,,10,1,,,EARLY,LATE,,,2026116
14016,"Campillo, Jorge",ESP,13:10,07:55,,,1,10,,,LATE,EARLY,,,2026116
19635,"Cantero Gutierrez, Ivan",ESP,07:35,12:50,,,1,10,,,EARLY,LATE,,,2026116
23549,"Celli, Filippo",ITA,13:20,08:05,,,10,1,,,LATE,EARLY,,,2026116
26745,"Chacarra, Eugenio",ESP,07:55,13:10,08:10,08:00,10,1,1,1,EARLY,LATE,LATE,LATE,2026116
22220,"Charmasson, Clement",FRA,07:15,12:30,,,1,10,,,EARLY,LATE,,,2026116
22608,"Clements, Todd",ENG,07:55,13:10,08:40,07:50,1,10,1,1,EARLY,LATE,LATE,EARLY,2026116
15596,"Cockerill, Aaron",CAN,09:15,14:30,,,10,1,,,EARLY,LATE,,,2026116
20727,"Coussaud, Ugo",FRA,13:30,08:15,07:30,09:10,1,10,1,1,LATE,EARLY,EARLY,LATE,2026116
27811,"Couvra, Martin",FRA,07:45,13:00,08:40,08:30,10,1,10,10,EARLY,LATE,LATE,LATE,2026116
23610,"Crocker, Sean",USA,08:25,13:40,,,1,10,,,EARLY,LATE,,,2026116
27149,"Da Costa Rodrigues, Daniel",POR,08:45,14:00,08:10,09:10,1,10,1,1,EARLY,LATE,LATE,LATE,2026116
17068,"Daffue, MJ",RSA,14:30,09:15,07:20,08:20,1,10,1,1,LATE,EARLY,EARLY,LATE,2026116
14018,"Dantorp, Jens",SWE,08:25,13:40,09:00,07:50,1,10,1,1,EARLY,LATE,LATE,EARLY,2026116
26506,"De Leo, Gregorio",ITA,14:00,08:45,09:10,08:50,10,1,1,1,LATE,EARLY,LATE,LATE,2026116
16497,"Dean, Joe",ENG,08:05,13:20,08:40,08:30,1,10,10,10,EARLY,LATE,LATE,LATE,2026116
25325,"Debove, Quentin",FRA,08:55,14:10,,,1,10,,,EARLY,LATE,,,2026116
22259,"Del Rey, Alejandro",ESP,07:15,12:30,09:10,07:20,10,1,1,1,EARLY,LATE,LATE,EARLY,2026116
26193,"Ding, Wenyi",CHN,12:40,07:25,08:00,09:00,1,10,1,1,LATE,EARLY,LATE,LATE,2026116
19421,"Du Plessis, Hennie",RSA,07:45,13:00,,,10,1,,,EARLY,LATE,,,2026116
12988,"Elvira Mijares, Ignacio",ESP,07:25,12:40,,,10,1,,,EARLY,LATE,,,2026116
26008,"Elvira, Manuel",ESP,13:50,08:35,,,1,10,,,LATE,EARLY,,,2026116
21646,"Ferguson, Ewen",SCO,07:15,12:30,08:50,08:20,10,1,1,1,EARLY,LATE,LATE,LATE,2026116
9396,"Fisher, Ross",ENG,08:35,13:50,,,1,10,,,EARLY,LATE,,,2026116
15211,"Follet-Smith, Benjamin",ZIM,09:15,14:30,,,10,1,,,EARLY,LATE,,,2026116
16475,"Forrest, Grant",SCO,07:55,13:10,07:20,07:10,10,1,10,1,EARLY,LATE,EARLY,EARLY,2026116
19806,"Forsstrom, Simon",SWE,09:15,14:30,,,1,10,,,EARLY,LATE,,,2026116
11955,"Frittelli, Dylan",RSA,07:45,13:00,,,1,10,,,EARLY,LATE,,,2026116
19296,"Gallegos, Andres",ARG,09:05,14:20,,,10,1,,,EARLY,LATE,,,2026116
7887,"Garcia-Heredia, Alfredo",ESP,12:30,07:15,,,10,1,,,LATE,EARLY,,,2026116
15592,"Girrbach, Joel",SUI,13:20,08:05,,,10,1,,,LATE,EARLY,,,2026116
18722,"Gouveia, Ricardo",POR,07:55,13:10,07:20,08:10,1,10,10,1,EARLY,LATE,EARLY,LATE,2026116
10201,"Guerrier, Julien",FRA,07:25,12:40,08:30,07:00,10,1,10,1,EARLY,LATE,LATE,EARLY,2026116
28239,"Guillamoundeguy, Oihan",FRA,14:00,08:45,,,1,10,,,LATE,EARLY,,,2026116
23892,"Gumberg, Jordan",USA,07:25,12:40,08:30,09:00,10,1,10,10,EARLY,LATE,LATE,LATE,2026116
18430,"Guner, Mutlu",TUR,07:15,12:30,,,1,10,,,EARLY,LATE,,,2026116
17747,"Halvorsen, Andreas",NOR,14:20,09:05,,,1,10,,,LATE,EARLY,,,2026116
24127,"Hidalgo Portillo, Angel",ESP,13:20,08:05,08:10,08:20,1,10,10,10,LATE,EARLY,LATE,LATE,2026116
21362,"Hillier, Daniel",NZL,12:50,07:35,,,1,10,,,LATE,EARLY,,,2026116
