player_name,player_id
"Kaneko, Kota",28268
"Bryant, Davis",32550
"Gouveia, Ricardo",18722
"De Leo, Gregorio",26506
"Wiesberger, Bernd",9531
"Cabrera Bello, Rafa",7457
"Luiten, Joost",10158
"Steinlechner, Maximilian",21677
"Hillier, Daniel",21362
"Elvira, Manuel",26008
"Girrbach, Joel",15592
"Forrest, Grant",16475
"Zhou, Yanhan",29119
"Dean, Joe",16497
"Lopez-Chacarra, Eugenio",26745
"Straka, Sepp",17511
"Kimsey, Nathan",18027
"Coussaud, Ugo",20727
"Johnston, Andrew",14666
"Hill, Calum",25131
"Ferguson, Ewen",21646
"Celli, Filippo",23549
"Ritchie, JC",18174
"Schneider, Marcel",12522
"Levy, Alexander",14973
"Olesen, Jacob Skov",25611
"Mory , Felix",25089
"Garcia-Heredia, Alfredo",7887
"Hoshino, Rikuya",19190
"Vaillant, Tom",28157
"Rozner, Antoine",18770
"Cantero Gutierrez, Ivan",19635
"Armitage, Marcus",17813
"Katsuragawa, Yuto",20448
"Ravetto, David",23416
"Couvra, Martin",27811
"Morrison, James",11061
"Guillamoundeguy, Oihan",28239
"Daffue, Mj",17068
"Van Driel, Darius",13374
"Du Plessis, Hennie",19421
"Laporta, Francesco",14987
"Robinson-Thompson, Brandon",24497
"Jordan, Matthew",25601
"Na, Kevin",7452
"Premlall, Yurav",25890
"Sterne, Richard",7049
"Jonsson, Tobias",28686
"Adam, Cameron",34024
"Paratore, Renato",16549
"Townsend, Hugo",31165
"Lindell, Oliver",20085
"Stone, Brandon",15229
"Langasque, Romain",16652
"Warren, Marc",7567
"Bergstrom, Albin",23620
"Fisher, Ross",9396
"Wenyi, Ding",26193
"Quayle, Anthony",18900
"Bjerregaard, Lucas",11619
"Halvorsen, Andreas",17747
"Johnston, Ryggs",32449
"Crocker, Sean",23610
"Forsstrom, Simon",19806
"Molinari, Edoardo",7033
"Garcia Rodriguez, Sebastian",12258
"Jarvis, Casey",26947
"Manassero, Matteo",11460
"Lawrence, Thriston",18105
"Berry, Joshua",31520
"Hollick, Michael",15993
"Guerrier, Julien",10201
"Helligkilde, Marcus",20190
"Williams, Robin",24093
"Peake, Ryan",15169
"Scrivener, Jason",12734
"Pepperell, Eddie",15113
"Larrazabal, Pablo",9133
"Ramsay, Richie",11396
"Schwab, Matthias",15016
"Mazzoli, Stefano",20844
"Otaegui, Adrian",14975
"Paul, Yannik",19898
"Wu, Ashun",11763
"Young, Daniel",19908
"Boandl, Lukas",26456
"Lindberg, Mikael",20084
"Walker, Euan",27147
"Kinhult, Marcus",18514
"Blomme, Adam",23784
"Frittelli, Dylan",11955
"Biondi, Fred",25614
"Schmidt, Ben",27258
"Arnaus, Adri",23236
"Lombard, Zander",16897
"Clements, Todd",22608
"Nemecz, Lukas",13089
"Debove , Quentin",25325
"Kobori, Kazuma",24369
"Lagergren, Joakim",14780
"Elvira Mijares, Ignacio",12988
"Aphibarnrat, Kiradech",12321
"Bautista, Austin",21152
"Veerman, Johannes",20522
"Gumberg, Jordan",23892
"Von Dellingshausen, Nicolai",22231
"Kopp, Alexander",26935
"Kaewkanjana, Sadom",19844
"Ko, Jeong Weon",26213
"Repetto Taylor, Rocco Paolo",31235
"Lemke, Niklas",10418
"Soderberg, Sebastian",18517
"De Herrypon, Tom",35337
"Lee, Junghwan",13498
"Micheluzzi, David",19224
"Da Costa Rodrigues, Daniel",27149
"Del Rey, Alejandro",22259
"Vidal, Quim",29712
"Syme, Connor",22089
"Broomhead, Jonothan",30210
"Zanotti, Fabrizio",9842
"Follet-Smith, Benjamin",15211
"Hidalgo, Angel",24127
"Baldwin, Matthew",13344
"Bairstow, Sam",28615
"Gavins, Daniel",18241
"Schott, Freddy",27588
"Migliozzi, Guido",17357
"Gallegos, Andres German",19296
"Popert, Kipp",30568
"Logan, Hunter",31866
"Naidoo, Dylan",19429
"Catlin, John",18524
"Charmasson, Clement",22220
"Jamieson, Scott",11397
"Lotschak, Jakob",27732
"Buchanan, Jack",27379
"Dantorp, Jens",14018
"Yule, Jack",22496
"Tarren, Callum",20519
"Sandhu, Yuvraj Singh",23060
"Hofmann, Tim",29481
"Regner , Niklas",21674
"Toorop, Mike",25273
"Law, David",14784
"Sarkozi, Richard",30993
"Green, Gavin",12530
"Senior, Jack",15115
"McKinney, Connor",24172
"Bleier, Christoph",24911
"Schweighofer, Florian",27728
"Langfors, Per",20414
"Baltl, Timon",17586
"Siem, Marcel",6950
"Ennsmann, David",26457
"Winther, Jeff",15680
