am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,event_id
0,SWE,23950,9,17,"Aberg, Ludvig",52955,231,[],13,12
0,USA,17606,64,40,"Berger, Daniel",40026,121,[],28,12
0,USA,26096,26,24,"Bhatia, Akshay",56630,104,[],8,12
0,USA,24956,141,115,"Blanchet, Chandler",54788,19,[],70,12
0,USA,13872,40,26,"Bradley, Keegan",33141,77,[],110,12
0,USA,29197,97,47,"Brennan, Michael",61522,42,[],111,12
0,USA,29433,20,18,"Bridgeman, Jacob",60004,154,[],3,12
0,USA,19483,15,28,"Burns, Sam",47504,127,[],24,12
0,USA,18628,302,100,"Campbell, Brian",46443,45,[],138,12
0,USA,15466,16,33,"Cantlay, Patrick",35450,223,[],41,12
0,USA,27819,74,87,"Castillo, Ricky",59440,25,[],33,12
0,USA,14502,101,76,"Cauley, Bud",34021,36,[],84,12
0,USA,23604,71,71,"Clark, Wyndham",51766,79,[],82,12
0,CAN,17576,46,43,"Conners, Corey",39997,72,[],67,12
0,USA,28309,72,55,"Coody, Pierceson",59836,20,[],35,12
0,AUS,9771,33,39,"Day, Jason",28089,107,[],37,12
0,COL,22833,114,42,"Echavarria, Nico",51349,24,[],21,12
0,USA,14577,24,21,"English, Harris",34099,54,[],55,12
0,USA,11676,104,110,"Finau, Tony",29725,40,[],68,12
0,USA,26657,156,142,"Fisk, Steven",57123,20,[],141,12
0,ENG,17646,7,7,"Fitzpatrick, Matt",40098,217,[],5,12
0,ENG,12294,8,5,"Fleetwood, Tommy",30911,271,[],14,12
0,USA,12965,34,63,"Fowler, Rickie",32102,82,[],45,12
0,NZL,11889,68,54,"Fox, Ryan",29936,31,[],54,12
0,USA,29767,37,32,"Gerard, Ryan",59018,84,[],20,12
0,USA,7399,157,95,"Glover, Lucas",25900,35,[],147,12
0,USA,27774,22,11,"Gotterup, Chris",59095,145,[],6,12
0,USA,24968,29,16,"Griffin, Ben",54591,68,[],72,12
0,ENG,27194,36,61,"Hall, Harry",57975,36,[],46,12
0,USA,8825,83,50,"Harman, Brian",27644,146,[],58,12
0,USA,14578,6,6,"Henley, Russell",34098,333,[],15,12
0,RSA,24342,216,85,"Higgo, Garrick",54421,13,[],165,12
0,USA,28469,397,144,"Highsmith, Joe",60067,25,[],151,12
0,JPN,22760,47,56,"Hisatsune, Ryo",51287,90,[],22,12
0,USA,15575,228,111,"Hoge, Tom",35532,53,[],81,12
0,DEN,23602,31,38,"Hojgaard, Nicolai",52453,60,[],23,12
0,USA,17538,70,117,"Homa, Max",39977,217,[],50,12
0,USA,11276,129,97,"Horschel, Billy",29420,36,[],92,12
0,NOR,18841,19,22,"Hovland, Viktor",46717,198,[],48,12
0,KOR,17488,109,72,"Im, Sungjae",39971,82,[],100,12
0,USA,32457,147,66,"Keefer, Johnny",63454,32,[],69,12
0,USA,17543,89,44,"Kim, Michael",39975,43,[],49,12
0,KOR,14609,18,30,"Kim, Si Woo",37455,143,[],19,12
0,USA,21891,49,35,"Kitayama, Kurt",48117,28,[],31,12
0,USA,19396,13,36,"Knapp, Jake",47420,151,[],11,12
0,AUS,16841,25,27,"Lee, Min Woo",37378,69,[],9,12
0,USA,15980,146,88,"Lipsky, David",36326,30,[],42,12
0,IRL,13900,28,34,"Lowry, Shane",33204,174,[],36,12
