am,country,player_id,dg_rank,owgr_rank,player_name,player_num,pre_tourn_pageviews,teetimes,tour_rank,partner.dg_id,partner.flag,partner.player_name,event_id
0,USA,19846,153.0,170.0,"Bauchou, Zach",48001,7,[],88,25569,USA,"Stevens, Sam",18
0,RSA,18103,56.0,91.0,"Bezuidenhout, Christiaan",45522,6,[],100,17550,RSA,"Van Rooyen, Erik",18
0,USA,17639,155.0,243.0,"Blair, Zac",40058,3,[],147,25094,USA,"Fishburn, Patrick",18
0,USA,24956,141.0,115.0,"Blanchet, Chandler",54788,9,[],71,25319,USA,"VanDerLaan, John",18
0,USA,10423,,,"Brehm, Ryan",28420,1,[],T172,16333,USA,"Hubbard, Mark",18
0,USA,29197,97.0,47.0,"Brennan, Michael",61522,12,[],107,32457,USA,"Keefer, Johnny",18
0,USA,32152,209.0,173.0,"Brown, Blades",66417,25,[],,32330,USA,"Clanton, Luke",18
0,ENG,20766,154.0,94.0,"Brown, Dan",57259,6,[],126,13764,ENG,"Parry, John",18
0,USA,6931,396.0,,"Byrd, Jonathan",24925,8,[],,7961,USA,"Reavie, Chez",18
0,PUR,12909,,437.0,"Campos, Rafael",32070,1,[],154,17032,ARG,"Tosti, Alejandro",18
0,USA,21412,,314.0,"Capan III, Frankie",49590,7,[],T187,24837,USA,"Goodwin, Noah",18
0,USA,23542,254.0,294.0,"Champ, Cameron",52372,7,[],,17381,CAN,"Silverman, Ben",18
0,USA,30620,250.0,271.0,"Chatfield, Davis",59006,5,[],165,22002,BEL,"Dumont De Chassart, Adrien",18
0,USA,32330,319.0,210.0,"Clanton, Luke",66743,5,[],133,32152,USA,"Brown, Blades",18
0,USA,23604,71.0,71.0,"Clark, Wyndham",51766,13,[],70,21944,USA,"Moore, Taylor",18
0,USA,21756,95.0,118.0,"Cole, Eric",47591,4,[],94,21943,USA,"Lebioda, Hank",18
0,USA,18579,,,"Cook, Austin",46435,8,[],,7301,USA,"Dufner, Jason",18
0,FRA,27811,186.0,143.0,"Couvra, Martin",60073,12,[],,19960,FRA,"Pavon, Matthieu",18
0,USA,27780,174.0,191.0,"Crowe, Trace",52514,6,[],,14007,USA,"Martin, Ben",18
0,USA,14509,164.0,180.0,"Dahmen, Joel",34076,4,[],85,8480,USA,"Streelman, Kevin",18
0,AUS,17786,,211.0,"Davis, Cam",45157,12,[],185,5698,AUS,"Ogilvy, Geoff",18
0,CHN,16757,138.0,188.0,"Dou, Zecheng",37338,13,[],92,25002,USA,"Wu, Dylan",18
0,USA,7301,,,"Dufner, Jason",25686,8,[],,18579,USA,"Cook, Austin",18
0,BEL,22002,91.0,146.0,"Dumont De Chassart, Adrien",50497,8,[],78,30620,USA,"Chatfield, Davis",18
0,USA,18187,337.0,488.0,"Duncan, Tyler",45609,3,[],T187,19477,USA,"Schenk, Adam",18
0,USA,28270,421.0,265.0,"Dunlap, Nick",59866,7,[],186,30814,USA,"Sargent, Gordon",18
0,USA,26653,117.0,158.0,"Eckroat, Austin",57362,5,[],116,27364,USA,"Thompson, Davis",18
0,CAN,21883,201.0,214.0,"Ewart, A.J.",50286,3,[],76,26947,RSA,"Jarvis, Casey",18
0,USA,11676,104.0,110.0,"Finau, Tony",29725,12,[],72,23465,USA,"Greyserman, Max",18
0,USA,25094,249.0,175.0,"Fishburn, Patrick",54576,2,[],169,17639,USA,"Blair, Zac",18
0,ENG,25362,98.0,141.0,"Fitzpatrick, Alex",55721,18,[],,17646,ENG,"Fitzpatrick, Matt",18
0,ENG,17646,7.0,7.0,"Fitzpatrick, Matt",40098,416,[],2,25362,ENG,"Fitzpatrick, Alex",18
0,USA,11451,362.0,411.0,"Garnett, Brice",29535,5,[],160,25157,USA,"Hodges, Lee",18
0,USA,29767,37.0,32.0,"Gerard, Ryan",59018,17,[],21,29925,CAN,"Yellamaraju, Sudarshan",18
0,USA,24550,119.0,181.0,"Ghim, Doug",52375,7,[],134,21889,USA,"Kang, Jeffrey",18
0,USA,24837,233.0,297.0,"Goodwin, Noah",55165,3,[],,21412,USA,"Capan III, Frankie",18
0,USA,26660,496.0,349.0,"Gordon, Will",56762,5,[],,16341,USA,"Peterson, Paul",18
0,USA,23465,124.0,65.0,"Greyserman, Max",51977,6,[],108,11676,USA,"Finau, Tony",18
0,USA,24968,29.0,16.0,"Griffin, Ben",54591,20,[],74,23475,USA,"Novak, Andrew",18
0,USA,15330,232.0,220.0,"Griffin, Lanto",35310,2,[],,16395,USA,"Kohles, Ben",18
0,CAN,13965,251.0,240.0,"Hadwin, Adam",33399,6,[],164,13997,CAN,"Svensson, Adam",18
0,USA,11374,,,"Hahn, James",32448,6,[],193,12069,USA,"Stanley, Kyle",18
0,USA,19865,371.0,493.0,"Hardy, Nick",47988,14,[],,19872,USA,"Riley, Davis",18
0,RSA,24342,216.0,85.0,"Higgo, Garrick",54421,11,[],158,6169,USA,"Kuchar, Matt",18
0,USA,14140,379.0,280.0,"Higgs, Harry",33597,5,[],,22087,GER,"Paul, Jeremy",18
0,JPN,20954,333.0,204.0,"Hirata, Kensei",49120,2,[],143,21074,JPN,"Nakajima, Keita",18
0,USA,25157,130.0,133.0,"Hodges, Lee",54628,5,[],98,11451,USA,"Garnett, Brice",18
0,PHI,23504,105.0,80.0,"Hoey, Rico",51696,3,[],105,15980,USA,"Lipsky, David",18
0,USA,5768,393.0,400.0,"Hoffman, Charley",12716,13,[],,7955,USA,"Watney, Nick",18
0,USA,15575,228.0,111.0,"Hoge, Tom",35532,8,[],82,11276,USA,"Horschel, Billy",18
0,USA,11276,129.0,97.0,"Horschel, Billy",29420,8,[],91,15575,USA,"Hoge, Tom",18
0,USA,15470,144.0,163.0,"Hossler, Beau",35461,12,[],124,16715,USA,"Ryder, Sam",18
0,USA,16333,243.0,152.0,"Hubbard, Mark",36801,2,[],142,10423,USA,"Brehm, Ryan",18
0,CAN,15556,132.0,123.0,"Hughes, Mackenzie",35506,12,[],120,17780,CAN,"Pendrith, Taylor",18
0,GER,16394,102.0,99.0,"Jaeger, Stephan",36799,5,[],62,29279,USA,"Suber, Jackson",18
0,RSA,26947,80.0,69.0,"Jarvis, Casey",57688,8,[],,21883,CAN,"Ewart, A.J.",18
0,JPN,19729,159.0,128.0,"Kanaya, Takumi",47917,11,[],119,29770,USA,"Mouw, William",18
0,USA,21889,361.0,242.0,"Kang, Jeffrey",47393,3,[],170,24550,USA,"Ghim, Doug",18
0,USA,32457,147.0,66.0,"Keefer, Johnny",63454,10,[],73,29197,USA,"Brennan, Michael",18
0,USA,15004,273.0,287.0,"Kim, Chan",34587,9,[],166,7820,USA,"Palmer, Ryan",18
0,KOR,24766,126.0,134.0,"Kim, Tom",55182,16,[],109,17881,TPE,"Yu, Kevin",18
0,USA,12423,90.0,98.0,"Kirk, Chris",30926,5,[],123,13470,USA,"Kizzire, Patton",18
0,USA,13470,285.0,273.0,"Kizzire, Patton",32757,2,[],122,12423,USA,"Kirk, Chris",18
0,SCO,13831,359.0,370.0,"Knox, Russell",33122,4,[],,14926,USA,"Malnati, Peter",18
0,USA,16243,75.0,129.0,"Koepka, Brooks",36689,11,[],57,13900,IRL,"Lowry, Shane",18
0,USA,16395,171.0,284.0,"Kohles, Ben",36884,9,[],182,15330,USA,"Griffin, Lanto",18
0,USA,6169,143.0,166.0,"Kuchar, Matt",23108,11,[],174,24342,RSA,"Higgo, Garrick",18
0,RSA,24343,296.0,201.0,"Lamprecht, Christo",54422,4,[],168,32055,USA,"Shipley, Neal",18
0,USA,21943,200.0,205.0,"Lebioda, Hank",49766,3,[],127,21756,USA,"Cole, Eric",18
0,CHN,15310,99.0,78.0,"Li, Haotong",35296,13,[],80,18586,ENG,"Smith, Jordan",18
0,USA,15980,146.0,88.0,"Lipsky, David",36326,7,[],49,23504,PHI,"Hoey, Rico",18
0,USA,7960,491.0,,"List, Luke",27129,4,[],,11657,SWE,"Norlander, Henrik",18
0,USA,17723,340.0,208.0,"Lower, Justin",40162,14,[],161,19840,USA,"Ramey, Chad",18
0,IRL,13900,28.0,34.0,"Lowry, Shane",33204,18,[],40,16243,USA,"Koepka, Brooks",18
0,USA,14926,354.0,,"Malnati, Peter",34466,7,[],163,13831,SCO,"Knox, Russell",18
0,USA,14007,339.0,422.0,"Martin, Ben",33413,5,[],,27780,USA,"Crowe, Trace",18
0,USA,28635,57.0,48.0,"McCarty, Matt",59141,11,[],41,28159,USA,"Meissner, Mac",18
0,USA,23505,62.0,75.0,"McGreevy, Max",51950,9,[],95,18424,USA,"Roy, Kevin",18
0,USA,28159,82.0,116.0,"Meissner, Mac",59143,9,[],113,28635,USA,"McCarty, Matt",18
0,USA,13367,433.0,498.0,"Merritt, Troy",32640,7,[],194,14852,USA,"Streb, Robert",18
0,USA,17365,50.0,107.0,"Mitchell, Keith",39546,11,[],58,8820,USA,"Snedeker, Brandt",18
0,USA,25442,193.0,174.0,"Montgomery, Taylor",55789,4,[],,7899,USA,"Piercy, Scott",18
0,USA,21944,140.0,147.0,"Moore, Taylor",49947,11,[],61,23604,USA,"Clark, Wyndham",18
0,USA,29770,127.0,122.0,"Mouw, William",63121,8,[],90,19729,JPN,"Kanaya, Takumi",18
0,USA,18761,343.0,405.0,"Mullinax, Trey",46601,6,[],,10873,ENG,"Skinns, David",18
0,JPN,21074,214.0,126.0,"Nakajima, Keita",49228,3,[],181,20954,JPN,"Hirata, Kensei",18
0,DEN,23841,121.0,70.0,"Neergaard-Petersen, Rasmus",52689,10,[],153,25611,DEN,"Olesen, Jacob Skov",18
0,SWE,11657,323.0,339.0,"Norlander, Henrik",30163,9,[],183,7960,USA,"List, Luke",18
0,USA,23475,107.0,53.0,"Novak, Andrew",51997,21,[],64,24968,USA,"Griffin, Ben",18
0,SWE,25475,239.0,231.0,"Nyholm, Pontus",55851,3,[],102,26850,SWE,"Svensson, Jesper",18
0,AUS,5698,,,"Ogilvy, Geoff",22046,10,[],,17786,AUS,"Davis, Cam",18
0,DEN,25611,167.0,140.0,"Olesen, Jacob Skov",55965,14,[],,23841,DEN,"Neergaard-Petersen, Rasmus",18
0,USA,7820,,,"Palmer, Ryan",23320,4,[],,15004,USA,"Kim, Chan",18
0,ENG,13764,60.0,83.0,"Parry, John",28723,8,[],79,20766,ENG,"Brown, Dan",18
0,GER,22087,299.0,312.0,"Paul, Jeremy",50582,3,[],155,14140,USA,"Higgs, Harry",18
0,FRA,19960,210.0,233.0,"Pavon, Matthieu",48153,8,[],87,27811,FRA,"Couvra, Martin",18
0,CAN,17780,85.0,77.0,"Pendrith, Taylor",40250,6,[],89,15556,CAN,"Hughes, Mackenzie",18
0,ENG,22465,88.0,37.0,"Penge, Marco",51003,13,[],65,20706,ENG,"Wallace, Matt",18
0,USA,16341,262.0,239.0,"Peterson, Paul",36824,6,[],137,26660,USA,"Gordon, Will",18
0,USA,27164,213.0,157.0,"Phillips, Chandler",57900,7,[],101,23656,USA,"Young, Carson",18
0,USA,7899,,,"Piercy, Scott",25818,7,[],,25442,USA,"Montgomery, Taylor",18
0,IRL,10104,122.0,169.0,"Power, Seamus",28252,4,[],111,20722,GER,"Schmid, Matti",18
0,USA,14704,73.0,92.0,"Putnam, Andrew",34256,5,[],47,22985,USA,"Smotherman, Austin",18
0,ENG,18554,86.0,41.0,"Rai, Aaron",46414,12,[],121,23014,USA,"Theegala, Sahith",18
0,USA,19840,106.0,145.0,"Ramey, Chad",47983,9,[],84,17723,USA,"Lower, Justin",18
0,USA,7961,493.0,,"Reavie, Chez",26476,8,[],,6931,USA,"Byrd, Jonathan",18
0,NOR,21407,76.0,46.0,"Reitan, Kristoffer",49855,9,[],86,15651,NOR,"Ventura, Kris",18
0,USA,19872,470.0,121.0,"Riley, Davis",47995,17,[],118,19865,USA,"Hardy, Nick",18
0,USA,18424,118.0,137.0,"Roy, Kevin",39335,6,[],81,23505,USA,"McGreevy, Max",18
0,COL,16591,453.0,490.0,"Rozo, Marcelo",37076,9,[],184,9171,COL,"Villegas, Camilo",18
0,USA,16715,166.0,216.0,"Ryder, Sam",37275,9,[],128,15470,USA,"Hossler, Beau",18
0,USA,30814,,,"Sargent, Gordon",64442,3,[],148,28270,USA,"Dunlap, Nick",18
0,USA,19477,367.0,150.0,"Schenk, Adam",47347,6,[],117,18187,USA,"Duncan, Tyler",18
0,GER,20722,152.0,89.0,"Schmid, Matti",48867,5,[],77,10104,IRL,"Power, Seamus",18
0,USA,32055,256.0,160.0,"Shipley, Neal",63807,7,[],191,24343,RSA,"Lamprecht, Christo",18
0,USA,23482,199.0,290.0,"Sigg, Greyson",51890,8,[],,25908,USA,"Whaley, Vince",18
0,CAN,17381,276.0,246.0,"Silverman, Ben",39327,6,[],151,23542,USA,"Champ, Cameron",18
0,ENG,10873,245.0,252.0,"Skinns, David",27139,4,[],138,18761,USA,"Mullinax, Trey",18
0,USA,18474,53.0,106.0,"Smalley, Alex",46340,5,[],68,21995,USA,"Springer, Hayden",18
0,ENG,18586,69.0,68.0,"Smith, Jordan",46464,19,[],48,15310,CHN,"Li, Haotong",18
0,USA,22985,111.0,86.0,"Smotherman, Austin",50095,8,[],45,14704,USA,"Putnam, Andrew",18
0,USA,8820,197.0,261.0,"Snedeker, Brandt",27649,6,[],141,17365,USA,"Mitchell, Keith",18
0,USA,21995,218.0,238.0,"Springer, Hayden",50484,7,[],T172,18474,USA,"Smalley, Alex",18
0,USA,23048,375.0,,"Stanger, Jimmy",51600,4,[],132,25003,USA,"Walker, Danny",18
0,USA,12069,,,"Stanley, Kyle",30110,8,[],,11374,USA,"Hahn, James",18
0,USA,25569,41.0,45.0,"Stevens, Sam",55893,14,[],43,19846,USA,"Bauchou, Zach",18
0,USA,14852,,,"Streb, Robert",34431,8,[],T189,13367,USA,"Merritt, Troy",18
0,USA,8480,284.0,377.0,"Streelman, Kevin",27214,6,[],129,14509,USA,"Dahmen, Joel",18
