player_name,winner_flag
"Gotterup, Chris",1
"McIlroy, Rory",0
"Penge, Marco",0
"Hojgaard, Nicolai",0
"Fitzpatrick, Matt",0
"Rose, Justin",0
"Straka, Sepp",0
"Scheffler, Scottie",0
"Schauffele, Xander",0
"Aberg, Ludvig",0
"Clark, Wyndham",0
"Hovland, Viktor",0
"Pendrith, Taylor",0
"Novak, Andrew",0
"Reitan, Kristoffer",0
"Bezuidenhout, Christiaan",0
"Sullivan, Andy",0
"Schmid, Matti",0
"Scott, Adam",0
"Hall, Harry",0
"Kim, Tom",0
"Smith, Jordan",0
"Rozner, Antoine",0
"McCarty, Matt",0
"Thomas, Justin",0
"Forrest, Grant",0
"Taylor, Nick",0
"Mansell, Richard",0
"McNealy, Maverick",0
"Echavarria, Nico",0
"Knapp, Jake",0
"English, Harris",0
"Campillo, Jorge",0
"Canter, Laurie",0
"Kim, Michael",0
"Yu, Kevin",0
"Soderberg, Sebastian",0
"Smylie, Elvis",0
"Siem, Marcel",0
"Smalley, Alex",0
"Fleetwood, Tommy",0
"Kim, Si Woo",0
"Svensson, Jesper",0
"Paul, Yannik",0
"Perez, Victor",0
"Coussaud, Ugo",0
"Conners, Corey",0
"Rai, Aaron",0
"Burns, Sam",0
"Vegas, Jhonattan",0
"Mitchell, Keith",0
"Wallace, Matt",0
"Harman, Brian",0
"Laporta, Francesco",0
"Berger, Daniel",0
"Langasque, Romain",0
"Parry, John",0
"Cauley, Bud",0
"Nakajima, Keita",0
"Woodland, Gary",0
"Valimaki, Sami",0
"Olesen, Thorbjorn",0
"Brown, Daniel",0
"Del Rey, Alejandro",0
"Bairstow, Sam",0
"Whitnell, Dale",0
"Clanton, Luke",0
"Fox, Ryan",0
"Kruyswijk, Jacques",0
"MacIntyre, Robert",0
"Harrington, Padraig",0
"Detry, Thomas",0
"Couvra, Martin",0
"Gerard, Ryan",0
"Stevens, Sam",0
"Bridgeman, Jacob",0
"Syme, Connor",0
"Norlander, Henrik",0
"An, Byeong Hun",0
"Guerrier, Julien",0
"Ferguson, Ewen",0
"Lawrence, Thriston",0
"Ravetto, David",0
"Neergaard-Petersen, Rasmus",0
"Im, Sungjae",0
"Greyserman, Max",0
"Putnam, Andrew",0
"Clements, Todd",0
"Pavon, Matthieu",0
"Noren, Alex",0
"Donald, Luke",0
"van Rooyen, Erik",0
"McGreevy, Max",0
"Molinari, Francesco",0
"Stone, Brandon",0
"Norgaard, Niklas",0
"Gumberg, Jordan",0
"Hughes, Mackenzie",0
"Hill, Calum",0
"Riley, Davis",0
"Spaun, J.J.",0
"Tosti, Alejandro",0
"Fitzpatrick, Alex",0
"Chacarra, Eugenio",0
"Hillier, Daniel",0
"Ramsay, Richie",0
"Hoge, Tom",0
"Dean, Joe",0
"Forsstrom, Simon",0
"Potgieter, Aldrich",0
"Jordan, Matthew",0
"Wiesberger, Bernd",0
"Lee, Junghwan",0
"McCarthy, Denny",0
"Ford, David",0
"Frittelli, Dylan",0
"Schneider, Marcel",0
"Cho, Wooyoung",0
"Rodgers, Patrick",0
"Dahmen, Joel",0
"Snedeker, Brandt",0
"Walker, Danny",0
"Cockerill, Aaron",0
"Moore, Taylor",0
"Manassero, Matteo",0
"Morikawa, Collin",0
"Crocker, Sean",0
"Hodges, Lee",0
"Saddier, Adrien",0
"Von Dellingshausen, Nicolai",0
"LaCroix, Frederic",0
"Johnston, Ryggs",0
"Migliozzi, Guido",0
"Campbell, Brian",0
"Willett, Danny",0
"Wu, Ashun",0
"Naidoo, Dylan",0
"Li, Haotong",0
"Vilips, Karl",0
"Norris, Shaun",0
"Hojgaard, Rasmus",0
"Van Driel, Darius",0
"Bradbury, Dan",0
"Kim, Hongtaek",0
"Veerman, Johannes",0
"Hidalgo Portillo, Angel",0
"Strydom, Ockie",0
"Hisatsune, Ryo",0
"Highsmith, Joe",0
"Larrazabal, Pablo",0
"Elvira, Nacho",0
"Otaegui, Adrian",0
"Salinda, Isaiah",0
"Katsuragawa, Yuto",0
"Waring, Paul",0
