am,country,course,player_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,event_id
0,SWE,n/a,23950,n/a,0,0,n/a,0,SWE,52955,"Aberg, Ludvig",,,,,0,0,n/a,0,5
0,USA,n/a,17606,n/a,0,0,n/a,0,USA,40026,"Berger, Daniel",,,,,0,0,n/a,0,5
0,USA,n/a,26096,n/a,0,0,n/a,0,USA,56630,"Bhatia, Akshay",,,,,0,0,n/a,0,5
0,USA,n/a,13872,n/a,0,0,n/a,0,USA,33141,"Bradley, Keegan",,,,,0,0,n/a,0,5
0,USA,n/a,29433,n/a,0,0,n/a,0,USA,60004,"Bridgeman, Jacob",,,,,0,0,n/a,0,5
0,USA,n/a,19483,n/a,0,0,n/a,0,USA,47504,"Burns, Sam",,,,,0,0,n/a,0,5
0,USA,n/a,18628,n/a,0,0,n/a,0,USA,46443,"Campbell, Brian",,,,,0,0,n/a,0,5
0,USA,n/a,15466,n/a,0,0,n/a,0,USA,35450,"Cantlay, Patrick",,,,,0,0,n/a,0,5
0,USA,n/a,14502,n/a,0,0,n/a,0,USA,34021,"Cauley, Bud",,,,,0,0,n/a,0,5
0,USA,n/a,23604,n/a,0,0,n/a,0,USA,51766,"Clark, Wyndham",,,,,0,0,n/a,0,5
0,CAN,n/a,17576,n/a,0,0,n/a,0,CAN,39997,"Conners, Corey",,,,,0,0,n/a,0,5
0,USA,n/a,28309,n/a,0,0,n/a,0,USA,59836,"Coody, Pierceson",,,,,0,0,n/a,0,5
0,AUS,n/a,9771,n/a,0,0,n/a,0,AUS,28089,"Day, Jason",,,,,0,0,n/a,0,5
0,COL,n/a,22833,n/a,0,0,n/a,0,COL,51349,"Echavarria, Nico",,,,,0,0,n/a,0,5
0,USA,n/a,14577,n/a,0,0,n/a,0,USA,34099,"English, Harris",,,,,0,0,n/a,0,5
0,USA,n/a,11676,n/a,0,0,n/a,0,USA,29725,"Finau, Tony",,,,,0,0,n/a,0,5
0,USA,n/a,26657,n/a,0,0,n/a,0,USA,57123,"Fisk, Steven",,,,,0,0,n/a,0,5
0,ENG,n/a,17646,n/a,0,0,n/a,0,ENG,40098,"Fitzpatrick, Matt",,,,,0,0,n/a,0,5
0,ENG,n/a,12294,n/a,0,0,n/a,0,ENG,30911,"Fleetwood, Tommy",,,,,0,0,n/a,0,5
0,USA,n/a,12965,n/a,0,0,n/a,0,USA,32102,"Fowler, Rickie",,,,,0,0,n/a,0,5
0,NZL,n/a,11889,n/a,0,0,n/a,0,NZL,29936,"Fox, Ryan",,,,,0,0,n/a,0,5
0,USA,n/a,29767,n/a,0,0,n/a,0,USA,59018,"Gerard, Ryan",,,,,0,0,n/a,0,5
0,USA,n/a,7399,n/a,0,0,n/a,0,USA,25900,"Glover, Lucas",,,,,0,0,n/a,0,5
0,USA,n/a,27774,n/a,0,0,n/a,0,USA,59095,"Gotterup, Chris",,,,,0,0,n/a,0,5
0,USA,n/a,23465,n/a,0,0,n/a,0,USA,51977,"Greyserman, Max",,,,,0,0,n/a,0,5
0,USA,n/a,24968,n/a,0,0,n/a,0,USA,54591,"Griffin, Ben",,,,,0,0,n/a,0,5
0,ARG,n/a,12808,n/a,0,0,n/a,0,ARG,31646,"Grillo, Emiliano",,,,,0,0,n/a,0,5
0,ENG,n/a,27194,n/a,0,0,n/a,0,ENG,57975,"Hall, Harry",,,,,0,0,n/a,0,5
0,USA,n/a,8825,n/a,0,0,n/a,0,USA,27644,"Harman, Brian",,,,,0,0,n/a,0,5
0,USA,n/a,14578,n/a,0,0,n/a,0,USA,34098,"Henley, Russell",,,,,0,0,n/a,0,5
0,RSA,n/a,24342,n/a,0,0,n/a,0,RSA,54421,"Higgo, Garrick",,,,,0,0,n/a,0,5
0,USA,n/a,28469,n/a,0,0,n/a,0,USA,60067,"Highsmith, Joe",,,,,0,0,n/a,0,5
0,JPN,n/a,22760,n/a,0,0,n/a,0,JPN,51287,"Hisatsune, Ryo",,,,,0,0,n/a,0,5
0,PHI,n/a,23504,n/a,0,0,n/a,0,PHI,51696,"Hoey, Rico",,,,,0,0,n/a,0,5
0,USA,n/a,15575,n/a,0,0,n/a,0,USA,35532,"Hoge, Tom",,,,,0,0,n/a,0,5
0,USA,n/a,11276,n/a,0,0,n/a,0,USA,29420,"Horschel, Billy",,,,,0,0,n/a,0,5
0,NOR,n/a,18841,n/a,0,0,n/a,0,NOR,46717,"Hovland, Viktor",,,,,0,0,n/a,0,5
0,CAN,n/a,15556,n/a,0,0,n/a,0,CAN,35506,"Hughes, Mackenzie",,,,,0,0,n/a,0,5
0,GER,n/a,16394,n/a,0,0,n/a,0,GER,36799,"Jaeger, Stephan",,,,,0,0,n/a,0,5
0,USA,n/a,17543,n/a,0,0,n/a,0,USA,39975,"Kim, Michael",,,,,0,0,n/a,0,5
0,KOR,n/a,14609,n/a,0,0,n/a,0,KOR,37455,"Kim, Si Woo",,,,,0,0,n/a,0,5
0,USA,n/a,12423,n/a,0,0,n/a,0,USA,30926,"Kirk, Chris",,,,,0,0,n/a,0,5
0,USA,n/a,21891,n/a,0,0,n/a,0,USA,48117,"Kitayama, Kurt",,,,,0,0,n/a,0,5
0,USA,n/a,19396,n/a,0,0,n/a,0,USA,47420,"Knapp, Jake",,,,,0,0,n/a,0,5
0,AUS,n/a,16841,n/a,0,0,n/a,0,AUS,37378,"Lee, Min Woo",,,,,0,0,n/a,0,5
0,IRL,n/a,13900,n/a,0,0,n/a,0,IRL,33204,"Lowry, Shane",,,,,0,0,n/a,0,5
0,SCO,n/a,23323,n/a,0,0,n/a,0,SCO,52215,"MacIntyre, Robert",,,,,0,0,n/a,0,5
