rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Fleetwood, Tommy",51.65,100.0,100.0,0.0
2,"McIlroy, Rory",40.06,99.9,100.0,0.0
3,"Lawrence, Thriston",5.79,97.0,100.0,0.0
4,"Molinari, Francesco",1.16,85.6,100.0,0.0
5,"Olesen, Thorbjorn",0.98,84.5,100.0,0.0
6,"Ferguson, Ewen",0.12,54.6,100.0,0.0
7,"Hojgaard, Nicolai",0.05,40.8,100.0,0.0
8,"Fox, Ryan",0.04,45.1,100.0,0.0
9,"Luiten, Joost",0.02,34.1,100.0,0.0
10,"McKibbin, Tom",0.02,35.2,100.0,0.0
11,"Mansell, Richard",0.02,30.1,100.0,0.0
12,"Schaper, Jayden",0.02,25.5,100.0,0.0
13,"Ayora, Angel",0.01,16.0,100.0,0.0
14,"Guerrier, Julien",0.01,25.6,100.0,0.0
15,"Migliozzi, Guido",0.01,24.7,100.0,0.0
16,"Wallace, Matt",0.01,11.7,100.0,0.0
17,"Neergaard-Petersen, Rasmus",0.0,19.6,100.0,0.0
18,"Otaegui, Adrian",0.0,14.0,100.0,0.0
19,"Lowry, Shane",0.0,17.0,100.0,0.0
20,"Puig, David",0.0,15.2,100.0,0.0
21,"Lindell, Oliver",0.0,7.8,100.0,0.0
22,"Norgaard, Niklas",0.0,4.7,100.0,0.0
23,"Rozner, Antoine",0.0,2.3,100.0,0.0
24,"Forrest, Grant",0.0,5.4,100.0,0.0
25,"Reed, Patrick",0.0,10.3,100.0,0.0
26,"Sullivan, Andy",0.0,7.2,100.0,0.0
27,"Elvira Mijares, Ignacio",0.0,4.9,100.0,0.0
28,"Chacarra, Eugenio",0.0,7.8,100.0,0.0
29,"Lee, Junghwan",0.0,7.5,100.0,0.0
30,"Larrazabal, Pablo",0.0,6.0,100.0,0.0
31,"Lagergren, Joakim",0.0,4.3,100.0,0.0
32,"LaCroix, Frederic",0.0,4.2,100.0,0.0
33,"Katsuragawa, Yuto",0.0,2.4,100.0,0.0
34,"Kruyswijk, Jacques",0.0,1.6,100.0,0.0
35,"Johnston, Ryggs",0.0,0.4,100.0,0.0
36,"Hoshino, Rikuya",0.0,2.4,100.0,0.0
37,"Gavins, Daniel",0.0,0.0,100.0,0.0
38,"Hillier, Daniel",0.0,4.3,100.0,0.0
39,"Hill, Calum",0.0,1.6,100.0,0.0
40,"Hidalgo Portillo, Angel",0.0,1.6,100.0,0.0
41,"Harrington, Padraig",0.0,0.4,100.0,0.0
42,"Del Rey, Alejandro",0.0,4.0,100.0,0.0
43,"Couvra, Martin",0.0,4.1,100.0,0.0
44,"Frittelli, Dylan",0.0,1.0,100.0,0.0
45,"Bradbury, Dan",0.0,8.4,100.0,0.0
46,"Armitage, Marcus",0.0,0.6,100.0,0.0
47,"Naidoo, Dylan",0.0,0.3,100.0,0.0
48,"Manassero, Matteo",0.0,3.4,100.0,0.0
49,"Norris, Shaun",0.0,1.5,100.0,0.0
50,"Olesen, Jacob Skov",0.0,4.0,100.0,0.0
51,"Siem, Marcel",0.0,0.2,100.0,0.0
52,"Ravetto, David",0.0,1.9,100.0,0.0
53,"Strydom, Ockie",0.0,0.0,100.0,0.0
54,"Syme, Connor",0.0,0.3,100.0,0.0
55,"Veerman, Johannes",0.0,1.5,100.0,0.0
56,"Van Driel, Darius",0.0,1.7,100.0,0.0
57,"Von Dellingshausen, Nicolai",0.0,1.7,100.0,0.0
58,"Waring, Paul",0.0,1.0,100.0,0.0
59,"Willett, Danny",0.0,0.9,100.0,0.0
60,"Wu, Ashun",0.0,0.0,100.0,0.0
