rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Lawrence, Thriston",21.88,76.3,96.7,-0.02664192300000001
2,"Schaper, Jayden",19.52,73.9,96.1,0.18604933599999998
3,"LaCroix, Frederic",9.17,56.3,91.8,-0.042032820000000005
4,"Burmester, Dean",8.18,54.6,91.8,0.050863227
5,"Du Plessis, Hennie",5.16,44.4,88.5,0.05922023699999998
6,"Daffue, MJ",3.63,37.9,86.4,-0.16569896
7,"Pavan, Andrea",3.42,36.0,85.2,-0.12356373300000001
8,"Manassero, Matteo",3.19,35.0,84.8,-0.20217558400000005
9,"Grace, Branden",3.03,33.6,84.3,0.12114074999999999
10,"Luiten, Joost",2.38,30.0,83.0,-0.11494322399999998
11,"Brown, Luke",2.25,30.0,82.6,-0.16569896
12,"Del Rey, Alejandro",2.2,28.0,81.5,-0.09775879600000001
13,"Enefer, Will",1.35,21.5,77.3,-0.16569896
14,"Coussaud, Ugo",1.1,19.9,76.2,-0.12200091799999999
15,"Kimsey, Nathan",1.09,18.7,75.3,0.051115206999999996
16,"Schwartzel, Charl",0.87,17.7,74.8,-0.073770424
17,"Nienaber, Wilco",0.78,15.8,72.2,-0.16569896
18,"Jamieson, Scott",0.72,14.5,71.8,-0.209031995
19,"Laporta, Francesco",0.68,15.5,72.2,0.05446323399999999
20,"Vincent, Kieran",0.56,13.5,70.0,-0.12417477600000001
21,"Lagergren, Joakim",0.49,11.5,68.1,-0.19485377800000003
22,"Sullivan, Andy",0.46,11.9,68.4,-0.086798719
23,"Campillo, Jorge",0.44,11.0,66.8,-0.04843844400000002
24,"Van Velzen, Ryan",0.44,12.4,68.9,-0.16569896
25,"Clements, Todd",0.41,10.8,66.9,-0.076343203
26,"Senekal, JJ",0.36,8.9,64.1,-0.16569896
27,"Bachem, Nick",0.35,9.8,65.1,-0.16569896
28,"Sterne, Richard",0.33,9.0,64.3,-0.12717789399999999
29,"Couvra, Martin",0.33,10.0,65.4,-0.045950560999999994
30,"Reed, Patrick",0.31,9.9,65.5,0.18389602400000002
31,"Ayora, Angel",0.3,8.8,63.5,0.192480056
32,"Siem, Marcel",0.28,8.3,62.5,-0.190738727
33,"Ravetto, David",0.28,9.0,63.6,-0.131473906
34,"Lindell, Oliver",0.26,6.9,60.1,0.006011623999999978
35,"Germishuys, Deon",0.23,8.5,63.4,-0.16569896
36,"Premlall, Yurav",0.22,8.3,62.6,-0.16569896
37,"Hollick, Michael",0.22,7.2,60.1,-0.16569896
38,"Kruyswijk, Jacques",0.2,7.3,60.9,-0.139433128
39,"Albertse, Louis",0.19,6.7,59.7,-0.16569896
40,"Vorster, Martin",0.12,4.2,53.8,-0.16569896
41,"Van Der Merwe, Altin",0.12,4.9,55.4,-0.16569896
42,"Ahlers, Jaco",0.1,3.8,52.3,-0.16569896
43,"Coetzee, George",0.09,5.1,56.4,-0.16569896
44,"Ritchie, JC",0.09,3.5,50.8,-0.16569896
45,"Schneider, Marcel",0.09,3.7,51.5,-0.20022336000000002
46,"Bairstow, Sam",0.08,4.1,52.3,-0.169973972
47,"Rutherford, Jamie",0.07,2.6,46.7,-0.16569896
48,"Van Wyk, Kieron",0.07,2.7,46.6,-0.16569896
49,"Bekker, Oliver",0.07,2.8,47.7,-0.16569896
50,"Ding, Wenyi",0.07,2.6,47.0,0.02473965500000001
51,"Otaegui, Adrian",0.07,3.6,51.2,-0.16260846899999998
52,"Gumberg, Jordan",0.06,2.7,48.0,-0.23531735200000004
53,"Cabrera Bello, Rafa",0.06,2.8,48.1,-0.23650565200000004
54,"Kaneko, Kota",0.06,2.6,46.3,-0.16569896
55,"Buchanan, Jack",0.06,2.5,46.5,-0.16569896
56,"Fitzpatrick, Alex",0.06,2.4,46.3,0.0015804009999999956
57,"Adam, Cameron",0.05,2.5,47.5,-0.16569896
58,"Bradbury, Dan",0.05,2.0,44.5,-0.07820624399999998
59,"Els, Ernie",0.05,2.6,46.8,-0.16569896
60,"Bruiners, Heinrich",0.05,1.9,43.5,-0.16569896
61,"Sundelson, Judd",0.05,2.6,46.8,-0.16569896
62,"Carrera, Luis",0.05,2.5,46.2,-0.16569896
63,"Snyders, Tyran",0.04,2.6,47.1,-0.16569896
64,"Simpson, Samuel",0.04,2.3,46.9,-0.16569896
65,"Guerrier, Julien",0.04,2.7,47.8,-0.004835875
66,"Jarvis, Casey",0.04,1.8,42.2,-0.035744433
67,"Kaminski, Rupert",0.04,2.0,43.1,-0.16569896
68,"Leisher, Logan",0.04,2.7,46.7,-0.16569896
69,"Rebula, Jovan",0.04,2.7,47.8,-0.16569896
70,"Kruger, Dian",0.04,2.5,47.1,-0.16569896
71,"Mokoena, Karabo",0.03,2.6,47.2,-0.16569896
72,"Elvira, Manuel",0.03,1.8,42.3,-0.148322924
73,"Aphibarnrat, Kiradech",0.03,2.8,48.1,-0.204096916
74,"Moolman, Pieter",0.03,1.2,38.4,-0.16569896
75,"Stone, Brandon",0.03,1.6,41.1,-0.028810078000000003
76,"Langasque, Romain",0.03,2.7,46.1,-0.20035705699999998
77,"Gouveia, Ricardo",0.03,1.0,35.6,-0.11653206699999999
78,"Ko, Jeong Weon",0.03,2.1,44.6,-0.40363890599999996
79,"Purchase, Warwick",0.03,2.5,46.8,-0.16569896
80,"Rowe, Lyle",0.03,2.0,43.3,-0.16569896
81,"Olesen, Jacob Skov",0.03,2.0,43.4,-0.112709102
82,"Rozner, Antoine",0.03,1.9,42.8,-0.08575786599999999
83,"Jordan, Matthew",0.02,1.2,39.3,-0.10287602200000003
84,"Bautista, Austin",0.02,2.6,46.9,-0.16569896
85,"Follet-Smith, Benjamin",0.02,1.8,43.8,-0.16569896
86,"Blaauw, Jacques",0.02,1.5,41.1,-0.16569896
87,"Armitage, Marcus",0.02,2.4,46.2,0.03747474099999999
88,"Naidoo, Dylan",0.02,1.0,37.2,-0.427678322
89,"Veerman, Johannes",0.02,1.6,42.0,-0.188929449
90,"Schott, Freddy",0.02,1.3,40.2,-0.238699723
91,"Steinlechner, Maximilian",0.02,1.0,36.5,-0.16569896
92,"Hill, Calum",0.02,1.3,39.2,-0.21854467899999996
93,"Enoch, Rhys",0.02,0.5,30.2,-0.16569896
94,"Girrbach, Joel",0.01,0.8,34.8,-0.131110374
95,"Hugo, Jean",0.01,1.3,39.1,-0.16569896
96,"Norris, Shaun",0.01,0.9,35.3,-0.44407539800000007
97,"Syme, Connor",0.01,0.9,35.2,-0.25724041999999997
98,"Katsuragawa, Yuto",0.01,0.5,28.0,-0.168789451
99,"Davidse, Keenan",0.01,0.3,26.1,-0.16569896
100,"Bryant, Davis",0.01,0.4,29.6,-0.195846322
101,"Schmidt, Ben",0.01,1.0,36.6,-0.22664554599999998
102,"Viljoen, M.J.",0.01,0.6,29.7,-0.16569896
103,"Robinson Thompson, Brandon",0.01,1.0,35.8,-0.12689335100000002
104,"Strydom, Ockie",0.01,0.8,33.5,-0.65811164
105,"Soderberg, Sebastian",0.01,0.8,34.4,-0.177439176
106,"Loubser, Herman",0.01,0.5,28.7,-0.16569896
107,"Norgaard, Niklas",0.01,1.1,36.0,-0.178822612
108,"Dean, Joe",0.01,0.3,25.2,-0.23761770600000004
109,"Kinhult, Marcus",0.01,0.4,27.8,-0.24057047999999998
110,"Pepperell, Eddie",0.01,0.4,28.9,-0.278350072
111,"Williams, Robin",0.01,0.5,30.1,-0.325235282
112,"Scrivener, Jason",0.01,0.7,32.7,-0.24010896299999998
113,"Van Tonder, Daniel",0.01,0.9,34.9,-0.16569896
114,"Korb, Ruan",0.01,0.2,24.4,-0.16569896
115,"Jerling, Luke",0.01,0.9,35.6,-0.16569896
116,"Dantorp, Jens",0.0,0.3,24.8,-0.40923595700000004
117,"Larrazabal, Pablo",0.0,0.1,19.2,-0.358200911
118,"Ferreira, Stephen",0.0,0.2,22.4,-0.16569896
119,"Fichardt, Darren",0.0,0.8,32.7,-0.36237289899999997
120,"Cantero Gutierrez, Ivan",0.0,0.1,20.5,-0.18036902099999996
121,"Frittelli, Dylan",0.0,0.6,31.8,-0.176294885
122,"Harding, Justin",0.0,0.1,15.8,-0.5771630540000001
123,"Hoshino, Rikuya",0.0,0.4,28.7,-0.263603899
124,"Akesson, Bjorn",0.0,0.0,2.9,-0.464094983
125,"Barnard, Charl",0.0,0.0,13.2,-0.16569896
126,"Hidalgo Portillo, Angel",0.0,0.3,27.4,-0.231205078
127,"Johnston, Ryggs",0.0,0.0,9.5,-0.32515148
128,"Ferguson, Ewen",0.0,0.2,22.2,-0.09667143
129,"Chinhoi, Robson",0.0,0.0,1.4,-0.16569896
130,"Bremner, Merrick",0.0,0.1,17.4,-0.16569896
131,"Broomhead, Jonothan",0.0,0.3,26.7,-0.16569896
132,"Mitchell, Malcolm",0.0,0.1,18.4,-0.16569896
133,"Rama, Nikhil",0.0,0.1,17.5,-0.16569896
134,"Porteous, Haydn",0.0,0.2,21.4,-0.16569896
135,"Otto, Hennie",0.0,0.3,24.5,-0.16569896
136,"Mostert, Dylan",0.0,0.0,12.4,-0.16569896
137,"Mavundla, Thanda",0.0,0.0,10.1,-0.16569896
138,"Schietekat, Neil",0.0,0.0,14.5,-0.16569896
139,"Van Driel, Darius",0.0,0.3,23.3,-0.18403564100000003
140,"Winther, Jeff",0.0,0.3,23.7,-0.39320880999999996
