rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Ayora, Angel",3.77,24.1,74.3,0.0
2,"Lindell, Oliver",1.88,14.9,66.1,0.0
3,"Kimsey, Nathan",1.41,13.3,64.2,0.0
4,"Bradbury, Dan",1.4,12.9,62.7,0.0
5,"Young, Daniel",1.28,11.2,60.9,0.0
6,"LaCroix, Frederic",1.28,12.1,62.2,0.0
7,"Lee, Junghwan",1.27,11.2,61.2,0.0
8,"Jin, Bo",1.26,11.5,61.5,0.0
9,"Liu, Yanwei",1.26,11.2,61.3,0.0
10,"Bai, Bobby",1.25,10.8,61.3,0.0
11,"Tong, Yang",1.24,11.1,61.1,0.0
12,"Lam, Isaac",1.24,11.1,60.6,0.0
13,"McKinney, Connor",1.23,11.1,61.3,0.0
14,"Quayle, Anthony",1.23,11.2,61.2,0.0
15,"Mory, Felix",1.22,11.0,60.9,0.0
16,"Ting, Lawrence",1.22,11.3,61.1,0.0
17,"Ang, Ryan",1.22,11.1,60.3,0.0
18,"Jonsson, Tobias",1.21,10.9,60.8,0.0
19,"Zheng, Sampson",1.21,11.1,61.4,0.0
20,"Lu, Shawn",1.21,11.2,60.9,0.0
21,"Li, Linqiang",1.21,11.1,61.0,0.0
22,"Chacarra, Eugenio",1.21,11.3,61.2,0.0
23,"Ding, Wenyi",1.2,11.2,61.4,0.0
24,"Sui, Justin",1.2,11.3,60.9,0.0
25,"Bergstrom, Albin",1.2,11.0,61.8,0.0
26,"Zhou, Yanhan",1.19,11.2,60.5,0.0
27,"Chai, Bowen",1.19,11.2,61.2,0.0
28,"Cheng, Xirong",1.19,11.0,61.1,0.0
29,"Krug, Ben",1.18,11.3,61.2,0.0
30,"Ozeki, Kakeru",1.18,11.0,61.2,0.0
31,"Mazzoli, Stefano",1.18,11.1,61.5,0.0
32,"Peng, Bo",1.17,10.9,60.7,0.0
33,"Yu, Fang",1.17,11.2,61.2,0.0
34,"Burton, Jeffrey",1.17,11.0,61.0,0.0
35,"Da Costa Rodrigues, Daniel",1.17,11.1,61.2,0.0
36,"Jefferson Go, Lloyd",1.17,11.2,61.4,0.0
37,"Zhang, Xinjun",1.16,10.9,61.0,0.0
38,"Toorop, Mike",1.16,10.9,60.8,0.0
39,"Hak, Shunyat",1.16,11.2,61.2,0.0
40,"Cao, Senshou",1.16,10.8,60.6,0.0
41,"Adam, Cameron",1.15,11.1,60.9,0.0
42,"Walker, Euan",1.14,10.9,60.8,0.0
43,"Xiao, Bowen",1.14,10.8,60.9,0.0
44,"Kho, Taichi",1.14,10.8,61.1,0.0
45,"Wu, Hongfu",1.13,11.2,60.8,0.0
46,"Zi, Wang",1.13,10.9,61.1,0.0
47,"Peake, Ryan",1.13,10.8,61.0,0.0
48,"Kuang, Yang",1.13,11.1,60.9,0.0
49,"Jin, Zihao",1.13,10.9,60.8,0.0
50,"Debove, Quentin",1.13,11.3,60.7,0.0
51,"Killen, Matt",1.13,11.1,61.5,0.0
52,"Repetto Taylor, Rocco Paolo",1.12,11.2,60.9,0.0
53,"Charmasson, Clement",1.12,11.1,60.9,0.0
54,"Schneider, Jan",1.11,10.9,60.9,0.0
55,"Huang, Zijie",1.11,11.2,61.1,0.0
56,"Broomhead, Jonothan",1.11,11.1,60.8,0.0
57,"Tang, Haizhao",1.11,11.4,61.4,0.0
58,"Lin, Yuxin",1.11,11.0,61.2,0.0
59,"Jun, Liu",1.1,11.1,61.1,0.0
60,"Steinlechner, Maximilian",1.1,11.1,61.1,0.0
61,"Guillamoundeguy, Oihan",1.1,11.2,61.5,0.0
62,"Kaneko, Kota",1.08,11.2,61.4,0.0
63,"Ok, Taehoon",1.08,11.3,61.3,0.0
64,"Yule, Jack",1.07,10.9,61.2,0.0
65,"Vidal, Quim",1.06,11.1,61.3,0.0
66,"Berry, Joshua",1.06,10.9,61.0,0.0
67,"Forrest, Grant",1.05,10.8,61.1,0.0
68,"Townsend, Hugo",1.05,10.9,61.1,0.0
69,"Wang, Charles",1.02,10.8,61.0,0.0
70,"Lindberg, Mikael",1.0,10.8,60.6,0.0
71,"Molinari, Francesco",0.88,8.5,56.6,0.0
72,"Campillo, Jorge",0.85,8.4,56.2,0.0
73,"Armitage, Marcus",0.8,8.8,57.3,0.0
74,"Couvra, Martin",0.65,7.5,54.8,0.0
75,"Hill, Calum",0.62,6.5,53.0,0.0
76,"Elvira Mijares, Ignacio",0.6,7.6,55.6,0.0
77,"Lawrence, Thriston",0.57,7.6,54.5,0.0
78,"Sullivan, Andy",0.55,6.3,52.2,0.0
79,"Luiten, Joost",0.54,6.9,53.1,0.0
80,"Jordan, Matthew",0.53,7.4,54.4,0.0
81,"Norgaard, Niklas",0.5,5.8,50.9,0.0
82,"Kobori, Kazuma",0.47,6.1,52.1,0.0
83,"Robinson Thompson, Brandon",0.44,6.2,52.3,0.0
84,"Schmidt, Ben",0.42,5.4,49.8,0.0
85,"Otaegui, Adrian",0.41,6.2,52.8,0.0
86,"Pepperell, Eddie",0.4,5.3,49.3,0.0
87,"Halvorsen, Andreas",0.38,4.9,48.2,0.0
88,"Coussaud, Ugo",0.37,4.5,47.5,0.0
89,"Scrivener, Jason",0.36,5.1,49.2,0.0
90,"Vaillant, Tom",0.35,4.9,48.8,0.0
91,"Girrbach, Joel",0.34,4.4,48.7,0.0
92,"Elvira, Manuel",0.32,4.9,48.4,0.0
93,"Cabrera Bello, Rafa",0.31,4.4,48.1,0.0
94,"De Leo, Gregorio",0.3,5.0,49.0,0.0
95,"Schott, Freddy",0.29,4.1,46.8,0.0
96,"Crocker, Sean",0.26,4.0,46.1,0.0
97,"Lemke, Niklas",0.24,3.1,43.1,0.0
98,"Van Driel, Darius",0.21,3.2,42.6,0.0
99,"Cockerill, Aaron",0.19,3.9,45.6,0.0
100,"Aphibarnrat, Kiradech",0.16,3.0,41.6,0.0
101,"Frittelli, Dylan",0.16,2.4,40.1,0.0
102,"Lombard, Zander",0.15,3.4,43.9,0.0
103,"Law, David",0.14,2.5,40.1,0.0
104,"Bryant, Davis",0.14,3.0,42.2,0.0
105,"Katsuragawa, Yuto",0.13,2.1,37.4,0.0
106,"Hidalgo Portillo, Angel",0.12,1.8,36.5,0.0
107,"Wu, Ashun",0.11,1.7,36.0,0.0
108,"Micheluzzi, David",0.1,1.5,35.8,0.0
109,"Gumberg, Jordan",0.1,1.8,36.5,0.0
110,"Arnaus, Adri",0.09,1.4,33.7,0.0
111,"Garcia Rodriguez, Sebastian",0.09,2.1,38.1,0.0
112,"Senior, Jack",0.09,1.7,36.0,0.0
113,"Cantero Gutierrez, Ivan",0.08,1.8,36.2,0.0
114,"Sharma, Shubhankar",0.06,1.2,32.7,0.0
115,"Morrison, James",0.06,1.3,32.2,0.0
116,"Fisher, Ross",0.04,1.0,30.8,0.0
117,"Baldwin, Matthew",0.03,0.7,28.6,0.0
118,"Larrazabal, Pablo",0.03,0.9,29.0,0.0
119,"Onishi, Kaito",0.02,0.6,25.8,0.0
120,"Ko, Jeong Weon",0.02,0.3,21.0,0.0
