rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Schaper, Jayden",3.69,23.2,67.4,0.0
2,"Ayora, Angel",3.04,20.5,65.0,0.0
3,"Du Plessis, Hennie",2.86,20.2,64.6,0.0
4,"Lindell, Oliver",2.08,16.1,60.6,0.0
5,"Chacarra, Eugenio",1.99,15.2,59.1,0.0
6,"Steinlechner, Maximilian",1.29,11.2,53.5,0.0
7,"Mory, Felix",1.24,10.8,53.2,0.0
8,"Quayle, Anthony",1.24,11.0,53.6,0.0
9,"Charmasson, Clement",1.21,11.2,53.2,0.0
10,"Kaneko, Kota",1.21,10.5,53.3,0.0
11,"Adam, Cameron",1.2,10.5,53.2,0.0
12,"Ereno Perez, Pablo",1.2,10.8,53.2,0.0
13,"Mjaaseth, Michael",1.2,10.8,53.2,0.0
14,"Toorop, Mike",1.19,11.1,53.5,0.0
15,"Helligkilde, Marcus",1.19,10.7,53.2,0.0
16,"Young, Daniel",1.18,10.6,53.6,0.0
17,"McKinney, Connor",1.18,10.9,53.6,0.0
18,"Logan, Hunter",1.17,10.6,53.1,0.0
19,"Sandhu, Yuvraj Singh",1.16,10.8,53.4,0.0
20,"Gallegos, Andres",1.16,10.7,53.5,0.0
21,"Ferguson, Ewen",1.16,11.0,53.7,0.0
22,"Premlall, Yurav",1.16,10.7,53.5,0.0
23,"Blomme, Adam",1.15,11.0,53.1,0.0
24,"Ritchie, JC",1.15,10.5,53.3,0.0
25,"Biondi, Fred",1.15,10.9,53.0,0.0
26,"Daffue, MJ",1.15,10.4,53.1,0.0
27,"Gavins, Daniel",1.15,10.8,53.1,0.0
28,"Debove, Quentin",1.15,10.5,52.8,0.0
29,"Zhou, Yanhan",1.14,10.7,53.3,0.0
30,"Erickson, Dan",1.14,10.6,53.0,0.0
31,"Repetto Taylor, Rocco Paolo",1.14,10.7,53.2,0.0
32,"Peake, Ryan",1.13,10.7,53.3,0.0
33,"Johnston, Andrew",1.13,10.6,53.4,0.0
34,"Boneta, Albert",1.12,10.5,52.6,0.0
35,"Vidal, Quim",1.12,10.6,53.3,0.0
36,"Van Tonder, Daniel",1.12,10.7,53.4,0.0
37,"Jonsson, Tobias",1.12,10.3,53.1,0.0
38,"Townsend, Hugo",1.12,10.6,53.2,0.0
39,"Kimsey, Nathan",1.12,10.4,52.5,0.0
40,"Molinari, Francesco",1.11,10.2,52.6,0.0
41,"Buchanan, Jack",1.11,10.6,53.3,0.0
42,"Da Costa Rodrigues, Daniel",1.1,10.7,53.4,0.0
43,"Paratore, Renato",1.1,10.8,53.3,0.0
44,"Follet-Smith, Benjamin",1.09,10.6,53.6,0.0
45,"Hollick, Michael",1.09,10.4,53.2,0.0
46,"Walker, Euan",1.08,10.8,53.0,0.0
47,"Guillamoundeguy, Oihan",1.07,10.7,53.4,0.0
48,"Kaewkanjana, Sadom",1.07,10.3,53.4,0.0
49,"Mestre Carceller, Vicente",1.07,10.7,53.9,0.0
50,"Fdez-Castano, Gonzalo",1.07,10.5,53.5,0.0
51,"Mazzoli, Stefano",1.07,10.8,53.6,0.0
52,"Pastor, Victor",1.06,10.5,53.5,0.0
53,"Broomhead, Jonothan",1.06,10.5,53.6,0.0
54,"Yule, Jack",1.06,10.7,53.1,0.0
