rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Fitzpatrick, Matt",9.4,40.9,79.8,0.0
2,"Griffin, Ben",3.23,22.0,67.4,0.0
3,"Stevens, Sam",3.14,21.3,67.0,0.0
4,"Gerard, Ryan",2.91,21.2,66.3,0.0
5,"Thorbjornsen, Michael",2.76,19.4,65.0,0.0
6,"Theegala, Sahith",2.45,18.8,63.9,0.0
7,"Lowry, Shane",2.11,16.4,61.9,0.0
8,"Smalley, Alex",1.88,15.1,60.8,0.0
9,"Thompson, Davis",1.87,15.7,60.3,0.0
10,"Mitchell, Keith",1.86,15.8,61.8,0.0
11,"Smith, Jordan",1.82,15.0,59.9,0.0
12,"Koepka, Brooks",1.65,14.0,59.5,0.0
13,"McCarty, Matt",1.6,13.7,58.6,0.0
14,"Clark, Wyndham",1.58,14.4,59.7,0.0
15,"Penge, Marco",1.54,13.9,59.3,0.0
16,"Brennan, Michael",1.49,12.3,57.1,0.0
17,"Pendrith, Taylor",1.47,13.2,57.4,0.0
18,"McGreevy, Max",1.46,13.3,58.2,0.0
19,"Yellamaraju, Sudarshan",1.43,12.4,57.1,0.0
20,"Wallace, Matt",1.35,13.0,57.8,0.0
21,"Reitan, Kristoffer",1.32,12.7,57.1,0.0
22,"Rai, Aaron",1.25,11.7,55.9,0.0
23,"Bezuidenhout, Christiaan",1.23,12.2,57.1,0.0
24,"Meissner, Mac",1.22,11.6,56.0,0.0
25,"Parry, John",1.19,11.8,56.0,0.0
26,"Jarvis, Casey",1.19,10.9,54.8,0.0
27,"Hoey, Rico",1.18,11.5,56.0,0.0
28,"Fitzpatrick, Alex",1.16,11.3,55.8,0.0
29,"Dumont De Chassart, Adrien",1.14,11.0,54.7,0.0
30,"Ghim, Doug",0.98,10.1,53.1,0.0
31,"Li, Haotong",0.98,10.5,54.1,0.0
32,"Novak, Andrew",0.96,9.8,52.9,0.0
33,"Neergaard-Petersen, Rasmus",0.91,9.7,52.5,0.0
34,"Smotherman, Austin",0.9,9.4,52.9,0.0
35,"Yu, Kevin",0.83,9.0,51.4,0.0
36,"Kim, Tom",0.83,9.6,53.3,0.0
37,"Putnam, Andrew",0.81,8.9,51.5,0.0
38,"Jaeger, Stephan",0.78,8.7,51.1,0.0
39,"Mouw, William",0.77,8.3,50.2,0.0
40,"Cole, Eric",0.76,8.4,51.2,0.0
41,"Eckroat, Austin",0.75,8.8,50.9,0.0
42,"Finau, Tony",0.73,8.4,50.4,0.0
43,"Hodges, Lee",0.72,7.9,49.8,0.0
44,"Power, Seamus",0.68,7.8,49.7,0.0
45,"Kirk, Chris",0.67,7.9,49.8,0.0
46,"Roy, Kevin",0.66,7.9,50.3,0.0
47,"Moore, Taylor",0.62,7.7,49.0,0.0
48,"Hughes, Mackenzie",0.62,7.2,48.4,0.0
49,"Ramey, Chad",0.6,7.1,47.7,0.0
50,"Keefer, Johnny",0.6,7.7,49.2,0.0
51,"Greyserman, Max",0.58,7.0,49.0,0.0
52,"Hossler, Beau",0.55,6.1,46.2,0.0
53,"Whaley, Vince",0.51,6.4,46.9,0.0
54,"Hahn, James",0.51,6.0,45.3,0.0
55,"Ventura, Kris",0.5,6.1,45.9,0.0
56,"Schmid, Matti",0.49,6.4,46.8,0.0
57,"Dufner, Jason",0.49,5.9,45.9,0.0
58,"Duncan, Tyler",0.48,6.2,45.8,0.0
59,"Stanger, Jimmy",0.48,6.2,45.0,0.0
60,"Brehm, Ryan",0.48,5.9,45.6,0.0
61,"Knox, Russell",0.47,6.0,45.3,0.0
62,"Couvra, Martin",0.47,5.9,44.8,0.0
63,"Ewart, A.J.",0.47,6.0,45.4,0.0
64,"Stanley, Kyle",0.46,5.9,45.4,0.0
65,"Chatfield, Davis",0.46,5.7,45.0,0.0
66,"Cook, Austin",0.46,6.2,45.1,0.0
67,"Nyholm, Pontus",0.45,5.7,45.2,0.0
68,"Streb, Robert",0.45,5.9,45.6,0.0
69,"Dou, Zecheng",0.44,6.0,45.5,0.0
70,"Kang, Jeffrey",0.44,5.9,45.2,0.0
71,"Hirata, Kensei",0.44,6.0,45.4,0.0
72,"Bauchou, Zach",0.44,6.1,45.1,0.0
73,"Lamprecht, Christo",0.44,5.9,45.5,0.0
74,"Dahmen, Joel",0.43,6.0,46.2,0.0
75,"Piercy, Scott",0.43,6.1,45.8,0.0
76,"Brown, Blades",0.43,5.8,45.4,0.0
77,"Svensson, Adam",0.43,5.2,43.3,0.0
78,"VanDerLaan, John",0.42,6.0,45.5,0.0
79,"Sigg, Greyson",0.42,5.0,42.9,0.0
80,"Watney, Nick",0.41,6.1,45.7,0.0
81,"Kohles, Ben",0.41,5.4,44.0,0.0
82,"Rozo, Marcelo",0.41,5.8,45.0,0.0
