rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Schauffele, Xander",24.37,80.1,97.8,08:24,13:14,0.5108276865131055
2,"Hovland, Viktor",18.53,74.7,97.0,08:13,13:03,0.31866402278829975
3,"Homa, Max",7.09,53.8,93.0,13:36,08:46,0.21183391971095228
4,"Thomas, Justin",6.11,50.4,92.4,13:03,08:13,0.3051759589755619
5,"Fitzpatrick, Matt",5.78,50.2,92.3,13:03,08:13,0.5215592364566471
6,"Hisatsune, Ryo",4.8,45.6,91.0,13:20,08:30,0.35612426208570824
7,"Koepka, Brooks",4.08,41.9,89.7,08:13,13:03,0.3205499932097156
8,"Conners, Corey",3.88,40.2,89.6,08:13,13:03,0.5550728470630493
9,"Theegala, Sahith",3.43,38.8,88.2,13:25,08:35,0.26273287477885476
10,"McCarty, Matt",3.02,36.4,87.8,08:30,13:20,0.3537331386298691
11,"Spieth, Jordan",2.55,33.0,86.9,13:14,08:24,0.2473849106952407
12,"Bridgeman, Jacob",2.12,30.8,85.2,13:14,08:24,0.04299413430403107
13,"Horschel, Billy",1.86,28.9,84.3,08:35,13:25,-0.04549965058273078
14,"Power, Seamus",1.17,22.0,81.0,12:36,07:46,0.24734925529678872
15,"Bradley, Keegan",1.17,22.8,81.0,08:24,13:14,0.17168721908502624
16,"Neergaard-Petersen, Rasmus",1.05,20.4,79.6,14:15,09:25,0.40189172311280397
17,"Meissner, Mac",1.0,20.0,79.4,13:31,08:41,0.015129703944057243
18,"Cauley, Bud",0.98,19.2,79.3,12:47,07:57,-0.024522835042904395
19,"Griffin, Ben",0.6,14.4,74.9,13:25,08:35,0.19614574923989436
20,"Smotherman, Austin",0.55,13.8,74.0,08:02,12:52,0.2817817005573437
21,"Castillo, Ricky",0.55,15.3,75.2,08:35,13:25,0.04924575654227503
22,"Moore, Taylor",0.45,11.7,71.5,12:41,07:51,0.06756742642057806
23,"Glover, Lucas",0.44,12.4,73.1,12:58,08:08,0.08063259496818839
24,"Phillips, Chandler",0.41,11.9,71.7,07:57,12:47,-0.012312175103331734
