rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Kim, Si Woo",4.26,25.5,69.6,0.0
2,"English, Harris",3.86,23.2,68.0,0.0
3,"Hoey, Rico",3.12,20.8,65.9,0.0
4,"Thorbjornsen, Michael",2.78,19.6,64.5,0.0
5,"Olesen, Thorbjorn",2.65,18.6,64.0,0.0
6,"Poston, J.T.",2.48,18.0,63.1,0.0
7,"Berger, Daniel",2.08,16.1,60.8,0.0
8,"Harman, Brian",2.05,16.5,61.7,0.0
9,"Thompson, Davis",2.02,16.6,60.8,0.0
10,"Yu, Kevin",1.91,15.7,60.3,0.0
11,"Knapp, Jake",1.86,15.3,59.8,0.0
12,"McCarthy, Denny",1.76,15.0,59.7,0.0
13,"Kirk, Chris",1.76,14.2,57.7,0.0
14,"Coody, Pierceson",1.57,13.4,57.5,0.0
15,"Gerard, Ryan",1.49,12.5,56.4,0.0
16,"Meissner, Mac",1.47,12.9,56.9,0.0
17,"Echavarria, Nico",1.44,13.0,56.7,0.0
18,"Cauley, Bud",1.39,12.2,56.1,0.0
19,"Stevens, Sam",1.38,12.8,56.6,0.0
20,"Wallace, Matt",1.32,11.8,55.7,0.0
21,"Ramey, Chad",1.28,11.5,55.1,0.0
22,"An, Byeong Hun",1.26,11.7,55.0,0.0
23,"Bridgeman, Jacob",1.25,11.6,55.4,0.0
24,"Smalley, Alex",1.23,11.1,53.9,0.0
25,"Rodgers, Patrick",1.15,10.7,53.3,0.0
26,"Novak, Andrew",1.14,10.3,53.3,0.0
27,"Kuchar, Matt",1.13,10.8,54.3,0.0
28,"Whaley, Vince",1.11,10.5,53.8,0.0
29,"Fisk, Steven",1.07,10.0,52.5,0.0
30,"Ghim, Doug",1.0,9.8,52.9,0.0
31,"Mitchell, Keith",0.99,10.8,53.6,0.0
32,"Valimaki, Sami",0.93,9.2,50.8,0.0
33,"McGreevy, Max",0.93,9.6,52.1,0.0
34,"Cole, Eric",0.92,9.6,51.7,0.0
35,"Hossler, Beau",0.91,9.5,52.4,0.0
36,"Perez, Victor",0.91,10.4,53.1,0.0
37,"Mouw, William",0.89,8.9,50.1,0.0
38,"Kanaya, Takumi",0.86,9.6,51.4,0.0
39,"Dumont De Chassart, Adrien",0.84,9.4,51.0,0.0
40,"Eckroat, Austin",0.83,8.5,49.9,0.0
41,"Power, Seamus",0.75,8.0,48.8,0.0
42,"Theegala, Sahith",0.75,8.3,50.1,0.0
43,"Rosenmueller, Thomas",0.74,7.7,48.9,0.0
44,"Ventura, Kris",0.73,7.8,49.0,0.0
45,"Clanton, Luke",0.71,7.8,48.5,0.0
46,"Castillo, Ricky",0.71,7.4,47.9,0.0
47,"Hodges, Lee",0.69,8.4,49.4,0.0
48,"Hughes, Mackenzie",0.69,7.6,48.2,0.0
49,"Svensson, Jesper",0.68,7.3,47.8,0.0
50,"Sigg, Greyson",0.66,7.9,48.9,0.0
51,"Hubbard, Mark",0.63,7.4,47.9,0.0
52,"Silverman, Ben",0.63,7.0,46.9,0.0
53,"Redman, Doc",0.62,6.5,45.4,0.0
54,"Cook, Austin",0.62,6.6,45.4,0.0
55,"Dufner, Jason",0.61,6.4,45.3,0.0
56,"Hisatsune, Ryo",0.6,6.6,46.7,0.0
57,"Byrd, Jonathan",0.6,6.6,45.8,0.0
58,"Brown, Blades",0.58,6.3,45.6,0.0
59,"Cone, Trevor",0.57,7.0,47.0,0.0
60,"Brennan, Michael",0.57,6.6,45.7,0.0
61,"Suber, Jackson",0.57,6.5,46.1,0.0
62,"Watney, Nick",0.57,6.3,45.5,0.0
63,"Moore, Taylor",0.56,6.3,46.1,0.0
64,"Young, Carson",0.55,7.1,47.1,0.0
65,"Hahn, James",0.54,6.6,46.1,0.0
66,"Valdes, Brendan",0.53,6.6,46.4,0.0
67,"Keefer, Johnny",0.53,6.5,45.8,0.0
68,"Fishburn, Patrick",0.53,6.7,46.8,0.0
69,"Love III, Davis",0.52,6.2,45.6,0.0
70,"Covello, Vince",0.52,6.4,45.4,0.0
71,"Polland, Ben",0.51,6.4,46.2,0.0
72,"Westmoreland, Kyle",0.5,6.4,45.9,0.0
73,"Streb, Robert",0.5,6.4,45.5,0.0
74,"Howell, Mason",0.5,6.4,45.6,0.0
75,"Roy, Kevin",0.49,6.3,45.7,0.0
76,"Sargent, Gordon",0.48,6.3,45.6,0.0
77,"Champ, Cameron",0.48,6.2,44.5,0.0
78,"Simpson, Webb",0.47,5.8,44.4,0.0
79,"Ford, David",0.46,5.9,44.3,0.0
80,"Springer, Hayden",0.46,6.1,45.4,0.0
81,"Salinda, Isaiah",0.45,5.4,43.1,0.0
82,"Sanders, Matt",0.45,6.5,45.9,0.0
83,"Lipsky, David",0.44,5.7,44.2,0.0
84,"Bramlett, Joseph",0.43,5.6,44.2,0.0
85,"Jaeger, Stephan",0.42,5.0,42.2,0.0
86,"Kohles, Ben",0.4,4.9,42.9,0.0
87,"Griffin, Lanto",0.37,5.1,42.7,0.0
88,"Skinns, David",0.36,4.8,41.3,0.0
89,"Goodwin, Noah",0.35,4.5,42.0,0.0
90,"Lower, Justin",0.35,4.6,41.5,0.0
91,"Ryder, Sam",0.35,5.1,42.6,0.0
92,"Hoge, Tom",0.34,3.9,39.2,0.0
93,"Phillips, Chandler",0.34,4.3,40.3,0.0
94,"Putnam, Andrew",0.34,4.7,41.6,0.0
95,"Paul, Jeremy",0.32,4.5,41.2,0.0
96,"Norgaard, Niklas",0.32,4.7,41.1,0.0
97,"Wu, Dylan",0.31,4.4,41.1,0.0
98,"Svensson, Adam",0.3,4.4,39.9,0.0
99,"Hadwin, Adam",0.29,3.7,38.0,0.0
100,"Dahmen, Joel",0.28,4.7,41.8,0.0
101,"Rozner, Antoine",0.27,4.3,40.2,0.0
102,"Snedeker, Brandt",0.26,4.1,39.1,0.0
103,"Blair, Zac",0.26,4.1,39.6,0.0
104,"Montgomery, Taylor",0.26,4.2,40.0,0.0
105,"Vilips, Karl",0.25,3.4,37.4,0.0
106,"Hardy, Nick",0.25,3.9,39.0,0.0
107,"Johnson, Zach",0.24,3.5,37.5,0.0
108,"Schenk, Adam",0.23,3.2,35.9,0.0
109,"Kizzire, Patton",0.21,3.4,37.1,0.0
110,"Kim, Chan",0.21,3.1,35.8,0.0
111,"Garnett, Brice",0.2,3.2,36.0,0.0
112,"NeSmith, Matt",0.19,2.7,34.0,0.0
113,"Duncan, Tyler",0.17,2.5,34.5,0.0
114,"Mullinax, Trey",0.17,2.9,34.6,0.0
115,"Cummins, Quade",0.17,3.3,37.4,0.0
116,"Laird, Martin",0.17,3.1,35.6,0.0
117,"Shelton, Robby",0.16,3.0,36.1,0.0
118,"Buckley, Hayden",0.16,2.5,33.8,0.0
119,"Pavon, Matthieu",0.16,2.7,35.1,0.0
120,"Pak, John",0.15,2.6,34.8,0.0
121,"Walker, Danny",0.14,2.1,31.8,0.0
122,"Norlander, Henrik",0.14,2.5,33.5,0.0
123,"Hoshino, Rikuya",0.13,1.9,31.3,0.0
124,"Riley, Davis",0.13,2.1,31.4,0.0
125,"Martin, Ben",0.12,2.4,32.8,0.0
126,"Higgs, Harry",0.11,2.0,31.1,0.0
127,"Peterson, Paul",0.1,2.0,32.1,0.0
128,"List, Luke",0.1,1.8,29.8,0.0
129,"Merritt, Troy",0.09,1.6,28.9,0.0
130,"Velo, Kevin",0.08,1.7,29.3,0.0
131,"Gordon, Will",0.08,1.6,29.8,0.0
132,"Highsmith, Joe",0.08,1.7,30.5,0.0
133,"Frittelli, Dylan",0.08,0.9,24.2,0.0
134,"Widing, Tim",0.07,1.5,28.0,0.0
135,"Kisner, Kevin",0.05,1.1,26.3,0.0
136,"Thornberry, Braden",0.04,0.9,23.8,0.0
137,"Dickson, Taylor",0.04,0.8,22.8,0.0
138,"Hadley, Chesson",0.04,0.9,24.0,0.0
139,"Piercy, Scott",0.04,0.5,19.6,0.0
140,"Streelman, Kevin",0.03,1.0,25.1,0.0
141,"Andersen, Mason",0.03,0.9,23.3,0.0
142,"Albertson, Anders",0.03,0.6,21.9,0.0
143,"Campos, Rafael",0.02,0.7,21.4,0.0
144,"Chandler, Will",0.02,0.8,23.4,0.0
145,"Endycott, Harrison",0.02,0.9,23.1,0.0
146,"Riedel, Matthew",0.02,0.6,20.4,0.0
147,"Capan III, Frankie",0.02,0.4,18.8,0.0
148,"Del Solar, Cristobal",0.02,0.4,17.2,0.0
149,"Onishi, Kaito",0.02,0.4,17.8,0.0
150,"Villegas, Camilo",0.01,0.5,18.8,0.0
151,"Todd, Brendon",0.01,0.2,14.9,0.0
152,"Palmer, Ryan",0.0,0.2,12.0,0.0
