rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Schauffele, Xander",21.75,74.5,96.0,0.0
2,"Hojgaard, Nicolai",12.92,62.9,93.8,0.0
3,"Scott, Adam",8.89,54.2,91.6,0.0
4,"Stevens, Sam",4.9,41.8,88.0,0.0
5,"Matsuyama, Hideki",4.77,40.2,87.1,0.0
6,"Knapp, Jake",4.6,40.7,87.4,0.0
7,"Pendrith, Taylor",4.29,37.4,86.3,0.0
8,"Aberg, Ludvig",4.27,38.6,86.9,0.0
9,"Bhatia, Akshay",3.87,36.8,85.9,0.0
10,"Zalatoris, Will",3.86,36.6,85.8,0.0
11,"Gerard, Ryan",3.06,32.8,83.8,0.0
12,"Bradley, Keegan",2.32,27.6,81.6,0.0
13,"Young, Cameron",2.16,27.6,81.5,0.0
14,"Kim, Si Woo",1.94,25.8,80.3,0.0
15,"Gotterup, Chris",1.77,24.3,79.5,0.0
16,"Noren, Alex",1.19,19.8,76.2,0.0
17,"Homa, Max",1.0,18.4,74.7,0.0
18,"Rai, Aaron",0.98,17.5,74.6,0.0
19,"Castillo, Ricky",0.97,17.1,74.0,0.0
20,"Rose, Justin",0.96,17.4,74.3,0.0
21,"Day, Jason",0.9,16.9,73.7,0.0
22,"McNealy, Maverick",0.67,12.7,70.1,0.0
23,"Valimaki, Sami",0.55,12.0,69.0,0.0
24,"Smotherman, Austin",0.51,11.1,67.3,0.0
25,"Potgieter, Aldrich",0.48,12.1,68.2,0.0
26,"Theegala, Sahith",0.44,12.2,68.5,0.0
27,"Clanton, Luke",0.4,9.6,65.0,0.0
28,"Spaun, J.J.",0.38,8.8,64.0,0.0
29,"Ghim, Doug",0.36,10.0,65.7,0.0
30,"Clark, Wyndham",0.35,9.5,64.7,0.0
31,"Cantlay, Patrick",0.31,8.8,63.7,0.0
32,"Finau, Tony",0.3,8.0,61.9,0.0
33,"Ventura, Kris",0.24,7.5,61.7,0.0
34,"Bezuidenhout, Christiaan",0.21,6.6,59.3,0.0
35,"English, Harris",0.2,6.2,59.0,0.0
36,"Rodgers, Patrick",0.2,6.4,59.2,0.0
37,"Higgo, Garrick",0.18,5.9,58.2,0.0
38,"Thorbjornsen, Michael",0.16,5.1,56.7,0.0
39,"Hojgaard, Rasmus",0.15,5.1,55.0,0.0
40,"Hossler, Beau",0.15,5.2,55.5,0.0
41,"Yu, Kevin",0.14,5.9,57.6,0.0
42,"McCarty, Matt",0.12,4.7,55.3,0.0
43,"Neergaard-Petersen, Rasmus",0.12,4.2,53.5,0.0
44,"Penge, Marco",0.1,4.1,53.2,0.0
45,"List, Luke",0.09,3.8,52.5,0.0
46,"Greyserman, Max",0.09,3.0,49.8,0.0
47,"Putnam, Andrew",0.08,3.4,49.9,0.0
48,"Jaeger, Stephan",0.07,3.2,50.1,0.0
49,"Kim, Michael",0.07,2.1,45.1,0.0
50,"Meissner, Mac",0.06,2.2,45.6,0.0
51,"Novak, Andrew",0.06,2.6,46.7,0.0
52,"Horschel, Billy",0.06,2.7,47.9,0.0
53,"Pavon, Matthieu",0.06,2.4,45.2,0.0
54,"Olesen, Thorbjorn",0.06,3.5,50.9,0.0
55,"Reitan, Kristoffer",0.05,2.7,48.1,0.0
56,"Parry, John",0.05,2.8,49.0,0.0
57,"Kanaya, Takumi",0.04,2.9,48.4,0.0
58,"Svensson, Jesper",0.04,1.3,38.8,0.0
59,"Hodges, Lee",0.04,2.5,47.0,0.0
60,"Brown, Dan",0.04,1.7,41.9,0.0
61,"Li, Haotong",0.04,1.6,42.0,0.0
62,"Grillo, Emiliano",0.04,1.3,39.5,0.0
63,"Smith, Jordan",0.04,2.2,45.3,0.0
64,"Coody, Pierceson",0.03,1.3,39.2,0.0
65,"Kim, S.H.",0.03,1.3,39.1,0.0
66,"Vegas, Jhonattan",0.03,2.2,45.5,0.0
67,"Bauchou, Zach",0.03,1.0,37.3,0.0
68,"Blanchet, Chandler",0.03,1.2,37.7,0.0
69,"Shipley, Neal",0.03,1.1,37.8,0.0
70,"Woodland, Gary",0.03,1.3,38.7,0.0
71,"Thompson, Davis",0.02,1.5,41.1,0.0
72,"Moore, Taylor",0.02,1.3,39.8,0.0
