rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Thompson, Davis",38.71,89.3,99.0,0.5003931292358836
2,"Yu, Kevin",16.06,73.3,97.1,0.48533946180596865
3,"Fisk, Steven",7.33,55.7,93.7,-0.01274489785086716
4,"Van Rooyen, Erik",6.52,53.6,93.6,0.1695841202694861
5,"Hubbard, Mark",4.81,46.9,91.9,0.16718089131291708
6,"Moore, Taylor",2.81,36.8,88.5,0.4223063049195079
7,"Grillo, Emiliano",2.64,34.9,88.2,-0.008264408730778064
8,"Mouw, William",2.3,32.6,87.1,-0.018476864119696956
9,"Ryder, Sam",1.77,30.0,86.2,0.08505631192150163
10,"Crowe, Trace",1.25,23.6,82.8,0.02181524117573258
11,"Kizzire, Patton",1.09,21.8,82.1,-0.11186889888726445
12,"Young, Carson",1.08,22.9,82.8,0.12234475502168934
13,"Meissner, Mac",1.05,21.4,81.4,-0.07384642325864468
14,"Valimaki, Sami",1.04,21.8,82.2,-0.10632982456628445
15,"Phillips, Trent",0.92,18.6,79.4,-0.007060899946391835
16,"Silverman, Ben",0.86,19.1,79.9,-0.0933034593464858
17,"Schmid, Matti",0.84,19.0,79.9,0.1702639290794943
18,"Brown, Blades",0.65,15.0,76.9,-0.007060899946391835
19,"Power, Seamus",0.58,16.0,77.5,-0.0686989242432706
20,"Wu, Dylan",0.57,15.1,76.5,-0.04304477211023406
21,"Whaley, Vince",0.44,11.7,73.0,0.269113410837712
22,"McGreevy, Max",0.43,12.6,74.0,0.09182230626232887
23,"Greyserman, Max",0.28,11.4,72.8,0.192374249928772
24,"Koepka, Brooks",0.26,9.0,69.4,0.11016818150829652
25,"Hojgaard, Rasmus",0.25,8.7,68.6,0.07513900750829651
26,"Hossler, Beau",0.25,9.9,70.4,-0.08874515673185125
27,"Rai, Aaron",0.2,8.7,69.1,0.1007519845082965
28,"Skinns, David",0.2,7.1,65.9,-0.1008531715909369
29,"Bezuidenhout, Christiaan",0.19,7.5,67.1,0.051504387508296515
30,"Penge, Marco",0.19,7.6,67.4,0.056371723508296515
31,"Cole, Eric",0.19,7.1,65.6,0.04764396850829651
32,"Eckroat, Austin",0.17,6.7,65.2,0.08310750750829651
33,"Parry, John",0.17,6.8,65.8,0.0638947455082965
34,"Neergaard-Petersen, Rasmus",0.16,7.4,66.6,0.07714992050829651
35,"Jarvis, Casey",0.16,7.2,67.1,0.07968968250829651
36,"Ghim, Doug",0.15,6.8,65.0,0.08585522932369011
37,"Hoey, Rico",0.15,6.5,64.6,0.3164500649656815
38,"Li, Haotong",0.15,6.0,64.2,0.06497747250829651
39,"Dou, Zecheng",0.14,6.0,64.1,-0.007060899946391835
40,"Garnett, Brice",0.14,6.2,64.0,-0.2937754776526757
41,"Kohles, Ben",0.14,5.9,63.1,0.0913438633697008
42,"Lawrence, Thriston",0.12,5.1,61.5,0.09996460020141702
43,"Keefer, Johnny",0.1,4.8,60.6,0.04541036250829651
44,"Jaeger, Stephan",0.1,5.2,62.1,0.017107006508296503
45,"Saddier, Adrien",0.1,4.2,58.7,0.014984042508296507
46,"Walker, Danny",0.1,3.9,59.6,0.06287580387515768
47,"Bauchou, Zach",0.1,5.2,61.9,0.04135592050829651
48,"Hirata, Kensei",0.09,3.9,58.5,-0.007060899946391835
49,"Streelman, Kevin",0.09,5.3,61.5,-0.1332335417223982
50,"Rozo, Marcelo",0.09,4.1,58.5,-0.007060899946391835
51,"Horschel, Billy",0.08,3.7,57.3,0.016313047508296506
52,"Brown, Dan",0.08,4.0,58.7,0.034312757508296515
53,"Hodges, Lee",0.08,3.0,55.4,-0.006415078478317848
54,"Dumont De Chassart, Adrien",0.08,4.3,59.3,0.04342227493897039
55,"Hrabak, Cooper",0.08,3.6,58.0,-0.007060899946391835
56,"Kanaya, Takumi",0.08,4.4,59.8,-0.3196017468569574
57,"Collet, Tyler",0.08,4.0,58.4,-0.007060899946391835
58,"Lebioda, Hank",0.08,3.8,58.2,-0.007060899946391835
59,"Marchese, Nicholas",0.07,3.7,57.9,-0.007060899946391835
60,"VanDerLaan, John",0.07,4.0,58.5,-0.007060899946391835
61,"Vilips, Karl",0.07,3.5,56.6,0.01112472550829651
62,"Ruffels, Ryan",0.07,3.8,58.4,-0.007060899946391835
63,"Wood, Grayson",0.07,4.0,58.0,-0.007060899946391835
64,"Lamprecht, Christo",0.06,3.8,58.3,-0.007060899946391835
