rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",62.69,97.0,100.0,0.5581896204751948
2,"McIlroy, Rory",8.1,66.2,99.7,0.4302573510018937
3,"Henley, Russell",3.95,51.9,99.5,0.2884914846150768
4,"Coody, Pierceson",2.54,42.3,99.2,0.05946936254552025
5,"Conners, Corey",2.31,39.1,99.2,0.3199196715791675
6,"Fitzpatrick, Matt",1.76,34.7,98.8,0.2130917257762331
7,"Kim, Michael",1.74,35.8,98.9,0.04585293956574557
8,"Spieth, Jordan",1.38,33.0,98.8,0.12537249640502177
9,"Bridgeman, Jacob",1.16,29.0,98.3,0.2034320537336238
10,"MacIntyre, Robert",1.15,30.2,98.7,0.3119683972959369
11,"Bradley, Keegan",1.12,30.5,98.6,0.31946474524263735
12,"Fleetwood, Tommy",0.97,26.9,98.2,0.18645817999914943
13,"English, Harris",0.93,25.9,98.2,0.2972038245456682
14,"Fox, Ryan",0.79,24.5,98.1,-0.24083147087748105
15,"Matsuyama, Hideki",0.78,23.5,98.1,0.20721037118119232
16,"Cantlay, Patrick",0.76,23.7,97.9,0.361564109753845
17,"Hovland, Viktor",0.56,20.8,97.7,0.37770677328256647
18,"Morikawa, Collin",0.55,20.5,97.6,0.5189468157307582
19,"Lowry, Shane",0.54,18.5,97.3,0.27948686219442237
20,"Thomas, Justin",0.52,18.2,97.1,0.366427972616608
21,"Young, Cameron",0.49,18.8,97.3,0.10212811116584833
22,"Kitayama, Kurt",0.47,18.3,97.2,0.38830880350413705
23,"Day, Jason",0.45,18.1,97.4,0.16738326471671053
24,"Schauffele, Xander",0.43,17.1,97.2,0.18435208622978932
25,"Berger, Daniel",0.4,16.5,96.8,0.3350253402729087
26,"Griffin, Ben",0.39,16.1,96.8,0.15399003955838664
27,"Kim, Si Woo",0.35,15.6,96.8,0.2575985237759427
28,"Aberg, Ludvig",0.31,15.3,96.8,0.3161621156102765
29,"Im, Sungjae",0.31,13.6,96.3,0.16261524306287228
30,"Kirk, Chris",0.22,10.1,95.2,0.08370732126330893
31,"Gerard, Ryan",0.19,9.9,95.1,0.21587709996646517
32,"Gotterup, Chris",0.16,9.0,95.0,0.17166013196646515
33,"Scott, Adam",0.12,8.1,94.0,0.20297782309530088
34,"Rose, Justin",0.12,7.6,94.0,0.2659036237096109
35,"Spaun, J.J.",0.11,7.8,93.8,0.24227580560410616
36,"Greyserman, Max",0.1,7.1,93.6,-0.2181889462323577
37,"Hall, Harry",0.09,5.6,92.3,0.09129374096646517
38,"Theegala, Sahith",0.09,6.7,93.2,0.20085667391415812
39,"Taylor, Nick",0.09,7.3,93.9,0.11245136986084377
40,"Noren, Alex",0.09,6.2,93.0,-0.0407786067191509
41,"Mitchell, Keith",0.09,6.8,93.7,0.2611004096935543
42,"Putnam, Andrew",0.07,5.7,92.7,-0.14342987748907177
43,"Thorbjornsen, Michael",0.07,5.3,92.4,0.13100607296646516
44,"Burns, Sam",0.07,5.9,92.8,0.13070510485277692
45,"Fowler, Rickie",0.06,5.8,92.8,0.2087634181402772
46,"McCarty, Matt",0.06,5.0,91.6,0.09499561996646516
47,"Hisatsune, Ryo",0.04,4.0,90.7,0.11310963796646516
48,"McCarthy, Denny",0.04,3.7,90.5,-0.04400323555654472
49,"McNealy, Maverick",0.03,2.1,86.4,-0.0015109377283213793
50,"Hojgaard, Nicolai",0.03,2.7,88.5,0.09265900629640303
51,"Echavarria, Nico",0.03,2.5,88.5,0.06036892296646516
52,"Rodgers, Patrick",0.02,2.7,88.5,-0.19958335823891638
53,"Stevens, Sam",0.02,2.9,88.7,0.1584656755688087
54,"Straka, Sepp",0.01,2.2,87.4,0.1094402316307969
55,"Lee, Min Woo",0.01,1.4,84.2,0.18740747061737906
56,"Cauley, Bud",0.01,1.9,85.9,0.05991931096646516
57,"Pendrith, Taylor",0.01,1.3,83.4,-0.10991689002544669
58,"Hoge, Tom",0.01,1.4,84.4,0.03827980307929173
59,"Novak, Andrew",0.01,2.0,86.4,0.18829112897894387
60,"Bennett, Daniel",0.01,1.4,84.1,0.1424980562624259
61,"Moore, Taylor",0.01,1.4,83.9,-0.029119697476856096
62,"Glover, Lucas",0.0,0.2,70.3,0.024030910106070766
63,"Harman, Brian",0.0,0.4,75.9,0.07493546168823853
64,"Bhatia, Akshay",0.0,0.8,80.4,-0.037102009882989326
65,"Campbell, Brian",0.0,0.0,33.8,-0.9460433751494104
66,"Knapp, Jake",0.0,0.1,63.0,-0.37350170931763843
67,"Dahmen, Joel",0.0,0.1,65.0,-0.04580399821455933
68,"Horschel, Billy",0.0,1.0,81.9,0.12337271707194515
69,"Potgieter, Aldrich",0.0,0.1,63.2,-0.023520513612529687
70,"Poston, J.T.",0.0,0.5,76.2,0.06353449786668515
71,"Smotherman, Austin",0.0,1.4,84.3,0.1424980562624259
72,"Vegas, Jhonattan",0.0,0.3,73.4,-0.04782496203353484
