rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime
1,"Scheffler, Scottie",16.86,61.6,99.1,10:20,13:30
2,"McIlroy, Rory",5.83,37.2,97.6,13:30,10:20
3,"Fleetwood, Tommy",4.04,31.2,96.7,12:50,09:35
4,"Schauffele, Xander",3.5,29.2,96.6,10:05,13:20
5,"Fitzpatrick, Matt",3.0,25.3,95.7,12:05,08:50
6,"Kim, Si Woo",2.95,25.9,95.9,11:00,07:50
7,"Morikawa, Collin",2.91,25.4,95.6,09:55,13:10
8,"Lee, Min Woo",2.6,24.5,95.5,08:50,12:05
9,"Young, Cameron",2.17,21.4,95.0,09:15,12:25
10,"Matsuyama, Hideki",2.14,21.0,95.2,13:20,10:05
11,"Gerard, Ryan",1.96,20.3,94.7,11:20,08:10
12,"MacIntyre, Robert",1.91,20.8,94.9,09:35,12:50
13,"Griffin, Ben",1.91,20.2,94.7,12:50,09:35
14,"Henley, Russell",1.85,20.5,94.8,10:20,13:30
15,"Kitayama, Kurt",1.85,19.4,94.5,11:45,08:30
16,"English, Harris",1.85,20.2,94.6,09:25,12:35
17,"McNealy, Maverick",1.78,17.9,93.8,12:35,09:25
18,"Gotterup, Chris",1.69,18.1,94.3,13:10,09:55
19,"Cantlay, Patrick",1.69,19.4,94.2,09:25,12:35
20,"Coody, Pierceson",1.67,18.3,93.8,11:45,08:30
21,"Hojgaard, Nicolai",1.56,17.1,93.6,10:50,07:40
22,"Bridgeman, Jacob",1.53,16.6,93.4,13:10,09:55
23,"Spaun, J.J.",1.49,16.2,93.2,12:25,09:15
24,"Lowry, Shane",1.46,16.9,93.5,10:05,13:20
25,"Bhatia, Akshay",1.38,15.7,93.1,09:45,13:00
26,"Fowler, Rickie",1.34,16.4,93.5,13:40,10:30
27,"Scott, Adam",1.31,15.5,92.8,10:30,13:40
28,"Burns, Sam",1.25,15.4,93.0,12:15,09:05
29,"Hovland, Viktor",1.23,16.0,93.2,13:30,10:20
30,"Thomas, Justin",1.18,15.9,92.9,13:20,10:05
31,"Aberg, Ludvig",1.12,14.4,93.0,13:00,09:45
32,"Stevens, Sam",1.1,13.9,92.4,11:55,08:40
33,"Noren, Alex",1.08,13.9,92.4,08:40,11:55
34,"Rose, Justin",1.04,13.4,92.4,09:55,13:10
35,"Hall, Harry",1.02,12.6,91.5,09:05,12:15
36,"Taylor, Nick",0.91,12.3,91.7,12:25,09:15
37,"Straka, Sepp",0.85,12.1,91.8,09:15,12:25
38,"Mitchell, Keith",0.84,12.2,91.7,10:40,13:50
39,"Thorbjornsen, Michael",0.83,11.3,91.4,08:50,12:05
40,"McCarty, Matt",0.82,11.2,90.8,08:20,11:35
41,"Spieth, Jordan",0.79,11.3,91.3,11:55,08:40
42,"Day, Jason",0.78,11.0,91.0,11:20,08:10
43,"Pendrith, Taylor",0.75,10.9,90.7,11:35,08:20
44,"Bradley, Keegan",0.74,11.8,91.0,12:35,09:25
45,"Poston, J.T.",0.71,10.9,90.8,10:40,13:50
46,"Theegala, Sahith",0.69,10.3,90.3,13:50,10:40
47,"Conners, Corey",0.68,9.8,90.3,09:05,12:15
48,"Echavarria, Nico",0.67,9.9,90.3,13:00,09:45
49,"Greyserman, Max",0.62,9.4,89.6,08:20,11:35
50,"Hisatsune, Ryo",0.6,9.6,89.9,11:10,08:00
51,"Fox, Ryan",0.51,8.1,88.5,08:00,11:10
52,"Li, Haotong",0.51,8.2,88.8,12:05,08:50
53,"Berger, Daniel",0.47,8.6,88.7,08:40,11:55
54,"Im, Sungjae",0.44,7.3,88.1,12:15,09:05
55,"Dahmen, Joel",0.35,6.9,87.4,07:40,10:50
56,"Rodgers, Patrick",0.32,6.0,86.4,08:10,11:20
57,"McCarthy, Denny",0.3,6.7,87.5,11:35,08:20
58,"Novak, Andrew",0.3,5.7,86.0,09:35,12:50
59,"Kim, Michael",0.27,4.9,84.9,13:40,10:30
60,"Kirk, Chris",0.26,4.9,84.5,13:50,10:40
61,"Moore, Taylor",0.24,5.2,85.5,08:30,11:45
62,"Cauley, Bud",0.21,4.8,84.6,11:00,07:50
63,"Potgieter, Aldrich",0.21,4.2,83.6,10:30,13:40
64,"Harman, Brian",0.21,5.1,85.2,09:45,13:00
65,"Bennett, Daniel",0.18,4.0,83.0,07:40,10:50
66,"Putnam, Andrew",0.15,3.1,80.6,08:30,11:45
67,"Smotherman, Austin",0.14,3.9,83.0,10:50,07:40
68,"Glover, Lucas",0.14,3.8,82.9,11:10,08:00
69,"Horschel, Billy",0.1,2.6,79.4,08:00,11:10
70,"Hoge, Tom",0.1,3.0,81.0,07:50,11:00
71,"Vegas, Jhonattan",0.06,1.1,71.8,07:50,11:00
72,"Campbell, Brian",0.02,0.5,65.1,08:10,11:20
