rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Kitayama, Kurt",39.29,87.6,98.2,0.1963567848500673
2,"Mouw, William",9.41,57.5,92.5,0.2467106165945151
3,"Kanaya, Takumi",5.61,47.7,89.9,0.6389342707496294
4,"Stevens, Sam",4.15,40.2,87.4,0.17252272755011971
5,"Scheffler, Scottie",4.09,39.4,86.7,0.24701782381496307
6,"Kim, Tom",3.28,36.6,85.6,0.4281952184457054
7,"Mitchell, Keith",2.89,34.3,84.6,0.11589811906934011
8,"Moore, Taylor",2.84,34.2,84.5,0.3162639669025351
9,"McNealy, Maverick",2.71,33.4,84.8,-0.011035490527115586
10,"Finau, Tony",2.28,30.9,83.6,0.1181109269115646
11,"Greyserman, Max",2.07,29.0,82.2,-0.2714546690658486
12,"Svensson, Jesper",1.82,25.7,80.4,-0.30526960407898296
13,"Horschel, Billy",1.77,24.5,79.3,0.16708603169464015
14,"Olesen, Thorbjorn",1.7,26.4,80.8,0.43054906489501754
15,"Grillo, Emiliano",1.31,22.3,78.3,0.36545729720124975
16,"Ghim, Doug",1.23,20.8,77.0,0.49393363056569917
17,"Perez, Victor",1.18,21.3,77.6,0.458771574619437
18,"Meissner, Mac",1.11,19.8,76.0,0.08914834277226963
19,"Kohles, Ben",0.73,15.0,72.1,0.43417108695950135
20,"Hodges, Lee",0.66,14.0,70.5,0.23671515641215396
21,"Woodland, Gary",0.62,13.9,70.6,0.07719638461096297
22,"Coody, Pierceson",0.6,14.0,70.6,0.3496839964844553
23,"Fishburn, Patrick",0.54,13.1,69.5,0.1618184735964791
24,"Schmid, Matti",0.51,12.8,69.2,0.0546254792845159
25,"Bezuidenhout, Christiaan",0.51,12.8,69.9,0.25600903677860165
26,"Hughes, Mackenzie",0.5,12.6,69.5,0.1444938134287046
27,"Homa, Max",0.5,11.8,68.4,0.35234978940541883
28,"Kuchar, Matt",0.48,11.3,67.6,0.018973691536753934
29,"Im, Sungjae",0.45,11.2,67.4,0.41481618521663743
