rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Scheffler, Scottie",62.59,96.9,100.0,10:20,13:30,0.5575300799936777
2,"McIlroy, Rory",8.07,65.9,99.7,13:30,10:20,0.42859683624644707
3,"Henley, Russell",3.94,51.6,99.4,10:20,13:30,0.28929390957007234
4,"Coody, Pierceson",2.54,42.1,99.1,11:45,08:30,0.06124432959425557
5,"Conners, Corey",2.29,38.9,99.1,09:05,12:15,0.3154184321462911
6,"Fitzpatrick, Matt",1.75,34.4,98.7,12:05,08:50,0.21488182407940765
7,"Kim, Michael",1.73,35.5,98.8,13:40,10:30,0.046242655481636474
8,"Spieth, Jordan",1.37,32.8,98.7,11:55,08:40,0.12626557165531604
9,"Bridgeman, Jacob",1.16,28.7,98.1,13:10,09:55,0.2054796731851286
10,"MacIntyre, Robert",1.15,30.0,98.5,09:35,12:50,0.31217220842134286
11,"Bradley, Keegan",1.12,30.2,98.5,12:35,09:25,0.31601965501890217
12,"Fleetwood, Tommy",0.98,26.6,98.0,12:50,09:35,0.19049959108356015
13,"English, Harris",0.93,25.7,98.0,09:25,12:35,0.29891487079577234
14,"Fox, Ryan",0.81,24.3,97.9,08:00,11:10,-0.235601838452543
15,"Matsuyama, Hideki",0.77,23.3,97.9,13:20,10:05,0.20886539860217415
16,"Cantlay, Patrick",0.76,23.4,97.7,09:25,12:35,0.3590247136209894
17,"Lowry, Shane",0.66,20.3,97.4,10:05,13:20,0.2858293510181232
18,"Hovland, Viktor",0.56,20.6,97.5,13:30,10:20,0.3733488050899436
19,"Morikawa, Collin",0.55,20.2,97.3,09:55,13:10,0.5140123032373765
20,"Thomas, Justin",0.52,18.0,96.8,13:20,10:05,0.3630174199164329
21,"Young, Cameron",0.48,18.6,97.1,09:15,12:25,0.103652733061955
22,"Kitayama, Kurt",0.47,18.1,97.0,11:45,08:30,0.38570757109759746
23,"Day, Jason",0.45,18.0,97.2,11:20,08:10,0.16855453586762958
24,"Schauffele, Xander",0.43,16.9,97.0,10:05,13:20,0.18588979193395477
25,"Berger, Daniel",0.41,16.8,96.7,08:40,11:55,0.33672128795133494
26,"Griffin, Ben",0.39,15.9,96.6,12:50,09:35,0.1560222370122467
27,"Kim, Si Woo",0.34,15.4,96.5,11:00,07:50,0.25550429665291513
28,"Aberg, Ludvig",0.31,15.1,96.5,13:00,09:45,0.3129303327399015
29,"Im, Sungjae",0.31,13.5,96.1,12:15,09:05,0.1613655186090773
30,"Gerard, Ryan",0.19,10.1,94.8,11:20,08:10,0.22603248829348593
31,"Kirk, Chris",0.19,8.7,94.2,13:50,10:40,0.07143199278411107
32,"Gotterup, Chris",0.16,8.9,94.7,13:10,09:55,0.18026011829348598
33,"Scott, Adam",0.13,8.0,93.6,10:30,13:40,0.20008087037710576
34,"Rose, Justin",0.12,7.5,93.6,09:55,13:10,0.2645938045684099
35,"Mitchell, Keith",0.11,8.5,94.3,10:40,13:50,0.2759873183370777
36,"Spaun, J.J.",0.11,7.7,93.3,12:25,09:15,0.2407405976917525
37,"Greyserman, Max",0.1,7.0,93.1,08:20,11:35,-0.21475702170123837
38,"Taylor, Nick",0.09,7.2,93.4,12:25,09:15,0.11438880932048984
39,"Theegala, Sahith",0.09,6.6,92.6,13:50,10:40,0.19918086385533604
40,"Noren, Alex",0.09,6.1,92.4,08:40,11:55,-0.03388595181534646
41,"Hall, Harry",0.09,5.6,91.8,09:05,12:15,0.10411746929348598
42,"Putnam, Andrew",0.07,5.2,91.7,08:30,11:45,-0.1390878372655604
43,"Burns, Sam",0.07,5.8,92.3,12:15,09:05,0.13214353621315783
44,"Thorbjornsen, Michael",0.06,5.1,91.7,08:50,12:05,0.13202593229348597
45,"Echavarria, Nico",0.06,4.1,90.7,13:00,09:45,0.10777059129348596
46,"Fowler, Rickie",0.06,5.7,92.3,13:40,10:30,0.2082708081066898
47,"McCarty, Matt",0.05,4.9,91.1,08:20,11:35,0.10502195029348597
48,"Hisatsune, Ryo",0.04,4.0,90.2,11:10,08:00,0.12047441529348599
