rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Lopez-Chacarra, Eugenio",3.86,23.6,67.5,0.0
2,"Straka, Sepp",3.3,21.5,66.0,0.0
3,"Hillier, Daniel",2.85,20.0,63.9,0.0
4,"Lindell, Oliver",1.95,15.6,59.6,0.0
5,"Jarvis, Casey",1.63,13.0,56.9,0.0
6,"Ferguson, Ewen",1.61,13.5,57.1,0.0
7,"Olesen, Jacob Skov",1.6,12.7,55.9,0.0
8,"Wiesberger, Bernd",1.5,12.2,55.6,0.0
9,"Kimsey, Nathan",1.28,11.6,53.8,0.0
10,"Charmasson, Clement",1.2,10.7,52.6,0.0
11,"Lindberg, Mikael",1.18,11.2,53.9,0.0
12,"Jonsson, Tobias",1.17,10.0,52.5,0.0
13,"Peake, Ryan",1.16,10.1,52.2,0.0
14,"Blomme, Adam",1.14,10.0,52.5,0.0
15,"Mory , Felix",1.14,10.1,52.1,0.0
16,"Bautista, Austin",1.13,10.3,52.3,0.0
17,"Toorop, Mike",1.12,10.3,52.4,0.0
18,"Bleier, Christoph",1.11,10.3,52.3,0.0
19,"Young, Daniel",1.11,10.3,52.9,0.0
20,"Helligkilde, Marcus",1.11,10.3,52.3,0.0
21,"Boandl, Lukas",1.11,10.3,52.2,0.0
22,"Mazzoli, Stefano",1.1,10.0,52.0,0.0
23,"Bergstrom, Albin",1.1,10.3,52.1,0.0
24,"Buchanan, Jack",1.09,10.1,52.3,0.0
25,"Berry, Joshua",1.09,10.3,52.6,0.0
26,"Debove , Quentin",1.09,9.8,51.8,0.0
27,"Biondi, Fred",1.09,10.3,52.5,0.0
28,"Schweighofer, Florian",1.09,9.9,52.3,0.0
29,"Adam, Cameron",1.08,10.1,52.8,0.0
30,"Repetto Taylor, Rocco Paolo",1.08,10.3,52.3,0.0
31,"Hollick, Michael",1.07,9.9,52.3,0.0
32,"Baltl, Timon",1.07,10.2,52.7,0.0
33,"Zhou, Yanhan",1.07,10.5,52.1,0.0
34,"Regner , Niklas",1.07,10.1,51.8,0.0
35,"Kaneko, Kota",1.07,9.9,52.1,0.0
36,"Broomhead, Jonothan",1.06,10.1,52.1,0.0
37,"Townsend, Hugo",1.06,10.2,51.8,0.0
38,"Popert, Kipp",1.05,10.3,52.6,0.0
39,"Gallegos, Andres German",1.05,10.3,52.1,0.0
40,"Kopp, Alexander",1.05,10.1,52.3,0.0
41,"Langfors, Per",1.05,10.4,52.0,0.0
42,"Quayle, Anthony",1.04,10.2,52.6,0.0
43,"McKinney, Connor",1.04,10.1,52.3,0.0
44,"Yule, Jack",1.03,10.1,52.8,0.0
45,"Walker, Euan",1.03,10.1,52.6,0.0
46,"Guillamoundeguy, Oihan",1.02,9.8,52.5,0.0
47,"Daffue, Mj",1.01,9.9,52.4,0.0
48,"Hofmann, Tim",1.01,10.1,52.4,0.0
49,"Warren, Marc",1.0,10.4,52.0,0.0
50,"Lotschak, Jakob",1.0,9.9,51.9,0.0
51,"Sarkozi, Richard",0.98,10.2,52.4,0.0
52,"Da Costa Rodrigues, Daniel",0.97,10.0,51.8,0.0
53,"De Herrypon, Tom",0.97,9.8,51.8,0.0
54,"Guerrier, Julien",0.97,9.7,51.3,0.0
55,"Vidal, Quim",0.96,9.9,52.4,0.0
56,"Armitage, Marcus",0.96,9.5,51.2,0.0
57,"Logan, Hunter",0.96,10.2,51.7,0.0
58,"Rozner, Antoine",0.95,9.4,51.4,0.0
59,"Sandhu, Yuvraj Singh",0.94,10.2,52.3,0.0
60,"Couvra, Martin",0.94,9.0,50.1,0.0
61,"Ennsmann, David",0.93,10.1,52.4,0.0
62,"Premlall, Yurav",0.93,10.1,52.7,0.0
63,"Coussaud, Ugo",0.9,9.2,51.0,0.0
64,"Laporta, Francesco",0.87,8.8,50.0,0.0
65,"Du Plessis, Hennie",0.87,8.8,49.9,0.0
66,"Hill, Calum",0.87,9.0,50.3,0.0
67,"Ritchie, JC",0.82,8.5,49.2,0.0
68,"Jordan, Matthew",0.77,8.1,48.5,0.0
69,"Del Rey, Alejandro",0.68,7.2,47.2,0.0
70,"De Leo, Gregorio",0.63,7.3,46.5,0.0
71,"Ravetto, David",0.63,7.3,46.6,0.0
72,"Kobori, Kazuma",0.59,6.5,45.9,0.0
73,"Bryant, Davis",0.56,6.6,45.5,0.0
74,"Gouveia, Ricardo",0.55,6.0,44.2,0.0
75,"Vaillant, Tom",0.55,6.4,45.1,0.0
76,"Wenyi, Ding",0.51,5.9,44.2,0.0
77,"Lawrence, Thriston",0.5,6.0,44.6,0.0
78,"Halvorsen, Andreas",0.5,6.1,44.6,0.0
79,"Robinson-Thompson, Brandon",0.48,6.5,45.6,0.0
80,"Dean, Joe",0.47,5.0,42.1,0.0
81,"Manassero, Matteo",0.47,5.8,44.1,0.0
82,"Stone, Brandon",0.45,5.5,42.4,0.0
83,"Van Driel, Darius",0.43,5.7,43.6,0.0
84,"Pepperell, Eddie",0.42,5.6,43.3,0.0
85,"Migliozzi, Guido",0.42,5.1,42.2,0.0
86,"Johnston, Andrew",0.41,5.7,43.4,0.0
87,"Steinlechner, Maximilian",0.41,5.7,43.5,0.0
88,"Forrest, Grant",0.41,5.0,41.4,0.0
89,"Clements, Todd",0.4,4.5,40.1,0.0
90,"Elvira, Manuel",0.36,5.0,41.6,0.0
91,"Soderberg, Sebastian",0.34,4.2,39.1,0.0
92,"Katsuragawa, Yuto",0.34,4.5,40.2,0.0
93,"Elvira Mijares, Ignacio",0.33,4.2,39.8,0.0
94,"Aphibarnrat, Kiradech",0.33,4.1,39.0,0.0
95,"Schmidt, Ben",0.31,4.2,40.2,0.0
96,"Schott, Freddy",0.31,4.3,39.8,0.0
97,"Otaegui, Adrian",0.3,4.1,39.7,0.0
98,"Cabrera Bello, Rafa",0.28,3.6,37.5,0.0
99,"Langasque, Romain",0.28,3.5,37.7,0.0
100,"Levy, Alexander",0.27,3.6,38.0,0.0
