rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Kobori, Kazuma",16.1,66.9,93.5,-0.09835375
2,"Neergaard-Petersen, Rasmus",15.88,66.5,93.7,0.14182564999999997
3,"Meronk, Adrian",12.85,61.7,92.5,-0.29418284999999994
4,"Bryant, Davis",8.07,50.3,88.6,-0.004374784999999999
5,"Hoshino, Rikuya",7.75,50.4,89.2,-0.38531545
6,"Reed, Patrick",5.33,42.1,85.8,0.38950342499999996
7,"Campillo, Jorge",3.84,36.0,83.0,0.02921282500000001
8,"Katsuragawa, Yuto",2.3,26.8,78.0,-0.25371865
9,"Perez, Victor",1.99,25.4,77.9,0.15804773000000003
10,"Schmid, Matti",1.71,23.1,75.7,-0.037760345
11,"Hillier, Daniel",1.57,21.5,74.5,0.24997136999999997
12,"Penge, Marco",1.53,21.7,74.3,0.0502693
13,"Luiten, Joost",1.35,20.3,73.3,-0.255138625
14,"Norris, Shaun",1.23,19.0,72.4,-0.325907715
15,"Du Plessis, Hennie",1.2,17.8,70.9,0.075423185
16,"Lawrence, Thriston",1.15,18.5,72.2,-0.044018749999999995
17,"Niemann, Joaquin",1.06,17.6,71.4,0.47403899499999996
18,"Hill, Calum",0.93,17.3,70.3,-0.14636968
19,"Brown, Dan",0.85,15.3,68.9,0.07838197
20,"Ritchie, JC",0.83,14.8,67.9,-0.059958575
21,"Armitage, Marcus",0.76,13.7,67.1,-0.05071227
22,"Rozner, Antoine",0.74,13.5,67.1,0.12320335000000002
23,"Langasque, Romain",0.72,13.4,66.5,-0.491527785
24,"Guerrier, Julien",0.66,12.4,65.5,-0.11216740499999997
25,"Wiesberger, Bernd",0.65,12.4,65.2,0.138124305
26,"Ferguson, Ewen",0.63,13.1,66.9,0.08592306999999999
27,"Kaymer, Martin",0.6,12.9,66.4,-0.12442539500000002
28,"LaCroix, Frederic",0.56,10.8,63.7,-0.15966601
29,"Celli, Filippo",0.54,11.4,64.3,-0.42654858999999995
30,"Ding, Wenyi",0.39,8.8,60.2,-0.28391071
31,"Van Tonder, Daniel",0.3,7.2,57.5,-0.214851395
32,"Garcia, Sergio",0.27,8.0,58.9,0.0038882950000000034
33,"Stone, Brandon",0.25,6.7,56.1,-0.140648455
34,"Ayora, Angel",0.24,6.6,55.7,0.21145553499999997
35,"Schaper, Jayden",0.22,7.1,56.8,0.114922285
36,"Van Driel, Darius",0.18,5.2,52.3,-0.165617335
37,"Robinson Thompson, Brandon",0.18,5.0,51.7,-0.15957538500000001
38,"Ancer, Abraham",0.17,5.5,52.9,0.22080012000000002
39,"Bradbury, Dan",0.14,4.0,48.3,0.141472645
40,"Adam, Cameron",0.12,3.0,45.3,-0.214851395
41,"Coussaud, Ugo",0.11,3.3,46.1,-0.058742925
42,"Ortiz, Carlos",0.11,3.9,48.6,0.052201355000000005
43,"Munoz, Sebastian",0.11,3.9,48.4,0.10975767499999999
44,"Kimsey, Nathan",0.1,3.4,47.1,-0.04384548499999999
45,"Quayle, Anthony",0.1,3.1,45.6,-0.214851395
46,"Debove, Quentin",0.1,3.2,45.7,-0.214851395
47,"McKinney, Connor",0.1,3.0,45.7,-0.214851395
48,"Foos, Dominic",0.1,3.0,45.1,-0.214851395
49,"Halvorsen, Andreas",0.1,4.1,48.7,-0.144685525
50,"Peake, Ryan",0.1,2.9,45.0,-0.214851395
51,"Repetto Taylor, Rocco Paolo",0.09,3.0,44.9,-0.214851395
52,"Bergstrom, Albin",0.09,3.2,45.0,-0.214851395
53,"Kruyswijk, Jacques",0.09,3.4,46.6,-0.255925175
54,"Dalke, Brad",0.09,3.0,45.3,-0.214851395
55,"Micheluzzi, David",0.09,3.6,47.0,-0.742426145
56,"Premlall, Yurav",0.09,3.1,45.3,-0.214851395
57,"Jonsson, Tobias",0.09,2.9,45.1,-0.214851395
58,"Walker, Euan",0.08,2.9,45.1,-0.214851395
59,"Crocker, Sean",0.08,4.0,49.2,-0.14769506999999998
60,"Jordan, Matthew",0.08,3.4,46.9,-0.08484184
61,"Logan, Hunter",0.08,3.0,45.2,-0.214851395
62,"Da Costa Rodrigues, Daniel",0.08,3.2,45.2,-0.214851395
63,"Sandhu, Yuvraj Singh",0.07,3.1,44.7,-0.214851395
64,"Zhou, Yanhan",0.07,3.1,45.3,-0.214851395
65,"Mazzoli, Stefano",0.07,3.1,45.3,-0.214851395
66,"Gallegos, Andres",0.07,3.3,45.7,-0.214851395
67,"Buchanan, Jack",0.07,3.0,45.5,-0.214851395
68,"Biondi, Fred",0.07,3.1,45.2,-0.214851395
69,"Guillamoundeguy, Oihan",0.07,3.1,44.8,-0.214851395
70,"Broomhead, Jonothan",0.07,3.2,45.3,-0.214851395
71,"Toorop, Mike",0.07,3.1,45.4,-0.214851395
72,"An, Byeong Hun",0.07,3.2,45.8,0.009895954999999991
73,"Schneider, Marcel",0.06,2.8,44.6,-0.3856613750000001
74,"Kolle, Finn",0.06,3.2,45.4,-0.214851395
75,"Migliozzi, Guido",0.06,3.5,47.1,-0.13284187
76,"Mory, Felix",0.06,3.0,45.8,-0.214851395
77,"Townsend, Hugo",0.06,3.1,45.5,-0.214851395
78,"Kaneko, Kota",0.06,3.0,45.2,-0.214851395
79,"Yule, Jack",0.06,3.0,44.9,-0.214851395
80,"Charmasson, Clement",0.06,3.2,45.3,-0.214851395
81,"Vidal, Quim",0.06,3.1,45.1,-0.214851395
82,"Rosenmueller, Thomas",0.05,2.4,42.2,-0.24103435
83,"Ballester, Jose Luis",0.05,2.5,43.3,0.004459024999999993
84,"Ravetto, David",0.05,2.4,42.2,-0.11355206000000001
85,"Hollick, Michael",0.05,2.9,45.2,-0.214851395
86,"Sullivan, Andy",0.05,2.0,40.0,-0.16038579
87,"Schmidt, Thomas",0.05,2.9,45.2,-0.214851395
88,"Jarvis, Casey",0.04,2.2,41.0,0.19354019000000003
89,"Vaillant, Tom",0.04,2.1,41.3,-0.16813842999999998
90,"Norgaard, Niklas",0.04,1.9,39.6,-0.13919749000000003
91,"Waring, Paul",0.03,1.9,40.5,-0.005891429999999996
92,"Syme, Connor",0.03,1.4,36.4,-0.416690275
93,"Dean, Joe",0.03,1.2,34.4,-0.28153308
94,"Levy, Alexander",0.02,1.1,32.5,-0.33881149
95,"Otaegui, Adrian",0.02,1.3,35.0,-0.15721811999999996
96,"Lindell, Oliver",0.02,1.4,37.1,0.221164915
97,"Young, Daniel",0.02,0.8,30.3,-0.214851395
98,"Schmidt, Ben",0.02,1.1,33.8,-0.20386018
99,"Ramsay, Richie",0.02,1.2,33.9,-0.36008652500000005
100,"Olesen, Jacob Skov",0.02,1.0,32.6,0.035589705
101,"Cabrera Bello, Rafa",0.02,1.6,37.5,-0.17967247999999997
102,"Steinlechner, Maximilian",0.01,1.5,36.7,-0.15030706
103,"Johnston, Ryggs",0.01,0.7,30.0,-0.7426699849999999
104,"Schott, Freddy",0.01,0.2,23.2,-0.27367519500000004
105,"Jamieson, Scott",0.01,0.5,27.3,-0.5835772050000001
106,"Manassero, Matteo",0.01,2.1,40.3,-0.0030524799999999824
107,"Cantero Gutierrez, Ivan",0.01,0.5,27.7,-0.45575326000000005
108,"Naidoo, Dylan",0.01,1.0,33.4,-0.6918317350000001
109,"Southgate, Matthew",0.01,0.4,26.5,-0.39864445
110,"Von Dellingshausen, Nicolai",0.01,0.2,20.1,-0.5500652600000001
111,"Wu, Ashun",0.01,1.1,33.9,-0.344109585
112,"Kaewkanjana, Sadom",0.01,0.7,28.5,-0.36441701
113,"Lagergren, Joakim",0.01,0.7,29.3,-0.43194146
114,"Lombard, Zander",0.01,0.7,29.6,-0.31142306
115,"Lee, Junghwan",0.01,0.4,23.5,-0.47434417000000006
116,"Fisher, Ross",0.01,1.2,35.5,-0.23535888
117,"Zanotti, Fabrizio",0.01,0.4,25.9,-0.37385007499999995
118,"Del Rey, Alejandro",0.0,0.7,29.4,-0.23527587
119,"Paul, Yannik",0.0,0.1,13.6,-0.663857865
120,"Paratore, Renato",0.0,0.2,19.3,-0.4999375600000001
121,"Winther, Jeff",0.0,0.2,19.9,-0.406061405
122,"Tarren, Callum",0.0,0.2,20.0,-0.372959865
123,"Couvra, Martin",0.0,0.2,19.0,-0.036607125
124,"Berry, Joshua",0.0,0.3,22.2,-0.214851395
125,"Kieffer, Max",0.0,0.1,17.0,-0.6318913600000001
126,"Elvira, Manuel",0.0,0.3,24.0,-0.084613065
127,"Larrazabal, Pablo",0.0,0.8,30.6,-0.5950299800000001
128,"Gumberg, Jordan",0.0,0.2,21.5,-0.30570985999999994
129,"Girrbach, Joel",0.0,0.3,21.7,-0.22921725499999998
130,"Arnaus, Adri",0.0,0.1,12.2,-0.5527784149999999
131,"Aphibarnrat, Kiradech",0.0,0.3,21.1,-0.347246835
132,"Baldwin, Matthew",0.0,0.1,14.8,-0.36735373
133,"Clements, Todd",0.0,0.1,16.6,-0.135594065
134,"Chacarra, Eugenio",0.0,0.0,11.6,0.257847025
135,"Bairstow, Sam",0.0,0.2,18.9,-0.342533805
136,"Elvira Mijares, Ignacio",0.0,0.4,26.0,-0.214851395
137,"Forsstrom, Simon",0.0,0.0,6.6,-0.507588155
138,"Follet-Smith, Benjamin",0.0,0.0,12.1,-0.497678855
139,"Garcia Rodriguez, Sebastian",0.0,0.0,8.7,-0.521358165
140,"Hidalgo Portillo, Angel",0.0,0.1,16.0,-0.32794984499999996
141,"Morrison, James",0.0,0.2,20.7,-0.602670095
142,"Law, David",0.0,0.2,18.6,-0.40007806
143,"Ko, Jeong Weon",0.0,0.0,3.8,-0.889827065
144,"De Leo, Gregorio",0.0,0.2,19.4,-0.05691906499999999
145,"Gouveia, Ricardo",0.0,0.1,17.6,-0.09139693000000002
146,"Gavins, Daniel",0.0,0.0,1.7,-1.3240013499999999
147,"Palmer, Ryan",0.0,0.0,6.6,-1.0412247000000001
148,"Pepperell, Eddie",0.0,0.6,28.7,-0.09024188
149,"Strydom, Ockie",0.0,0.0,2.3,-0.7910307000000001
150,"Scrivener, Jason",0.0,0.1,15.5,-0.28473579999999993
151,"Siem, Marcel",0.0,0.1,13.6,-0.55265953
152,"Sharma, Shubhankar",0.0,0.1,16.9,-0.41856354
153,"Senior, Jack",0.0,0.0,10.5,-0.624481145
