rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"McIlroy, Rory",29.53,88.3,99.3,0.545921789
2,"Rahm, Jon",20.07,82.6,98.9,0.369604639
3,"Aberg, Ludvig",11.32,71.7,98.0,0.6191345469999999
4,"Hovland, Viktor",7.44,62.2,96.6,0.560755238
5,"Fleetwood, Tommy",4.42,52.7,95.3,0.521580196
6,"Reed, Patrick",3.56,47.4,94.5,0.300668887
7,"Rai, Aaron",3.35,46.1,94.2,0.322681885
8,"Fitzpatrick, Matt",3.24,46.1,94.1,0.5035089610000001
9,"Niemann, Joaquin",2.65,41.8,93.1,0.464642049
10,"Noren, Alex",2.3,39.3,92.6,0.23584057900000002
11,"Lowry, Shane",2.1,37.4,92.0,0.402897646
12,"Du Plessis, Hennie",1.42,30.8,89.7,-0.047347349000000004
13,"Hatton, Tyrrell",1.39,30.2,90.0,0.285898225
14,"Lindell, Oliver",1.38,29.8,89.7,0.4397617140000001
15,"Scott, Adam",1.07,25.8,88.2,0.444677043
16,"McKibbin, Tom",0.65,21.3,85.8,0.17489943200000002
17,"Reitan, Kristoffer",0.61,20.8,85.5,0.22043994000000003
18,"Gerard, Ryan",0.56,18.9,84.8,0.40053933500000005
19,"Straka, Sepp",0.46,17.0,83.3,0.22251259600000006
20,"Neergaard-Petersen, Rasmus",0.32,13.9,80.9,-0.010238888000000002
21,"Couvra, Martin",0.24,12.3,79.0,-0.117481384
22,"Detry, Thomas",0.24,11.8,78.4,0.06355752
23,"Chacarra, Eugenio",0.24,11.5,78.3,0.39392689999999997
24,"Canter, Laurie",0.16,9.3,75.7,0.15502157700000002
25,"MacIntyre, Robert",0.15,8.2,74.3,0.23895139599999998
26,"Rose, Justin",0.12,8.5,74.9,0.41302833699999997
27,"Laporta, Francesco",0.08,6.6,71.4,-0.134963347
28,"Smalley, Alex",0.08,4.5,66.6,0.410866042
29,"Spaun, J.J.",0.07,5.4,69.0,0.4004517799999999
30,"Jarvis, Casey",0.07,5.8,69.6,0.20094912800000003
31,"Rozner, Antoine",0.06,4.4,66.7,0.169733411
32,"Wallace, Matt",0.05,4.6,66.6,0.362208505
33,"Helligkilde, Marcus",0.05,4.2,65.3,-0.11712846499999999
34,"Saddier, Adrien",0.05,4.4,66.6,-0.084471222
35,"Ferguson, Ewen",0.05,4.0,64.7,0.08936190200000001
36,"Vaillant, Tom",0.05,4.8,66.9,-0.03841553399999999
37,"Coussaud, Ugo",0.04,3.6,63.4,-0.050597619
38,"Smith, Jordan",0.04,4.9,67.8,0.251940708
39,"Ayora, Angel",0.03,3.1,61.5,0.23837339800000001
40,"Fox, Ryan",0.03,4.1,65.6,0.16848590800000002
41,"Smylie, Elvis",0.02,2.4,59.0,-0.12235885199999998
42,"Hillier, Daniel",0.02,1.9,56.5,0.180492433
43,"Manassero, Matteo",0.02,3.7,64.0,0.05408965000000003
44,"Cauley, Bud",0.02,3.5,64.0,0.216942166
45,"Otaegui, Adrian",0.01,1.9,56.1,-0.166262734
46,"Bradbury, Dan",0.01,1.6,53.5,0.022681220000000002
47,"Aphibarnrat, Kiradech",0.01,1.3,51.7,-0.389191182
48,"Kobori, Kazuma",0.01,1.4,52.4,0.047778546
49,"Jordan, Matthew",0.01,1.1,49.3,0.04974980699999999
50,"Puig, David",0.01,1.5,52.3,-0.12524263499999996
51,"Fitzpatrick, Alex",0.01,1.2,50.7,0.30160641
52,"Mansell, Ashley",0.01,0.8,47.7,-0.11712846499999999
53,"Steinlechner, Maximilian",0.01,0.3,36.6,-0.17653781600000001
54,"Norgaard, Niklas",0.01,0.6,44.2,-0.28840480399999996
55,"Olesen, Thorbjorn",0.01,0.7,45.2,0.014537771000000001
56,"Rosenmueller, Thomas",0.01,1.0,50.6,0.12780615900000003
57,"Luiten, Joost",0.01,1.3,51.2,-0.090522379
