rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Aberg, Ludvig",11.64,49.6,86.8,0.549012071179204
2,"Henley, Russell",8.52,42.4,83.4,0.5968534159773016
3,"Griffin, Ben",3.77,27.1,75.6,0.021379937943233937
4,"Spaun, J.J.",3.5,25.4,74.1,0.19082953842937556
5,"MacIntyre, Robert",3.48,25.7,74.5,-0.11532175447099753
6,"Bradley, Keegan",3.34,25.2,73.8,0.3384174814346065
7,"Smith, Jordan",3.07,23.9,73.2,0.7450046628086567
8,"Matsuyama, Hideki",2.97,23.2,72.3,0.26663988687766677
9,"Fowler, Rickie",2.92,22.7,72.0,0.20239981108775515
10,"Thomas, Justin",2.87,22.6,72.2,0.2823840929067596
11,"Brennan, Michael",2.81,22.6,72.0,0.4172767426583466
12,"Thorbjornsen, Michael",2.75,22.8,72.6,0.20135936409521632
13,"Hall, Harry",2.54,20.3,70.2,0.3707843848172071
14,"Coody, Pierceson",2.24,19.7,69.5,0.2326373153973315
15,"Smalley, Alex",2.12,18.9,69.5,0.32949307673494427
16,"Woodland, Gary",1.75,16.8,67.0,0.3196824171746558
17,"Gerard, Ryan",1.72,16.5,66.6,0.3155824513168334
18,"Bhatia, Akshay",1.6,16.0,66.7,0.08810472172158267
19,"Bezuidenhout, Christiaan",1.33,13.8,64.0,0.1755234582558721
20,"Stevens, Sam",1.25,14.0,63.9,0.07292511442823321
21,"Hisatsune, Ryo",1.18,13.6,63.5,-0.0869165481835033
22,"Harman, Brian",1.18,12.7,62.1,0.11813683034504983
23,"McCarty, Matt",1.16,12.4,61.7,0.17443596606472
24,"Putnam, Andrew",1.01,11.0,59.9,0.12489044160662624
25,"Kim, Michael",0.95,11.6,59.6,0.31725032501174116
26,"Mitchell, Keith",0.88,11.7,61.2,0.16862757403880935
27,"Novak, Andrew",0.83,10.5,58.6,0.11787958968745668
28,"Im, Sungjae",0.83,10.4,59.1,0.07264238022844363
29,"Fisk, Steven",0.79,9.2,56.4,0.2839986579615412
30,"Hoey, Rico",0.74,9.8,57.6,0.5036149676737746
31,"Yellamaraju, Sudarshan",0.69,9.8,58.1,0.6600736773597354
32,"Homa, Max",0.67,9.0,57.2,-0.14905782844920928
33,"Poston, J.T.",0.67,9.4,57.0,0.14042579885308623
34,"Castillo, Ricky",0.65,8.3,56.2,0.22512589558945417
35,"Meissner, Mac",0.62,9.9,58.2,0.17497971216029606
36,"Ewart, A.J.",0.62,8.4,55.6,0.17497971216029606
37,"Neergaard-Petersen, Rasmus",0.61,7.9,55.0,0.5876572328297524
38,"McGreevy, Max",0.54,7.3,54.0,0.1317754322493626
39,"Finau, Tony",0.53,6.8,53.0,0.17497971216029606
40,"Bauchou, Zach",0.52,7.5,53.9,0.17497971216029606
41,"Nakajima, Keita",0.49,6.8,52.2,0.17497971216029606
42,"Theegala, Sahith",0.49,7.5,53.5,0.28532204490647994
43,"Cole, Eric",0.42,7.0,52.6,0.17497971216029606
44,"Garnett, Brice",0.42,6.2,50.8,0.17497971216029606
45,"Ventura, Kris",0.41,6.6,52.2,0.17497971216029606
46,"Rodgers, Patrick",0.41,6.3,51.1,0.07519780059813184
47,"Hughes, Mackenzie",0.38,5.9,50.7,0.17497971216029606
48,"Simpson, Webb",0.38,5.6,48.4,0.17497971216029606
49,"Kim, Tom",0.37,5.7,50.2,0.17497971216029606
50,"Echavarria, Nico",0.37,5.4,48.9,0.24160669088023862
51,"Streelman, Kevin",0.37,5.6,49.2,0.17497971216029606
52,"Hodges, Lee",0.36,6.1,51.4,0.17497971216029606
53,"Kuchar, Matt",0.35,6.2,51.1,0.17497971216029606
