rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Eckroat, Austin",29.41,80.9,96.6,0.0
2,"Kim, Chan",13.94,66.0,92.9,0.0
3,"Tosti, Alejandro",8.23,53.0,89.3,0.0
4,"Hoey, Rico",5.83,45.8,87.0,0.0
5,"Crowe, Trace",4.35,39.4,84.6,0.0
6,"Paul, Jeremy",4.31,39.4,84.5,0.0
7,"Power, Seamus",3.9,37.3,83.4,0.0
8,"Rosenmueller, Thomas",3.64,35.6,82.3,0.0
9,"Campillo, Jorge",2.7,30.2,80.1,0.0
10,"Whaley, Vince",2.07,26.0,77.4,0.0
11,"Ramey, Chad",1.62,23.6,75.7,0.0
12,"Ramey, Chad",1.52,22.7,75.5,0.0
13,"Schmid, Matti",1.47,20.9,73.5,0.0
14,"Fishburn, Patrick",1.34,20.7,73.4,0.0
15,"Higgo, Garrick",1.01,17.4,70.9,0.0
16,"Duncan, Tyler",0.9,15.9,68.7,0.0
17,"O'Hair, Sean",0.88,15.8,68.9,0.0
18,"Stanger, Jimmy",0.88,16.5,69.9,0.0
19,"Ventura, Kristoffer",0.72,14.7,67.5,0.0
20,"Martin, Ben",0.7,13.4,66.2,0.0
21,"Hubbard, Mark",0.61,12.4,65.6,0.0
22,"Wu, Dylan",0.56,12.9,65.5,0.0
23,"Haas, Bill",0.51,12.2,64.2,0.0
24,"Hoshino, Rikuya",0.43,10.0,61.6,0.0
25,"Lower, Justin",0.42,11.0,63.6,0.0
26,"Bezuidenhout, Christiaan",0.4,10.2,62.0,0.0
27,"Garnett, Brice",0.38,9.2,60.8,0.0
28,"Pendrith, Taylor",0.31,8.7,59.9,0.0
29,"Moore, Taylor",0.29,8.4,58.3,0.0
30,"Skinns, David",0.24,6.6,56.2,0.0
31,"Noh, S.Y.",0.2,6.0,54.5,0.0
32,"Hossler, Beau",0.2,6.4,54.8,0.0
33,"Roy, Kevin",0.19,6.8,56.0,0.0
34,"Bauchou, Zach",0.18,6.2,54.7,0.0
35,"Dou, Zecheng",0.17,5.8,54.4,0.0
36,"Jaeger, Stephan",0.16,5.2,52.4,0.0
37,"Byrd, Jonathan",0.15,5.6,53.1,0.0
38,"Huskey, Keenan",0.15,4.6,50.0,0.0
39,"Dahmen, Joel",0.14,5.0,50.2,0.0
40,"Liu, Siyan",0.14,4.8,50.1,0.0
41,"McGreevy, Max",0.14,4.5,49.9,0.0
42,"Collet, Tyler",0.14,4.6,50.2,0.0
43,"James, Ben",0.14,4.5,50.2,0.0
44,"Geminiani, Domenico",0.13,4.6,50.6,0.0
45,"Brown, Blades",0.13,4.4,50.6,0.0
46,"Garcia, Anthony",0.12,4.4,50.4,0.0
47,"DeMorat, Mickey",0.12,4.4,50.4,0.0
48,"Hoffman, Charley",0.12,3.9,49.5,0.0
49,"Walker, Danny",0.12,5.0,51.0,0.0
50,"Helligkilde, Marcus",0.12,4.7,50.0,0.0
51,"Hughes, Mackenzie",0.12,4.5,50.2,0.0
52,"Gavins, Daniel",0.11,4.5,49.7,0.0
53,"Wise, Aaron",0.11,4.7,50.8,0.0
54,"Olesen, Jacob Skov",0.11,5.1,51.7,0.0
55,"Del Rey, Alejandro",0.11,3.7,46.6,0.0
56,"Iyer, Avinash",0.11,4.6,50.6,0.0
57,"Aphibarnrat, Kiradech",0.11,3.7,47.5,0.0
58,"Ewart, A.J.",0.1,3.9,47.9,0.0
59,"Svensson, Adam",0.1,4.9,51.1,0.0
60,"Bowser, Evan",0.1,4.4,50.3,0.0
61,"Coussaud, Ugo",0.1,4.0,48.0,0.0
62,"Mazzoli, Stefano",0.1,4.4,49.9,0.0
63,"Snedeker, Brandt",0.09,3.7,47.6,0.0
64,"Kizzire, Patton",0.08,4.1,48.7,0.0
65,"Nyholm, Pontus",0.07,2.2,41.8,0.0
66,"Griffin, Lanto",0.07,2.5,42.4,0.0
67,"Steinlechner, Maximilian",0.07,3.0,44.2,0.0
68,"Norgaard, Niklas",0.07,2.8,43.3,0.0
69,"Bryant, Davis",0.06,2.4,42.8,0.0
70,"Robinson Thompson, Brandon",0.06,2.6,41.8,0.0
71,"Springer, Hayden",0.06,2.6,42.8,0.0
72,"Clements, Todd",0.06,2.7,42.7,0.0
73,"Chatfield, Davis",0.06,1.9,38.4,0.0
74,"Ravetto, David",0.05,2.5,42.6,0.0
75,"Vaillant, Tom",0.05,2.3,42.6,0.0
