rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Niemann, Joaquin",5.59,30.4,73.3,0.0
2,"Reed, Patrick",5.44,29.1,72.0,0.0
3,"Puig, David",4.43,26.4,70.4,0.0
4,"Chacarra, Eugenio",3.27,21.5,66.3,0.0
5,"Ayora, Angel",2.78,19.7,64.4,0.0
6,"Detry, Thomas",2.75,20.7,65.6,0.0
7,"Hillier, Daniel",2.45,19.0,64.3,0.0
8,"McKibbin, Tom",2.1,17.5,62.5,0.0
9,"Wallace, Matt",2.05,16.1,60.6,0.0
10,"Grace, Branden",1.8,15.6,60.3,0.0
11,"Lindell, Oliver",1.71,14.3,58.7,0.0
12,"Ferguson, Ewen",1.35,12.1,55.8,0.0
13,"Jarvis, Casey",1.33,12.3,56.2,0.0
14,"Olesen, Jacob Skov",1.19,11.4,54.6,0.0
15,"Ballester, Jose Luis",1.1,10.8,53.5,0.0
16,"Wiesberger, Bernd",1.09,11.1,54.3,0.0
17,"Townsend, Hugo",0.91,8.9,50.4,0.0
18,"Lindberg, Mikael",0.91,10.0,52.6,0.0
19,"Berry, Joshua",0.91,8.8,50.7,0.0
20,"Helligkilde, Marcus",0.91,9.2,51.2,0.0
21,"Young, Daniel",0.9,9.2,51.2,0.0
22,"Peake, Ryan",0.9,9.3,51.1,0.0
23,"Nodari, Alessandro",0.89,8.8,51.3,0.0
24,"Overton, Jeff",0.89,9.0,50.5,0.0
25,"Sandhu, Yuvraj Singh",0.89,9.3,50.6,0.0
26,"Quayle, Anthony",0.88,8.9,51.0,0.0
27,"Hollick, Michael",0.88,8.7,51.3,0.0
28,"Cristoni, Matteo",0.87,8.7,50.6,0.0
29,"Quesne, Julien",0.87,9.0,50.6,0.0
30,"Debove, Quentin",0.87,8.7,51.2,0.0
31,"Vecchi Fossa, Jacopo",0.87,8.6,50.9,0.0
32,"Ponzano, Filippo",0.86,8.9,50.8,0.0
33,"Walker, Euan",0.86,8.8,50.4,0.0
34,"Premlall, Yurav",0.85,8.8,50.4,0.0
35,"Romano, Andrea",0.85,9.2,50.9,0.0
36,"Coussaud, Ugo",0.85,9.4,51.9,0.0
37,"Guillamoundeguy, Oihan",0.85,8.8,51.0,0.0
38,"Ferrero, Michele",0.84,8.9,51.1,0.0
39,"Vidal, Quim",0.84,8.9,50.6,0.0
40,"Repetto Taylor, Rocco Paolo",0.84,9.0,51.3,0.0
41,"Van Tonder, Daniel",0.84,9.1,51.1,0.0
42,"Scalise, Lorenzo",0.83,8.7,51.7,0.0
43,"Mory, Felix",0.83,8.8,50.9,0.0
44,"Binaghi, Giovanni",0.83,9.0,50.9,0.0
45,"Grossi, Filippo",0.82,8.8,50.6,0.0
46,"Buchanan, Jack",0.82,8.8,50.6,0.0
47,"Rozner, Antoine",0.81,8.8,50.7,0.0
48,"Broomhead, Jonothan",0.81,9.0,50.7,0.0
49,"Fdez-Castano, Gonzalo",0.81,8.8,50.3,0.0
50,"Zhou, Yanhan",0.81,8.8,50.6,0.0
51,"Bergstrom, Albin",0.8,8.8,51.2,0.0
52,"Kaneko, Kota",0.8,8.9,50.5,0.0
53,"Jonsson, Tobias",0.78,8.6,50.3,0.0
54,"Zemmer, Aron",0.78,8.9,51.1,0.0
55,"Saddier, Adrien",0.78,8.6,50.6,0.0
56,"Biondi, Fred",0.78,8.6,50.9,0.0
57,"Adam, Cameron",0.77,8.8,51.2,0.0
58,"Porter, Will",0.75,9.0,51.3,0.0
59,"Charmasson, Clement",0.74,8.9,50.6,0.0
60,"Mazzoli, Stefano",0.73,8.7,50.5,0.0
61,"Laporta, Francesco",0.72,7.8,49.3,0.0
62,"Da Costa Rodrigues, Daniel",0.71,8.9,50.8,0.0
63,"Couvra, Martin",0.7,7.7,48.9,0.0
64,"Guerrier, Julien",0.68,8.5,50.0,0.0
65,"Bradbury, Dan",0.68,7.5,48.0,0.0
66,"Hill, Calum",0.65,7.9,49.6,0.0
67,"Armitage, Marcus",0.65,7.9,49.5,0.0
68,"Ritchie, JC",0.58,7.6,49.1,0.0
69,"Ravetto, David",0.57,6.6,46.0,0.0
70,"Del Rey, Alejandro",0.55,6.6,46.2,0.0
71,"Vaillant, Tom",0.53,5.9,43.8,0.0
72,"De Leo, Gregorio",0.49,6.6,45.8,0.0
73,"Manassero, Matteo",0.48,5.2,43.2,0.0
74,"Kobori, Kazuma",0.47,5.9,44.3,0.0
75,"Molinari, Francesco",0.47,6.1,45.1,0.0
76,"Campillo, Jorge",0.46,6.7,47.1,0.0
77,"Smylie, Elvis",0.46,5.7,44.2,0.0
78,"Bryant, Davis",0.45,5.6,43.8,0.0
79,"Halvorsen, Andreas",0.44,5.1,43.1,0.0
80,"Gouveia, Ricardo",0.41,5.4,43.0,0.0
81,"Lawrence, Thriston",0.41,5.2,43.3,0.0
82,"Robinson Thompson, Brandon",0.41,6.0,44.3,0.0
83,"Van Driel, Darius",0.4,5.2,42.6,0.0
