rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Kim, Michael",44.06,97.0,99.8,0.18510054000000004
2,"Reitan, Kristoffer",26.44,93.0,99.5,0.23086266700000002
3,"Smylie, Elvis",12.4,84.1,98.6,-0.09414101799999999
4,"Armitage, Marcus",7.27,74.8,97.6,-0.07847658299999999
5,"Laporta, Francesco",1.49,43.5,92.1,-0.03858522
6,"McKibbin, Tom",1.2,40.9,91.2,0.24346439799999997
7,"Migliozzi, Guido",1.15,39.8,91.1,-0.13161816199999998
8,"Stone, Brandon",0.89,37.9,90.4,-0.10003744
9,"Bairstow, Sam",0.67,31.9,88.1,-0.09642266
10,"Aberg, Ludvig",0.52,28.5,87.0,0.5291115040000001
11,"Fleetwood, Tommy",0.39,24.6,84.6,0.450764997
12,"Perez, Victor",0.35,21.2,82.7,0.117049701
13,"Clements, Todd",0.33,21.6,83.4,-0.06467988599999999
14,"Bradbury, Dan",0.31,23.0,84.1,-0.07985671300000002
15,"Hovland, Viktor",0.27,19.7,82.6,0.44961875500000004
16,"Winther, Jeff",0.27,19.4,82.1,-0.03779811899999999
17,"Fitzpatrick, Matt",0.26,20.0,82.4,0.42098895000000003
18,"Hill, Calum",0.22,20.3,82.7,-0.011932259
19,"Gerard, Ryan",0.19,17.5,80.6,0.375641856
20,"Kimsey, Nathan",0.14,13.6,76.8,-0.087873544
21,"Detry, Thomas",0.13,12.1,75.3,0.119413733
22,"Schott, Freddy",0.09,11.8,75.0,-0.261068656
23,"Rozner, Antoine",0.08,11.3,74.2,0.09560760399999998
24,"Dean, Joe",0.07,9.4,72.4,-0.046101366000000005
25,"Van Driel, Darius",0.07,9.9,72.6,-0.138726924
26,"Saddier, Adrien",0.07,11.0,74.2,-0.08861692399999999
27,"Zanotti, Fabrizio",0.07,8.4,70.5,-0.21777706200000002
28,"Guerrier, Julien",0.06,10.0,72.9,-0.128647443
29,"Cauley, Bud",0.06,8.9,71.9,0.18438497299999998
30,"De Leo, Gregorio",0.04,7.1,68.6,-0.07320781
31,"Law, David",0.03,3.8,59.7,-0.23115669500000002
32,"Ferguson, Ewen",0.03,7.2,68.6,0.12907124900000003
33,"Waring, Paul",0.03,4.8,64.0,-0.123864499
34,"Manassero, Matteo",0.03,3.1,57.3,-0.05624158900000002
35,"Chacarra, Eugenio",0.03,6.5,66.8,0.26007749
36,"Smith, Cameron",0.02,4.4,62.2,0.08375084200000003
37,"Vaillant, Tom",0.02,5.1,64.4,-0.034801201
38,"Ko, Jeong Weon",0.02,3.0,56.6,-0.600894622
39,"Von Dellingshausen, Nicolai",0.02,3.0,57.0,-0.303968581
40,"Ayora, Angel",0.02,5.7,65.8,0.15596322199999998
41,"Beauvy, Paul",0.01,2.8,56.4,-0.229687949
42,"Lemke, Niklas",0.01,3.1,57.6,-0.33730564999999996
43,"Gallegos, Andres",0.01,3.0,55.9,-0.229687949
44,"Trolio, Cohen",0.01,2.7,56.7,-0.229687949
45,"Veerman, Johannes",0.01,4.7,62.9,-0.27757485000000004
46,"Sautron, Rudy",0.01,2.8,56.1,-0.229687949
47,"Mjaaseth, Michael",0.01,2.9,56.5,-0.229687949
48,"Ravetto, David",0.01,1.1,45.9,-0.206631954
49,"Rosenmueller, Thomas",0.01,2.7,56.2,0.02103804999999999
50,"Pieters, Thomas",0.01,4.2,61.1,0.078270261
51,"Decottignies-Lafon, Mathieu",0.01,2.8,56.0,-0.229687949
52,"Yule, Jack",0.01,2.8,56.3,-0.229687949
53,"Legros, Maxime",0.01,2.8,55.7,-0.229687949
54,"Langasque, Romain",0.01,1.0,44.2,-0.14514068
55,"Pemerika, Tao",0.01,2.8,56.5,-0.229687949
56,"Malcor, Ugo",0.01,1.5,48.7,-0.229687949
57,"Coussaud, Ugo",0.01,2.4,53.9,0.013960319999999998
58,"Celli, Filippo",0.0,0.6,39.1,-0.21699371099999998
59,"Paul, Yannik",0.0,0.8,41.2,-0.437071839
60,"Meronk, Adrian",0.0,1.0,44.6,-0.12662299600000004
61,"Strydom, Ockie",0.0,2.6,55.7,-0.229687949
62,"Scrivener, Jason",0.0,0.6,38.4,-0.228219203
63,"Morrison, James",0.0,0.6,40.2,-0.5174764589999999
64,"Vidal, Quim",0.0,0.3,33.1,-0.345903364
65,"Wu, Ashun",0.0,1.5,47.6,-0.28142984499999996
66,"Forrest, Grant",0.0,0.3,33.0,-0.30519893400000003
67,"Elvira Mijares, Ignacio",0.0,0.6,39.9,-0.04566938400000001
68,"Fisher, Ross",0.0,0.9,43.2,-0.28845944300000004
69,"Du Plessis, Hennie",0.0,1.9,51.8,-0.08728346199999999
70,"Crocker, Sean",0.0,0.8,42.0,-0.17733611900000001
71,"Dantorp, Jens",0.0,2.3,53.5,-0.14516068199999999
72,"Adam, Cameron",0.0,0.3,31.4,-0.301555825
73,"Buchanan, Jack",0.0,0.1,22.5,-0.547155411
74,"Biondi, Fred",0.0,0.1,26.2,-0.445408903
75,"Berry, Joshua",0.0,0.0,7.4,-0.7178030099999998
76,"Baldwin, Matthew",0.0,0.0,13.6,-0.4613642760000001
77,"Bergstrom, Albin",0.0,0.3,34.1,-0.308776555
78,"Aphibarnrat, Kiradech",0.0,0.1,28.2,-0.28906924300000003
