rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",22.17,78.0,100.0,0.3932725641647565
2,"Fleetwood, Tommy",20.17,75.8,100.0,0.6233347622548291
3,"Cantlay, Patrick",5.89,48.6,100.0,0.23867476733774384
4,"Schauffele, Xander",5.31,48.5,100.0,0.10728233456568971
5,"Matsuyama, Hideki",4.62,43.7,100.0,0.07225875048616817
6,"Hovland, Viktor",4.59,43.6,100.0,0.35199277174799076
7,"Spaun, J.J.",3.63,39.2,100.0,0.2670049036238231
8,"Burns, Sam",3.61,39.1,100.0,0.1615106152635738
9,"Thomas, Justin",3.4,37.7,100.0,0.05009286869677074
10,"Bhatia, Akshay",2.87,35.5,100.0,0.21199105201770868
11,"Aberg, Ludvig",2.44,31.6,100.0,0.2998141934258119
12,"MacIntyre, Robert",2.28,30.9,100.0,-0.044629627183331924
13,"Young, Cameron",2.03,29.8,100.0,0.37780580345906484
14,"Morikawa, Collin",2.02,29.3,100.0,0.3188509647719961
15,"Cauley, Bud",1.5,25.7,100.0,0.16937872143590385
16,"McNealy, Maverick",1.48,24.8,100.0,0.2648837447221634
17,"Im, Sungjae",1.04,20.9,100.0,0.20922895835572136
18,"Kim, Si Woo",1.01,19.0,100.0,0.3726667128744301
19,"Bridgeman, Jacob",0.91,19.0,100.0,0.03297903533695255
20,"McIlroy, Rory",0.88,18.9,100.0,0.23227283108314428
21,"Fitzpatrick, Matt",0.75,16.7,100.0,0.11478184097628294
22,"Henley, Russell",0.74,16.2,100.0,0.20043340517098024
23,"Mitchell, Keith",0.67,16.5,100.0,0.31527438004946917
24,"Scott, Adam",0.64,15.2,100.0,0.07246275969955128
25,"Griffin, Ben",0.63,14.2,100.0,-0.09083840738392397
26,"Kim, Tom",0.5,12.2,100.0,0.25764218891971047
27,"Rose, Justin",0.47,13.0,100.0,0.12700065579132364
28,"Conners, Corey",0.42,12.1,100.0,0.3173446005856449
29,"Theegala, Sahith",0.34,11.1,100.0,0.04155714854238159
30,"Rai, Aaron",0.3,9.7,100.0,0.4574215478725979
31,"Thorbjornsen, Michael",0.3,9.9,100.0,0.14520386391846007
32,"Kitayama, Kurt",0.26,8.3,100.0,-0.1395179963306053
33,"Noren, Alex",0.24,8.8,100.0,-0.3651538312086981
34,"Cole, Eric",0.21,7.3,100.0,-0.06890144342913515
35,"Hall, Harry",0.19,7.2,100.0,0.148381036959005
36,"Fitzpatrick, Alex",0.17,7.9,100.0,0.1560829859184601
37,"Gerard, Ryan",0.14,5.2,100.0,0.04387458505759827
38,"Reitan, Kristoffer",0.14,6.3,100.0,0.0744882639184601
39,"Lowry, Shane",0.12,5.3,100.0,-0.025744976053807975
40,"Hojgaard, Nicolai",0.12,5.7,100.0,0.1032581859184601
41,"Hisatsune, Ryo",0.11,4.7,100.0,0.10465180791846011
42,"Harman, Brian",0.08,3.9,100.0,0.3548666587607021
43,"Fowler, Rickie",0.07,4.1,100.0,0.1593689506025051
44,"Brennan, Michael",0.07,3.8,100.0,0.0627794099184601
45,"Clark, Wyndham",0.06,3.1,100.0,0.04358679105160246
46,"Smith, Jordan",0.06,5.0,100.0,0.09264028091846012
47,"Castillo, Ricky",0.05,3.2,100.0,0.03529065991846009
48,"Poston, J.T.",0.04,2.5,100.0,-0.17320241299447142
49,"Echavarria, Nico",0.03,1.4,100.0,-0.012273838295942394
50,"McCarty, Matt",0.03,2.3,100.0,0.03636645491846009
51,"Straka, Sepp",0.03,1.9,100.0,0.01975184504713057
52,"Coody, Pierceson",0.02,2.1,100.0,0.0029931159184600903
53,"Yellamaraju, Sudarshan",0.02,2.2,100.0,0.02189018791846009
54,"Gotterup, Chris",0.02,2.2,100.0,0.48405916926329495
55,"Koivun, Jackson",0.02,1.3,100.0,0.09794923341846011
56,"English, Harris",0.02,1.5,100.0,-0.02897042238057053
57,"Stevens, Sam",0.01,0.7,100.0,0.08158868244895198
58,"Homa, Max",0.01,1.0,100.0,0.024912062780220786
59,"Rodgers, Patrick",0.0,0.2,100.0,-0.21384127947687873
60,"Lee, Min Woo",0.0,0.8,100.0,0.21850428902323335
61,"Fox, Ryan",0.0,0.6,100.0,-0.6627629555113063
62,"Taylor, Nick",0.0,0.7,100.0,0.006791549444709749
63,"Kim, Michael",0.0,0.1,100.0,-0.0361653402990924
64,"Knapp, Jake",0.0,0.0,100.0,0.15442684446508848
65,"Potgieter, Aldrich",0.0,0.0,100.0,-0.021517844195238653
66,"Spieth, Jordan",0.0,0.5,100.0,0.013514155094836111
67,"Smalley, Alex",0.0,0.2,100.0,-0.3935950562761609
68,"Schmid, Matti",0.0,1.0,100.0,-0.0473381912918191
69,"Woodland, Gary",0.0,0.4,100.0,0.15084355643222236
