rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Hillier, Daniel",12.43,57.2,90.6,0.18870459700000003
2,"Manassero, Matteo",11.14,54.4,90.0,-0.024678192000000005
3,"Ayora, Angel",9.92,51.6,88.9,0.131098093
4,"Ferguson, Ewen",8.63,48.8,88.1,0.08380036199999999
5,"Kimsey, Nathan",6.26,42.6,85.9,-0.07070709600000001
6,"Wiesberger, Bernd",4.56,35.7,82.5,0.10280159299999998
7,"Olesen, Jacob Skov",4.36,35.3,82.4,-0.011083663
8,"Schaper, Jayden",3.18,29.4,79.6,0.166140754
9,"Campillo, Jorge",3.07,29.3,79.3,0.039033098
10,"Forrest, Grant",2.65,26.1,77.1,-0.24344838300000002
11,"Otaegui, Adrian",2.51,26.2,77.6,-0.10392775600000001
12,"Jordan, Matthew",2.28,24.5,76.4,-0.16835164900000002
13,"Syme, Connor",2.0,22.9,74.9,-0.382423053
14,"Senior, Jack",1.83,21.1,73.7,-0.442191927
15,"Laporta, Francesco",1.73,20.7,73.0,-0.035129265
16,"Chacarra, Eugenio",1.63,20.7,73.3,0.080407561
17,"Lagergren, Joakim",1.56,19.9,72.8,-0.33763118500000006
18,"Bradbury, Dan",1.49,18.9,72.4,0.14022905200000002
19,"Sullivan, Andy",1.3,18.3,71.3,-0.127973909
20,"Van Meijel, Lars",1.27,16.7,70.0,-0.24228731400000003
21,"Del Rey, Alejandro",1.03,15.8,68.9,-0.07860518000000001
22,"Cabrera Bello, Rafa",0.94,13.7,66.3,-0.17408295600000004
23,"Lindberg, Mikael",0.86,12.8,65.3,-0.04959093300000003
24,"Ravetto, David",0.84,13.1,66.0,-0.22579917300000005
25,"Celli, Filippo",0.76,12.1,64.8,-0.5795729629999999
26,"Dean, Joe",0.76,12.4,64.5,-0.37723428400000003
27,"Scrivener, Jason",0.75,12.3,65.2,-0.23650601599999999
28,"Jarvis, Casey",0.58,10.6,62.4,0.22632216600000005
29,"Crocker, Sean",0.53,9.9,61.7,-0.156300513
30,"Hoshino, Rikuya",0.49,9.3,61.3,-0.35972292000000006
31,"Lindell, Oliver",0.46,9.2,60.9,0.24697173700000005
32,"Sterne, Richard",0.36,8.0,57.9,-0.260921889
33,"Guerrier, Julien",0.34,7.8,58.6,-0.14499463700000004
34,"Aphibarnrat, Kiradech",0.3,6.8,55.7,-0.3398319490000001
35,"Vaillant, Tom",0.27,6.1,54.2,-0.19055659200000002
36,"Zanotti, Fabrizio",0.27,6.3,54.6,-0.32125554300000003
37,"Kinhult, Marcus",0.25,5.9,53.7,-0.24112624500000004
38,"Schneider, Marcel",0.25,5.9,54.1,-0.28415210599999996
39,"Luiten, Joost",0.22,5.2,51.8,-0.2994880690000001
40,"Willett, Danny",0.2,5.2,51.6,-0.42593248100000003
41,"Van Driel, Darius",0.19,4.6,50.2,-0.09192916900000002
42,"Ramsay, Richie",0.19,5.2,52.2,-0.249244885
43,"Veerman, Johannes",0.17,4.6,50.6,-0.34537263600000007
44,"Broberg, Kristoffer",0.15,4.4,49.6,-0.24228731400000003
45,"Du Plessis, Hennie",0.15,3.6,47.4,0.072920451
46,"Helligkilde, Marcus",0.14,4.1,48.7,-0.24228731400000003
47,"Rozner, Antoine",0.13,3.6,46.9,0.09069356500000003
48,"Premlall, Yurav",0.13,2.7,44.6,-0.24228731400000003
49,"Peake, Ryan",0.12,2.9,44.3,-0.24228731400000003
50,"Yule, Jack",0.12,2.9,44.5,-0.24228731400000003
51,"Molinari, Francesco",0.11,3.9,47.2,0.016553996000000015
52,"De Haas, Floris",0.11,3.0,44.0,-0.24228731400000003
53,"Quayle, Anthony",0.11,3.0,43.6,-0.24228731400000003
54,"Elvira Mijares, Ignacio",0.11,3.4,46.6,-0.30190010400000006
55,"Zhou, Yanhan",0.11,3.0,43.9,-0.24228731400000003
56,"Mazzoli, Stefano",0.11,2.8,43.9,-0.24228731400000003
57,"Werner, Pieter",0.1,2.8,43.8,-0.24228731400000003
58,"Quiros, Alvaro",0.1,2.9,43.9,-0.24228731400000003
59,"Buchanan, Jack",0.1,2.8,44.2,-0.24228731400000003
60,"Townsend, Hugo",0.1,2.8,43.4,-0.24228731400000003
61,"Couvra, Martin",0.09,3.3,46.0,0.0112857
62,"McKinney, Connor",0.09,2.8,44.1,-0.24228731400000003
63,"Mory, Felix",0.09,3.0,44.1,-0.24228731400000003
64,"Naidoo, Dylan",0.09,2.4,42.6,-0.6285823510000002
65,"Walker, Euan",0.09,2.9,43.9,-0.24228731400000003
66,"Biondi, Fred",0.09,2.9,44.3,-0.24228731400000003
67,"Ereno Perez, Pablo",0.09,2.9,44.3,-0.24228731400000003
68,"Sandhu, Yuvraj Singh",0.09,2.8,44.3,-0.24228731400000003
69,"Wattel, Romain",0.09,2.9,44.2,-0.24228731400000003
70,"Jonsson, Tobias",0.09,2.9,44.5,-0.24228731400000003
71,"Young, Daniel",0.08,2.9,44.0,-0.24228731400000003
72,"Bergstrom, Albin",0.08,2.9,43.7,-0.24228731400000003
73,"Adam, Cameron",0.08,2.8,44.8,-0.24228731400000003
74,"Feuerstein, Michael",0.08,2.9,44.5,-0.24228731400000003
75,"Broomhead, Jonothan",0.08,3.0,44.4,-0.24228731400000003
76,"Howell, Mason",0.08,2.8,43.7,-0.24228731400000003
77,"Gallegos, Andres",0.08,2.8,43.9,-0.24228731400000003
78,"Morrison, James",0.08,2.9,45.5,-0.685741823
79,"Charmasson, Clement",0.08,3.0,44.3,-0.24228731400000003
80,"Vidal, Quim",0.08,2.9,44.3,-0.24228731400000003
81,"Logan, Hunter",0.08,2.9,44.1,-0.24228731400000003
82,"Berry, Joshua",0.07,2.7,44.1,-0.24228731400000003
83,"Repetto Taylor, Rocco Paolo",0.07,2.9,44.2,-0.24228731400000003
84,"Hollick, Michael",0.07,2.9,44.5,-0.24228731400000003
85,"Besseling, Wil",0.07,2.4,42.4,-0.24228731400000003
86,"Steinlechner, Maximilian",0.07,2.9,44.2,-0.24228731400000003
87,"Van Der Vight, Lars",0.07,2.1,40.4,-0.24228731400000003
88,"Siem, Marcel",0.07,1.5,36.3,-0.507356982
89,"Clements, Todd",0.06,1.4,35.6,-0.10493799300000001
90,"Ji, Jerry",0.06,2.4,42.4,-0.24228731400000003
91,"Armitage, Marcus",0.06,2.1,40.0,-0.029963223
92,"Valimaki, Sami",0.06,1.8,38.6,0.08309864800000001
93,"Debove, Quentin",0.05,2.9,44.3,-0.24228731400000003
94,"Migliozzi, Guido",0.05,1.9,39.2,-0.10812078399999998
95,"Da Costa Rodrigues, Daniel",0.05,3.1,44.2,-0.24228731400000003
96,"Ding, Wenyi",0.05,2.3,41.1,-0.10410873299999998
97,"Langasque, Romain",0.04,2.1,40.4,-0.402791275
98,"Ritchie, JC",0.04,1.2,33.4,-0.097987618
99,"Cantero Gutierrez, Ivan",0.03,1.5,36.7,-0.500738248
100,"De Leo, Gregorio",0.03,1.3,34.6,-0.095321874
101,"Bryant, Davis",0.03,1.3,35.6,-0.12449323000000001
102,"Pepperell, Eddie",0.03,1.3,35.7,0.03190488300000002
103,"Baldwin, Matthew",0.02,1.1,33.5,-0.356337777
104,"Law, David",0.02,0.6,28.9,-0.285291472
105,"Lawrence, Thriston",0.02,1.1,33.6,-0.053071283000000004
106,"Guillamoundeguy, Oihan",0.02,1.0,31.1,-0.24228731400000003
107,"Larrazabal, Pablo",0.02,1.0,33.0,-0.5968663590000001
108,"Von Dellingshausen, Nicolai",0.02,0.9,31.0,-0.521779316
109,"Kaewkanjana, Sadom",0.02,0.6,28.4,-0.30894885499999997
110,"Toorop, Mike",0.02,0.7,28.8,-0.24228731400000003
111,"Garcia Rodriguez, Sebastian",0.02,0.7,29.1,-0.448711781
112,"Soderberg, Sebastian",0.02,0.9,32.3,-0.20041254400000003
113,"Kobori, Kazuma",0.01,0.4,22.4,-0.130004413
114,"Norgaard, Niklas",0.01,1.3,34.5,-0.33410115200000007
115,"Stone, Brandon",0.01,0.6,28.2,-0.204099746
116,"Mansell, Richard",0.01,0.4,24.0,-0.18748891
117,"Waring, Paul",0.01,0.5,25.2,-0.008708052
118,"Dantorp, Jens",0.01,0.2,18.3,-0.36606523700000004
119,"Huizing, Daan",0.01,0.6,26.2,-0.851676619
120,"Halvorsen, Andreas",0.01,0.5,24.9,-0.218666462
121,"Hill, Calum",0.01,0.2,20.7,-0.20657564300000003
122,"Fisher, Ross",0.01,0.2,17.9,-0.387329143
123,"De Vries, Wouter",0.01,0.2,20.6,-0.24228731400000003
124,"Katsuragawa, Yuto",0.0,0.3,23.9,-0.274154772
125,"Winther, Jeff",0.0,0.1,14.8,-0.25410884
126,"Gavins, Daniel",0.0,0.6,27.4,-0.24228731400000003
127,"Fdez-Castano, Gonzalo",0.0,0.3,22.5,-0.24228731400000003
128,"Williams, Robin",0.0,0.4,23.7,-0.610978444
129,"Lombard, Zander",0.0,0.6,28.7,-0.26801950900000004
130,"Robinson Thompson, Brandon",0.0,0.2,20.1,-0.216310526
131,"Arnaus, Adri",0.0,0.0,11.6,-0.543919396
132,"Bairstow, Sam",0.0,0.1,17.1,-0.25812099600000005
133,"Gouveia, Ricardo",0.0,0.1,12.7,-0.21620246600000004
134,"Girrbach, Joel",0.0,0.0,2.0,-0.24773715600000001
135,"Frittelli, Dylan",0.0,0.2,20.0,-0.32498121500000005
136,"Hidalgo Portillo, Angel",0.0,0.1,18.3,-0.484714297
137,"Gumberg, Jordan",0.0,0.1,17.3,-0.37461720600000004
138,"Follet-Smith, Benjamin",0.0,0.0,11.3,-0.34567825599999996
139,"LaCroix, Frederic",0.0,0.0,12.3,-0.07827985200000001
140,"Levy, Alexander",0.0,0.0,10.4,-0.44416365199999996
141,"Lemke, Niklas",0.0,0.0,7.6,-0.32356158
142,"Lafeber, Guus",0.0,0.0,12.1,-0.24228731400000003
143,"Jamieson, Scott",0.0,0.0,8.2,-0.5569004160000001
144,"Johnston, Ryggs",0.0,0.0,6.3,-0.8094290150000001
145,"Johnston, Andrew",0.0,0.4,24.2,-0.15220471
146,"Ko, Jeong Weon",0.0,0.0,5.8,-0.7905581740000001
147,"Micheluzzi, David",0.0,0.0,0.9,-0.683464006
148,"Schmidt, Ben",0.0,0.0,7.2,-0.157733515
149,"Ruiter, Nevill",0.0,0.0,9.1,-0.24228731400000003
150,"Paul, Yannik",0.0,0.0,12.1,-0.61111937
151,"Paratore, Renato",0.0,0.1,10.8,-0.5163192750000001
152,"Na, Kevin",0.0,0.2,19.4,-0.41234818400000006
153,"Tarren, Callum",0.0,0.1,15.0,-0.422111946
154,"Wu, Ashun",0.0,0.1,14.6,-0.39397583799999997
155,"Woltering, Scott",0.0,0.0,9.5,-0.24228731400000003
