rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",40.92,92.4,99.3,0.4707598493559153
2,"DeChambeau, Bryson",10.6,68.9,96.4,0.2697380480583751
3,"Schauffele, Xander",10.19,68.1,96.1,0.48304576071179184
4,"McIlroy, Rory",8.28,63.3,95.6,0.3915737413288476
5,"Hovland, Viktor",5.21,53.5,93.2,0.33677085026461984
6,"Gerard, Ryan",3.97,47.6,92.2,0.4933881878757965
7,"Rahm, Jon",3.43,44.1,90.8,0.4217897103203576
8,"Fitzpatrick, Matt",3.05,42.3,90.6,0.28498592036469583
9,"Morikawa, Collin",1.55,30.1,85.9,0.4442476514740054
10,"Fleetwood, Tommy",1.43,29.0,85.3,0.24861001431200128
11,"Lowry, Shane",1.3,29.4,85.8,0.3407333517806885
12,"Young, Cameron",1.24,27.1,84.2,0.5090474463375262
13,"Hall, Harry",1.09,25.7,83.9,0.27357771221598126
14,"Bradley, Keegan",0.84,21.5,81.1,0.42675643513261674
15,"Rose, Justin",0.61,19.0,79.9,0.09152595628957799
16,"Theegala, Sahith",0.5,16.5,77.2,-0.12280586256937388
17,"Hisatsune, Ryo",0.46,16.3,77.0,0.040240665156284466
18,"Penge, Marco",0.33,13.0,74.3,0.7338198292486097
19,"Koepka, Brooks",0.29,12.7,73.9,0.06630859600405367
20,"Lee, Min Woo",0.28,12.0,72.7,0.11088853147232744
21,"English, Harris",0.26,10.4,71.3,-0.01893677564734959
22,"Conners, Corey",0.26,11.1,72.1,0.32967937837981215
23,"Kitayama, Kurt",0.25,10.8,71.8,0.19037226696957943
24,"Niemann, Joaquin",0.25,11.1,71.6,0.14960548126063267
25,"Highsmith, Joe",0.24,9.8,70.2,0.18723721183036143
26,"Thomas, Justin",0.24,9.7,69.8,-0.006410835960624847
27,"Hatton, Tyrrell",0.23,11.0,71.5,0.26041100432674663
28,"Matsuyama, Hideki",0.21,10.2,71.4,0.11527172429234893
29,"Reed, Patrick",0.2,10.0,70.0,0.04444688159823232
30,"Spieth, Jordan",0.17,9.6,70.1,0.26603136637072733
