rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",42.35,90.5,99.9,0.6030219676249333
2,"Cantlay, Patrick",6.98,54.4,99.4,0.3822528363704911
3,"Schauffele, Xander",5.57,50.7,99.2,0.3251892056829945
4,"Fleetwood, Tommy",5.22,49.0,99.1,0.18769079082053414
5,"McNealy, Maverick",5.0,47.5,99.1,0.17355854257226513
6,"Aberg, Ludvig",4.02,43.1,98.8,0.3823352786341605
7,"English, Harris",3.94,42.7,98.8,0.18125445179087235
8,"Morikawa, Collin",3.04,37.9,98.5,0.2354859383525149
9,"Hovland, Viktor",2.86,35.3,98.4,0.42401149724267473
10,"Young, Cameron",2.74,37.2,98.3,0.5371500998693357
11,"Bhatia, Akshay",1.74,28.6,97.7,0.14787352669563078
12,"Berger, Daniel",1.66,26.8,97.5,0.13985713943054057
13,"McIlroy, Rory",1.6,27.1,97.5,0.5924207639605019
14,"Knapp, Jake",1.38,24.8,97.1,0.30677381165025575
15,"Matsuyama, Hideki",1.33,25.3,97.5,0.1398284536424784
16,"Homa, Max",1.05,22.2,96.9,0.0665737305025311
17,"Kim, Michael",0.59,14.2,95.0,0.11197049110301614
18,"Burns, Sam",0.53,13.9,94.8,0.2404829550548901
19,"Henley, Russell",0.51,15.9,95.5,0.0583471353639769
20,"MacIntyre, Robert",0.47,13.2,94.9,0.2883393604845497
21,"Gotterup, Chris",0.47,12.7,94.8,0.24505109126731742
22,"Day, Jason",0.44,14.2,94.9,0.011854253778174648
23,"Lowry, Shane",0.44,12.5,94.5,0.25640473682673964
24,"Finau, Tony",0.42,12.8,94.6,0.05856759076532911
25,"Fowler, Rickie",0.39,11.6,94.3,0.16363246855977345
26,"Novak, Andrew",0.37,11.6,94.0,-0.10543485751339168
27,"Taylor, Nick",0.36,12.2,94.3,0.11940158846649365
28,"Theegala, Sahith",0.35,12.4,94.4,0.06016988831988285
29,"Gerard, Ryan",0.31,10.1,93.5,0.2235948632673174
30,"Scott, Adam",0.26,11.9,94.2,0.15606218615522877
31,"Stevens, Sam",0.23,9.1,93.0,0.294455303042498
32,"McCarthy, Denny",0.22,8.6,92.8,-0.13879189080776572
33,"Noren, Alex",0.22,9.0,92.9,-0.038012351642358805
34,"Coody, Pierceson",0.21,8.6,92.2,0.1956486732673174
35,"Spaun, J.J.",0.21,7.4,91.5,0.122793882651195
36,"Fitzpatrick, Matt",0.19,8.8,92.6,0.19085932729958738
37,"Griffin, Ben",0.18,7.1,91.7,0.09271505295072377
38,"Hall, Harry",0.17,6.3,90.5,0.14771091926731744
39,"Greyserman, Max",0.17,7.6,91.8,0.26568355128683385
40,"Kim, Si Woo",0.17,6.3,90.8,0.3428002943125229
41,"Rodgers, Patrick",0.15,6.3,90.6,0.2380013612736456
42,"Poston, J.T.",0.14,6.4,90.8,0.07116155595149101
43,"Rai, Aaron",0.13,6.3,90.9,0.10554737392088781
44,"Conners, Corey",0.12,4.8,89.3,0.16601206806544083
45,"Spieth, Jordan",0.11,5.9,90.6,0.10382992115223721
46,"Hoey, Rico",0.1,4.6,88.7,0.14431655126731743
47,"McCarty, Matt",0.09,6.2,90.7,0.1621782632673174
48,"Bridgeman, Jacob",0.08,5.0,89.2,0.13525712926731742
49,"Rose, Justin",0.08,4.4,88.8,-0.11282853467660969
50,"Clark, Wyndham",0.08,4.4,88.5,0.11597116704535555
51,"Straka, Sepp",0.07,4.1,88.4,0.039538563821616274
52,"Hisatsune, Ryo",0.06,3.5,87.1,0.1038414612673174
53,"Kitayama, Kurt",0.05,3.4,86.9,0.08676929041612073
54,"Higgo, Garrick",0.05,3.7,87.8,0.1086378732673174
55,"Kim, Tom",0.05,2.5,84.2,0.013899225052153491
56,"Bradley, Keegan",0.04,3.3,86.6,0.1253032830085647
57,"Penge, Marco",0.04,3.4,86.6,0.10769854726731744
58,"Valimaki, Sami",0.04,2.4,84.3,0.0801044932673174
59,"Cauley, Bud",0.03,2.2,83.3,0.05809553526731741
60,"McGreevy, Max",0.02,2.1,83.3,-0.013154821104109843
61,"Schmid, Matti",0.02,1.4,79.5,0.02231812926731741
62,"Fox, Ryan",0.02,2.3,83.7,0.06379620726731741
63,"Harman, Brian",0.01,1.3,79.7,-0.11298315596773094
64,"Glover, Lucas",0.01,1.2,79.0,0.021540887202721515
65,"Echavarria, Nico",0.01,2.1,83.3,0.0275424970548932
66,"Potgieter, Aldrich",0.01,0.8,75.8,-0.008397056732682602
67,"Pendrith, Taylor",0.01,1.1,77.6,0.3892242065348117
68,"Yu, Kevin",0.01,0.9,76.5,-0.057701247896911646
69,"Lee, Min Woo",0.01,1.3,79.9,0.42271382547793596
70,"Campbell, Brian",0.0,0.3,67.0,-0.10304554273268259
71,"Hoge, Tom",0.0,0.6,74.5,-0.151360488284684
72,"Vegas, Jhonattan",0.0,0.4,70.0,0.21345551762137482
