rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",33.82,90.1,99.1,0.0
2,"Gotterup, Chris",18.09,80.3,97.5,0.0
3,"Schauffele, Xander",11.41,72.0,96.3,0.0
4,"Rahm, Jon",10.22,69.3,96.1,0.0
5,"McIlroy, Rory",5.19,55.4,93.1,0.0
6,"Young, Cameron",3.75,48.4,91.3,0.0
7,"Fitzpatrick, Alex",2.35,39.7,88.7,0.0
8,"Fleetwood, Tommy",2.34,39.9,88.8,0.0
9,"Fitzpatrick, Matt",2.22,37.4,88.1,0.0
10,"Spaun, J.J.",1.35,29.2,84.3,0.0
11,"Harman, Brian",1.29,30.7,85.0,0.0
12,"Spieth, Jordan",0.8,22.9,80.8,0.0
13,"Morikawa, Collin",0.78,21.1,79.4,0.0
14,"Rose, Justin",0.66,20.7,79.9,0.0
15,"Hovland, Viktor",0.55,18.5,78.0,0.0
16,"Lowry, Shane",0.55,19.2,78.5,0.0
17,"Henley, Russell",0.49,16.7,75.8,0.0
18,"Cantlay, Patrick",0.39,15.2,74.9,0.0
19,"DeChambeau, Bryson",0.28,12.8,71.8,0.0
20,"Reitan, Kristoffer",0.28,11.5,71.0,0.0
21,"Berger, Daniel",0.27,12.0,71.6,0.0
22,"Aberg, Ludvig",0.24,11.7,71.5,0.0
23,"Conners, Corey",0.24,12.6,72.2,0.0
24,"Hatton, Tyrrell",0.23,12.3,71.7,0.0
25,"MacIntyre, Robert",0.21,12.4,72.0,0.0
26,"Hall, Harry",0.16,9.4,67.6,0.0
27,"Cole, Eric",0.16,8.4,66.0,0.0
28,"Hojgaard, Nicolai",0.13,7.7,64.9,0.0
29,"Kim, Si Woo",0.12,8.0,65.6,0.0
30,"Day, Jason",0.11,6.6,62.6,0.0
31,"Noren, Alex",0.1,6.1,62.1,0.0
32,"Scott, Adam",0.09,6.9,63.4,0.0
33,"Matsuyama, Hideki",0.08,7.5,64.4,0.0
34,"Homa, Max",0.07,4.4,57.3,0.0
35,"Bhatia, Akshay",0.07,5.5,60.0,0.0
36,"English, Harris",0.07,4.8,58.6,0.0
37,"Burns, Sam",0.06,5.6,60.7,0.0
38,"Horschel, Billy",0.06,4.1,56.3,0.0
39,"McNealy, Maverick",0.06,5.6,60.4,0.0
40,"Thomas, Justin",0.06,6.5,62.7,0.0
41,"Fowler, Rickie",0.05,5.0,59.1,0.0
42,"Niemann, Joaquin",0.04,4.0,56.0,0.0
43,"Clark, Wyndham",0.04,5.0,59.3,0.0
44,"Parry, John",0.03,3.0,52.6,0.0
45,"Wallace, Matt",0.03,2.0,47.4,0.0
46,"Chacarra, Eugenio",0.03,1.6,44.9,0.0
47,"Kim, Tom",0.03,4.0,56.5,0.0
48,"Lee, Min Woo",0.03,3.9,55.8,0.0
49,"Im, Sungjae",0.02,3.2,53.1,0.0
50,"Griffin, Ben",0.02,2.2,48.3,0.0
51,"Kitayama, Kurt",0.02,2.5,50.6,0.0
52,"Gerard, Ryan",0.02,1.7,45.0,0.0
53,"Rai, Aaron",0.02,2.7,50.8,0.0
54,"Detry, Thomas",0.02,2.8,50.6,0.0
55,"Jordan, Matthew",0.02,2.6,50.6,0.0
56,"Smith, Cameron",0.02,1.9,46.5,0.0
57,"Sullivan, Andy",0.01,2.0,47.2,0.0
58,"Perez, Victor",0.01,1.9,47.1,0.0
59,"Bradley, Keegan",0.01,2.1,48.7,0.0
60,"Li, Haotong",0.01,0.8,36.4,0.0
61,"Herbert, Lucas",0.01,0.7,36.4,0.0
62,"Smith, Jordan",0.01,1.3,42.4,0.0
63,"Straka, Sepp",0.01,1.9,46.5,0.0
64,"Smalley, Alex",0.01,1.1,40.8,0.0
65,"Poston, J.T.",0.01,0.6,34.4,0.0
66,"John, Cameron",0.01,0.3,26.4,0.0
67,"Reed, Patrick",0.01,1.4,42.8,0.0
68,"Ruiter, Nevill",0.01,0.3,27.1,0.0
69,"Keefer, Johnny",0.01,0.5,32.8,0.0
70,"Svensson, Jesper",0.0,0.7,35.0,0.0
71,"McCarty, Matt",0.0,0.4,31.7,0.0
72,"Fox, Ryan",0.0,1.0,40.8,0.0
73,"Canter, Laurie",0.0,0.5,33.0,0.0
74,"Bridgeman, Jacob",0.0,1.5,43.9,0.0
75,"Coody, Pierceson",0.0,1.0,39.1,0.0
76,"Brennan, Michael",0.0,0.8,37.9,0.0
77,"Skogen, Baard",0.0,0.2,26.7,0.0
78,"Mitchell, Keith",0.0,0.7,34.6,0.0
79,"Rozner, Antoine",0.0,0.4,32.9,0.0
80,"Suber, Jackson",0.0,0.8,36.4,0.0
81,"Neergaard-Petersen, Rasmus",0.0,0.5,31.8,0.0
82,"Plunkett, Marcus",0.0,0.3,26.2,0.0
83,"Oosthuizen, Louis",0.0,0.8,37.1,0.0
84,"Kaneko, Kota",0.0,0.3,28.3,0.0
85,"Greyserman, Max",0.0,0.5,31.5,0.0
86,"Koepka, Brooks",0.0,0.9,37.7,0.0
87,"Bairstow, Sam",0.0,0.0,2.4,0.0
88,"Bradbury, Dan",0.0,0.0,3.9,0.0
89,"Ballester, Jose Luis",0.0,0.2,24.6,0.0
90,"Baldwin, Matthew",0.0,0.0,9.7,0.0
91,"Ayora, Angel",0.0,0.8,37.6,0.0
92,"Daffue, MJ",0.0,0.2,27.2,0.0
93,"Couvra, Martin",0.0,0.0,4.8,0.0
94,"Cink, Stewart",0.0,0.1,21.0,0.0
95,"Clarke, Darren",0.0,0.0,8.0,0.0
96,"Brown, Dan",0.0,0.9,37.5,0.0
97,"Buchanan, Jack",0.0,0.2,26.8,0.0
98,"Cauley, Bud",0.0,0.5,33.1,0.0
99,"Christensen, Tiger",0.0,0.0,10.0,0.0
100,"Jarvis, Casey",0.0,0.4,30.2,0.0
101,"Howell, Mason",0.0,0.2,26.6,0.0
102,"Knapp, Jake",0.0,1.2,41.5,0.0
103,"Kobori, Kazuma",0.0,0.1,19.7,0.0
104,"LaCroix, Frederic",0.0,0.1,21.6,0.0
105,"Laporta, Francesco",0.0,0.1,23.6,0.0
106,"Laopakdee, Fifa",0.0,0.2,26.6,0.0
107,"Kim, Michael",0.0,0.3,29.2,0.0
108,"Harrington, Padraig",0.0,0.0,10.8,0.0
109,"Ham, Jeong Woo",0.0,0.3,26.1,0.0
110,"Grehan, Stuart",0.0,0.2,26.5,0.0
111,"Docherty, Alistair",0.0,0.2,26.7,0.0
112,"Echavarria, Nico",0.0,0.1,22.2,0.0
113,"Du Plessis, Hennie",0.0,0.5,32.3,0.0
114,"Duval, David",0.0,0.0,0.9,0.0
115,"De Castro Piera, Alejandro",0.0,0.3,26.6,0.0
116,"Higa, Kazuki",0.0,0.0,14.4,0.0
117,"Grinberg, Lev",0.0,0.2,26.8,0.0
118,"Howard, David",0.0,0.2,26.0,0.0
