rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",68.5,99.2,100.0,0.5698119592297818
2,"Schauffele, Xander",17.13,90.7,99.3,0.6726488503566048
3,"Koepka, Brooks",2.71,59.8,95.8,0.2635358777132409
4,"Hojgaard, Rasmus",2.43,57.5,95.4,0.5801401545543114
5,"Spieth, Jordan",1.16,43.7,92.2,0.015644242796008637
6,"Burns, Sam",1.02,41.5,92.0,0.12651201163853684
7,"Kim, Si Woo",0.84,39.4,91.4,0.36351328776654157
8,"Young, Cameron",0.73,35.7,90.2,0.4620463158262125
9,"Matsuyama, Hideki",0.65,32.0,89.0,0.14765327683134352
10,"Fitzpatrick, Matt",0.62,29.6,87.4,0.1682985498349389
11,"McNealy, Maverick",0.62,34.0,89.6,-0.0011170849836509957
12,"Taylor, Nick",0.49,29.8,87.8,0.10047901234772424
13,"Theegala, Sahith",0.47,27.3,87.1,0.08954984136098212
14,"Griffin, Ben",0.41,28.9,87.6,0.30791935986895613
15,"Kitayama, Kurt",0.33,24.2,85.8,0.08242491558232624
16,"Smalley, Alex",0.29,24.8,85.5,0.15536680091937102
17,"Poston, J.T.",0.13,15.1,79.3,0.15455689894902613
18,"Berger, Daniel",0.12,14.1,78.3,0.13179591766732596
19,"Higgo, Garrick",0.11,13.5,77.7,0.1146730191344977
20,"Bezuidenhout, Christiaan",0.11,12.0,76.0,-0.34784468609379027
21,"Clark, Wyndham",0.11,14.2,78.6,-0.0841342045072096
22,"Hojgaard, Nicolai",0.1,10.1,74.3,-0.09088784263861543
23,"Stevens, Sam",0.07,11.4,75.8,0.14602817337383195
24,"Mitchell, Keith",0.07,10.7,75.3,0.2666545196684623
25,"Lee, Min Woo",0.06,11.7,76.2,0.22672751892923743
26,"Novak, Andrew",0.06,9.6,73.7,-0.13831737052148546
27,"Knapp, Jake",0.06,11.1,75.8,-0.3703293711240303
28,"Thompson, Davis",0.05,9.2,72.5,0.17777468847757347
29,"Yu, Kevin",0.05,8.1,70.6,0.4292368636540142
30,"Kim, Michael",0.04,7.2,69.6,0.10488233026357274
31,"Hall, Harry",0.04,6.7,69.4,-0.19261766198105637
32,"Conners, Corey",0.03,7.3,69.5,0.3695989958493963
33,"Kim, S.H.",0.03,6.8,69.3,-0.02407057207147799
34,"Finau, Tony",0.02,2.9,57.4,-0.046343581784114046
35,"Greyserman, Max",0.02,3.8,61.2,-0.07313410019158548
36,"Harman, Brian",0.02,6.6,68.2,0.21305224711750642
37,"Neergaard-Petersen, Rasmus",0.02,3.6,60.8,0.07484451867711794
38,"Cauley, Bud",0.02,3.8,61.4,-0.19281379132840976
39,"Coody, Pierceson",0.02,3.8,61.5,0.06371953167711794
40,"Penge, Marco",0.02,4.2,62.5,0.04905700867711794
41,"Fowler, Rickie",0.02,4.1,62.1,0.08828074641778072
42,"Parry, John",0.01,2.9,57.9,0.060623937677117934
43,"Phillips, Chandler",0.01,1.6,50.8,0.1978983846305994
44,"Homa, Max",0.01,3.8,61.7,0.15176491540213227
45,"Olesen, Thorbjorn",0.01,3.8,61.3,0.07178544067711792
46,"Rodgers, Patrick",0.01,2.7,56.5,0.30350146462890243
47,"Kim, Tom",0.01,4.4,63.2,-0.16075604075815175
48,"Spaun, J.J.",0.01,3.0,58.1,-0.18404386813026596
49,"Smith, Jordan",0.01,2.5,56.0,0.045189600677117935
50,"Hoge, Tom",0.01,0.8,44.4,-0.18369996903865077
51,"Hovland, Viktor",0.01,4.8,64.5,0.10843404830947342
52,"Li, Haotong",0.01,2.4,55.5,0.027175538677117927
53,"Grillo, Emiliano",0.01,0.8,43.2,0.16926501078779704
54,"Brown, Dan",0.01,1.4,48.7,-0.010188363322882067
55,"English, Harris",0.01,3.4,59.2,0.02256198565745418
56,"Bridgeman, Jacob",0.01,0.7,41.8,0.06089849717304447
57,"Avant, Thomas",0.01,1.1,46.6,0.047123304677117936
58,"Straka, Sepp",0.01,2.2,55.2,0.05701919292935991
59,"Yellamaraju, Sudarshan",0.01,1.1,47.0,0.047123304677117936
60,"Roy, Kevin",0.0,1.1,46.9,2.610867711793502e-05
61,"Meissner, Mac",0.0,1.3,49.1,0.22563291674336028
62,"McCarty, Matt",0.0,0.3,35.4,0.28043911438982716
63,"Reitan, Kristoffer",0.0,2.6,56.8,-0.007806684322882063
64,"Morikawa, Collin",0.0,3.0,58.3,0.14299759397185904
65,"Lee, S.T.",0.0,1.0,47.1,0.047123304677117936
66,"Horschel, Billy",0.0,3.6,61.4,0.09729322907578213
67,"Hirata, Kensei",0.0,1.2,46.3,0.047123304677117936
68,"Dou, Zecheng",0.0,1.1,46.7,0.047123304677117936
69,"Gotterup, Chris",0.0,2.1,54.3,-0.2688528305561312
70,"Kanaya, Takumi",0.0,1.8,51.9,0.03397632867711794
71,"Hughes, Mackenzie",0.0,1.1,46.6,-0.20764855433321758
72,"Dumont De Chassart, Adrien",0.0,0.7,43.0,0.3316540123330475
73,"Blanchet, Chandler",0.0,1.1,47.0,0.047123304677117936
74,"Cole, Eric",0.0,0.2,31.6,-0.08343484633742763
75,"Chatfield, Davis",0.0,1.2,47.0,0.047123304677117936
76,"Campbell, Brian",0.0,0.2,27.7,-0.06995650232288206
77,"Bhatia, Akshay",0.0,1.6,50.8,0.20212833077243858
78,"Bauchou, Zach",0.0,1.1,46.6,0.047123304677117936
79,"Brennan, Michael",0.0,1.2,46.8,0.047123304677117936
80,"Highsmith, Joe",0.0,0.0,20.4,0.081348902384755
81,"Hisatsune, Ryo",0.0,0.7,41.4,0.19633801014501812
82,"Garnett, Brice",0.0,0.2,32.0,0.08515628361952772
83,"Gonzalez, Emilio",0.0,1.1,46.3,0.047123304677117936
84,"Fox, Ryan",0.0,1.3,46.8,-0.11029991568123912
85,"Campos, Rafael",0.0,0.0,13.5,-0.190315229960611
86,"Davis, Cam",0.0,0.0,16.3,-0.008214581103387214
87,"Dahmen, Joel",0.0,0.5,36.5,0.06059785737585713
88,"Echavarria, Nico",0.0,0.1,25.5,0.022778040464281307
89,"Eckroat, Austin",0.0,0.1,26.8,0.02486222289338724
90,"Kang, Jeffrey",0.0,0.0,15.1,0.047123304677117936
91,"Keefer, Johnny",0.0,1.2,46.2,0.047123304677117936
92,"Hubbard, Mark",0.0,0.2,31.0,-0.07889121414619288
93,"Jaeger, Stephan",0.0,0.1,25.5,-0.4624940476490157
94,"Hoey, Rico",0.0,0.5,38.7,0.6581825221769255
95,"Hoffman, Charley",0.0,0.2,32.2,-0.13933157426701798
96,"Pavon, Matthieu",0.0,0.2,28.7,0.08252008678743047
97,"Potgieter, Aldrich",0.0,0.8,44.4,-0.03888264232288207
98,"Lamprecht, Christo",0.0,1.1,46.3,0.047123304677117936
99,"Kizzire, Patton",0.0,0.4,35.9,0.04298806151651869
