rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Young, Cameron",55.29,96.2,99.6,0.5274889345002325
2,"Thomas, Justin",8.47,67.5,95.5,-0.041347210845723806
3,"Meissner, Mac",8.07,66.8,95.2,0.5197176275749461
4,"Koivun, Jackson",4.33,53.3,92.3,0.043409904147758666
5,"McCarty, Matt",4.24,53.7,92.4,0.19272692738585956
6,"Griffin, Ben",3.26,47.7,90.6,0.1342239687918815
7,"Noren, Alex",2.2,39.0,88.0,0.05470844591875948
8,"Kim, Tom",2.16,39.0,88.2,0.3117269235457133
9,"Rai, Aaron",1.7,35.4,86.5,0.47484904723245225
10,"Horschel, Billy",1.54,33.6,85.8,0.33459908868797855
11,"Im, Sungjae",1.31,31.6,84.6,0.18003336428437772
12,"Thompson, Davis",0.69,20.9,79.1,0.4308468462717953
13,"Castillo, Ricky",0.69,21.9,79.9,-0.03525571600192735
14,"Greyserman, Max",0.66,23.0,80.7,0.17245486246321803
15,"Vilips, Karl",0.43,15.3,73.6,-0.4975606963249272
16,"Poston, J.T.",0.42,16.9,75.4,0.05853671111865284
17,"Crowe, Trace",0.41,17.7,76.6,0.6111988210662587
18,"McGreevy, Max",0.3,12.6,71.8,0.37130151297739844
19,"Mitchell, Keith",0.21,10.4,68.2,0.4823555355474328
20,"Cantlay, Patrick",0.19,9.4,67.5,0.16995401422827347
21,"McCarthy, Denny",0.18,10.1,67.8,0.06656176337508145
22,"Fishburn, Patrick",0.17,10.8,69.2,0.19794466929514842
23,"Matsuyama, Hideki",0.17,8.7,66.8,0.47777396628723523
24,"McNealy, Maverick",0.16,10.2,68.4,0.2754247989991709
25,"Cole, Eric",0.16,9.8,67.5,0.019861764439590944
26,"Wallace, Matt",0.16,9.2,66.9,0.10029467350131228
27,"Smalley, Alex",0.15,9.0,66.1,0.2799161672669704
28,"Echavarria, Nico",0.14,8.6,65.7,-0.027072801426688598
29,"Bradley, Keegan",0.13,10.0,68.2,0.13128983712080738
30,"Moore, Taylor",0.12,8.0,64.8,0.05492130387038182
31,"Mouw, William",0.11,5.5,59.3,0.29941079995822467
32,"Spieth, Jordan",0.11,6.5,62.2,-0.04409754482483759
33,"Kirk, Chris",0.1,7.5,63.7,-0.05059115482156645
34,"Day, Jason",0.09,7.4,63.9,1.0526336515814194
35,"English, Harris",0.09,5.8,59.7,0.3062732353330823
36,"Fitzpatrick, Alex",0.08,6.2,61.6,0.12391391422827346
37,"Simpson, Webb",0.07,5.0,58.1,0.06709605094767629
38,"Hisatsune, Ryo",0.07,6.0,60.9,0.40371087724230226
39,"Bezuidenhout, Christiaan",0.06,5.5,59.4,0.009575624108270828
40,"Hojgaard, Rasmus",0.06,6.2,60.5,0.1987279874456019
41,"Wise, Aaron",0.06,4.1,55.6,0.043409904147758666
42,"Phillips, Chandler",0.06,4.7,57.8,0.20420449355602788
43,"Kuchar, Matt",0.05,4.6,56.7,0.3159721289601951
44,"Taylor, Nick",0.05,3.7,54.7,-0.01433196678269887
45,"Schmid, Matti",0.05,3.6,53.5,0.12744836155188774
46,"Hossler, Beau",0.04,3.8,54.4,0.043409904147758666
47,"Gerard, Ryan",0.04,4.2,55.8,0.17845152942861184
48,"Rodgers, Patrick",0.04,3.1,53.1,-0.02562163237616967
49,"Berger, Daniel",0.03,3.1,51.2,0.38910769043790366
50,"Kohles, Ben",0.03,3.7,53.8,0.11498418050547252
51,"Hubbard, Mark",0.03,3.3,52.3,0.14495740278049876
52,"Jaeger, Stephan",0.03,3.1,51.9,0.13579940232083537
