rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Spaun, J.J.",7.6,37.6,83.2,0.3702672788682412
2,"Griffin, Ben",6.77,36.0,82.6,0.33173245283041475
3,"Kim, Si Woo",4.8,29.2,79.0,0.3410124107156696
4,"Greyserman, Max",3.71,25.5,76.5,0.6699183505829506
5,"Hoey, Rico",3.44,25.2,76.1,0.9082615156029793
6,"Thorbjornsen, Michael",2.85,22.4,74.4,0.26632534771566957
7,"Higgo, Garrick",2.59,20.6,73.1,0.2137578690446488
8,"Yu, Kevin",2.42,19.8,72.3,0.1756769295402654
9,"Olesen, Thorbjorn",2.33,19.1,71.9,0.21971765171566962
10,"Taylor, Nick",2.32,18.8,71.6,-0.0033645563804459155
11,"Bridgeman, Jacob",2.04,17.8,70.4,0.6775191298915085
12,"Grillo, Emiliano",1.87,16.8,69.7,0.12596367582056017
13,"Eckroat, Austin",1.85,16.1,68.9,0.183075887735038
14,"Echavarria, Nico",1.83,16.4,68.6,0.7413464815154934
15,"Coody, Pierceson",1.81,16.0,68.4,0.760988898236788
16,"Svensson, Jesper",1.5,14.4,66.5,0.21112315671566964
17,"Kuchar, Matt",1.43,13.5,65.6,0.1882556684466137
18,"Clark, Wyndham",1.38,14.0,65.8,0.14321000571566964
19,"Kanaya, Takumi",1.37,13.8,66.5,0.13330987171566963
20,"Wallace, Matt",1.27,12.9,65.3,-0.08111081229088328
21,"Ghim, Doug",1.26,12.6,64.6,0.22569200636547218
22,"Mitchell, Keith",1.11,11.7,63.5,-0.028347240195173457
23,"Fisk, Steven",1.1,12.1,63.8,0.1902760047156696
24,"Whaley, Vince",1.1,11.6,63.4,0.024389172976944058
25,"Perez, Victor",1.08,11.1,62.5,0.16464852471566963
26,"Power, Seamus",1.01,10.9,62.3,0.0645289043471402
27,"Fishburn, Patrick",0.96,11.4,63.0,0.7132014835054984
28,"Rodgers, Patrick",0.95,10.6,62.4,0.02280618993924241
29,"Hughes, Mackenzie",0.94,9.9,61.0,0.08594575971566965
30,"Mouw, William",0.91,10.5,61.8,0.12759408471566963
31,"Wise, Aaron",0.9,10.0,61.2,0.06945317908322346
32,"Hossler, Beau",0.9,9.7,60.8,0.011970449024930684
33,"Ryder, Sam",0.85,9.7,60.0,-0.08399887894693135
34,"Sigg, Greyson",0.85,9.9,60.9,-0.07203073844567606
35,"Castillo, Ricky",0.85,10.3,61.4,0.1438704717156696
36,"Hodges, Lee",0.85,10.1,60.8,-0.0159200776242006
37,"Ramey, Chad",0.75,8.6,58.7,0.0733431314507773
38,"McGreevy, Max",0.74,9.0,58.5,-0.24410194628831222
39,"Roy, Kevin",0.73,8.9,58.9,0.11895657171566963
40,"Hubbard, Mark",0.72,8.8,59.1,-0.291197879070942
41,"Cole, Eric",0.67,8.6,58.4,-0.25364862325035387
42,"Lipsky, David",0.65,7.6,56.8,0.24315997990137111
43,"Rosenmueller, Thomas",0.65,7.9,57.5,0.17011559371566962
44,"Ventura, Kris",0.63,7.7,57.0,-0.4471971310037742
45,"Clanton, Luke",0.62,8.2,58.1,0.14849916771566962
46,"Dahmen, Joel",0.61,7.3,55.9,0.033859917549661105
47,"Griffin, Lanto",0.58,7.5,56.8,0.5176158628266527
48,"Salinda, Isaiah",0.58,7.6,57.1,0.13916141271566962
49,"Goodwin, Noah",0.57,7.6,56.3,0.08771502771566964
50,"Hisatsune, Ryo",0.56,7.1,56.0,0.11470179171566963
51,"Schmid, Matti",0.55,7.7,57.0,0.21258038313251745
52,"Young, Carson",0.55,7.1,55.2,0.2439582885038308
53,"Moore, Taylor",0.55,6.8,55.9,0.5709993645421807
54,"Park, Hogan",0.52,7.0,55.6,0.06945317908322346
55,"Brennan, Michael",0.52,6.8,55.0,0.06945317908322346
56,"Keefer, Johnny",0.51,7.0,55.5,0.06945317908322346
57,"Madariaga, Alejandro",0.51,6.7,54.8,0.06945317908322346
58,"Montgomery, Taylor",0.51,6.7,54.7,0.10207161315493075
59,"Hardy, Nick",0.51,6.3,53.8,0.2108214569280396
60,"Valimaki, Sami",0.51,7.1,55.9,0.10313506671566963
61,"Kohles, Ben",0.5,7.3,56.8,0.19472097971566962
62,"Jaeger, Stephan",0.5,7.4,56.2,-0.16742144942721468
63,"Silverman, Ben",0.49,7.3,55.7,0.06446973971566963
64,"Gil Leyva Llamas, Emilio",0.49,6.8,55.6,0.06945317908322346
65,"Lower, Justin",0.49,6.2,54.0,0.08282596824586477
66,"Sapp, Garrett",0.48,6.7,55.5,0.06945317908322346
67,"Morales, Omar",0.48,6.4,54.4,0.06945317908322346
68,"Norgaard, Niklas",0.48,6.4,54.4,0.06251395371566962
69,"Knade, Peter",0.48,6.9,55.8,0.06945317908322346
70,"Van Rooyen, Erik",0.47,6.5,54.8,0.30504550398677843
71,"Pereda, Raul",0.47,5.7,52.9,0.06945317908322346
72,"Gonzalez, Emilio",0.46,6.9,54.8,0.06945317908322346
73,"Sargent, Gordon",0.45,6.9,55.0,0.06945317908322346
74,"Longmire, David",0.45,7.0,55.5,0.06945317908322346
75,"Weaver, Tyler",0.45,6.8,55.5,0.06945317908322346
76,"Phillips, Chandler",0.45,7.3,56.1,0.5634265551720372
77,"Rozner, Antoine",0.43,7.0,55.6,0.13255076871566962
78,"Suber, Jackson",0.41,5.5,52.0,0.06556322671566962
79,"Skinns, David",0.39,5.8,52.6,0.6607756560050663
80,"Blair, Zac",0.38,5.6,52.1,0.26847335254398536
81,"Ford, David",0.37,6.2,53.8,0.09120832671566961
82,"Cummins, Quade",0.32,4.4,50.0,-0.016720821364278056
83,"Snedeker, Brandt",0.31,5.0,50.6,-0.5086571824845202
84,"Hoge, Tom",0.3,4.7,49.4,-0.04012980910934629
85,"Norlander, Henrik",0.3,4.3,48.0,0.12565853403549956
86,"Hadwin, Adam",0.26,4.2,48.7,-0.1725088032046841
87,"Svensson, Adam",0.26,4.1,48.5,0.07947040622233581
88,"Putnam, Andrew",0.26,4.8,50.9,-0.25649626156668515
89,"Kim, Chan",0.24,4.5,49.6,0.08143066971566963
90,"Mullinax, Trey",0.23,4.1,48.0,-0.08322863546492415
91,"Kizzire, Patton",0.23,4.1,48.6,-0.10430542359338754
92,"Paul, Jeremy",0.23,3.6,46.9,0.0022383057156696133
93,"Cone, Trevor",0.23,4.9,50.7,0.07845221271566961
94,"Highsmith, Joe",0.22,3.7,46.9,0.6828561568788076
95,"List, Luke",0.19,3.6,46.5,0.055079889104502754
96,"Schenk, Adam",0.17,3.4,46.0,-0.17097243414835506
97,"Peterson, Paul",0.17,3.0,43.8,-0.01773463628433038
98,"Riley, Davis",0.15,3.0,43.6,-0.1851854375192857
99,"Higgs, Harry",0.14,3.4,46.2,-0.06648546493267737
100,"Buckley, Hayden",0.14,2.5,41.2,-0.015421193506527847
101,"Hoshino, Rikuya",0.13,3.5,45.7,-0.015277577284330383
102,"Pavon, Matthieu",0.12,2.5,41.4,-0.0035487302843303682
103,"Pak, John",0.1,2.1,39.9,0.013122585715669637
104,"Molinari, Francesco",0.1,2.3,40.0,-0.4083063375749223
105,"Dunlap, Nick",0.09,1.7,37.9,-0.053549467284330396
106,"Velo, Kevin",0.07,2.1,39.6,-0.014221162284330364
107,"Streelman, Kevin",0.06,1.7,37.2,0.002196630306583418
108,"Thornberry, Braden",0.06,1.5,36.4,-0.29019491441831297
109,"Gordon, Will",0.06,2.0,40.0,0.014133208797474622
110,"Villegas, Camilo",0.03,1.0,30.7,-0.2976817325864012
111,"Donald, Luke",0.02,0.5,25.9,-0.25764621346219696
112,"Campos, Rafael",0.02,1.0,31.5,-0.11984416014527989
113,"Riedel, Matthew",0.02,1.2,33.8,-0.060088628284330384
114,"Andersen, Mason",0.02,0.6,28.1,-0.1660247052843303
115,"Onishi, Kaito",0.02,0.5,26.0,-0.1563049512843304
116,"Capan III, Frankie",0.02,0.6,27.9,-0.19580964228433037
117,"Chandler, Will",0.02,0.6,27.2,-0.14825035528433037
118,"Dickson, Taylor",0.02,0.7,27.8,-0.11587693428433035
119,"Del Solar, Cristobal",0.01,0.5,25.2,-0.1652121042843304
120,"Palmer, Ryan",0.0,0.1,16.6,-0.3967482933237334
