rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Spaun, J.J.",7.84,38.3,83.4,2025-11-06 07:14,2025-11-07 11:49,0.3702672788682412
2,"Griffin, Ben",6.83,36.4,82.6,2025-11-06 07:14,2025-11-07 11:49,0.33173245283041475
3,"Hoey, Rico",3.92,25.9,76.7,2025-11-06 12:11,2025-11-07 07:36,0.9082615156029793
4,"Greyserman, Max",3.78,25.6,76.5,2025-11-06 11:27,2025-11-07 06:52,0.6699183505829506
5,"Thorbjornsen, Michael",3.01,22.6,74.6,2025-11-06 11:05,2025-11-07 06:30,0.26632534771566957
6,"Higgo, Garrick",2.67,21.2,73.4,2025-11-06 11:49,2025-11-07 07:14,0.2137578690446488
7,"Yu, Kevin",2.48,20.2,72.4,2025-11-06 11:49,2025-11-07 07:14,0.1756769295402654
8,"Taylor, Nick",2.46,19.2,71.8,2025-11-06 07:03,2025-11-07 11:38,-0.0033645563804459155
9,"Olesen, Thorbjorn",2.37,19.4,72.2,2025-11-06 11:05,2025-11-07 06:30,0.21971765171566962
10,"Bridgeman, Jacob",2.14,18.1,70.5,2025-11-06 07:03,2025-11-07 11:38,0.6775191298915085
11,"Grillo, Emiliano",2.09,17.5,70.3,2025-11-06 12:00,2025-11-07 07:25,0.12596367582056017
12,"Echavarria, Nico",1.93,16.5,69.2,2025-11-06 07:03,2025-11-07 11:38,0.7413464815154934
13,"Coody, Pierceson",1.84,16.3,68.6,2025-11-06 12:44,2025-11-07 08:09,0.760988898236788
14,"Eckroat, Austin",1.78,16.5,68.5,2025-11-06 11:49,2025-11-07 07:14,0.183075887735038
15,"Svensson, Jesper",1.56,14.8,66.7,2025-11-06 06:30,2025-11-07 11:05,0.21112315671566964
16,"Clark, Wyndham",1.47,14.4,66.0,2025-11-06 11:38,2025-11-07 07:03,0.14321000571566964
17,"Kuchar, Matt",1.42,13.8,65.8,2025-11-06 07:36,2025-11-07 12:11,0.1882556684466137
18,"Kanaya, Takumi",1.4,14.0,66.5,2025-11-06 07:58,2025-11-07 12:33,0.13330987171566963
19,"Wallace, Matt",1.35,13.3,65.4,2025-11-06 07:25,2025-11-07 12:00,-0.08111081229088328
20,"Ghim, Doug",1.24,13.3,65.3,2025-11-06 06:30,2025-11-07 11:05,0.22569200636547218
21,"Fisk, Steven",1.19,12.5,64.4,2025-11-06 12:00,2025-11-07 07:25,0.1902760047156696
22,"Mitchell, Keith",1.15,12.1,63.6,2025-11-06 11:38,2025-11-07 07:03,-0.028347240195173457
23,"Whaley, Vince",1.15,11.8,63.6,2025-11-06 06:30,2025-11-07 11:05,0.024389172976944058
24,"Perez, Victor",1.12,11.3,62.7,2025-11-06 11:16,2025-11-07 06:41,0.16464852471566963
25,"Fishburn, Patrick",1.07,11.6,62.8,2025-11-06 06:41,2025-11-07 11:16,0.7132014835054984
26,"Power, Seamus",1.04,11.3,62.7,2025-11-06 12:00,2025-11-07 07:25,0.0645289043471402
27,"Rodgers, Patrick",0.96,10.8,62.6,2025-11-06 07:36,2025-11-07 12:11,0.02280618993924241
28,"Hodges, Lee",0.95,10.0,61.1,2025-11-06 07:36,2025-11-07 12:11,-0.0159200776242006
29,"Mouw, William",0.94,10.6,62.0,2025-11-06 07:14,2025-11-07 11:49,0.12759408471566963
30,"Wise, Aaron",0.93,10.3,61.3,2025-11-06 07:03,2025-11-07 11:38,0.06556322671566962
31,"Sigg, Greyson",0.91,10.1,61.1,2025-11-06 11:27,2025-11-07 06:52,-0.07203073844567606
32,"Hughes, Mackenzie",0.9,10.3,61.1,2025-11-06 11:38,2025-11-07 07:03,0.08594575971566965
33,"Castillo, Ricky",0.9,10.5,61.6,2025-11-06 06:41,2025-11-07 11:16,0.1438704717156696
34,"Ryder, Sam",0.87,10.0,60.2,2025-11-06 12:11,2025-11-07 07:36,-0.08399887894693135
35,"Hossler, Beau",0.87,10.1,61.0,2025-11-06 06:30,2025-11-07 11:05,0.011970449024930684
36,"McGreevy, Max",0.81,9.2,58.7,2025-11-06 11:27,2025-11-07 06:52,-0.24410194628831222
37,"Ramey, Chad",0.78,8.8,58.9,2025-11-06 06:52,2025-11-07 11:27,0.0733431314507773
38,"Roy, Kevin",0.76,9.2,59.1,2025-11-06 11:16,2025-11-07 06:41,0.11895657171566963
39,"Cole, Eric",0.73,8.8,58.7,2025-11-06 11:27,2025-11-07 06:52,-0.25364862325035387
40,"Hubbard, Mark",0.72,8.8,58.9,2025-11-06 11:05,2025-11-07 06:30,-0.291197879070942
41,"Rosenmueller, Thomas",0.68,8.1,57.6,2025-11-06 08:09,2025-11-07 12:44,0.17011559371566962
42,"Lipsky, David",0.68,7.8,56.9,2025-11-06 11:05,2025-11-07 06:30,0.24315997990137111
43,"Salinda, Isaiah",0.67,7.8,57.3,2025-11-06 12:11,2025-11-07 07:36,0.13916141271566962
44,"Clanton, Luke",0.66,8.5,58.4,2025-11-06 12:22,2025-11-07 07:47,0.14849916771566962
45,"Ventura, Kris",0.64,8.0,57.3,2025-11-06 06:30,2025-11-07 11:05,-0.4471971310037742
46,"Young, Carson",0.61,7.3,55.4,2025-11-06 06:30,2025-11-07 11:05,0.2439582885038308
47,"Hisatsune, Ryo",0.6,7.2,55.8,2025-11-06 12:11,2025-11-07 07:36,0.11470179171566963
48,"Griffin, Lanto",0.6,7.6,57.4,2025-11-06 06:52,2025-11-07 11:27,0.5176158628266527
49,"Goodwin, Noah",0.6,7.8,57.2,2025-11-06 07:58,2025-11-07 12:33,0.08771502771566964
50,"Moore, Taylor",0.58,7.0,55.9,2025-11-06 07:14,2025-11-07 11:49,0.5709993645421807
51,"Schmid, Matti",0.57,8.0,57.3,2025-11-06 06:41,2025-11-07 11:16,0.21258038313251745
52,"Covello, Vince",0.57,7.1,56.3,2025-11-06 07:58,2025-11-07 12:33,0.06556322671566962
53,"Norgaard, Niklas",0.56,6.6,54.7,2025-11-06 12:44,2025-11-07 08:09,0.06251395371566962
54,"Park, Hogan",0.55,7.2,55.8,2025-11-06 12:33,2025-11-07 07:58,0.06556322671566962
55,"Madariaga, Alejandro",0.55,6.8,54.9,2025-11-06 07:47,2025-11-07 12:22,0.06556322671566962
56,"Valimaki, Sami",0.54,7.2,56.2,2025-11-06 07:36,2025-11-07 12:11,0.10313506671566963
57,"Morales, Omar",0.54,6.6,54.5,2025-11-06 08:09,2025-11-07 12:44,0.06556322671566962
58,"Dahmen, Joel",0.54,7.4,56.3,2025-11-06 11:16,2025-11-07 06:41,0.033859917549661105
59,"Kohles, Ben",0.53,7.4,56.9,2025-11-06 11:05,2025-11-07 06:30,0.19472097971566962
60,"Phillips, Chandler",0.53,7.4,56.4,2025-11-06 11:27,2025-11-07 06:52,0.5634265551720372
61,"Montgomery, Taylor",0.53,6.9,54.9,2025-11-06 07:47,2025-11-07 12:22,0.10207161315493075
62,"Silverman, Ben",0.52,7.4,55.8,2025-11-06 11:16,2025-11-07 06:41,0.06446973971566963
63,"Jaeger, Stephan",0.52,7.6,56.5,2025-11-06 07:25,2025-11-07 12:00,-0.16742144942721468
