rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Hoey, Rico",4.45,27.0,76.2,
2,"Yu, Kevin",3.87,24.1,74.2,
3,"Olesen, Thorbjorn",3.41,22.7,73.3,
4,"Coody, Pierceson",2.28,17.8,69.0,
5,"Stevens, Sam",2.2,17.3,68.5,
6,"Svensson, Jesper",2.17,17.2,68.4,
7,"Kanaya, Takumi",1.96,16.3,68.2,
8,"Wallace, Matt",1.94,16.6,67.9,
9,"McGreevy, Max",1.86,15.0,66.0,
10,"Echavarria, Nico",1.85,15.5,67.1,
11,"Smalley, Alex",1.73,15.1,65.9,
12,"Fisk, Steven",1.6,14.5,66.0,
13,"Whaley, Vince",1.57,13.5,64.5,
14,"Perez, Victor",1.52,13.3,64.6,
15,"Ghim, Doug",1.5,13.5,64.7,
16,"Kuchar, Matt",1.43,13.1,64.5,
17,"Hossler, Beau",1.39,12.7,63.5,
18,"Hodges, Lee",1.34,11.8,62.5,
19,"Castillo, Ricky",1.27,12.2,62.7,
20,"Fishburn, Patrick",1.19,11.3,61.9,
21,"Sigg, Greyson",1.18,11.8,62.0,
22,"Theegala, Sahith",1.15,11.9,62.8,
23,"Schmid, Matti",1.15,11.6,62.3,
24,"Hubbard, Mark",1.13,11.2,61.6,
25,"Ramey, Chad",1.11,11.1,61.2,
26,"Power, Seamus",1.09,10.1,59.9,
27,"Roy, Kevin",1.09,10.7,60.8,
28,"Rodgers, Patrick",1.06,11.0,61.2,
29,"Cole, Eric",1.05,10.0,59.3,
30,"Springer, Hayden",1.03,10.4,60.3,
31,"Ventura, Kris",1.02,10.7,60.6,
32,"Couilleau, Oscar",0.98,9.7,58.9,
33,"Clanton, Luke",0.97,10.3,60.6,
34,"Hastings, Justin",0.96,9.5,59.0,
35,"Peacock, Jake",0.95,9.5,59.3,
36,"Byrd, Jonathan",0.95,9.4,59.6,
37,"Ryder, Sam",0.95,10.1,59.5,
38,"Sargent, Gordon",0.94,9.7,59.1,
39,"Griffin, Lanto",0.94,9.6,59.2,
40,"Brown, Blades",0.93,9.3,59.1,
41,"Betschart, Oliver",0.9,9.5,58.5,
42,"Doyle, Drew",0.9,9.5,58.8,
43,"Watts, Tyler",0.9,9.5,58.8,
44,"Smart, Henry",0.89,9.4,58.7,
45,"Anderson, Samuel",0.87,9.3,58.3,
46,"Kohles, Ben",0.87,9.2,58.8,
47,"Ferrier, Paul",0.86,9.8,58.6,
48,"Covello, Vince",0.85,9.5,58.8,
49,"Johnson, Chase",0.85,9.5,58.7,
50,"Cook, Austin",0.85,9.6,58.9,
51,"Brennan, Michael",0.85,9.6,58.9,
52,"Hisatsune, Ryo",0.85,8.4,57.4,
53,"Valimaki, Sami",0.84,8.9,57.8,
54,"Leseur, Kenny",0.84,9.3,58.9,
55,"Streb, Robert",0.83,9.6,58.8,
56,"Zielinski, Drew",0.83,9.4,58.9,
57,"Wolcott, Hunter",0.82,9.4,59.1,
58,"Norgaard, Niklas",0.82,8.1,56.5,
59,"Salinda, Isaiah",0.81,9.5,59.1,
60,"Haddrell, William",0.8,9.3,59.3,
61,"Rosenmueller, Thomas",0.79,9.4,58.9,
62,"Bramlett, Joseph",0.79,8.6,57.1,
63,"Silverman, Ben",0.78,8.6,57.7,
64,"Rozner, Antoine",0.77,8.3,57.2,
65,"Goodwin, Noah",0.76,9.1,58.8,
66,"Moore, Taylor",0.75,8.7,56.5,
67,"Lipsky, David",0.73,8.3,56.3,
68,"Champ, Cameron",0.72,9.0,58.2,
69,"Phillips, Chandler",0.69,7.4,55.0,
70,"Montgomery, Taylor",0.68,8.0,55.8,
71,"Wu, Dylan",0.63,7.0,54.0,
72,"Putnam, Andrew",0.62,7.3,54.6,
73,"Ford, David",0.62,7.7,55.6,
74,"Young, Carson",0.61,6.7,53.7,
75,"Suber, Jackson",0.6,7.0,54.2,
76,"Skinns, David",0.57,6.8,54.3,
77,"Hardy, Nick",0.51,6.5,52.6,
78,"Lower, Justin",0.51,6.2,52.2,
79,"Blair, Zac",0.51,6.7,53.8,
80,"Snedeker, Brandt",0.5,7.1,54.3,
81,"Cummins, Quade",0.5,6.1,53.2,
82,"Cone, Trevor",0.45,6.2,52.7,
83,"Manassero, Matteo",0.44,5.8,51.4,
84,"Schenk, Adam",0.43,5.5,50.7,
85,"Kim, Chan",0.43,5.7,51.4,
86,"Mullinax, Trey",0.42,5.9,51.1,
87,"Hadwin, Adam",0.39,5.5,51.1,
88,"List, Luke",0.37,5.0,49.2,
89,"Svensson, Adam",0.35,5.3,49.7,
90,"Paul, Jeremy",0.33,4.9,48.2,
91,"NeSmith, Matt",0.32,4.2,47.4,
92,"Laird, Martin",0.32,4.7,49.0,
93,"Hoshino, Rikuya",0.3,4.5,48.1,
94,"Martin, Ben",0.3,3.7,45.8,
95,"Higgs, Harry",0.28,4.1,46.4,
96,"Norlander, Henrik",0.27,4.3,47.2,
97,"Peterson, Paul",0.26,4.0,46.6,
98,"Molinari, Francesco",0.25,4.3,46.5,
99,"Duncan, Tyler",0.25,4.1,46.8,
100,"Pavon, Matthieu",0.21,3.1,42.8,
101,"Pak, John",0.2,3.2,42.7,
102,"Gordon, Will",0.2,3.0,42.7,
103,"Walker, Danny",0.2,3.4,44.5,
104,"Buckley, Hayden",0.18,3.3,44.6,
105,"Willett, Danny",0.17,2.5,40.8,
106,"Thornberry, Braden",0.15,2.4,39.7,
107,"Velo, Kevin",0.13,2.8,42.3,
108,"Streelman, Kevin",0.09,2.2,38.9,
109,"Riedel, Matthew",0.08,1.6,35.4,
110,"Villegas, Camilo",0.07,1.3,33.7,
111,"Endycott, Harrison",0.05,1.5,34.4,
112,"Capan III, Frankie",0.04,0.9,29.3,
113,"Campos, Rafael",0.04,1.4,34.6,
114,"Andersen, Mason",0.03,0.9,30.1,
115,"Chandler, Will",0.03,0.9,29.1,
116,"Del Solar, Cristobal",0.03,0.5,26.8,
117,"Dickson, Taylor",0.03,0.9,30.1,
118,"Knowles, Philip",0.02,0.7,29.2,
119,"Onishi, Kaito",0.01,0.8,28.1,
120,"Palmer, Ryan",0.0,0.2,19.5,
