rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"McIlroy, Rory",17.24,68.4,100.0,0.0
2,"Fleetwood, Tommy",17.16,69.0,100.0,0.0
3,"Schaper, Jayden",6.83,48.0,100.0,0.0
4,"Hojgaard, Nicolai",5.02,41.9,100.0,0.0
5,"Neergaard-Petersen, Rasmus",4.69,39.4,100.0,0.0
6,"McKibbin, Tom",4.06,37.5,100.0,0.0
7,"Lowry, Shane",4.04,37.3,100.0,0.0
8,"Ayora, Angel",3.64,35.2,100.0,0.0
9,"Olesen, Thorbjorn",3.53,34.4,100.0,0.0
10,"Puig, David",3.21,33.0,100.0,0.0
11,"Hillier, Daniel",2.39,28.1,100.0,0.0
12,"Wallace, Matt",2.15,26.3,100.0,0.0
13,"Reed, Patrick",2.03,25.5,100.0,0.0
14,"Fox, Ryan",1.94,24.7,100.0,0.0
15,"Chacarra, Eugenio",1.39,20.9,100.0,0.0
16,"Lee, Junghwan",1.31,19.2,100.0,0.0
17,"Lindell, Oliver",1.3,20.3,100.0,0.0
18,"Sullivan, Andy",1.23,19.4,100.0,0.0
19,"Lawrence, Thriston",1.2,19.8,100.0,0.0
20,"Bradbury, Dan",1.12,18.4,100.0,0.0
21,"Ferguson, Ewen",1.0,18.3,100.0,0.0
22,"Armitage, Marcus",0.88,16.6,100.0,0.0
23,"Molinari, Francesco",0.82,15.2,100.0,0.0
24,"Norgaard, Niklas",0.81,14.3,100.0,0.0
25,"Rozner, Antoine",0.81,14.2,100.0,0.0
26,"Luiten, Joost",0.77,15.9,100.0,0.0
27,"LaCroix, Frederic",0.65,12.6,100.0,0.0
28,"Olesen, Jacob Skov",0.64,11.8,100.0,0.0
29,"Lagergren, Joakim",0.63,13.2,100.0,0.0
30,"Couvra, Martin",0.62,12.9,100.0,0.0
31,"Forrest, Grant",0.62,12.8,100.0,0.0
32,"Mansell, Richard",0.6,13.2,100.0,0.0
33,"Del Rey, Alejandro",0.59,12.4,100.0,0.0
34,"Hill, Calum",0.48,10.7,100.0,0.0
35,"Guerrier, Julien",0.46,10.6,100.0,0.0
36,"Manassero, Matteo",0.46,10.2,100.0,0.0
37,"Hoshino, Rikuya",0.33,8.5,100.0,0.0
38,"Katsuragawa, Yuto",0.33,8.3,100.0,0.0
39,"Otaegui, Adrian",0.33,7.5,100.0,0.0
40,"Elvira Mijares, Ignacio",0.25,8.2,100.0,0.0
41,"Migliozzi, Guido",0.25,6.9,100.0,0.0
42,"Ravetto, David",0.23,6.9,100.0,0.0
43,"Syme, Connor",0.22,7.5,100.0,0.0
44,"Von Dellingshausen, Nicolai",0.21,6.6,100.0,0.0
45,"Hidalgo Portillo, Angel",0.2,5.9,100.0,0.0
46,"Van Driel, Darius",0.19,6.4,100.0,0.0
47,"Kruyswijk, Jacques",0.17,5.9,100.0,0.0
48,"Veerman, Johannes",0.16,5.4,100.0,0.0
49,"Norris, Shaun",0.16,5.6,100.0,0.0
50,"Wu, Ashun",0.13,5.4,100.0,0.0
51,"Frittelli, Dylan",0.13,3.7,100.0,0.0
52,"Siem, Marcel",0.12,3.8,100.0,0.0
53,"Waring, Paul",0.11,4.3,100.0,0.0
54,"Willett, Danny",0.07,3.5,100.0,0.0
55,"Larrazabal, Pablo",0.06,2.7,100.0,0.0
56,"Johnston, Ryggs",0.03,1.8,100.0,0.0
57,"Naidoo, Dylan",0.03,1.5,100.0,0.0
58,"Harrington, Padraig",0.02,1.7,100.0,0.0
59,"Gavins, Daniel",0.0,0.0,100.0,0.0
60,"Strydom, Ockie",0.0,0.5,100.0,0.0
