rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"McIlroy, Rory",68.52,99.3,99.9,0.0
2,"Niemann, Joaquin",7.7,81.4,98.5,0.0
3,"Reed, Patrick",6.52,78.7,98.1,0.0
4,"Neergaard-Petersen, Rasmus",6.13,77.2,98.2,0.0
5,"Fleetwood, Tommy",3.65,67.0,96.7,0.0
6,"Hatton, Tyrrell",2.49,59.8,95.3,0.0
7,"McKibbin, Tom",0.93,41.6,91.9,0.0
8,"Schaper, Jayden",0.91,41.6,91.9,0.0
9,"Hojgaard, Nicolai",0.54,34.7,90.0,0.0
10,"Olesen, Thorbjorn",0.52,33.3,89.7,0.0
11,"Fox, Ryan",0.49,31.5,88.6,0.0
12,"Canter, Laurie",0.4,28.3,87.5,0.0
13,"Hillier, Daniel",0.14,19.4,82.4,0.0
14,"Perez, Victor",0.13,17.0,80.8,0.0
15,"Micheluzzi, David",0.09,14.5,78.8,0.0
16,"Luiten, Joost",0.07,11.6,76.1,0.0
17,"Hill, Calum",0.06,11.1,74.9,0.0
18,"Johnston, Andrew",0.06,9.2,72.6,0.0
19,"Norgaard, Niklas",0.06,11.2,75.6,0.0
20,"Laporta, Francesco",0.05,9.7,73.3,0.0
21,"Ayora, Angel",0.04,9.3,73.0,0.0
22,"Veerman, Johannes",0.03,7.4,69.8,0.0
23,"Detry, Thomas",0.03,6.6,69.2,0.0
24,"Frittelli, Dylan",0.03,5.2,65.4,0.0
25,"Norris, Shaun",0.03,7.4,70.4,0.0
26,"Puig, David",0.03,8.2,72.1,0.0
27,"Du Plessis, Hennie",0.03,6.1,68.0,0.0
28,"Wiesberger, Bernd",0.03,7.9,70.8,0.0
29,"Jordan, Matthew",0.02,7.2,70.3,0.0
30,"Lee, Junghwan",0.02,3.9,61.4,0.0
31,"Gumberg, Jordan",0.02,6.6,68.6,0.0
32,"Ramsay, Richie",0.02,4.4,63.3,0.0
33,"Kruyswijk, Jacques",0.01,5.5,65.7,0.0
34,"Jarvis, Casey",0.01,4.9,64.5,0.0
35,"Girrbach, Joel",0.01,3.8,62.2,0.0
36,"Fitzpatrick, Alex",0.01,3.2,59.1,0.0
37,"Mansell, Richard",0.01,4.2,62.9,0.0
38,"Langasque, Romain",0.01,4.7,64.1,0.0
39,"Skaik, Ahmed",0.01,3.7,62.0,0.0
40,"Rozner, Antoine",0.01,3.7,61.3,0.0
41,"Chacarra, Eugenio",0.01,4.0,61.7,0.0
42,"Migliozzi, Guido",0.01,6.7,68.9,0.0
43,"Lowry, Shane",0.01,2.1,53.8,0.0
44,"Maas, Christian",0.01,3.7,61.4,0.0
45,"Olesen, Jacob Skov",0.01,1.7,52.4,0.0
46,"Schneider, Marcel",0.01,0.6,40.4,0.0
47,"Johnson, Dustin",0.01,2.3,54.7,0.0
48,"Blair, Zac",0.01,2.9,58.3,0.0
49,"Bradbury, Dan",0.01,3.0,58.5,0.0
50,"Fang, Ethan",0.01,3.7,61.4,0.0
51,"Hollick, Michael",0.01,3.6,60.6,0.0
52,"Sterne, Richard",0.0,1.3,48.2,0.0
53,"Lindell, Oliver",0.0,3.7,61.6,0.0
54,"Meronk, Adrian",0.0,4.1,63.2,0.0
55,"Hidalgo Portillo, Angel",0.0,1.1,47.4,0.0
56,"Guerrier, Julien",0.0,1.4,48.7,0.0
57,"Jamieson, Scott",0.0,0.6,39.5,0.0
58,"Sandhu, Yuvraj Singh",0.0,3.7,61.6,0.0
59,"Ding, Wenyi",0.0,5.1,64.2,0.0
60,"Del Rey, Alejandro",0.0,0.5,38.9,0.0
61,"Elvira, Manuel",0.0,0.4,36.9,0.0
62,"Ferguson, Ewen",0.0,6.3,67.2,0.0
63,"Smylie, Elvis",0.0,2.3,54.9,0.0
64,"Robinson Thompson, Brandon",0.0,1.7,52.2,0.0
65,"LaCroix, Frederic",0.0,0.2,31.3,0.0
66,"Kobori, Kazuma",0.0,1.3,47.1,0.0
67,"Kinhult, Marcus",0.0,0.2,31.9,0.0
68,"Lagergren, Joakim",0.0,0.9,44.0,0.0
69,"Ko, Jeong Weon",0.0,0.0,10.4,0.0
70,"Katsuragawa, Yuto",0.0,0.2,31.2,0.0
71,"Gouveia, Ricardo",0.0,1.0,45.5,0.0
72,"Gavins, Daniel",0.0,0.0,0.2,0.0
73,"Harrington, Padraig",0.0,0.0,9.4,0.0
74,"Forrest, Grant",0.0,0.2,28.6,0.0
75,"Hoshino, Rikuya",0.0,0.6,40.4,0.0
76,"Hovland, Viktor",0.0,2.9,58.1,0.0
77,"Johnston, Ryggs",0.0,0.0,9.5,0.0
78,"Fichardt, Darren",0.0,0.0,22.7,0.0
79,"Couvra, Martin",0.0,2.0,53.4,0.0
80,"Coussaud, Ugo",0.0,0.1,25.3,0.0
81,"Clements, Todd",0.0,2.7,57.2,0.0
82,"Cantero Gutierrez, Ivan",0.0,1.6,50.4,0.0
83,"Cabrera Bello, Rafa",0.0,0.2,30.5,0.0
84,"Campillo, Jorge",0.0,1.6,51.0,0.0
85,"Armitage, Marcus",0.0,2.4,56.7,0.0
86,"Bairstow, Sam",0.0,0.0,10.1,0.0
87,"Aphibarnrat, Kiradech",0.0,1.0,46.2,0.0
88,"Crocker, Sean",0.0,0.2,30.4,0.0
89,"Dantorp, Jens",0.0,0.0,17.2,0.0
90,"Dean, Joe",0.0,0.1,19.7,0.0
91,"Donald, Luke",0.0,0.0,11.5,0.0
92,"Elvira Mijares, Ignacio",0.0,0.8,42.8,0.0
93,"Fisher, Ross",0.0,0.0,12.0,0.0
94,"Lawrence, Thriston",0.0,1.6,50.6,0.0
95,"Pavan, Andrea",0.0,0.5,38.0,0.0
96,"Pepperell, Eddie",0.0,0.0,11.5,0.0
97,"Otaegui, Adrian",0.0,1.1,47.1,0.0
98,"Paul, Jeremy",0.0,1.2,47.8,0.0
99,"Naidoo, Dylan",0.0,0.1,25.9,0.0
100,"Molinari, Francesco",0.0,0.4,36.7,0.0
101,"Lemke, Niklas",0.0,0.8,45.0,0.0
102,"Manassero, Matteo",0.0,0.1,27.9,0.0
103,"Larrazabal, Pablo",0.0,0.6,38.7,0.0
104,"Lindberg, Mikael",0.0,1.0,45.8,0.0
105,"Lombard, Zander",0.0,1.1,47.4,0.0
106,"Lee, K.H.",0.0,0.3,35.8,0.0
107,"Ravetto, David",0.0,1.5,50.0,0.0
108,"Ritchie, JC",0.0,1.1,44.7,0.0
109,"Schott, Freddy",0.0,0.4,36.1,0.0
110,"Schmidt, Ben",0.0,1.3,48.8,0.0
111,"Siem, Marcel",0.0,0.2,30.9,0.0
112,"Sharma, Shubhankar",0.0,0.3,32.1,0.0
113,"Senior, Jack",0.0,0.3,31.7,0.0
114,"Scrivener, Jason",0.0,0.9,44.4,0.0
115,"Strydom, Ockie",0.0,0.0,3.7,0.0
116,"Sullivan, Andy",0.0,1.2,47.8,0.0
117,"Soderberg, Sebastian",0.0,0.2,31.7,0.0
118,"Stone, Brandon",0.0,0.2,31.4,0.0
119,"Vaillant, Tom",0.0,1.0,45.9,0.0
120,"Syme, Connor",0.0,2.9,58.2,0.0
121,"Von Dellingshausen, Nicolai",0.0,0.1,26.9,0.0
122,"Van Driel, Darius",0.0,0.0,18.2,0.0
123,"Waring, Paul",0.0,0.2,29.2,0.0
124,"Willett, Danny",0.0,0.3,35.4,0.0
125,"Winther, Jeff",0.0,0.1,21.8,0.0
126,"Wu, Ashun",0.0,0.1,26.4,0.0
