rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Canter, Laurie",23.19,75.2,96.5,-0.098140216
2,"Couvra, Martin",8.52,53.5,92.5,-0.09923224
3,"Lagergren, Joakim",6.79,48.5,90.5,-0.13327966499999996
4,"Schneider, Marcel",6.19,45.3,89.6,-0.062624645
5,"Robinson Thompson, Brandon",5.93,45.0,89.8,-0.08445506
6,"Ramsay, Richie",5.45,43.6,89.3,-0.15461307500000002
7,"Laporta, Francesco",5.41,43.0,88.7,-0.038938535
8,"Hillier, Daniel",4.93,41.0,88.1,-0.043688644
9,"Campillo, Jorge",4.46,39.6,87.7,0.02264831999999999
10,"Luiten, Joost",3.7,36.2,86.4,-0.134010682
11,"Larrazabal, Pablo",2.56,28.6,82.9,-0.25365197700000003
12,"Pavan, Andrea",2.38,28.8,83.4,-0.10300533499999999
13,"Cantero Gutierrez, Ivan",2.28,26.3,81.9,-0.35051382200000003
14,"Guerrier, Julien",2.08,26.9,81.9,-0.06467595200000001
15,"Jarvis, Casey",2.04,26.0,81.8,-0.137484801
16,"Dantorp, Jens",1.59,22.9,79.7,-0.34272959599999997
17,"Jamieson, Scott",1.33,20.2,77.5,-0.221416549
18,"Bradbury, Dan",1.01,17.3,75.6,-0.15162368399999998
19,"Dean, Joe",0.88,16.0,74.2,-0.249957769
20,"Kobori, Kazuma",0.61,12.5,70.9,-0.102338194
21,"Gouveia, Ricardo",0.61,13.2,71.1,-0.30380730300000003
22,"Cabrera Bello, Rafa",0.43,9.4,66.5,-0.18574170999999998
23,"Fisher, Ross",0.35,8.9,65.6,-0.335312015
24,"Bairstow, Sam",0.35,8.6,64.9,-0.21497173
25,"Detry, Thomas",0.27,8.1,64.2,0.06696360900000001
26,"Soderberg, Sebastian",0.25,7.8,63.5,-0.217471454
27,"Sullivan, Andy",0.21,7.5,62.7,-0.03272303000000001
28,"Schaper, Jayden",0.21,6.1,60.6,0.216436323
29,"Forrest, Grant",0.2,6.7,61.4,-0.09763609
30,"Ding, Wenyi",0.17,5.5,59.2,-0.026871136000000007
31,"Vidal, Quim",0.17,4.2,55.7,-0.15981253499999998
32,"Repetto Taylor, Rocco Paolo",0.15,4.2,55.4,-0.15981253499999998
33,"Da Costa Rodrigues, Daniel",0.15,4.2,55.2,-0.15981253499999998
34,"Du Plessis, Hennie",0.15,4.4,55.3,-0.15981253499999998
35,"Blomme, Adam",0.14,4.2,55.6,-0.15981253499999998
36,"Walker, Euan",0.14,4.3,55.3,-0.15981253499999998
37,"Firdaus, Zubair",0.14,4.1,55.4,-0.15981253499999998
38,"Adam, Cameron",0.14,4.2,55.3,-0.15981253499999998
39,"Broomhead, Jonothan",0.14,4.4,55.2,-0.15981253499999998
40,"Wiesberger, Bernd",0.14,5.0,57.6,-0.015526830999999998
41,"Al Zayed, Ahmed",0.13,4.4,55.2,-0.15981253499999998
42,"Chacarra, Eugenio",0.13,5.4,58.4,-0.010505955000000003
43,"Paratore, Renato",0.13,4.3,55.3,-0.15981253499999998
44,"Bergstrom, Albin",0.13,4.5,55.7,-0.15981253499999998
45,"Mory, Felix",0.13,4.3,54.8,-0.15981253499999998
46,"Mazzoli, Stefano",0.13,4.6,56.2,-0.15981253499999998
47,"Ritchie, JC",0.13,4.3,55.5,-0.15981253499999998
48,"Townsend, Hugo",0.12,4.2,55.8,-0.15981253499999998
49,"Ok, Taehoon",0.12,4.3,55.2,-0.15981253499999998
50,"Sandhu, Yuvraj Singh",0.12,4.3,55.5,-0.15981253499999998
51,"Guillamoundeguy, Oihan",0.12,4.3,54.9,-0.15981253499999998
52,"Steinlechner, Maximilian",0.12,4.3,55.5,-0.15981253499999998
53,"Kaneko, Kota",0.11,4.3,55.5,-0.15981253499999998
54,"Quayle, Anthony",0.11,4.2,55.5,-0.15981253499999998
55,"McKinney, Connor",0.11,4.3,55.5,-0.15981253499999998
56,"Van Tonder, Daniel",0.11,4.4,55.4,-0.15981253499999998
57,"Jonsson, Tobias",0.11,4.2,55.2,-0.15981253499999998
58,"Berry, Joshua",0.1,4.2,55.4,-0.15981253499999998
59,"Hollick, Michael",0.1,4.2,54.9,-0.15981253499999998
60,"Lee, Junghwan",0.1,4.4,55.7,-0.15981253499999998
61,"Mohamed, Khalifa",0.1,4.5,55.0,-0.15981253499999998
62,"Peake, Ryan",0.1,4.4,55.5,-0.15981253499999998
63,"Johnston, Andrew",0.1,4.2,55.1,-0.15981253499999998
64,"Zhou, Yanhan",0.1,4.3,55.2,-0.15981253499999998
65,"Rozner, Antoine",0.1,3.4,52.7,-0.063656158
66,"Garcia, Sergio",0.09,3.9,53.8,-0.05228648899999999
67,"Debove, Quentin",0.09,4.3,55.0,-0.15981253499999998
68,"Siem, Marcel",0.09,3.6,52.9,-0.24498133700000002
69,"Young, Daniel",0.09,4.3,55.3,-0.15981253499999998
70,"Charmasson, Clement",0.08,4.4,55.4,-0.15981253499999998
71,"Reed, Patrick",0.08,4.2,55.1,0.12130437000000001
72,"Cockerill, Aaron",0.07,2.8,48.8,-0.213499161
73,"Norgaard, Niklas",0.06,2.6,48.8,-0.22758245599999996
74,"Otaegui, Adrian",0.05,2.5,48.1,-0.06362848
75,"Manassero, Matteo",0.05,1.7,43.6,0.034832519
76,"LaCroix, Frederic",0.05,2.3,46.5,-0.125841908
77,"Langasque, Romain",0.04,2.5,49.0,-0.14874191399999998
78,"Olesen, Jacob Skov",0.04,1.3,40.6,-0.127401193
79,"Kimsey, Nathan",0.03,1.6,43.1,-0.167239288
80,"Migliozzi, Guido",0.03,1.3,39.8,-0.06956557699999998
81,"De Leo, Gregorio",0.03,1.5,41.8,-0.21631383199999998
82,"Fitzpatrick, Alex",0.02,1.8,43.7,-0.011766827
83,"Clements, Todd",0.02,1.0,39.2,-0.11523646899999998
84,"Law, David",0.02,0.8,36.2,-0.21593944
85,"Lombard, Zander",0.02,1.2,40.1,-0.058686089
86,"Jordan, Matthew",0.02,0.8,34.9,-0.07760882100000001
87,"Hill, Calum",0.02,1.5,40.6,-0.12908088799999998
88,"Hidalgo Portillo, Angel",0.02,0.5,30.4,-0.277499858
89,"Lindberg, Mikael",0.01,0.6,32.6,-0.157648671
90,"Aphibarnrat, Kiradech",0.01,0.7,35.2,-0.15981253499999998
91,"Hoshino, Rikuya",0.01,0.9,37.1,-0.24043599200000004
92,"Norris, Shaun",0.01,1.0,37.9,-0.21080355
93,"Ayora, Angel",0.01,0.8,35.9,0.056935884
94,"Wu, Ashun",0.01,0.6,33.1,-0.18430918200000002
95,"Sloman, Tom",0.01,0.6,32.7,-0.15981253499999998
96,"Ferguson, Ewen",0.01,0.6,32.9,-0.12202152999999999
97,"Frittelli, Dylan",0.01,0.4,30.0,-0.11829699399999999
