rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Ayora, Angel",3.9,24.7,69.8,0.0
2,"Logan, Hunter",1.33,10.8,54.7,0.0
3,"Du Plessis, Hennie",1.33,11.0,55.2,0.0
4,"Bradbury, Dan",1.32,11.6,56.3,0.0
5,"Broomhead, Jonothan",1.31,10.9,54.5,0.0
6,"Peake, Ryan",1.3,10.8,55.0,0.0
7,"Lawrence, Thriston",1.26,11.4,56.2,0.0
8,"Repetto Taylor, Rocco Paolo",1.23,11.1,55.2,0.0
9,"Kaewkanjana, Sadom",1.23,11.0,55.0,0.0
10,"Lindberg, Mikael",1.22,10.6,54.8,0.0
11,"Harish, Shashwat",1.21,11.1,54.6,0.0
12,"Ritchie, JC",1.21,10.6,54.7,0.0
13,"Snow, Greg",1.21,10.8,55.0,0.0
14,"Da Costa Rodrigues, Daniel",1.21,10.8,55.1,0.0
15,"Karanga, Michael",1.21,10.4,54.6,0.0
16,"Premlall, Yurav",1.19,10.9,55.0,0.0
17,"Gallegos, Andres",1.19,11.0,54.8,0.0
18,"Buchanan, Jack",1.19,10.8,54.8,0.0
19,"Yule, Jack",1.18,10.8,54.6,0.0
20,"Kibugu, Mutahi",1.18,10.8,55.0,0.0
21,"Indiza Anyonyi, Dismas",1.18,10.6,55.0,0.0
22,"Nduva, Daniel",1.18,10.7,54.9,0.0
23,"Kiragu, Daniel",1.18,10.5,55.0,0.0
24,"Wangai, C.j",1.17,10.7,55.2,0.0
25,"Debove, Quentin",1.16,10.8,55.0,0.0
26,"Njoroge, Samuel",1.16,11.0,55.2,0.0
27,"Young, Daniel",1.16,10.8,54.9,0.0
28,"Biondi, Fred",1.15,10.8,55.0,0.0
29,"Madoya, Jastus",1.15,10.7,55.2,0.0
30,"Follet-Smith, Benjamin",1.15,10.9,55.3,0.0
31,"Epe, Francis",1.15,10.8,54.6,0.0
32,"Mudanyi, Edwin",1.15,10.7,55.0,0.0
33,"Steinlechner, Maximilian",1.15,10.9,55.2,0.0
34,"Mory, Felix",1.14,10.9,55.2,0.0
35,"Bergstrom, Albin",1.14,10.8,54.6,0.0
36,"Sandhu, Yuvraj Singh",1.14,10.9,55.3,0.0
37,"Jonsson, Tobias",1.14,10.6,55.1,0.0
38,"Ferguson, Ewen",1.14,10.4,54.4,0.0
39,"Erickson, Dan",1.13,10.8,55.2,0.0
40,"Mazzoli, Stefano",1.13,11.0,54.6,0.0
41,"Quayle, Anthony",1.13,11.0,55.2,0.0
42,"Guillamoundeguy, Oihan",1.13,10.4,54.7,0.0
43,"Hollick, Michael",1.13,11.0,55.1,0.0
44,"Ding, Wenyi",1.13,11.0,55.0,0.0
45,"Walker, Euan",1.13,10.4,55.1,0.0
46,"Toorop, Mike",1.13,10.9,55.3,0.0
47,"Van Tonder, Daniel",1.12,10.5,54.8,0.0
48,"Blomme, Adam",1.12,11.0,55.3,0.0
49,"Berry, Joshua",1.12,10.6,55.1,0.0
50,"Rebula, Jovan",1.12,10.6,54.5,0.0
51,"Manji, Junaid",1.12,10.6,55.1,0.0
52,"Mediratta, Mohit",1.12,11.1,55.7,0.0
53,"Charmasson, Clement",1.11,10.8,54.4,0.0
54,"Paratore, Renato",1.11,10.7,54.7,0.0
55,"Kisia, Mike",1.11,10.7,55.1,0.0
56,"Sandhu, Jaydeep Singh",1.11,11.0,55.5,0.0
57,"Leijrma, John",1.09,10.6,54.7,0.0
58,"Kibugu, Njoroge Njonge",1.09,10.5,54.8,0.0
59,"Wakhu, David",1.09,10.9,54.9,0.0
60,"Townsend, Hugo",1.08,10.6,54.9,0.0
61,"Nsanzuwera, Celestin",1.06,10.9,54.9,0.0
62,"Vidal, Quim",1.06,11.1,55.2,0.0
63,"Zhou, Yanhan",1.05,10.8,54.9,0.0
64,"McKinney, Connor",1.01,10.7,55.1,0.0
65,"Adam, Cameron",0.97,10.5,54.5,0.0
66,"Fitzpatrick, Alex",0.96,9.7,53.6,0.0
67,"Luiten, Joost",0.94,9.4,52.8,0.0
68,"Jarvis, Casey",0.84,8.8,51.5,0.0
69,"Rozner, Antoine",0.82,7.8,50.3,0.0
70,"Hill, Calum",0.77,8.2,49.7,0.0
71,"LaCroix, Frederic",0.77,7.9,49.8,0.0
72,"Laporta, Francesco",0.75,8.0,50.0,0.0
73,"Campillo, Jorge",0.74,8.1,50.4,0.0
74,"Kimsey, Nathan",0.72,8.2,50.6,0.0
75,"Del Rey, Alejandro",0.7,7.9,49.5,0.0
76,"Clements, Todd",0.7,7.9,49.4,0.0
77,"Olesen, Jacob Skov",0.63,7.1,49.0,0.0
78,"Girrbach, Joel",0.52,6.2,46.5,0.0
79,"Norgaard, Niklas",0.52,6.4,46.9,0.0
80,"Robinson Thompson, Brandon",0.5,5.6,44.9,0.0
81,"Vaillant, Tom",0.46,6.0,45.8,0.0
82,"Schmidt, Ben",0.44,5.2,43.7,0.0
83,"Sterne, Richard",0.41,5.1,44.2,0.0
84,"Schneider, Marcel",0.37,4.6,42.0,0.0
85,"Lagergren, Joakim",0.36,5.0,43.3,0.0
86,"Kruyswijk, Jacques",0.36,4.8,42.7,0.0
87,"Elvira, Manuel",0.36,5.1,43.3,0.0
88,"Van Driel, Darius",0.34,3.9,40.0,0.0
89,"Halvorsen, Andreas",0.33,4.6,42.2,0.0
90,"De Leo, Gregorio",0.33,4.8,42.9,0.0
91,"Jordan, Matthew",0.32,4.6,42.4,0.0
92,"Schott, Freddy",0.31,3.8,40.2,0.0
93,"Gouveia, Ricardo",0.3,3.7,39.8,0.0
94,"Scrivener, Jason",0.29,3.8,39.0,0.0
95,"Hoshino, Rikuya",0.27,3.4,38.0,0.0
96,"Soderberg, Sebastian",0.27,3.5,39.2,0.0
97,"Syme, Connor",0.25,3.7,39.7,0.0
98,"Langasque, Romain",0.25,3.4,38.9,0.0
99,"Otaegui, Adrian",0.24,3.3,38.0,0.0
100,"Ravetto, David",0.23,3.3,37.6,0.0
101,"Manassero, Matteo",0.23,4.0,40.8,0.0
102,"Migliozzi, Guido",0.21,2.8,37.0,0.0
103,"Wiesberger, Bernd",0.21,3.2,37.8,0.0
104,"Lombard, Zander",0.2,3.4,38.3,0.0
105,"Cockerill, Aaron",0.2,2.9,37.7,0.0
106,"Hidalgo Portillo, Angel",0.2,2.8,36.0,0.0
107,"Lemke, Niklas",0.2,3.0,36.8,0.0
108,"Kinhult, Marcus",0.19,2.7,35.2,0.0
109,"Jamieson, Scott",0.17,2.6,35.0,0.0
110,"Aphibarnrat, Kiradech",0.16,2.6,35.7,0.0
111,"Pulkkanen, Tapio",0.16,2.4,34.1,0.0
112,"Kieffer, Max",0.16,2.3,33.7,0.0
113,"Pepperell, Eddie",0.15,2.4,34.5,0.0
114,"Levy, Alexander",0.15,2.0,33.2,0.0
115,"Norris, Shaun",0.14,2.3,34.0,0.0
116,"Law, David",0.13,2.0,32.0,0.0
117,"Dantorp, Jens",0.12,1.7,30.3,0.0
118,"Bryant, Davis",0.12,1.7,30.1,0.0
119,"Dean, Joe",0.12,1.7,31.4,0.0
120,"Ahlawat, Veer",0.11,2.2,32.5,0.0
121,"Siem, Marcel",0.11,2.0,33.0,0.0
122,"Sordet, Clement",0.1,1.7,30.4,0.0
123,"Cantero Gutierrez, Ivan",0.1,1.9,32.4,0.0
124,"Williams, Robin",0.1,1.8,30.3,0.0
125,"Zanotti, Fabrizio",0.09,2.0,31.5,0.0
126,"Nemecz, Lukas",0.08,1.6,30.2,0.0
127,"Senior, Jack",0.08,1.7,30.7,0.0
128,"Celli, Filippo",0.07,1.3,27.5,0.0
129,"Winther, Jeff",0.06,1.4,29.0,0.0
130,"Bjerregaard, Lucas",0.06,1.5,29.5,0.0
131,"Gumberg, Jordan",0.05,1.6,29.8,0.0
132,"Johnston, Ryggs",0.05,0.9,25.2,0.0
133,"Morrison, James",0.05,1.3,27.9,0.0
134,"Micheluzzi, David",0.05,1.4,29.2,0.0
135,"Van Velzen, Ryan",0.04,0.7,22.1,0.0
136,"Baldwin, Matthew",0.04,0.8,23.4,0.0
137,"Sharma, Shubhankar",0.04,1.1,25.8,0.0
