rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Hill, Calum",29.36,82.2,97.0,14:15,08:30,-0.140355159
2,"Bradbury, Dan",11.77,62.7,93.0,14:25,08:40,0.09738562000000003
3,"Lawrence, Thriston",7.97,53.4,90.5,14:15,08:30,0.019065468999999998
4,"Olesen, Jacob Skov",7.23,52.1,90.0,06:30,12:20,-0.09159228300000002
5,"Vincent, Kieran",6.1,48.2,88.4,15:15,09:30,-0.30516271500000003
6,"Schaper, Jayden",4.44,41.5,86.5,07:30,13:20,0.198865397
7,"Robinson Thompson, Brandon",3.85,38.6,85.1,14:35,08:50,-0.266649583
8,"Du Plessis, Hennie",3.81,38.8,85.0,07:20,13:10,0.185087507
9,"Kruyswijk, Jacques",2.75,33.2,82.5,07:10,13:00,-0.20191314900000001
10,"Laporta, Francesco",2.72,32.0,82.1,14:05,08:20,0.026523536
11,"Kimsey, Nathan",2.47,29.8,81.1,08:30,14:20,-0.03028455699999999
12,"Syme, Connor",1.84,26.8,79.1,14:25,08:40,-0.19553056800000002
13,"Frittelli, Dylan",1.63,24.5,77.6,13:45,08:00,-0.34099238600000004
14,"Jarvis, Casey",1.48,23.1,76.5,14:15,08:30,0.17364559
15,"Van Tonder, Daniel",1.26,20.8,74.9,07:40,13:30,-0.203213918
16,"Clements, Todd",1.23,21.3,75.2,14:15,08:30,-0.085579352
17,"Roets, Jason",1.14,20.5,74.4,15:05,09:20,-0.203213918
18,"Rama, Nikhil",0.56,13.5,67.9,08:00,13:50,-0.203213918
19,"Mostert, Dylan",0.51,12.2,66.6,07:00,12:50,-0.203213918
20,"Sullivan, Andy",0.44,11.6,65.6,07:30,13:20,-0.05624365099999999
21,"Bekker, Oliver",0.36,9.9,62.4,07:00,12:50,-0.203213918
22,"Prinsloo, Jaco",0.34,10.3,63.2,13:55,08:10,-0.203213918
23,"Bruiners, Heinrich",0.31,8.9,61.5,13:25,07:40,-0.203213918
24,"Ayora, Angel",0.27,8.0,60.0,14:05,08:20,0.264547613
25,"Reed, Patrick",0.27,8.1,59.8,07:30,13:20,0.278964435
26,"Paratore, Renato",0.27,8.3,60.1,08:10,14:00,-0.203213918
27,"Viljoen, M.J.",0.26,8.0,59.6,08:10,14:00,-0.203213918
28,"Bairstow, Sam",0.24,9.1,61.5,14:45,09:00,-0.211409851
29,"Schietekat, Neil",0.24,7.9,59.3,14:05,08:20,-0.203213918
30,"Langasque, Romain",0.24,7.1,58.4,13:25,07:40,-0.24792120699999998
31,"Mitchell, Malcolm",0.23,7.1,58.1,15:05,09:20,-0.203213918
32,"Steinlechner, Maximilian",0.22,7.7,59.2,13:15,07:30,-0.203213918
33,"Brown, Luke",0.22,8.3,59.2,14:45,09:00,-0.203213918
34,"Ahlers, Jaco",0.21,7.2,57.9,07:50,13:40,-0.203213918
35,"Nienaber, Wilco",0.18,6.9,57.5,07:20,13:10,-0.203213918
36,"Van Velzen, Ryan",0.18,7.2,58.7,08:30,14:20,-0.203213918
37,"Barker, Kyle",0.18,6.1,55.8,07:30,13:20,-0.203213918
38,"Norris, Shaun",0.17,6.1,55.4,14:05,08:20,-0.48562167700000003
39,"Lombard, Zander",0.16,6.6,56.9,08:00,13:50,-0.245679985
40,"Enoch, Rhys",0.11,4.6,52.5,06:40,12:30,-0.203213918
41,"Elvira, Manuel",0.11,6.4,56.4,07:50,13:40,-0.120479197
42,"Albertse, Louis",0.11,4.7,52.1,14:55,09:10,-0.203213918
43,"Guerrier, Julien",0.1,4.5,50.9,07:20,13:10,-0.0022341570000000005
44,"Ritchie, JC",0.1,4.4,50.9,08:00,13:50,-0.203213918
45,"Luiten, Joost",0.1,4.5,52.0,14:05,08:20,-0.08305987799999999
46,"Adam, Cameron",0.09,2.4,43.2,13:45,08:00,-0.203213918
47,"Jerling, Luke",0.08,3.6,48.8,08:30,14:20,-0.203213918
48,"Young, Daniel",0.06,2.4,43.3,08:30,14:20,-0.203213918
49,"Manchest, Franklin",0.06,3.0,45.8,06:30,12:20,-0.203213918
50,"Del Rey, Alejandro",0.06,4.0,49.0,07:10,13:00,-0.089764007
51,"Pepler, Gerhard",0.06,2.7,44.5,13:35,07:50,-0.203213918
52,"De Kock, Allister",0.06,2.4,43.9,13:15,07:30,-0.203213918
53,"Carrera, Luis",0.05,2.5,43.3,13:15,07:30,-0.203213918
54,"Townsend, Hugo",0.05,2.3,43.5,13:25,07:40,-0.203213918
55,"Simpson, Samuel",0.05,2.3,43.5,15:15,09:30,-0.203213918
56,"Stone, Brandon",0.05,2.6,43.5,13:35,07:50,-0.05487472999999998
57,"Hugo, Jean",0.05,2.2,42.6,13:25,07:40,-0.203213918
58,"Fitzpatrick, Alex",0.05,2.5,43.5,07:10,13:00,-0.033808476000000004
59,"Maart, Mark",0.05,2.4,42.8,07:10,13:00,-0.203213918
60,"Van Driel, Darius",0.05,1.7,39.1,07:50,13:40,-0.27573741300000004
61,"Daffue, MJ",0.05,2.4,43.1,14:55,09:10,-0.203213918
62,"Germishuys, Deon",0.05,3.4,48.0,08:00,13:50,-0.203213918
63,"Jonsson, Tobias",0.05,2.3,43.0,07:20,13:10,-0.203213918
64,"John, Allen",0.04,2.4,43.2,13:15,07:30,-0.203213918
65,"Repetto Taylor, Rocco Paolo",0.04,2.2,42.6,07:10,13:00,-0.203213918
66,"Purchase, Warwick",0.04,2.4,43.0,07:20,13:10,-0.203213918
67,"Bergstrom, Albin",0.04,2.4,42.9,06:50,12:40,-0.203213918
68,"Bautista, Austin",0.04,2.3,43.0,15:15,09:30,-0.203213918
69,"Mavundla, Thanda",0.04,2.4,43.2,07:50,13:40,-0.203213918
70,"Kaneko, Kota",0.04,2.2,43.1,15:15,09:30,-0.203213918
71,"Swart, Stals",0.04,2.2,42.2,06:40,12:30,-0.203213918
72,"Walker, Euan",0.04,2.4,43.2,08:20,14:10,-0.203213918
73,"Blaauw, Jacques",0.04,1.7,39.7,14:25,08:40,-0.203213918
74,"Burke, Christiaan",0.04,2.3,43.0,14:15,08:30,-0.203213918
75,"Wykes, Kayle",0.04,2.1,42.0,06:30,12:20,-0.203213918
76,"Ferguson, Ewen",0.04,1.9,41.5,13:55,08:10,0.060991035
77,"Vidal, Quim",0.03,2.4,43.5,13:35,07:50,-0.203213918
78,"Rohwer, Martin",0.03,1.5,37.2,14:25,08:40,-0.203213918
79,"Mack, James",0.03,2.2,43.0,15:05,09:20,-0.203213918
80,"Johnston, Andrew",0.03,2.5,42.8,08:20,14:10,-0.203213918
81,"Otaegui, Adrian",0.03,1.7,40.2,07:00,12:50,-0.203213918
82,"Van Der Merwe, Altin",0.03,2.4,43.1,13:35,07:50,-0.203213918
83,"Gouveia, Ricardo",0.03,2.2,42.1,14:35,08:50,-0.210484939
84,"Hawksby, Jack",0.03,2.2,43.1,06:50,12:40,-0.203213918
85,"Couvra, Martin",0.03,1.6,39.1,07:40,13:30,-0.07481365000000001
86,"Crocker, Sean",0.03,1.6,38.1,14:25,08:40,-0.159626359
87,"Conradie, Estiaan",0.02,1.9,39.9,06:40,12:30,-0.203213918
88,"Armitage, Marcus",0.02,2.2,42.2,14:45,09:00,-0.028523531000000005
89,"Campillo, Jorge",0.02,1.5,38.1,14:55,09:10,-0.037931034999999995
90,"Siem, Marcel",0.02,3.2,46.4,13:35,07:50,-0.47627832699999995
91,"Rozner, Antoine",0.02,1.9,40.0,13:35,07:50,0.027807102000000007
92,"Coussaud, Ugo",0.02,1.2,35.6,13:55,08:10,-0.18653380699999997
93,"Mazzoli, Stefano",0.02,2.4,43.1,07:00,12:50,-0.203213918
94,"Ramsay, Richie",0.02,1.1,35.1,08:10,14:00,-0.260211902
95,"Davidse, Keenan",0.02,1.3,37.1,14:35,08:50,-0.203213918
96,"Porteous, Haydn",0.02,0.7,30.3,14:05,08:20,-0.203213918
97,"Thimba, Toto",0.01,1.4,37.5,15:15,09:30,-0.203213918
98,"Pepperell, Eddie",0.01,0.8,30.9,07:30,13:20,-0.15377370300000004
99,"Hidalgo Portillo, Angel",0.01,1.6,39.1,07:50,13:40,-0.349166674
100,"Akesson, Bjorn",0.01,0.6,28.8,13:15,07:30,-0.7470672199999999
101,"Kaminski, Rupert",0.01,0.9,32.6,15:05,09:20,-0.203213918
102,"Berry, Joshua",0.01,0.4,25.8,15:05,09:20,-0.203213918
103,"Senekal, JJ",0.01,0.5,29.0,14:55,09:10,-0.203213918
104,"Wiesberger, Bernd",0.01,0.6,30.2,14:15,08:30,-0.14759071199999999
105,"Bachem, Nick",0.01,0.9,32.1,06:40,12:30,-0.203213918
106,"Law, David",0.01,0.4,26.2,13:55,08:10,-0.41377674200000003
107,"Rowe, Lyle",0.01,1.2,36.1,13:45,08:00,-0.203213918
108,"Scrivener, Jason",0.01,0.7,31.1,13:45,08:00,-0.17347793200000003
109,"Vorster, Martin",0.01,1.0,33.1,08:20,14:10,-0.203213918
110,"Fisher Jr, Trevor",0.01,0.8,31.6,08:10,14:00,-0.203213918
111,"Hoshino, Rikuya",0.01,0.5,27.2,13:55,08:10,-0.304943619
112,"Gumberg, Jordan",0.01,0.8,31.9,14:55,09:10,-0.40908176399999996
113,"Williams, Robin",0.0,0.5,27.3,13:55,08:10,-0.518800305
114,"Soderberg, Sebastian",0.0,0.4,26.2,13:45,08:00,-0.20835586999999997
115,"Follet-Smith, Benjamin",0.0,0.2,21.1,06:50,12:40,-0.203213918
116,"Harding, Justin",0.0,0.3,24.0,08:20,14:10,-0.7978294189999999
117,"McClatchie, Kyle",0.0,0.1,18.5,08:30,14:20,-0.203213918
118,"Moolman, Pieter",0.0,0.1,20.0,14:55,09:10,-0.203213918
119,"Schmidt, Ben",0.0,0.7,29.6,08:30,14:20,-0.094464279
120,"Schneider, Marcel",0.0,0.4,26.7,07:40,13:30,-0.304858575
121,"Dean, Joe",0.0,0.4,25.6,14:35,08:50,-0.355402262
122,"Premlall, Yurav",0.0,0.1,13.2,06:40,12:30,-0.203213918
123,"Broomhead, Jonothan",0.0,0.2,20.8,14:35,08:50,-0.203213918
124,"Cabrera Bello, Rafa",0.0,0.1,18.7,06:50,12:40,-0.11062003000000004
125,"Cantero Gutierrez, Ivan",0.0,0.0,8.5,08:10,14:00,-0.494215877
126,"Chinhoi, Robson",0.0,0.2,21.0,06:50,12:40,-0.203213918
127,"Mazibuko, Makgetha",0.0,0.1,15.3,13:25,07:40,-0.203213918
128,"Loubser, Herman",0.0,0.1,18.8,14:45,09:00,-0.203213918
129,"Johnston, Ryggs",0.0,0.4,25.1,08:00,13:50,-0.606405066
130,"Korb, Ruan",0.0,0.2,21.3,06:30,12:20,-0.203213918
131,"Katsuragawa, Yuto",0.0,0.3,22.4,07:10,13:00,-0.40478489
132,"Ko, Jeong Weon",0.0,0.1,13.3,14:45,09:00,-0.674075347
133,"Fisher, Ross",0.0,0.1,19.5,08:10,14:00,-0.5149412290000001
134,"Fichardt, Darren",0.0,0.8,29.7,07:30,13:20,-0.530006321
135,"Ferreira, Stephen",0.0,0.1,18.6,06:30,12:20,-0.203213918
136,"De Beer, Kyle",0.0,0.0,10.3,13:15,07:30,-0.203213918
137,"Girrbach, Joel",0.0,0.1,15.6,06:30,12:20,-0.17525084800000001
138,"Garcia Rodriguez, Sebastian",0.0,0.0,11.8,08:20,14:10,-0.450022653
139,"Hollick, Michael",0.0,0.2,20.4,08:00,13:50,-0.203213918
140,"Jamieson, Scott",0.0,0.2,20.6,07:50,13:40,-0.29578811600000005
141,"Morrison, James",0.0,0.0,3.3,14:35,08:50,-0.545124582
142,"Mokoena, Karabo",0.0,0.1,16.7,07:00,12:50,-0.203213918
143,"Rebula, Jovan",0.0,0.1,16.8,06:50,12:40,-0.203213918
144,"Ravetto, David",0.0,0.2,21.8,07:00,12:50,-0.255565082
