rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Chacarra, Eugenio",62.06,98.3,99.8,0.061180038000000006
2,"Luiten, Joost",13.17,83.4,98.2,-0.09333841300000001
3,"Soderberg, Sebastian",5.73,67.9,95.9,-0.27430982699999995
4,"Manassero, Matteo",4.57,63.1,95.3,-0.429039073
5,"Walker, Euan",3.34,56.8,93.7,-0.20510375000000003
6,"Campillo, Jorge",1.99,46.0,91.1,-0.09514854800000001
7,"Kimsey, Nathan",1.81,45.2,90.8,0.14149263699999998
8,"Jordan, Matthew",1.48,41.5,89.6,-0.22996593099999998
9,"Baisoya, Honey",1.24,40.1,88.9,-0.20510375000000003
10,"Ahlawat, Veer",0.91,33.1,86.8,-0.298081757
11,"Robinson Thompson, Brandon",0.33,21.8,80.6,-0.17891385
12,"Dantorp, Jens",0.32,20.2,79.3,-0.48593204799999995
13,"Bhatia, Akshay",0.24,18.2,77.7,0.414932276
14,"LaCroix, Frederic",0.23,17.5,77.0,0.15997560900000002
15,"Jarvis, Casey",0.23,15.9,76.1,0.212729268
16,"Berry, Joshua",0.22,17.3,78.1,-0.20510375000000003
17,"Couvra, Martin",0.2,13.3,74.0,-0.08747496200000002
18,"Larrazabal, Pablo",0.19,16.7,77.0,-0.659463368
19,"Norgaard, Niklas",0.16,12.9,73.0,-0.099984124
20,"Ferguson, Ewen",0.16,15.2,75.8,0.007031242999999999
21,"Ayora, Angel",0.16,11.6,71.8,0.36320012600000007
22,"Guerrier, Julien",0.13,12.0,72.3,-0.054594935
23,"Laporta, Francesco",0.11,10.5,71.0,0.05612120599999999
24,"Coussaud, Ugo",0.1,11.1,71.3,-0.25147080800000005
25,"Fitzpatrick, Alex",0.1,9.8,69.3,0.016403936
26,"Langasque, Romain",0.08,6.6,64.3,-0.31893304
27,"Gandas, Manu",0.08,10.5,70.5,-0.20510375000000003
28,"Aphibarnrat, Kiradech",0.07,9.6,69.1,-0.317376848
29,"Kinhult, Marcus",0.04,3.6,56.7,-0.43007739999999994
30,"Sharma, Shubhankar",0.04,4.5,58.4,-0.521220366
31,"Lindell, Oliver",0.03,3.9,56.8,0.06262134199999998
32,"Mazzoli, Stefano",0.03,2.4,51.2,-0.20510375000000003
33,"Puig, David",0.03,7.4,65.4,0.21800831300000004
34,"Otaegui, Adrian",0.02,4.4,58.2,-0.113992975
35,"Hill, Calum",0.02,2.9,53.2,-0.383289842
36,"Adam, Cameron",0.02,2.5,50.4,-0.20510375000000003
37,"Smylie, Elvis",0.02,5.0,60.2,0.018634589
38,"Bradbury, Dan",0.02,3.2,53.8,0.213345974
39,"Azhar, Mohd",0.01,2.5,51.0,-0.20510375000000003
40,"Bergstrom, Albin",0.01,2.6,50.8,-0.20510375000000003
41,"Lawrence, Thriston",0.01,1.4,44.4,-0.022135041
42,"Singh, Sukhman",0.01,2.4,50.9,-0.20510375000000003
43,"Gouveia, Ricardo",0.01,1.4,44.9,-0.11299775899999998
44,"Bairstow, Sam",0.01,3.6,54.9,-0.200685481
45,"Buchanan, Jack",0.01,2.4,50.9,-0.20510375000000003
46,"Jonsson, Tobias",0.01,2.5,50.8,-0.20510375000000003
47,"Guillamoundeguy, Oihan",0.01,2.5,51.2,-0.20510375000000003
48,"Crowe, Harrison",0.01,2.4,51.0,-0.20510375000000003
49,"Lee, Junghwan",0.01,2.5,50.9,-0.20510375000000003
50,"Malik, Amardip",0.01,2.5,50.7,-0.20510375000000003
51,"Daffue, MJ",0.01,2.5,50.6,-0.20510375000000003
52,"Molinari, Edoardo",0.01,2.1,49.8,-0.45368238800000005
53,"Dhole Patil, Rohan",0.01,2.4,50.4,-0.20510375000000003
54,"Ghai, Tapy",0.01,2.4,50.8,-0.20510375000000003
55,"Molinari, Francesco",0.01,1.6,46.2,0.07137307099999998
56,"Premlall, Yurav",0.01,2.5,50.6,-0.20510375000000003
57,"Young, Daniel",0.01,2.3,51.0,-0.20510375000000003
58,"Kabthiyal, Anshul",0.01,2.5,50.8,-0.20510375000000003
59,"Crawford, Cory",0.01,2.5,51.0,-0.20510375000000003
60,"Vidal, Quim",0.01,2.6,50.8,-0.20510375000000003
61,"Peake, Ryan",0.01,2.4,50.3,-0.20510375000000003
62,"Morrison, James",0.01,1.9,48.1,-0.631621633
63,"Steinlechner, Maximilian",0.01,2.4,50.9,-0.20510375000000003
64,"S, MANOJ",0.01,2.5,51.1,-0.20510375000000003
65,"Da Costa Rodrigues, Daniel",0.01,2.4,50.7,-0.20510375000000003
66,"Crocker, Sean",0.01,0.7,36.3,-0.087938666
67,"Charmasson, Clement",0.01,2.7,50.7,-0.20510375000000003
68,"Katsuragawa, Yuto",0.01,0.2,27.8,-0.33124784500000004
69,"Biondi, Fred",0.01,2.5,51.0,-0.20510375000000003
70,"Cockerill, Aaron",0.01,3.7,55.7,-0.219672899
71,"Armitage, Marcus",0.0,2.5,52.0,-0.08444956299999999
72,"Jaglan, Shubham",0.0,2.4,50.6,-0.20510375000000003
73,"Rebula, Jovan",0.0,2.4,51.0,-0.20510375000000003
74,"Senior, Jack",0.0,1.2,42.4,-0.526077887
75,"Yadav, Deepak",0.0,2.5,50.7,-0.20510375000000003
76,"Thomas, Rayhan",0.0,2.1,48.8,-0.20510375000000003
77,"Cheema, Angad",0.0,1.0,41.3,-0.20510375000000003
78,"Townsend, Hugo",0.0,2.4,50.7,-0.20510375000000003
79,"Doull, Jordan",0.0,2.4,50.6,-0.20510375000000003
80,"Chauhan, Kanav",0.0,2.4,51.0,-0.20510375000000003
81,"Hossain, Badal",0.0,2.5,51.0,-0.20510375000000003
82,"De Leo, Gregorio",0.0,0.8,37.9,-0.134359517
83,"Kaneko, Kota",0.0,2.5,50.8,-0.20510375000000003
84,"Chouhan, Om Prakash",0.0,1.4,44.8,-0.20510375000000003
85,"Lindberg, Mikael",0.0,2.1,48.3,0.10939650900000003
86,"Mory, Felix",0.0,2.4,50.8,-0.20510375000000003
87,"Hollick, Michael",0.0,2.2,50.3,-0.20510375000000003
88,"Garcia Rodriguez, Sebastian",0.0,0.6,35.6,-0.35877988699999996
89,"Cantero Gutierrez, Ivan",0.0,0.2,26.9,-0.310868993
90,"Celli, Filippo",0.0,0.0,0.8,-0.409934515
91,"Bryant, Davis",0.0,0.4,32.4,-0.305212123
92,"Cabrera Bello, Rafa",0.0,0.1,20.1,-0.323339676
93,"Blomme, Adam",0.0,0.7,36.9,-0.20510375000000003
94,"Bhattacharya, Shaurya",0.0,2.4,51.4,-0.20510375000000003
95,"Gumberg, Jordan",0.0,0.0,16.8,-0.17515162899999998
96,"Elvira Mijares, Ignacio",0.0,0.7,37.1,-0.19029185899999998
97,"Frittelli, Dylan",0.0,0.3,29.1,-0.41082765600000004
98,"Forrest, Grant",0.0,0.0,12.5,-0.028278688999999996
99,"Elvira, Manuel",0.0,0.3,31.2,-0.135444274
100,"Fisher, Ross",0.0,0.0,14.2,-0.32068512300000007
101,"Girrbach, Joel",0.0,0.5,33.3,-0.06544592399999999
102,"Hidalgo Portillo, Angel",0.0,1.8,46.6,-0.317741697
103,"Broomhead, Jonothan",0.0,2.4,50.6,-0.20510375000000003
104,"Dean, Joe",0.0,0.0,14.4,-0.350301978
105,"Kaul, Kshitij Naveed",0.0,0.0,2.4,-0.20510375000000003
106,"Joshi, Khalin H",0.0,0.2,24.6,-0.20510375000000003
107,"Hoshino, Rikuya",0.0,0.4,32.2,-0.379228914
108,"Hossain, Jamal",0.0,0.2,25.9,-0.20510375000000003
