rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Couvra, Martin",37.66,89.4,98.1,0.016223066
2,"Campillo, Jorge",21.05,79.9,96.3,-0.04853028499999999
3,"Lindell, Oliver",5.69,51.6,89.0,-0.009319846999999996
4,"Robinson Thompson, Brandon",5.5,50.4,88.8,-0.094987775
5,"Fitzpatrick, Alex",4.38,46.4,87.5,0.12284289600000001
6,"Schaper, Jayden",3.95,45.1,87.0,0.208333697
7,"Ding, Wenyi",3.0,38.9,84.0,0.053102329000000004
8,"Olesen, Jacob Skov",2.56,35.4,82.8,-0.03758354999999999
9,"Elvira Mijares, Ignacio",2.44,35.9,83.1,-0.103807259
10,"Bairstow, Sam",1.41,25.7,77.2,-0.137253647
11,"Jordan, Matthew",1.24,25.7,77.0,-0.023683649999999994
12,"Ferguson, Ewen",0.86,21.2,74.0,0.004880263000000003
13,"Acikalin, Leon",0.78,18.8,72.1,-0.14524032199999998
14,"Lindberg, Mikael",0.74,19.7,72.3,0.04045010400000002
15,"LaCroix, Frederic",0.72,19.2,72.4,-0.103164582
16,"Clements, Todd",0.6,15.8,68.9,-0.138888807
17,"Southgate, Matthew",0.57,15.3,68.7,-0.336352101
18,"Kinhult, Marcus",0.54,14.3,67.8,-0.18125590000000003
19,"Puig, David",0.41,12.4,65.3,0.2811632210000001
20,"Migliozzi, Guido",0.33,12.0,64.5,-0.21226045200000004
21,"Hillier, Daniel",0.32,11.5,63.6,0.182399728
22,"Williams, Robin",0.29,9.5,60.5,-0.30543175499999997
23,"McKibbin, Tom",0.21,8.7,59.5,0.21901739400000003
24,"Du Plessis, Hennie",0.21,7.9,58.5,0.10587507599999998
25,"De Leo, Gregorio",0.2,9.0,60.2,-0.20469209100000002
26,"Girrbach, Joel",0.18,7.0,55.5,-0.18120307800000002
27,"Coussaud, Ugo",0.14,7.6,57.0,-0.031422095
28,"Cabrera Bello, Rafa",0.12,7.3,56.9,-0.19927232600000003
29,"Chacarra, Eugenio",0.1,5.8,53.5,0.104000988
30,"Langasque, Romain",0.1,5.5,52.3,-0.083547705
31,"Bradbury, Dan",0.09,4.4,50.0,-0.09198576700000001
32,"Charmasson, Clement",0.09,3.3,45.8,-0.14524032199999998
33,"Bjerregaard, Lucas",0.09,4.7,50.8,-0.27539097900000004
34,"Johnston, Andrew",0.09,3.3,46.1,-0.14524032199999998
35,"Bryant, Davis",0.09,5.0,51.6,-0.220479701
36,"Kimsey, Nathan",0.08,5.1,51.2,0.024684585999999994
37,"Molinari, Edoardo",0.08,4.5,49.8,-0.278389663
38,"Logan, Hunter",0.08,3.4,45.9,-0.14524032199999998
39,"Yule, Jack",0.07,3.4,46.4,-0.14524032199999998
40,"Sordet, Clement",0.07,4.8,50.9,-0.21806166700000001
41,"Zhou, Yanhan",0.07,3.4,46.0,-0.14524032199999998
42,"Repetto Taylor, Rocco Paolo",0.07,3.3,45.8,-0.14524032199999998
43,"Da Costa Rodrigues, Daniel",0.07,3.4,46.2,-0.14524032199999998
44,"McKinney, Connor",0.07,3.4,45.9,-0.14524032199999998
45,"Guerrier, Julien",0.07,4.1,48.1,-0.010996935000000001
46,"Sandhu, Yuvraj Singh",0.06,3.4,46.1,-0.14524032199999998
47,"Kaneko, Kota",0.06,3.3,46.1,-0.14524032199999998
48,"Blomme, Adam",0.06,3.4,46.4,-0.14524032199999998
49,"Buchanan, Jack",0.06,3.4,46.1,-0.14524032199999998
50,"Teder, Richard",0.06,3.3,46.2,-0.14524032199999998
51,"Debove, Quentin",0.06,3.3,46.2,-0.14524032199999998
52,"Jonsson, Tobias",0.06,3.4,46.2,-0.14524032199999998
53,"Yanakiev, Yordan",0.06,3.5,45.9,-0.14524032199999998
54,"Kaewkanjana, Sadom",0.06,3.2,46.5,-0.14524032199999998
55,"Van Tonder, Daniel",0.06,3.4,46.1,-0.14524032199999998
56,"Biondi, Fred",0.06,3.4,46.3,-0.14524032199999998
57,"Kramer, Max",0.06,3.4,46.2,-0.14524032199999998
58,"Ritchie, JC",0.06,3.4,46.0,-0.14524032199999998
59,"Mory, Felix",0.06,3.6,46.2,-0.14524032199999998
60,"Gallegos, Andres",0.05,3.4,46.3,-0.14524032199999998
61,"Quayle, Anthony",0.05,3.3,46.3,-0.14524032199999998
62,"Guillamoundeguy, Oihan",0.05,3.4,46.5,-0.14524032199999998
63,"Walker, Euan",0.05,3.3,46.0,-0.14524032199999998
64,"Townsend, Hugo",0.05,3.4,45.6,-0.14524032199999998
65,"Schneider, Marcel",0.05,3.3,46.5,-0.199235716
66,"Von Dellingshausen, Nicolai",0.05,4.0,48.5,-0.13652004
67,"Paratore, Renato",0.05,3.4,46.0,-0.14524032199999998
68,"Laporta, Francesco",0.05,3.8,47.8,-0.012464353000000004
69,"Mazzoli, Stefano",0.05,3.6,46.3,-0.14524032199999998
70,"Guner, Mutlu",0.05,3.3,46.0,-0.14524032199999998
71,"Bergstrom, Albin",0.05,3.4,46.5,-0.14524032199999998
72,"Gavins, Daniel",0.05,3.4,45.9,-0.14524032199999998
73,"Daffue, MJ",0.05,3.5,46.3,-0.14524032199999998
74,"Toorop, Mike",0.05,3.2,45.7,-0.14524032199999998
75,"Adam, Cameron",0.04,3.3,45.9,-0.14524032199999998
76,"Premlall, Yurav",0.04,3.2,44.8,-0.14524032199999998
77,"Lawrence, Thriston",0.04,2.7,43.4,-0.065767746
78,"Molinari, Francesco",0.04,3.4,46.3,-0.05364363800000001
79,"Ayora, Angel",0.04,3.5,46.2,0.17061504800000005
80,"Berry, Joshua",0.04,3.4,46.2,-0.14524032199999998
81,"Johnston, Ryggs",0.04,2.5,42.3,-0.262641611
82,"Hollick, Michael",0.04,3.3,46.4,-0.14524032199999998
83,"Vidal, Quim",0.04,3.5,45.8,-0.14524032199999998
84,"Young, Daniel",0.04,3.2,44.9,-0.14524032199999998
85,"Svensson, Jesper",0.03,2.4,41.4,-0.03520518800000001
86,"Rozner, Antoine",0.03,2.2,40.4,-0.12544380300000002
87,"Peake, Ryan",0.03,3.3,46.1,-0.14524032199999998
88,"Follet-Smith, Benjamin",0.03,1.9,39.0,-0.14524032199999998
89,"Forrest, Grant",0.03,2.5,42.6,-0.070450621
90,"Smylie, Elvis",0.03,2.5,42.6,-0.01299461099999999
91,"Otaegui, Adrian",0.03,2.2,41.6,-0.134117975
92,"Schott, Freddy",0.02,2.1,40.7,-0.07373004999999999
93,"Kobori, Kazuma",0.02,1.4,36.2,-0.11607853100000001
94,"Manassero, Matteo",0.02,1.4,36.1,-0.18358938700000002
95,"Vaillant, Tom",0.02,1.1,32.9,-0.118369061
96,"Steinlechner, Maximilian",0.02,0.6,28.1,-0.14524032199999998
97,"Soderberg, Sebastian",0.02,1.8,38.6,-0.29167123500000003
98,"Norgaard, Niklas",0.02,1.1,33.8,-0.050925836
99,"Ravetto, David",0.02,1.2,34.0,-0.08611919500000001
100,"Del Rey, Alejandro",0.02,1.7,37.6,-0.05324554199999999
101,"Elvira, Manuel",0.01,1.3,35.2,-0.177991849
102,"Waring, Paul",0.01,1.3,35.6,-0.13608041199999998
103,"Scrivener, Jason",0.01,0.9,31.7,-0.177315135
104,"Veerman, Johannes",0.01,1.1,33.3,-0.14156825799999997
105,"Halvorsen, Andreas",0.01,1.6,37.2,-0.127577024
106,"Wiesberger, Bernd",0.01,1.2,33.7,-0.21503408200000002
107,"Armitage, Marcus",0.01,2.1,40.2,-0.077913283
108,"Stone, Brandon",0.01,1.2,35.3,-0.131250991
109,"Lagergren, Joakim",0.01,1.0,32.4,-0.17819142300000002
110,"Kruyswijk, Jacques",0.01,1.8,38.3,-0.138556327
111,"Micheluzzi, David",0.01,0.3,20.6,-0.20867328899999998
112,"Sullivan, Andy",0.01,1.1,33.5,-0.02509433
113,"Sterne, Richard",0.01,0.7,30.7,-0.217714276
114,"Frittelli, Dylan",0.01,0.7,28.4,-0.14982640900000002
115,"Cockerill, Aaron",0.0,0.4,23.4,-0.240672021
116,"Wu, Ashun",0.0,0.2,20.4,-0.27502123100000003
117,"Van Velzen, Ryan",0.0,0.2,18.9,-0.14524032199999998
118,"Van Driel, Darius",0.0,1.0,33.1,-0.141320669
119,"Sharma, Shubhankar",0.0,0.4,23.6,-0.25660277500000006
120,"Ramsay, Richie",0.0,0.5,25.8,-0.267528048
121,"Aphibarnrat, Kiradech",0.0,0.6,26.9,-0.175637601
122,"Larrazabal, Pablo",0.0,0.1,15.5,-0.38055315000000006
123,"Katsuragawa, Yuto",0.0,1.3,34.7,-0.138783535
124,"Law, David",0.0,0.9,31.2,-0.11746638599999999
125,"Kieffer, Max",0.0,0.5,25.3,-0.229129803
126,"Senior, Jack",0.0,0.1,18.7,-0.23131303200000003
127,"Celli, Filippo",0.0,0.1,18.6,-0.30642888700000004
128,"Arnaus, Adri",0.0,0.1,15.3,-0.30347994800000005
129,"Cantero Gutierrez, Ivan",0.0,0.1,13.9,-0.18696466
130,"Aslan, Tarik",0.0,0.1,15.1,-0.14524032199999998
131,"Baldwin, Matthew",0.0,0.2,19.2,-0.29419174400000003
132,"Fisher, Ross",0.0,0.1,14.7,-0.369096811
133,"Crocker, Sean",0.0,0.3,22.4,-0.23569799400000002
134,"Dantorp, Jens",0.0,0.0,7.2,-0.320691269
135,"Forsstrom, Simon",0.0,0.1,13.4,-0.38020395300000004
136,"Hoshino, Rikuya",0.0,0.5,26.4,-0.176163676
137,"Gumberg, Jordan",0.0,0.0,6.8,-0.140071334
138,"Hidalgo Portillo, Angel",0.0,0.0,13.9,-0.323086734
139,"Dean, Joe",0.0,0.0,11.8,-0.12378622900000001
140,"Lombard, Zander",0.0,0.1,14.4,-0.239582949
141,"Levy, Alexander",0.0,0.0,10.5,-0.16426991700000002
142,"Jamieson, Scott",0.0,0.5,27.5,-0.17999161300000002
143,"Ko, Jeong Weon",0.0,0.0,7.3,-0.44456721
144,"Gouveia, Ricardo",0.0,0.7,29.9,-0.209853316
145,"Pulkkanen, Tapio",0.0,0.2,20.5,-0.15491891
146,"Naidoo, Dylan",0.0,0.0,5.8,-0.388216781
147,"Morrison, James",0.0,0.0,9.3,-0.26452243500000006
148,"Sagoo, Pavan",0.0,0.5,26.3,-0.14524032199999998
149,"Paul, Yannik",0.0,0.0,12.0,-0.38715703099999993
150,"Pepperell, Eddie",0.0,0.4,24.7,-0.14524032199999998
151,"Syme, Connor",0.0,0.1,14.2,-0.27136529
152,"Tarren, Callum",0.0,0.0,6.7,-0.316999251
153,"Winther, Jeff",0.0,0.1,16.9,-0.25494273999999995
154,"Yamac, Taner",0.0,0.0,12.1,-0.14524032199999998
155,"Zanotti, Fabrizio",0.0,0.2,18.6,-0.369431573
