rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Lindberg, Mikael",22.27,81.2,98.0,13:00,08:00,0.100784914
2,"Lindell, Oliver",14.97,73.8,97.2,08:10,13:10,0.115833803
3,"Schmidt, Ben",12.51,70.0,96.6,12:50,07:50,-0.041318910000000014
4,"De Leo, Gregorio",12.37,70.2,96.5,12:30,07:30,-0.10560756199999999
5,"Hojgaard, Rasmus",7.49,60.3,94.8,08:00,13:00,0.24412368199999998
6,"Chacarra, Eugenio",5.13,50.7,93.0,08:00,13:00,0.22743030200000003
7,"Langasque, Romain",4.56,47.9,92.1,08:20,13:20,0.04906262799999997
8,"LaCroix, Frederic",3.65,44.8,91.5,12:30,07:30,-0.195376252
9,"Neergaard-Petersen, Rasmus",2.5,37.0,88.8,08:10,13:10,0.079451404
10,"Ravetto, David",2.33,34.8,88.2,13:40,08:40,-0.209562357
11,"Ege, Mats",2.21,35.3,88.2,13:30,08:30,-0.169429675
12,"Clements, Todd",1.44,29.6,85.5,14:00,09:00,-0.10927944200000002
13,"Veerman, Johannes",1.22,26.2,84.3,12:50,07:50,-0.159700772
14,"Wiesberger, Bernd",0.63,17.7,79.1,08:00,13:00,-0.17022272300000002
15,"Olesen, Thorbjorn",0.57,16.6,78.2,13:10,08:10,-0.029171660000000002
16,"Sullivan, Andy",0.56,17.0,78.4,12:50,07:50,-0.033788982
17,"Robinson Thompson, Brandon",0.52,16.2,77.3,08:40,13:40,-0.118379326
18,"Berry, Joshua",0.46,15.6,76.8,09:00,14:00,-0.169429675
19,"Guerrier, Julien",0.42,13.3,75.1,13:20,08:20,-0.0363265
20,"Bjerregaard, Lucas",0.41,12.8,74.8,14:10,09:10,-0.36067658199999997
21,"Ding, Wenyi",0.39,13.5,75.1,07:30,12:30,0.05549411
22,"Scrivener, Jason",0.35,12.5,74.0,09:20,14:20,-0.08076608800000001
23,"Norgaard, Niklas",0.31,11.8,72.9,07:50,12:50,0.0024904119999999944
24,"Lemke, Niklas",0.25,9.9,71.1,08:40,13:40,-0.32794410500000004
25,"Nemecz, Lukas",0.24,9.6,70.7,09:10,14:10,-0.169429675
26,"Laporta, Francesco",0.22,9.8,70.6,13:20,08:20,-0.114102554
27,"Wilson, Andrew",0.19,9.1,69.7,13:30,08:30,-0.189526413
28,"Olesen, Jacob Skov",0.16,7.8,67.9,13:00,08:00,0.123608473
29,"Dean, Joe",0.14,7.5,66.8,13:10,08:10,-0.072593486
30,"Armitage, Marcus",0.13,6.2,64.4,12:30,07:30,0.012788764999999994
31,"Axelsen, John",0.09,5.2,61.8,09:10,14:10,-0.169429675
32,"Ayora, Angel",0.09,5.3,62.4,07:40,12:40,0.10161217199999999
33,"Horsey, David",0.09,5.2,62.2,14:10,09:10,-0.169429675
34,"Pepperell, Eddie",0.08,3.5,57.1,07:50,12:50,-0.096271862
35,"Simonsen, Martin",0.07,5.4,62.5,09:00,14:00,-0.169429675
36,"Sterne, Richard",0.05,3.4,57.2,13:10,08:10,-0.295045869
37,"Premlall, Yurav",0.04,2.2,50.7,07:40,12:40,-0.169429675
38,"Winther, Jeff",0.04,2.8,54.2,13:40,08:40,-0.09813546900000003
39,"Van Tonder, Daniel",0.04,2.2,50.8,12:50,07:50,-0.169429675
40,"Charmasson, Clement",0.03,2.2,50.2,09:00,14:00,-0.169429675
41,"Perico, Julian",0.03,2.2,50.3,12:40,07:40,-0.169429675
42,"Daffue, MJ",0.03,2.2,50.9,13:30,08:30,-0.169429675
