rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime
1,"Reed, Patrick",4.6,27.3,73.8,07:11,12:21
2,"Chacarra, Eugenio",3.56,24.0,71.3,12:11,07:11
3,"Jarvis, Casey",3.05,20.0,68.6,12:11,07:11
4,"Nakajima, Keita",2.66,19.2,67.9,12:55,07:55
5,"Olesen, Jacob Skov",1.75,15.1,62.8,07:22,12:32
6,"Ferguson, Ewen",1.62,14.5,62.7,07:22,12:32
7,"Buchanan, Jack",1.47,12.5,59.9,12:00,07:00
8,"Toorop, Mike",1.42,12.7,60.0,13:39,08:39
9,"Debove, Quentin",1.42,12.3,59.6,07:55,13:05
10,"Logan, Hunter",1.41,12.8,59.9,12:22,07:22
11,"Gallegos, Andres",1.4,12.7,59.9,07:44,12:54
12,"Van Tonder, Daniel",1.39,12.6,60.6,07:33,12:43
13,"Biondi, Fred",1.39,12.4,59.7,07:11,12:21
14,"Locke, Sam",1.39,12.2,59.9,08:50,14:00
15,"Baker, Eliot",1.38,12.6,59.9,12:44,07:44
16,"Virto, Borja",1.38,12.7,60.2,14:01,09:01
17,"Peake, Ryan",1.37,12.5,59.9,07:22,12:32
18,"Jackson, Palmer",1.37,12.5,60.3,08:17,13:27
19,"Nemecz, Lukas",1.37,12.4,60.4,08:50,14:00
20,"Baumgartner, Jonas",1.36,12.9,60.4,08:17,13:27
21,"Quiros, Alvaro",1.35,12.4,60.0,12:22,07:22
22,"Van Velzen, Ryan",1.35,12.6,60.7,08:28,13:38
23,"Quayle, Anthony",1.35,12.6,60.1,07:00,12:10
24,"O'Hara, Paul",1.35,12.6,60.1,14:01,09:01
25,"Daly II, John",1.35,12.5,59.8,12:00,07:00
26,"Perico, Julian",1.34,12.5,60.1,08:28,13:38
27,"Rebula, Jovan",1.34,12.7,60.0,07:22,12:32
28,"Vidal, Quim",1.34,12.2,59.9,12:11,07:11
29,"Yule, Jack",1.33,12.2,60.1,08:39,13:49
30,"Ereno Perez, Pablo",1.33,12.3,59.8,07:00,12:10
31,"Shogenji, Tatsunori",1.32,12.5,59.8,12:55,07:55
32,"Berry, Joshua",1.32,12.4,60.3,08:39,13:49
33,"Hebert, Benjamin",1.31,12.6,60.0,08:06,13:16
34,"Zach, Simon",1.31,12.8,60.0,08:17,13:27
35,"Johnston, Liam",1.3,12.4,60.2,08:50,14:00
36,"Gregor, Graham",1.29,13.0,60.0,08:50,14:00
37,"McCullen, Haydn",1.29,12.3,60.4,14:01,09:01
38,"Fyfe, Calum",1.28,12.4,59.7,08:28,13:38
39,"Sandhu, Yuvraj Singh",1.28,12.3,60.1,08:28,13:38
