rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Schaper, Jayden",4.88,28.3,72.6,0.0
2,"Reed, Patrick",3.86,23.7,69.2,0.0
3,"Hillier, Daniel",3.66,23.0,69.3,0.0
4,"Ayora, Angel",3.34,21.8,67.7,0.0
5,"Wallace, Matt",1.64,14.6,60.9,0.0
6,"Lindell, Oliver",1.5,13.7,59.8,0.0
7,"Armitage, Marcus",1.35,12.2,57.6,0.0
8,"Ding, Wenyi",1.34,12.3,57.5,0.0
9,"Svensson, Jesper",1.24,11.7,56.8,0.0
10,"Paratore, Renato",1.2,10.5,54.8,0.0
11,"Broomhead, Jonothan",1.2,10.5,54.6,0.0
12,"Jonsson, Tobias",1.2,10.4,54.9,0.0
13,"Guerrier, Julien",1.19,10.8,56.0,0.0
14,"Blomme, Adam",1.16,10.5,54.4,0.0
15,"Quayle, Anthony",1.15,10.6,55.1,0.0
16,"Steinlechner, Maximilian",1.15,10.3,55.0,0.0
17,"Peake, Ryan",1.14,10.7,54.9,0.0
18,"Guillamoundeguy, Oihan",1.13,10.8,55.1,0.0
19,"Charmasson, Clement",1.13,10.4,55.0,0.0
20,"Al Kaabi, Saleh",1.13,10.3,55.0,0.0
21,"Repetto Taylor, Rocco Paolo",1.13,10.2,54.6,0.0
22,"Debove, Quentin",1.11,10.3,55.0,0.0
23,"Kaneko, Kota",1.11,10.3,54.6,0.0
24,"McGlinchey, Dominic",1.11,10.6,55.2,0.0
25,"Yule, Jack",1.1,10.3,54.8,0.0
26,"Johnston, Andrew",1.09,10.3,54.9,0.0
27,"Mazzoli, Stefano",1.09,10.3,54.8,0.0
28,"Young, Daniel",1.09,10.5,54.4,0.0
29,"Bergstrom, Albin",1.08,10.4,54.7,0.0
30,"Da Costa Rodrigues, Daniel",1.08,10.9,55.2,0.0
31,"Walker, Euan",1.07,10.5,54.8,0.0
32,"Ritchie, JC",1.07,10.4,54.7,0.0
33,"Fitzpatrick, Alex",1.07,10.3,54.8,0.0
34,"Vidal, Quim",1.07,10.0,54.5,0.0
35,"Lee, Junghwan",1.07,10.6,55.4,0.0
36,"Fisher, Oliver",1.07,10.0,54.6,0.0
37,"Sandhu, Yuvraj Singh",1.07,10.5,55.2,0.0
38,"Logan, Hunter",1.05,10.1,54.5,0.0
39,"Van Tonder, Daniel",1.05,10.1,54.8,0.0
40,"Ikstrums, Andrew Charles",1.05,10.5,55.1,0.0
41,"Berry, Joshua",1.04,10.6,55.3,0.0
42,"Biondi, Fred",1.04,10.3,55.0,0.0
43,"Follet-Smith, Benjamin",1.04,10.3,55.1,0.0
44,"Kaewkanjana, Sadom",1.02,10.4,54.4,0.0
45,"Ok, Taehoon",1.02,10.5,55.5,0.0
46,"Toorop, Mike",1.01,10.5,55.2,0.0
47,"Sokolov, Daniil",1.0,10.6,55.2,0.0
48,"Al Shahrani, Abdulrahman Abdulla",0.99,10.2,55.0,0.0
49,"Wood, Chris",0.99,10.3,54.5,0.0
50,"McKinney, Connor",0.99,10.4,54.9,0.0
51,"El Hali, Reda",0.99,10.5,54.8,0.0
52,"Mory, Felix",0.98,10.4,54.5,0.0
53,"Zhou, Yanhan",0.96,10.4,54.9,0.0
54,"Hollick, Michael",0.96,10.0,54.5,0.0
55,"Lindberg, Mikael",0.95,10.0,53.5,0.0
56,"Du Plessis, Hennie",0.95,10.5,55.1,0.0
57,"Adam, Cameron",0.94,10.3,54.4,0.0
58,"Townsend, Hugo",0.93,10.3,54.8,0.0
59,"Forrest, Grant",0.93,10.0,53.5,0.0
60,"Couvra, Martin",0.88,8.9,52.4,0.0
61,"Chacarra, Eugenio",0.88,10.1,54.6,0.0
62,"Ferguson, Ewen",0.88,8.9,52.9,0.0
63,"Bradbury, Dan",0.86,8.5,52.4,0.0
64,"Jarvis, Casey",0.83,8.7,52.4,0.0
65,"Campillo, Jorge",0.79,8.4,51.0,0.0
66,"Del Rey, Alejandro",0.77,7.6,50.3,0.0
67,"Laporta, Francesco",0.76,8.2,51.1,0.0
68,"Coussaud, Ugo",0.68,8.1,50.6,0.0
69,"Kimsey, Nathan",0.6,6.4,47.6,0.0
70,"Sullivan, Andy",0.57,6.6,48.0,0.0
71,"Hill, Calum",0.52,5.6,45.9,0.0
72,"Stone, Brandon",0.52,6.5,48.1,0.0
73,"LaCroix, Frederic",0.52,6.6,48.1,0.0
74,"Elvira Mijares, Ignacio",0.51,6.7,47.6,0.0
75,"Girrbach, Joel",0.48,6.3,47.1,0.0
76,"Norgaard, Niklas",0.48,6.3,47.3,0.0
77,"Robinson Thompson, Brandon",0.45,5.3,45.5,0.0
78,"Clements, Todd",0.43,5.8,45.2,0.0
79,"Elvira, Manuel",0.42,5.5,44.7,0.0
80,"Pavan, Andrea",0.42,6.4,47.4,0.0
81,"Vaillant, Tom",0.42,6.0,46.2,0.0
82,"Kruyswijk, Jacques",0.42,4.9,43.8,0.0
83,"Gouveia, Ricardo",0.37,4.3,41.2,0.0
84,"Halvorsen, Andreas",0.37,5.4,44.8,0.0
85,"Rozner, Antoine",0.37,5.8,46.4,0.0
86,"Schneider, Marcel",0.35,4.8,43.0,0.0
87,"Olesen, Jacob Skov",0.32,4.8,43.4,0.0
88,"Hoshino, Rikuya",0.32,4.1,40.3,0.0
89,"Bairstow, Sam",0.31,4.6,43.0,0.0
90,"Syme, Connor",0.31,4.2,41.6,0.0
91,"Cabrera Bello, Rafa",0.3,4.5,42.9,0.0
92,"Lombard, Zander",0.29,4.1,42.0,0.0
93,"Langasque, Romain",0.28,3.9,40.2,0.0
94,"Sterne, Richard",0.27,3.8,40.8,0.0
95,"Jordan, Matthew",0.25,4.2,41.3,0.0
96,"Crocker, Sean",0.25,4.2,41.1,0.0
97,"Lagergren, Joakim",0.25,4.0,40.8,0.0
98,"Lemke, Niklas",0.24,3.5,40.1,0.0
99,"Ramsay, Richie",0.24,3.3,38.5,0.0
100,"Von Dellingshausen, Nicolai",0.22,3.6,39.7,0.0
101,"Scrivener, Jason",0.22,2.7,35.8,0.0
102,"De Leo, Gregorio",0.21,3.2,37.9,0.0
103,"List, Luke",0.21,3.2,38.7,0.0
104,"Veerman, Johannes",0.21,2.9,37.7,0.0
