player_id,player_name,country,r1_teetime,r2_teetime,r3_teetime,r4_teetime,r1_start_hole,r2_start_hole,r3_start_hole,r4_start_hole,r1_wave,r2_wave,r3_wave,r4_wave,event_id
34024,"Adam, Cameron",SCO,07:30,12:45,,,1,10,,,EARLY,LATE,,,2026119
12321,"Aphibarnrat, Kiradech",THA,08:40,13:55,,,10,1,,,EARLY,LATE,,,2026119
17813,"Armitage, Marcus",ENG,14:15,09:00,,,1,10,,,LATE,EARLY,,,2026119
23236,"Arnaus, Adri",ESP,08:40,13:55,,,1,10,,,EARLY,LATE,,,2026119
28615,"Bairstow, Sam",ENG,12:45,07:30,,,10,1,,,LATE,EARLY,,,2026119
13344,"Baldwin, Matthew",ENG,14:35,09:20,,,1,10,,,LATE,EARLY,,,2026119
28473,"Ballester, Jose Luis",ESP,08:00,13:15,,,10,1,,,EARLY,LATE,,,2026119
32384,"Bentein, Liam",BEL,08:10,13:25,,,1,10,,,EARLY,LATE,,,2026119
23620,"Bergstrom, Albin",SWE,14:05,08:50,,,10,1,,,LATE,EARLY,,,2026119
31520,"Berry, Joshua",ENG,07:50,13:05,,,1,10,,,EARLY,LATE,,,2026119
26562,"Besard, Matthis",BEL,12:45,07:30,,,1,10,,,LATE,EARLY,,,2026119
25614,"Biondi, Fred",BRA,09:30,14:45,,,1,10,,,EARLY,LATE,,,2026119
11619,"Bjerregaard, Lucas",DEN,09:10,14:25,,,10,1,,,EARLY,LATE,,,2026119
23784,"Blomme, Adam",SWE,13:15,08:00,,,10,1,,,LATE,EARLY,,,2026119
30210,"Broomhead, Jonothan",RSA,07:30,12:45,,,1,10,,,EARLY,LATE,,,2026119
32550,"Bryant, Davis",USA,14:35,09:20,,,10,1,,,LATE,EARLY,,,2026119
27379,"Buchanan, Jack",AUS,14:45,09:30,,,10,1,,,LATE,EARLY,,,2026119
21209,"Buijs, Lars",BEL,09:30,14:45,,,10,1,,,EARLY,LATE,,,2026119
7457,"Cabrera Bello, Rafa",ESP,13:35,08:20,,,1,10,,,LATE,EARLY,,,2026119
14016,"Campillo, Jorge",ESP,12:45,07:30,,,1,10,,,LATE,EARLY,,,2026119
19635,"Cantero Gutierrez, Ivan",ESP,12:45,07:30,,,10,1,,,LATE,EARLY,,,2026119
23549,"Celli, Filippo",ITA,13:05,07:50,,,10,1,,,LATE,EARLY,,,2026119
26745,"Chacarra, Eugenio",ESP,13:25,08:10,,,1,10,,,LATE,EARLY,,,2026119
22220,"Charmasson, Clement",FRA,13:05,07:50,,,10,1,,,LATE,EARLY,,,2026119
22608,"Clements, Todd",ENG,14:05,08:50,,,1,10,,,LATE,EARLY,,,2026119
15596,"Cockerill, Aaron",CAN,14:35,09:20,,,10,1,,,LATE,EARLY,,,2026119
6893,"Colsaerts, Nicolas",BEL,07:40,12:55,,,10,1,,,EARLY,LATE,,,2026119
30199,"Cossement, Nathan",BEL,12:55,07:40,,,10,1,,,LATE,EARLY,,,2026119
20727,"Coussaud, Ugo",FRA,09:10,14:25,,,10,1,,,EARLY,LATE,,,2026119
27811,"Couvra, Martin",FRA,13:15,08:00,,,1,10,,,LATE,EARLY,,,2026119
23610,"Crocker, Sean",USA,13:55,08:40,,,1,10,,,LATE,EARLY,,,2026119
27149,"Da Costa Rodrigues, Daniel",POR,12:55,07:40,,,1,10,,,LATE,EARLY,,,2026119
17068,"Daffue, MJ",RSA,08:30,13:45,,,10,1,,,EARLY,LATE,,,2026119
14018,"Dantorp, Jens",SWE,14:25,09:10,,,10,1,,,LATE,EARLY,,,2026119
26506,"De Leo, Gregorio",ITA,13:35,08:20,,,10,1,,,LATE,EARLY,,,2026119
27069,"De Schutter, Anthony",BEL,14:35,09:20,,,1,10,,,LATE,EARLY,,,2026119
16497,"Dean, Joe",ENG,14:45,09:30,,,1,10,,,LATE,EARLY,,,2026119
25325,"Debove, Quentin",FRA,12:55,07:40,,,10,1,,,LATE,EARLY,,,2026119
14181,"Detry, Thomas",BEL,13:05,07:50,,,1,10,,,LATE,EARLY,,,2026119
26193,"Ding, Wenyi",CHN,07:30,12:45,,,10,1,,,EARLY,LATE,,,2026119
19421,"Du Plessis, Hennie",RSA,13:35,08:20,,,10,1,,,LATE,EARLY,,,2026119
12988,"Elvira Mijares, Ignacio",ESP,13:25,08:10,,,1,10,,,LATE,EARLY,,,2026119
26008,"Elvira, Manuel",ESP,13:25,08:10,,,10,1,,,LATE,EARLY,,,2026119
21646,"Ferguson, Ewen",SCO,12:55,07:40,,,1,10,,,LATE,EARLY,,,2026119
9396,"Fisher, Ross",ENG,08:10,13:25,,,1,10,,,EARLY,LATE,,,2026119
15211,"Follet-Smith, Benjamin",ZIM,12:55,07:40,,,10,1,,,LATE,EARLY,,,2026119
16475,"Forrest, Grant",SCO,14:35,09:20,,,1,10,,,LATE,EARLY,,,2026119
19806,"Forsstrom, Simon",SWE,08:00,13:15,,,1,10,,,EARLY,LATE,,,2026119
19296,"Gallegos, Andres",ARG,13:35,08:20,,,10,1,,,LATE,EARLY,,,2026119
12258,"Garcia Rodriguez, Sebastian",ESP,14:25,09:10,,,10,1,,,LATE,EARLY,,,2026119
