rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Lindberg, Mikael",22.32,81.4,98.1,0.10291224600000001
2,"Lindell, Oliver",14.81,74.0,97.2,0.12179675300000001
3,"Schmidt, Ben",12.7,70.0,96.6,-0.037114624
4,"De Leo, Gregorio",12.37,70.2,96.5,-0.10165343300000002
5,"Hojgaard, Rasmus",6.84,58.2,94.4,0.23148716100000002
6,"Chacarra, Eugenio",5.17,50.8,93.0,0.23098916800000002
7,"Langasque, Romain",4.56,48.1,92.1,0.054269977
8,"LaCroix, Frederic",3.83,45.0,91.4,-0.192904248
9,"Neergaard-Petersen, Rasmus",2.96,40.0,89.9,0.12224447199999999
10,"Ravetto, David",2.35,35.1,88.3,-0.20607998300000002
11,"Ege, Mats",2.16,35.0,88.1,-0.16500142
12,"Clements, Todd",1.48,29.7,85.6,-0.10424445400000001
13,"Veerman, Johannes",1.21,26.1,84.5,-0.15402441
14,"Wiesberger, Bernd",0.63,17.8,79.3,-0.16650826300000002
15,"Olesen, Thorbjorn",0.6,17.3,78.8,-0.012468785000000003
16,"Sullivan, Andy",0.55,17.0,78.6,-0.029454633
17,"Robinson Thompson, Brandon",0.53,16.4,77.5,-0.113909472
18,"Berry, Joshua",0.43,15.2,76.6,-0.16500142
19,"Guerrier, Julien",0.41,13.5,75.3,-0.031607447
20,"Bjerregaard, Lucas",0.39,12.8,74.9,-0.35531352
21,"Ding, Wenyi",0.39,13.6,75.2,0.06013136400000002
22,"Scrivener, Jason",0.34,12.6,74.1,-0.07512722899999999
23,"Norgaard, Niklas",0.31,11.9,73.1,0.005674160000000001
24,"Lemke, Niklas",0.26,10.0,71.3,-0.323860308
25,"Laporta, Francesco",0.23,9.7,70.8,-0.110485738
26,"Nemecz, Lukas",0.22,9.4,70.4,-0.16500142
27,"Olesen, Jacob Skov",0.17,7.9,67.9,0.129125287
28,"Wilson, Andrew",0.15,7.6,67.3,-0.21803764400000003
29,"Dean, Joe",0.15,7.6,67.0,-0.06694472200000001
30,"Armitage, Marcus",0.13,6.2,64.6,0.019284838000000012
31,"Ayora, Angel",0.08,5.4,62.5,0.10392218
32,"Pepperell, Eddie",0.08,4.2,59.4,-0.065599866
33,"Horsey, David",0.08,5.1,62.0,-0.16500142
34,"Simonsen, Martin",0.08,5.2,62.3,-0.16500142
35,"Axelsen, John",0.07,5.1,61.7,-0.16500142
36,"Sterne, Richard",0.05,3.4,57.4,-0.29060685500000005
37,"Van Tonder, Daniel",0.04,2.0,50.6,-0.16500142
38,"Jamieson, Scott",0.03,2.1,50.2,-0.267991041
39,"Perico, Julian",0.03,2.1,50.1,-0.16500142
40,"Charmasson, Clement",0.03,2.2,50.1,-0.16500142
41,"Premlall, Yurav",0.03,2.2,50.6,-0.16500142
42,"Winther, Jeff",0.03,2.9,54.4,-0.091641084
43,"Bjork, Alexander",0.03,2.1,50.3,-0.16500142
44,"Daffue, MJ",0.03,2.1,50.8,-0.16500142
45,"Buchanan, Jack",0.03,2.1,49.9,-0.16500142
46,"Gallegos, Andres",0.03,2.1,50.3,-0.16500142
47,"Agerschou, Jacob Worm",0.02,2.1,50.3,-0.16500142
48,"Biondi, Fred",0.02,2.2,50.1,-0.16500142
49,"Langfors, Per",0.02,2.0,50.2,-0.16500142
50,"Helligkilde, Marcus",0.02,2.3,50.5,-0.16500142
51,"Del Rey, Alejandro",0.02,1.7,48.0,0.003070424000000002
52,"Zhou, Yanhan",0.02,2.0,50.5,-0.16500142
53,"Halvorsen, Andreas",0.02,1.7,47.2,-0.055777632
54,"Shogenji, Tatsunori",0.02,2.1,50.7,-0.16500142
55,"Albers, Anton",0.02,2.0,50.8,-0.16500142
56,"Bergstrom, Albin",0.02,2.2,50.8,-0.16500142
57,"McKinney, Connor",0.02,1.9,50.6,-0.16500142
58,"Kimsey, Nathan",0.02,2.0,49.0,-0.08282086999999999
59,"Toorop, Mike",0.02,2.2,50.8,-0.16500142
60,"Ferguson, Ewen",0.02,2.5,53.2,0.036034828
61,"Mory, Felix",0.02,1.9,50.5,-0.16500142
62,"Von Dellingshausen, Nicolai",0.02,1.1,42.8,-0.15803282400000002
63,"Jackson, Palmer",0.02,2.1,50.2,-0.16500142
64,"Garcia-Heredia, Alfredo",0.02,1.5,46.5,-0.22631019100000002
65,"Host, August Thor",0.01,2.1,50.6,-0.16500142
66,"Peake, Ryan",0.01,2.1,51.0,-0.16500142
67,"Quayle, Anthony",0.01,2.2,50.4,-0.16500142
68,"Rozner, Antoine",0.01,1.7,48.2,-0.056796173000000005
69,"Debove, Quentin",0.01,2.1,50.4,-0.16500142
70,"Bradbury, Dan",0.01,0.7,38.1,-0.166021681
71,"Vidal, Quim",0.01,2.0,50.1,-0.16500142
72,"Sekne, Herman Wibe",0.01,1.2,45.0,-0.16500142
73,"Hill, Calum",0.01,2.0,50.4,0.173469273
74,"Surratt, Caleb",0.01,1.8,48.9,0.152181684
75,"Sandhu, Yuvraj Singh",0.01,2.1,50.6,-0.16500142
76,"Ejlersen, Anders Emil",0.01,2.0,50.4,-0.16500142
77,"Yule, Jack",0.01,2.0,50.0,-0.16500142
78,"Guillamoundeguy, Oihan",0.01,1.2,43.5,-0.009173700999999992
79,"Schneider, Marcel",0.01,0.4,33.4,-0.13899215500000003
80,"Mjaaseth, Michael",0.01,1.2,45.1,-0.16500142
81,"Crocker, Sean",0.01,0.4,33.0,-0.325651774
82,"Kaewkanjana, Sadom",0.01,0.4,32.4,-0.10996898400000002
83,"Jordan, Matthew",0.01,1.0,42.1,-0.203211113
84,"Luiten, Joost",0.01,1.8,49.1,-0.103942789
85,"Johannessen, Kristian K.",0.0,0.4,33.0,-0.16500142
86,"Hidalgo, Angel",0.0,0.5,36.5,-0.139722956
87,"Cabrera Bello, Rafa",0.0,0.9,40.4,-0.21325471600000004
88,"Gouveia, Ricardo",0.0,0.2,30.0,-0.09810498200000001
89,"Lee, K.H.",0.0,0.1,22.9,-0.370584234
90,"Manassero, Matteo",0.0,0.6,37.4,-0.37213165800000003
91,"Jonsson, Tobias",0.0,0.2,27.3,-0.294249413
92,"Micheluzzi, David",0.0,0.1,23.4,-0.313274535
93,"Siem, Marcel",0.0,0.7,37.5,-0.430083258
94,"Watson, Bubba",0.0,1.2,45.6,-0.056568223
95,"Stenson, Henrik",0.0,0.3,29.8,-0.46111186200000004
96,"Ramsay, Richie",0.0,0.5,36.5,-0.22939232199999998
97,"Lagergren, Joakim",0.0,0.3,31.2,-0.05676605300000001
98,"Baldwin, Matthew",0.0,0.0,9.6,-0.40726138
99,"Aphibarnrat, Kiradech",0.0,0.1,24.0,-0.12374987500000001
100,"Arnaus, Adri",0.0,0.0,12.5,-0.20298910800000003
101,"Adam, Cameron",0.0,0.1,24.7,-0.22385227800000002
102,"Bairstow, Sam",0.0,0.0,21.0,-0.131351598
103,"Cantero Gutierrez, Ivan",0.0,0.2,28.9,-0.220394066
104,"Celli, Filippo",0.0,0.0,14.6,-0.11311189699999998
105,"Dantorp, Jens",0.0,0.2,29.1,-0.16500142
106,"Brown, Hamish",0.0,0.0,2.1,-0.168282416
107,"Follet-Smith, Benjamin",0.0,0.0,4.7,-0.565645766
108,"Fisher, Ross",0.0,0.1,25.7,-0.34805647400000006
109,"Girrbach, Joel",0.0,0.1,20.2,-0.32814545300000003
110,"Gavins, Daniel",0.0,0.0,2.8,-0.9058869679999999
111,"Green, Gavin",0.0,0.0,10.3,-0.509199427
112,"Gumberg, Jordan",0.0,0.0,17.7,-0.307775674
113,"Lombard, Zander",0.0,0.0,5.0,-0.379882901
114,"Levy, Alexander",0.0,0.0,9.7,-0.127995871
115,"Lee, Junghwan",0.0,0.2,26.0,-0.16130289500000003
116,"Law, David",0.0,0.1,23.2,-0.136383984
117,"Ko, Jeong Weon",0.0,1.0,41.5,-0.15379523499999997
118,"Hebert, Benjamin",0.0,0.0,11.7,-0.16500142
119,"Jacobsen, Christian",0.0,0.0,14.7,-0.16500142
120,"Johnston, Ryggs",0.0,0.1,18.0,-0.36459866800000007
121,"Frittelli, Dylan",0.0,0.0,21.3,-0.228268945
122,"Forsstrom, Simon",0.0,0.0,4.3,-0.5337419860000001
123,"Molinari, Edoardo",0.0,0.1,20.8,-0.365790306
124,"Morrison, James",0.0,0.0,12.4,-0.28285366900000003
125,"Naidoo, Dylan",0.0,0.0,12.1,-0.416945224
126,"Otaegui, Adrian",0.0,0.2,28.0,-0.322757553
127,"Paratore, Renato",0.0,0.0,8.0,-0.13097190999999997
128,"Paul, Yannik",0.0,0.0,17.9,-0.28818509000000003
129,"Schott, Freddy",0.0,0.0,9.9,-0.11482113799999999
130,"Rodrigues, Daniel",0.0,0.5,34.5,-0.148061659
131,"Repetto Taylor, Rocco",0.0,0.2,24.9,-0.28881577999999997
132,"Stone, Brandon",0.0,0.1,21.3,-0.18308473300000003
133,"Sharma, Shubhankar",0.0,1.3,44.6,-0.21925530099999999
134,"Senior, Jack",0.0,0.1,20.0,-0.322309889
135,"Soderberg, Sebastian",0.0,0.1,24.8,-0.23285057800000003
