rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Hatton, Tyrrell",6.41,32.7,74.3,0.0
2,"Wallace, Matt",4.06,25.6,69.4,0.0
3,"Reed, Patrick",3.67,23.8,68.1,0.0
4,"McKibbin, Tom",3.09,21.7,66.7,0.0
5,"Chacarra, Eugenio",3.03,20.6,65.2,0.0
6,"Hall, Harry",2.99,21.4,65.6,0.0
7,"Lindell, Oliver",2.9,20.5,65.1,0.0
8,"Penge, Marco",2.6,18.7,63.4,0.0
9,"Ayora, Angel",2.26,17.0,61.9,0.0
10,"Nakajima, Keita",2.18,16.6,61.1,0.0
11,"Jarvis, Casey",2.16,17.2,61.7,0.0
12,"Parry, John",1.57,13.9,58.3,0.0
13,"Hillier, Daniel",1.57,14.1,58.6,0.0
14,"Schaper, Jayden",1.37,12.8,57.3,0.0
15,"Du Plessis, Hennie",1.34,13.0,56.8,0.0
16,"Ferguson, Ewen",1.32,11.8,55.9,0.0
17,"Olesen, Jacob Skov",1.3,12.9,56.2,0.0
18,"Mjaaseth, Michael",1.11,10.1,52.8,0.0
19,"McCullen, Haydn",1.1,10.5,53.5,0.0
20,"Buchanan, Jack",1.08,10.1,52.5,0.0
21,"McKinney, Connor",1.08,10.6,52.8,0.0
22,"De Jager, Louis",1.07,10.5,52.8,0.0
23,"Quayle, Anthony",1.07,10.6,53.1,0.0
24,"Donald, Luke",1.06,10.7,53.6,0.0
25,"Loft, Jordan",1.04,10.4,53.0,0.0
26,"Rozner, Antoine",1.04,10.7,53.4,0.0
27,"Olesen, Thorbjorn",1.04,10.4,53.0,0.0
28,"Toorop, Mike",1.03,10.3,53.6,0.0
29,"Van Tonder, Daniel",1.02,10.6,53.4,0.0
30,"Peake, Ryan",1.02,10.6,53.3,0.0
31,"Debove, Quentin",1.02,10.5,53.2,0.0
32,"Biondi, Fred",1.02,10.3,53.1,0.0
33,"Helligkilde, Marcus",1.0,10.2,53.0,0.0
34,"Berry, Joshua",1.0,10.1,52.8,0.0
35,"Bergstrom, Albin",0.99,10.6,53.3,0.0
36,"Vidal, Quim",0.98,10.4,53.2,0.0
37,"Sandhu, Yuvraj Singh",0.98,10.3,53.2,0.0
38,"Rosenmueller, Thomas",0.95,10.0,52.4,0.0
39,"Gough, John",0.95,10.6,53.1,0.0
40,"Fdez-Castano, Gonzalo",0.95,10.3,52.8,0.0
41,"Gallegos, Andres",0.94,10.2,53.4,0.0
42,"Brown, Dan",0.94,9.7,51.2,0.0
43,"Smith, Harley",0.93,10.2,52.8,0.0
44,"Guerrier, Julien",0.82,8.2,49.8,0.0
45,"Jordan, Matthew",0.8,8.6,49.5,0.0
46,"Armitage, Marcus",0.79,8.2,49.4,0.0
47,"Hill, Calum",0.76,8.2,48.7,0.0
48,"Campillo, Jorge",0.73,8.5,50.1,0.0
49,"Langasque, Romain",0.73,8.0,48.5,0.0
50,"Kobori, Kazuma",0.72,7.8,48.2,0.0
51,"Wiesberger, Bernd",0.71,7.6,48.1,0.0
52,"Lindberg, Mikael",0.65,7.6,48.0,0.0
53,"Kaneko, Kota",0.64,7.2,47.1,0.0
54,"Clements, Todd",0.62,7.3,47.5,0.0
55,"Guillamoundeguy, Oihan",0.61,7.8,49.1,0.0
56,"Coussaud, Ugo",0.56,7.1,46.7,0.0
57,"Pavon, Matthieu",0.56,7.2,47.5,0.0
58,"Sullivan, Andy",0.55,6.9,46.6,0.0
59,"Del Rey, Alejandro",0.55,6.6,46.4,0.0
60,"Ritchie, JC",0.53,6.3,45.4,0.0
61,"Elvira, Manuel",0.53,6.3,45.2,0.0
62,"Van Rooyen, Erik",0.5,6.3,45.2,0.0
63,"Li, Haotong",0.49,6.5,46.5,0.0
64,"Zhou, Yanhan",0.49,6.0,44.7,0.0
65,"Vaillant, Tom",0.48,6.3,45.0,0.0
66,"Bradbury, Dan",0.48,6.1,44.4,0.0
67,"Dean, Joe",0.46,6.0,43.9,0.0
68,"Bryant, Davis",0.44,5.6,43.2,0.0
69,"Stone, Brandon",0.38,4.9,42.2,0.0
70,"Schott, Freddy",0.38,5.1,42.5,0.0
71,"Ravetto, David",0.38,4.7,41.5,0.0
72,"Laporta, Francesco",0.37,5.4,43.7,0.0
73,"Migliozzi, Guido",0.37,5.2,42.7,0.0
74,"Waring, Paul",0.37,5.1,42.9,0.0
75,"Norris, Shaun",0.36,4.9,42.2,0.0
76,"Winther, Jeff",0.36,5.8,43.7,0.0
77,"Luiten, Joost",0.36,5.1,43.1,0.0
78,"Forrest, Grant",0.33,4.5,40.7,0.0
79,"Manassero, Matteo",0.31,4.9,42.5,0.0
80,"Elvira Mijares, Ignacio",0.3,4.6,40.5,0.0
81,"De Leo, Gregorio",0.29,4.5,41.2,0.0
82,"LaCroix, Frederic",0.29,4.0,39.4,0.0
83,"Bairstow, Sam",0.27,4.0,39.1,0.0
84,"Pepperell, Eddie",0.27,4.2,39.7,0.0
85,"Van Driel, Darius",0.26,4.7,41.3,0.0
86,"Scrivener, Jason",0.26,4.4,39.7,0.0
87,"Lagergren, Joakim",0.26,3.8,38.4,0.0
88,"Lawrence, Thriston",0.26,4.0,38.9,0.0
89,"Frittelli, Dylan",0.26,3.5,37.4,0.0
90,"Norgaard, Niklas",0.26,4.5,40.6,0.0
91,"Halvorsen, Andreas",0.25,3.7,38.5,0.0
92,"Katsuragawa, Yuto",0.25,3.2,36.8,0.0
93,"Girrbach, Joel",0.25,3.4,37.9,0.0
94,"Steinlechner, Maximilian",0.25,4.0,38.8,0.0
95,"Celli, Filippo",0.25,4.1,39.4,0.0
96,"Robinson Thompson, Brandon",0.24,3.9,38.0,0.0
97,"Daffue, MJ",0.23,3.8,39.1,0.0
98,"Mansell, Richard",0.23,3.8,38.7,0.0
99,"Kinhult, Marcus",0.23,2.9,35.8,0.0
100,"Hollick, Michael",0.23,3.8,39.2,0.0
101,"Law, David",0.22,3.3,37.0,0.0
102,"Hidalgo, Angel",0.22,3.8,38.4,0.0
103,"Aphibarnrat, Kiradech",0.21,3.8,38.7,0.0
104,"Soderberg, Sebastian",0.2,3.5,36.9,0.0
105,"Ding, Wenyi",0.19,3.2,36.5,0.0
106,"Mazzoli, Stefano",0.19,3.2,36.2,0.0
107,"Rodrigues, Daniel",0.18,3.0,36.0,0.0
108,"Willett, Danny",0.17,2.4,33.2,0.0
109,"Wu, Ashun",0.17,3.0,35.4,0.0
110,"Kaewkanjana, Sadom",0.17,2.6,34.0,0.0
111,"Schmidt, Ben",0.16,3.3,36.6,0.0
112,"Mory, Felix",0.16,2.6,34.7,0.0
113,"Hoshino, Rikuya",0.16,2.3,33.1,0.0
114,"Meronk, Adrian",0.15,2.9,35.1,0.0
115,"Dantorp, Jens",0.15,2.6,33.8,0.0
116,"Crocker, Sean",0.15,2.5,33.3,0.0
117,"Levy, Alexander",0.14,2.5,33.1,0.0
118,"Gumberg, Jordan",0.12,2.4,32.3,0.0
119,"Adam, Cameron",0.12,1.8,30.0,0.0
120,"Paratore, Renato",0.11,2.0,30.8,0.0
121,"Walker, Euan",0.11,2.1,32.0,0.0
122,"Townsend, Hugo",0.11,2.3,32.9,0.0
123,"Lemke, Niklas",0.1,2.0,31.0,0.0
124,"Fisher, Ross",0.09,1.9,31.4,0.0
125,"Jamieson, Scott",0.09,1.4,27.2,0.0
126,"Schneider, Marcel",0.09,2.6,33.8,0.0
127,"Garcia Rodriguez, Sebastian",0.08,1.6,29.1,0.0
128,"Jonsson, Tobias",0.08,1.7,28.7,0.0
129,"Cantero Gutierrez, Ivan",0.07,1.6,28.6,0.0
130,"Cabrera Bello, Rafa",0.07,2.0,31.0,0.0
131,"Lee, K.H.",0.07,1.9,30.8,0.0
132,"Senior, Jack",0.07,1.2,27.3,0.0
133,"Lombard, Zander",0.07,1.5,28.0,0.0
134,"Veerman, Johannes",0.06,1.2,26.5,0.0
135,"List, Luke",0.06,1.6,28.4,0.0
136,"Morrison, James",0.06,1.1,24.8,0.0
137,"Premlall, Yurav",0.05,1.2,25.4,0.0
138,"Repetto Taylor, Rocco",0.05,1.2,26.8,0.0
139,"Zanotti, Fabrizio",0.04,1.0,25.5,0.0
140,"Baldwin, Matthew",0.04,1.0,24.1,0.0
141,"Lee, Junghwan",0.04,1.3,26.1,0.0
142,"Young, Daniel",0.04,1.1,25.4,0.0
143,"Arnaus, Adri",0.04,1.1,24.9,0.0
144,"Charmasson, Clement",0.04,0.8,23.3,0.0
145,"Micheluzzi, David",0.04,0.6,19.8,0.0
146,"Ko, Jeong Weon",0.04,0.7,22.1,0.0
147,"Syme, Connor",0.03,0.6,20.4,0.0
148,"Larrazabal, Pablo",0.03,0.6,20.6,0.0
149,"Molinari, Edoardo",0.03,0.5,20.8,0.0
150,"Johnston, Ryggs",0.03,0.7,22.1,0.0
151,"Sharma, Shubhankar",0.03,0.7,22.5,0.0
152,"Siem, Marcel",0.02,1.0,24.2,0.0
153,"Naidoo, Dylan",0.01,0.4,17.4,0.0
154,"Capan III, Frankie",0.0,0.4,19.0,0.0
155,"Follet-Smith, Benjamin",0.0,0.3,15.4,0.0
156,"Gavins, Daniel",0.0,0.0,2.6,0.0
