rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Gerard, Ryan",21.81,71.8,95.6,0.373161189639879
2,"Lowry, Shane",20.29,70.3,95.4,0.4386051299204571
3,"Hadwin, Adam",6.56,44.3,88.3,0.23548036422252897
4,"Yu, Kevin",5.48,40.9,87.6,0.39279293061658016
5,"Kirk, Chris",4.08,34.6,84.8,0.08035423080742116
6,"Mitchell, Keith",3.61,32.4,83.6,0.3134588568637543
7,"Berger, Daniel",3.19,30.5,83.1,0.2590237648978524
8,"Putnam, Andrew",2.22,25.2,80.3,0.062256485801186257
9,"Thorbjornsen, Michael",2.13,23.8,79.1,-0.01650102133420983
10,"Bezuidenhout, Christiaan",1.46,19.4,76.0,0.09895909942278983
11,"Koepka, Brooks",1.45,19.8,75.9,0.23367140178579565
12,"Hojgaard, Nicolai",1.25,17.4,73.9,0.018008674623600097
13,"Smalley, Alex",1.19,16.0,72.9,0.4481190683638898
14,"Ryder, Sam",1.14,17.2,74.2,0.05899016877863487
15,"Hoey, Rico",1.05,15.8,73.0,0.345874512760288
16,"Wise, Aaron",0.92,14.9,71.9,0.05582670787279331
17,"Clanton, Luke",0.9,14.5,71.2,0.09886864804844253
18,"Svensson, Jesper",0.89,14.7,71.7,-0.10481018431689348
19,"Stanger, Jimmy",0.84,13.3,70.0,0.05582670787279331
20,"Horschel, Billy",0.83,15.2,71.9,0.07525196793399085
21,"Jaeger, Stephan",0.81,12.9,69.4,0.0527799298295002
22,"Hojgaard, Rasmus",0.76,13.9,70.8,0.15230568880994205
23,"Ghim, Doug",0.76,12.3,68.4,0.22768915085797156
24,"Kim, Chan",0.75,12.9,69.9,0.05667145553139645
25,"Higgo, Garrick",0.72,12.7,69.3,-0.19801540135946608
26,"Thompson, Davis",0.7,13.5,70.2,0.47167338231810874
27,"Neergaard-Petersen, Rasmus",0.63,11.9,68.4,0.17648778321419017
28,"Hossler, Beau",0.61,11.6,67.5,-0.10039104185142918
29,"Hodges, Lee",0.58,10.5,66.8,0.0652109552980541
30,"McGreevy, Max",0.57,10.5,66.4,0.10189845286190707
31,"Eckroat, Austin",0.57,11.9,68.5,0.29176578521169283
32,"Zalatoris, Will",0.5,10.3,65.4,0.19885154821419015
33,"Whaley, Vince",0.46,9.0,64.0,-0.14544887307760856
34,"Reitan, Kristoffer",0.44,8.9,64.1,0.04784671021419018
35,"Smith, Jordan",0.38,8.7,63.8,0.13284724621419014
36,"Parry, John",0.38,9.1,64.2,0.15899795221419016
37,"Roy, Kevin",0.36,8.5,62.9,0.2489382617946029
38,"Li, Haotong",0.35,8.2,62.7,0.13570973121419017
39,"Vilips, Karl",0.33,7.0,60.7,0.08958482514828245
40,"Garnett, Brice",0.33,6.5,58.8,0.0409972119986939
41,"Dahmen, Joel",0.3,6.2,58.4,0.24745934946520048
42,"Salinda, Isaiah",0.29,7.3,60.9,0.28272583213856006
43,"Cole, Eric",0.28,7.1,59.9,0.12372690368611786
44,"Castillo, Ricky",0.26,6.8,59.4,0.27293836392196036
45,"Olesen, Thorbjorn",0.26,6.2,59.0,0.38166025314104096
46,"Valimaki, Sami",0.24,6.4,59.2,0.2654934451447244
47,"Homa, Max",0.23,6.1,58.4,0.08169976221419017
