rank,player_name,p_win_%,p_top10_%,p_mc_%,r1_teetime,r2_teetime,course_fit_score
1,"Scheffler, Scottie",39.0,87.5,98.8,08:52,13:42,0.5260981841417094
2,"Cauley, Bud",9.11,57.6,94.6,07:52,12:42,0.5304966912861941
3,"Kim, Si Woo",3.99,39.5,90.5,08:40,13:30,0.354973356034844
4,"Berger, Daniel",3.86,39.5,90.4,07:52,12:42,0.2156846242929881
5,"Lee, Min Woo",3.69,38.9,90.6,13:54,09:04,0.474288794263153
6,"Bhatia, Akshay",3.21,36.7,89.6,08:28,13:18,0.29367125210222145
7,"McIlroy, Rory",3.16,35.5,89.3,13:42,08:52,0.1698662211635295
8,"Lowry, Shane",3.14,36.8,89.4,13:18,08:28,0.13975818340885499
9,"Matsuyama, Hideki",2.93,34.6,89.0,13:42,08:52,0.27293862871007224
10,"Fleetwood, Tommy",2.71,33.1,88.5,08:52,13:42,0.3671381312380265
11,"Morikawa, Collin",2.4,31.2,87.6,08:40,13:30,0.4463213665886727
12,"Knapp, Jake",2.18,29.3,86.8,09:16,14:06,-0.11713856487512268
13,"McCarty, Matt",2.13,29.5,86.6,08:40,13:30,0.5464655831561975
14,"Aberg, Ludvig",2.0,28.3,86.1,08:40,13:30,0.5149377870620168
15,"Conners, Corey",1.75,26.2,85.5,14:06,09:16,0.31882905923956134
16,"Walker, Danny",1.42,22.4,83.4,08:04,12:54,0.10086796000347564
17,"Rai, Aaron",1.34,22.1,82.5,14:06,09:16,0.6778526894035607
18,"Henley, Russell",1.04,19.8,81.7,09:04,13:54,0.233592993639674
19,"Fitzpatrick, Matt",0.85,17.7,79.9,09:04,13:54,0.39204331634689127
20,"Straka, Sepp",0.69,14.9,77.9,13:18,08:28,0.20520067214977167
21,"English, Harris",0.68,15.7,78.4,09:16,14:06,0.08948188607213628
22,"Kitayama, Kurt",0.67,15.7,78.7,13:06,08:16,0.23427164898782155
23,"Gerard, Ryan",0.6,13.5,76.8,08:28,13:18,0.30120744581571945
24,"Schauffele, Xander",0.6,12.9,75.9,13:42,08:52,-0.041364713720423336
25,"Hovland, Viktor",0.5,12.8,75.8,09:04,13:54,0.5504275549948889
26,"Thomas, Justin",0.46,11.9,75.0,08:52,13:42,0.17837326803443193
27,"Bezuidenhout, Christiaan",0.44,11.6,74.5,08:04,12:54,0.016404665598066984
28,"Hoey, Rico",0.42,11.4,74.0,07:40,12:30,0.7648121998472281
29,"Bridgeman, Jacob",0.37,9.4,71.0,13:06,08:16,0.2772663503073608
30,"MacIntyre, Robert",0.31,9.4,70.6,09:04,13:54,-0.036332202172981526
31,"Spaun, J.J.",0.28,7.9,68.6,13:18,08:28,0.32811791319621286
32,"Hoge, Tom",0.27,9.4,71.2,12:30,07:40,0.12886601988972757
33,"Bradley, Keegan",0.23,7.7,69.1,13:18,08:28,0.15203173539466044
34,"Fox, Ryan",0.21,8.0,69.1,13:18,08:28,-0.18322357706326697
35,"Griffin, Ben",0.19,6.8,67.0,13:06,08:16,-0.19782616157356536
36,"Noren, Alex",0.19,7.2,68.0,08:16,13:06,-0.041536556968693183
37,"Cantlay, Patrick",0.19,6.1,65.8,08:28,13:18,0.13726495063494343
38,"Day, Jason",0.18,7.7,69.0,14:06,09:16,0.005524123822639879
39,"Harman, Brian",0.18,6.7,65.9,08:52,13:42,0.31243279237949595
40,"Meissner, Mac",0.18,6.7,66.9,07:40,12:30,0.01293184389209936
41,"Young, Cameron",0.16,5.9,65.5,13:54,09:04,-0.00492675754894667
42,"Smotherman, Austin",0.15,5.5,63.5,14:18,09:28,0.07220154677966417
43,"Clark, Wyndham",0.13,5.3,63.3,13:30,08:40,0.05121655491336646
44,"Im, Sungjae",0.13,5.6,64.9,09:16,14:06,0.25611068706313267
45,"McCarthy, Denny",0.12,6.0,65.5,12:30,07:40,0.07160880297392261
46,"Dahmen, Joel",0.11,4.3,61.3,12:54,08:04,0.22088131273992606
47,"Thompson, Davis",0.1,5.5,64.6,13:54,09:04,0.2608669923211052
48,"Coody, Pierceson",0.09,4.0,60.5,12:54,08:04,0.1213267678788147
49,"Rose, Justin",0.08,3.4,58.3,13:54,09:04,0.27249913665849085
50,"Glover, Lucas",0.07,3.5,58.1,09:04,13:54,0.30135258205827054
51,"Taylor, Nick",0.07,3.0,56.4,13:30,08:40,0.07279429058540575
52,"Spieth, Jordan",0.07,3.0,56.7,13:30,08:40,0.11749524318431104
53,"Pendrith, Taylor",0.06,2.8,55.7,08:16,13:06,0.13964128387937563
54,"Highsmith, Joe",0.06,3.3,57.9,13:42,08:52,0.007081374860057693
55,"Smalley, Alex",0.05,3.0,57.0,12:54,08:04,0.04150574984440361
56,"Mitchell, Keith",0.05,2.9,55.9,12:42,07:52,-0.00751035168803596
57,"Castillo, Ricky",0.04,2.6,54.3,08:28,13:18,0.6520525989527004
58,"Reitan, Kristoffer",0.04,1.8,50.4,08:04,12:54,0.025367965878814694
59,"Thorbjornsen, Michael",0.04,2.6,54.4,07:52,12:42,0.09922439987881469
60,"McNealy, Maverick",0.04,2.8,55.9,08:52,13:42,0.08765397832074956
61,"Moore, Taylor",0.04,2.2,52.2,12:54,08:04,0.060082831723905814
62,"Homa, Max",0.04,2.3,53.5,07:52,12:42,-0.15716860658322468
63,"Olesen, Thorbjorn",0.03,2.2,52.1,07:40,12:30,0.0978771998788147
64,"Burns, Sam",0.03,2.7,55.3,13:54,09:04,0.06387918349828473
65,"Penge, Marco",0.03,1.8,50.9,12:42,07:52,0.0582918678788147
66,"Li, Haotong",0.03,1.5,48.6,09:28,14:18,0.07005077887881468
67,"Theegala, Sahith",0.03,1.5,48.8,13:30,08:40,0.05027834273048824
68,"Smith, Jordan",0.02,1.8,49.9,09:28,14:18,0.08334213287881469
69,"Schmid, Matti",0.02,1.5,47.6,14:18,09:28,0.09430835106278149
70,"Gotterup, Chris",0.02,1.5,47.7,13:54,09:04,-0.2561299423562576
71,"Fowler, Rickie",0.02,1.5,46.3,13:30,08:40,0.04485172601827676
72,"Scott, Adam",0.02,2.1,53.1,13:06,08:16,-0.028004728492871847
73,"Jaeger, Stephan",0.02,1.5,47.8,13:06,08:16,-0.12142645433873511
74,"Poston, J.T.",0.02,1.5,48.2,09:16,14:06,-0.10502408754742036
75,"Mouw, William",0.01,0.6,39.2,13:42,08:52,-0.0018903921211853164
76,"Higgo, Garrick",0.01,1.0,42.8,08:40,13:30,0.10114958134104587
77,"Kirk, Chris",0.01,1.6,48.0,13:18,08:28,0.19705741613970434
78,"Bauchou, Zach",0.01,0.6,38.4,14:30,09:40,0.07220154677966417
79,"Power, Seamus",0.01,0.5,35.4,09:28,14:18,0.09277182439855383
