rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",62.0,98.8,100.0,0.45013187238151786
2,"Aberg, Ludvig",13.89,87.2,99.7,0.4782904352659427
3,"Morikawa, Collin",6.91,75.8,99.4,0.4267730556430719
4,"McIlroy, Rory",4.9,70.4,99.2,0.19448751629952665
5,"Rahm, Jon",4.04,65.2,98.8,0.389646452271984
6,"Schauffele, Xander",1.7,51.0,98.0,0.19877974062734283
7,"Fleetwood, Tommy",1.54,48.7,97.7,0.47250470499818165
8,"Fitzpatrick, Matt",0.84,39.0,96.7,0.34873395898605697
9,"Reed, Patrick",0.82,38.4,96.4,0.20523267385594657
10,"Matsuyama, Hideki",0.42,25.0,93.8,0.21697535769695808
11,"Henley, Russell",0.31,24.8,93.6,0.431388257921899
12,"Young, Cameron",0.27,21.8,92.7,0.4607507416445753
13,"McCarty, Matt",0.27,18.4,91.4,0.08172317453635897
14,"DeChambeau, Bryson",0.22,21.5,93.0,0.27913613188213887
15,"Im, Sungjae",0.22,16.7,90.8,0.19568075464170545
16,"Cantlay, Patrick",0.17,18.2,91.5,0.33978199603453385
17,"Hovland, Viktor",0.17,18.4,91.9,0.2860029304308532
18,"Kim, Si Woo",0.13,15.9,90.7,0.3473479808322046
19,"Lowry, Shane",0.13,16.3,90.9,0.31612791939265594
20,"Spieth, Jordan",0.09,11.8,87.9,0.1817990416147201
21,"English, Harris",0.08,12.2,88.6,0.13518987515961683
22,"McNealy, Maverick",0.07,11.6,88.0,0.17447576919255867
23,"Rai, Aaron",0.07,9.4,86.4,0.5433470555517779
24,"Rose, Justin",0.07,11.6,88.0,0.02082253035384149
25,"Lee, Min Woo",0.07,11.0,87.6,0.29847506629732873
26,"Conners, Corey",0.07,10.2,86.9,0.20222947141594882
27,"MacIntyre, Robert",0.06,9.9,86.8,0.17747236166676478
28,"Smith, Cameron",0.05,9.3,86.4,-0.25431535253302595
29,"Day, Jason",0.05,10.0,86.3,-0.07059445210402182
30,"Hojgaard, Nicolai",0.04,7.4,83.6,0.16538010139240217
31,"Bradley, Keegan",0.04,7.0,83.5,-0.008183595058064864
32,"Bridgeman, Jacob",0.03,6.9,83.5,0.17048114104306644
33,"Griffin, Ben",0.03,4.0,78.8,0.17098985804306646
34,"Bhatia, Akshay",0.02,5.4,80.6,-0.009427884245153118
35,"Stevens, Sam",0.02,4.3,78.9,0.13675204104306646
36,"Thomas, Justin",0.02,5.9,82.3,-0.1496990507640909
37,"Kim, Michael",0.02,5.6,80.8,-0.33732228306422285
38,"Hall, Harry",0.02,3.6,77.1,0.16684082604306644
39,"Straka, Sepp",0.02,5.1,80.4,0.09409485045619059
40,"Hojgaard, Rasmus",0.01,5.0,79.9,0.13518167166861708
41,"Gotterup, Chris",0.01,5.3,80.5,0.14909642104306647
42,"Koepka, Brooks",0.01,3.0,75.6,0.04335767104846759
43,"Gerard, Ryan",0.01,5.0,80.2,0.15726452704306645
44,"Homa, Max",0.01,3.1,75.6,-0.052723330335647946
45,"Neergaard-Petersen, Rasmus",0.01,1.3,66.5,0.06770967604306645
46,"Riley, Davis",0.01,1.7,69.7,-0.011554999923695838
47,"Berger, Daniel",0.01,1.0,64.4,0.07990171970861314
48,"Kitayama, Kurt",0.01,1.1,64.7,0.2696842414562634
49,"Spaun, J.J.",0.0,3.5,76.9,0.3626139352254959
50,"Valimaki, Sami",0.0,0.8,60.1,0.05554867104306646
51,"Reitan, Kristoffer",0.0,1.2,66.9,0.03551622204306645
52,"Clark, Wyndham",0.0,0.4,54.4,0.2054017078636298
53,"Greyserman, Max",0.0,2.9,75.1,0.1083239189644595
54,"Burns, Sam",0.0,2.3,73.5,0.33153088997099034
55,"Holtz, Brandon",0.0,0.6,60.0,0.1255341589592563
56,"Harman, Brian",0.0,0.3,51.4,0.08120580559741335
57,"Hatton, Tyrrell",0.0,3.1,75.4,0.11658706355252657
58,"Novak, Andrew",0.0,1.2,64.9,0.07956829404306646
59,"Fox, Ryan",0.0,3.7,77.1,-0.10219079467458597
60,"Keefer, Johnny",0.0,1.4,67.1,0.049478331043066454
61,"Penge, Marco",0.0,2.7,73.6,0.06181659104306646
62,"Echavarria, Nico",0.0,0.0,33.6,-0.12430059219559232
63,"Couples, Fred",0.0,0.0,30.6,0.1255341589592563
64,"Campbell, Brian",0.0,0.2,46.3,0.12744757787544608
65,"Brennan, Michael",0.0,0.7,59.3,0.1255341589592563
66,"Cabrera, Angel",0.0,0.0,14.0,0.1255341589592563
67,"Fang, Ethan",0.0,0.6,59.2,0.1255341589592563
68,"Garcia, Sergio",0.0,0.4,54.3,-0.04089853730437258
69,"Howell, Mason",0.0,0.7,60.0,0.1255341589592563
70,"Herrington, Jackson",0.0,0.7,59.5,0.1255341589592563
71,"Li, Haotong",0.0,1.5,68.1,0.06267333704306646
72,"Jarvis, Casey",0.0,1.8,69.7,0.08097492604306646
73,"Johnson, Dustin",0.0,0.2,45.3,-0.20419172927947205
74,"Johnson, Zach",0.0,0.7,60.0,0.03681126026974077
75,"Kataoka, Naoyuki",0.0,0.6,60.0,0.1255341589592563
76,"McKibbin, Tom",0.0,1.5,68.2,0.07079642604306646
77,"Knapp, Jake",0.0,0.3,50.6,-0.005403173191889765
78,"Laopakdee, Fifa",0.0,0.6,60.2,0.1255341589592563
79,"Olazabal, Jose Maria",0.0,0.0,21.3,0.1255341589592563
80,"Pulcini, Mateo",0.0,0.6,60.0,0.1255341589592563
81,"Ortiz, Carlos",0.0,1.8,70.4,0.12362074004306647
82,"Potgieter, Aldrich",0.0,0.0,28.7,0.3637474962380213
83,"Noren, Alex",0.0,0.0,33.5,-0.6862320018961962
84,"Scott, Adam",0.0,1.4,67.6,-0.013150035207621327
85,"Schwartzel, Charl",0.0,0.2,49.0,-0.17606740302501978
86,"Singh, Vijay",0.0,0.0,21.1,0.1255341589592563
87,"Taylor, Nick",0.0,0.1,42.4,0.11811555399393862
88,"Watson, Bubba",0.0,0.1,43.3,0.027780789500748942
89,"Weir, Mike",0.0,0.2,47.6,0.1255341589592563
90,"Willett, Danny",0.0,0.0,35.7,-0.24457803765327127
91,"Woodland, Gary",0.0,0.6,58.6,-0.03802630125289859
