rank,player_name,p_win_%,p_top10_%,p_mc_%,course_fit_score
1,"Scheffler, Scottie",16.38,56.8,88.7,0.0
2,"Lee, Min Woo",4.85,30.4,77.4,0.0
3,"Gerard, Ryan",2.77,21.6,70.8,0.0
4,"Kitayama, Kurt",2.64,20.5,69.8,0.0
5,"Fowler, Rickie",2.49,20.3,69.7,0.0
6,"Knapp, Jake",2.45,20.0,69.9,0.0
7,"Hojgaard, Nicolai",2.28,18.3,67.8,0.0
8,"Burns, Sam",2.17,18.8,68.3,0.0
9,"Gotterup, Chris",2.13,18.6,68.3,0.0
10,"Griffin, Ben",2.11,17.6,67.5,0.0
11,"English, Harris",2.1,18.6,68.1,0.0
12,"Hall, Harry",1.78,16.2,65.9,0.0
13,"Thorbjornsen, Michael",1.74,16.5,65.7,0.0
14,"Theegala, Sahith",1.69,15.0,64.6,0.0
15,"Pendrith, Taylor",1.63,15.6,65.7,0.0
16,"Stevens, Sam",1.61,15.4,64.9,0.0
17,"Lowry, Shane",1.6,15.2,64.7,0.0
18,"Mitchell, Keith",1.49,14.7,64.0,0.0
19,"Scott, Adam",1.42,15.2,64.9,0.0
20,"Hojgaard, Rasmus",1.32,12.6,61.7,0.0
21,"McCarty, Matt",1.18,12.0,61.1,0.0
22,"Coody, Pierceson",1.17,12.6,61.5,0.0
23,"Meissner, Mac",1.08,11.4,60.0,0.0
24,"Thompson, Davis",1.08,12.3,61.2,0.0
25,"Smalley, Alex",1.05,11.8,60.2,0.0
26,"Rai, Aaron",1.04,11.4,59.9,0.0
27,"Castillo, Ricky",1.03,11.2,59.6,0.0
28,"Bezuidenhout, Christiaan",1.01,11.7,60.0,0.0
29,"Zalatoris, Will",0.99,11.4,59.9,0.0
30,"McGreevy, Max",0.95,11.2,58.9,0.0
31,"Rodgers, Patrick",0.92,11.0,59.2,0.0
32,"Clark, Wyndham",0.91,10.8,59.3,0.0
33,"Day, Jason",0.85,10.3,58.3,0.0
34,"Olesen, Thorbjorn",0.85,9.7,57.1,0.0
35,"Parry, John",0.83,9.7,57.3,0.0
36,"Koepka, Brooks",0.83,9.5,57.2,0.0
37,"Fox, Ryan",0.82,10.0,57.7,0.0
38,"Penge, Marco",0.79,9.5,57.3,0.0
39,"Reitan, Kristoffer",0.78,9.8,58.1,0.0
40,"Smith, Jordan",0.75,9.4,56.5,0.0
41,"Cauley, Bud",0.75,8.6,55.6,0.0
42,"Echavarria, Nico",0.71,8.5,55.8,0.0
43,"Poston, J.T.",0.7,9.4,57.2,0.0
44,"Li, Haotong",0.68,9.1,56.1,0.0
45,"Greyserman, Max",0.65,8.5,55.5,0.0
46,"Hoey, Rico",0.63,7.8,54.2,0.0
47,"Im, Sungjae",0.6,7.6,53.7,0.0
48,"Neergaard-Petersen, Rasmus",0.6,7.8,54.1,0.0
49,"Kim, Tom",0.56,8.1,54.0,0.0
50,"Roy, Kevin",0.49,7.2,52.9,0.0
51,"Mouw, William",0.48,6.4,51.9,0.0
52,"Dumont De Chassart, Adrien",0.46,6.4,51.1,0.0
53,"McCarthy, Denny",0.45,6.3,50.6,0.0
54,"Hughes, Mackenzie",0.44,6.2,50.5,0.0
55,"Wallace, Matt",0.44,6.7,50.9,0.0
56,"Hodges, Lee",0.4,5.5,49.4,0.0
57,"Svensson, Jesper",0.4,5.8,49.4,0.0
58,"Finau, Tony",0.39,5.9,49.8,0.0
59,"Ramey, Chad",0.38,5.5,48.4,0.0
60,"Brown, Dan",0.37,5.5,49.1,0.0
61,"Higgo, Garrick",0.36,5.3,47.9,0.0
62,"Jaeger, Stephan",0.35,6.2,50.9,0.0
63,"Kirk, Chris",0.34,5.7,49.1,0.0
64,"Whaley, Vince",0.34,5.0,47.5,0.0
65,"Ewart, A.J.",0.34,4.8,46.5,0.0
66,"Schmid, Matti",0.34,5.6,49.2,0.0
67,"Eckroat, Austin",0.34,5.3,48.3,0.0
68,"Dou, Zecheng",0.33,4.7,46.5,0.0
69,"Lamprecht, Christo",0.33,4.8,46.6,0.0
70,"Russell, Casey",0.32,4.7,46.2,0.0
71,"Chatfield, Davis",0.32,4.5,46.6,0.0
72,"Brennan, Michael",0.32,4.8,46.6,0.0
73,"Ford, David",0.31,5.3,49.0,0.0
74,"Burgoon, Bronson",0.31,4.9,47.2,0.0
75,"Fisk, Steven",0.31,4.9,47.1,0.0
76,"Cole, Eric",0.3,5.5,49.4,0.0
77,"Wise, Aaron",0.3,4.7,47.0,0.0
78,"Nyholm, Pontus",0.3,4.7,46.7,0.0
79,"Bauchou, Zach",0.3,4.5,46.3,0.0
80,"Lebioda, Hank",0.3,4.7,46.7,0.0
81,"VanDerLaan, John",0.29,4.7,47.0,0.0
82,"Howell, Mason",0.29,4.6,46.5,0.0
83,"Hirata, Kensei",0.28,4.6,46.8,0.0
